"","Taxa","Longitude","Latitude","value"
"1","Beella_digitata",-30.267,44.3498,0
"2","Beella_digitata",-41.75,50.9332,0
"3","Beella_digitata",-67.3333,35.7167,0
"4","Beella_digitata",-68.9167,36.1333,0
"5","Beella_digitata",-69.15,36.15,1
"6","Beella_digitata",-68.9333,35.7833,1
"7","Beella_digitata",-69.4,36.2167,1
"8","Beella_digitata",-74.35,31.8333,1
"9","Beella_digitata",-75.35,31.65,0
"10","Beella_digitata",-72.95,37.65,0
"11","Beella_digitata",-75.75,23.9333,0
"12","Beella_digitata",-75.9333,24.8,0
"13","Beella_digitata",-67.6667,30.7833,1
"14","Beella_digitata",-69.0833,35.7667,1
"15","Beella_digitata",-42.65,39.1332,0
"16","Beella_digitata",-27.367,33.333,1
"17","Beella_digitata",-17.0667,5.2833,1
"18","Beella_digitata",-18.3,3.65,1
"19","Beella_digitata",-24.1667,-0.05,0
"20","Beella_digitata",-26.0333,-0.7667,0
"21","Beella_digitata",-59.2,20.7332,0
"22","Beella_digitata",62.5,-14.03333333,1
"23","Beella_digitata",70.4,-25.41666667,1
"24","Beella_digitata",58.51666667,-10.35,1
"25","Beella_digitata",59.68333333,-13.68333333,1
"26","Beella_digitata",70.96666667,-44.63333333,0
"27","Beella_digitata",114.3833333,-31.51666667,1
"28","Beella_digitata",67.88333333,-39.73333333,0
"29","Beella_digitata",113.9333333,-31.26666667,0
"30","Beella_digitata",87.85,-18.68333333,1
"31","Beella_digitata",70.2,-14.9,1
"32","Beella_digitata",62,-17.8,1
"33","Beella_digitata",73.88333333,-23.93333333,1
"34","Beella_digitata",75.05,-39.83333333,1
"35","Beella_digitata",119.735,-53.038,0
"36","Beella_digitata",105.548,-43.308,1
"37","Beella_digitata",114.478,-48.008,0
"38","Beella_digitata",114.423,-47.533,0
"39","Beella_digitata",114.417,-46.448,0
"40","Beella_digitata",114.348,-45.037,0
"41","Beella_digitata",114.368,-43.953,0
"42","Beella_digitata",100.012,-41.02,0
"43","Beella_digitata",83.723,-39.515,1
"44","Beella_digitata",95.082,-45.022,0
"45","Beella_digitata",95.08,-47.128,0
"46","Beella_digitata",95.037,-47.988,0
"47","Beella_digitata",94.832,-49.378,0
"48","Beella_digitata",-16.95,24.5,0
"49","Beella_digitata",-74.88,14,1
"50","Beella_digitata",46.2,-43.78,0
"51","Beella_digitata",51.267,-43.63,0
"52","Beella_digitata",65.467,-55.33,0
"53","Beella_digitata",92.417,-44.77,1
"54","Beella_digitata",104.37,-39.38,0
"55","Beella_digitata",120.9,-36.75,1
"56","Beella_digitata",125.57,-46.53,1
"57","Beella_digitata",127.12,-49.33,0
"58","Beella_digitata",129.97,-51.08,0
"59","Beella_digitata",123.1,-47.77,0
"60","Beella_digitata",121.12,-45.42,0
"61","Beella_digitata",114.13,-41.37,0
"62","Beella_digitata",63.15,12.05,1
"63","Beella_digitata",58.083,17.883,1
"64","Beella_digitata",-10.57,45.1,1
"65","Beella_digitata",-15.4,54.983,0
"66","Beella_digitata",-77.22,10.183,1
"67","Beella_digitata",-77.22,10.183,0
"68","Beella_digitata",-69.67,21.3,0
"69","Beella_digitata",-81.63,13.483,0
"70","Beella_digitata",-79.53,16.567,1
"71","Beella_digitata",-79.53,16.567,0
"72","Beella_digitata",-81.1,11.767,1
"73","Beella_digitata",-45.97,4.967,1
"74","Beella_digitata",57.35,-43.03,0
"75","Beella_digitata",54.217,-34.33,0
"76","Beella_digitata",-45.4,2.217,0
"77","Beella_digitata",57.633,-22.4,1
"78","Beella_digitata",67.583,-34.92,0
"79","Beella_digitata",69.55,-36.48,1
"80","Beella_digitata",-43.77,0.917,0
"81","Beella_digitata",83.483,-38.03,1
"82","Beella_digitata",95.967,-28.07,1
"83","Beella_digitata",-41.52,1.683,1
"84","Beella_digitata",112.98,-33.8,0
"85","Beella_digitata",114.12,-31.57,0
"86","Beella_digitata",112.8,-21.42,0
"87","Beella_digitata",-4.6,-49,0
"88","Beella_digitata",-17.8,-42.58,0
"89","Beella_digitata",-75.04,11.91,1
"90","Beella_digitata",-71.67,15.617,0
"91","Beella_digitata",-74.79,15.857,0
"92","Beella_digitata",-76.96,10.032,0
"93","Beella_digitata",-78.15,11.25,0
"94","Beella_digitata",-77.17,14.695,0
"95","Beella_digitata",-7.722,3.705,1
"96","Beella_digitata",11.307,-25.49,1
"97","Beella_digitata",7.625,-46.6,0
"98","Beella_digitata",-15.57,-49.92,0
"99","Beella_digitata",-13.23,-46.1,0
"100","Beella_digitata",61.617,-12.38,1
"101","Beella_digitata",59.872,-12.85,0
"102","Beella_digitata",59.638,-13.61,1
"103","Beella_digitata",58.852,-15.59,1
"104","Beella_digitata",58.633,-16.23,0
"105","Beella_digitata",61.203,-2.807,1
"106","Beella_digitata",66.29,19.193,1
"107","Beella_digitata",67.298,21.472,0
"108","Beella_digitata",72.763,9.582,1
"109","Beella_digitata",65.617,-13.22,0
"110","Beella_digitata",-22.77,59.6532,0
"111","Beella_digitata",-21.1328,53.867,0
"112","Beella_digitata",-0.0667,63.4832,0
"113","Beella_digitata",-54.9,42.467,1
"114","Beella_digitata",-92.47,23.767,0
"115","Beella_digitata",-69.5,32.6,0
"116","Beella_digitata",-65.12,32.283,0
"117","Beella_digitata",-64.72,32.217,0
"118","Beella_digitata",-79.92,29.283,1
"119","Beella_digitata",-57.13,38.917,1
"120","Beella_digitata",-61.45,34.667,1
"121","Beella_digitata",-64.6,40.767,0
"122","Beella_digitata",-77.77,12.4,0
"123","Beella_digitata",-37.87,8.233,1
"124","Beella_digitata",-11.62,31.383,0
"125","Beella_digitata",-38.2,22.967,1
"126","Beella_digitata",-43.8,23.033,0
"127","Beella_digitata",-64.17,31.433,0
"128","Beella_digitata",-74.4,17,0
"129","Beella_digitata",-53.07,24.283,1
"130","Beella_digitata",7.017,-22.98,0
"131","Beella_digitata",-16.05,1.75,1
"132","Beella_digitata",-65.2,10.7,0
"133","Beella_digitata",65.517,3.867,1
"134","Beella_digitata",56.233,11.433,0
"135","Beella_digitata",53.45,13.433,0
"136","Beella_digitata",51,14.3,1
"137","Beella_digitata",48.4,12.867,0
"138","Beella_digitata",46.75,11.85,1
"139","Beella_digitata",45.633,12.617,0
