"","Taxa","Longitude","Latitude","value"
"1","Candeina_nitida",-30.267,44.3498,0
"2","Candeina_nitida",-41.75,50.9332,0
"3","Candeina_nitida",-67.3333,35.7167,0
"4","Candeina_nitida",-68.9167,36.1333,0
"5","Candeina_nitida",-69.15,36.15,0
"6","Candeina_nitida",-68.9333,35.7833,0
"7","Candeina_nitida",-69.4,36.2167,0
"8","Candeina_nitida",-74.35,31.8333,0
"9","Candeina_nitida",-75.35,31.65,1
"10","Candeina_nitida",-72.95,37.65,0
"11","Candeina_nitida",-75.75,23.9333,1
"12","Candeina_nitida",-75.9333,24.8,0
"13","Candeina_nitida",-67.6667,30.7833,0
"14","Candeina_nitida",-69.0833,35.7667,0
"15","Candeina_nitida",-42.65,39.1332,0
"16","Candeina_nitida",-27.367,33.333,0
"17","Candeina_nitida",-17.0667,5.2833,0
"18","Candeina_nitida",-18.3,3.65,0
"19","Candeina_nitida",-24.1667,-0.05,0
"20","Candeina_nitida",-26.0333,-0.7667,0
"21","Candeina_nitida",-59.2,20.7332,0
"22","Candeina_nitida",62.5,-14.03333333,0
"23","Candeina_nitida",70.4,-25.41666667,1
"24","Candeina_nitida",58.51666667,-10.35,0
"25","Candeina_nitida",59.68333333,-13.68333333,1
"26","Candeina_nitida",70.96666667,-44.63333333,0
"27","Candeina_nitida",114.3833333,-31.51666667,0
"28","Candeina_nitida",67.88333333,-39.73333333,0
"29","Candeina_nitida",113.9333333,-31.26666667,0
"30","Candeina_nitida",87.85,-18.68333333,0
"31","Candeina_nitida",70.2,-14.9,0
"32","Candeina_nitida",62,-17.8,1
"33","Candeina_nitida",73.88333333,-23.93333333,1
"34","Candeina_nitida",75.05,-39.83333333,0
"35","Candeina_nitida",119.735,-53.038,0
"36","Candeina_nitida",105.548,-43.308,0
"37","Candeina_nitida",114.478,-48.008,0
"38","Candeina_nitida",114.423,-47.533,0
"39","Candeina_nitida",114.417,-46.448,0
"40","Candeina_nitida",114.348,-45.037,0
"41","Candeina_nitida",114.368,-43.953,0
"42","Candeina_nitida",100.012,-41.02,0
"43","Candeina_nitida",83.723,-39.515,0
"44","Candeina_nitida",95.082,-45.022,0
"45","Candeina_nitida",95.08,-47.128,0
"46","Candeina_nitida",95.037,-47.988,0
"47","Candeina_nitida",94.832,-49.378,0
"48","Candeina_nitida",-16.95,24.5,0
"49","Candeina_nitida",-74.88,14,1
"50","Candeina_nitida",46.2,-43.78,0
"51","Candeina_nitida",51.267,-43.63,0
"52","Candeina_nitida",65.467,-55.33,0
"53","Candeina_nitida",92.417,-44.77,0
"54","Candeina_nitida",104.37,-39.38,0
"55","Candeina_nitida",120.9,-36.75,0
"56","Candeina_nitida",125.57,-46.53,0
"57","Candeina_nitida",127.12,-49.33,0
"58","Candeina_nitida",129.97,-51.08,0
"59","Candeina_nitida",123.1,-47.77,0
"60","Candeina_nitida",121.12,-45.42,1
"61","Candeina_nitida",114.13,-41.37,0
"62","Candeina_nitida",63.15,12.05,0
"63","Candeina_nitida",58.083,17.883,0
"64","Candeina_nitida",-10.57,45.1,0
"65","Candeina_nitida",-15.4,54.983,0
"66","Candeina_nitida",-77.22,10.183,0
"67","Candeina_nitida",-77.22,10.183,0
"68","Candeina_nitida",-69.67,21.3,0
"69","Candeina_nitida",-81.63,13.483,0
"70","Candeina_nitida",-79.53,16.567,1
"71","Candeina_nitida",-79.53,16.567,1
"72","Candeina_nitida",-81.1,11.767,0
"73","Candeina_nitida",-45.97,4.967,0
"74","Candeina_nitida",57.35,-43.03,0
"75","Candeina_nitida",54.217,-34.33,0
"76","Candeina_nitida",-45.4,2.217,1
"77","Candeina_nitida",57.633,-22.4,1
"78","Candeina_nitida",67.583,-34.92,0
"79","Candeina_nitida",69.55,-36.48,0
"80","Candeina_nitida",-43.77,0.917,0
"81","Candeina_nitida",83.483,-38.03,0
"82","Candeina_nitida",95.967,-28.07,0
"83","Candeina_nitida",-41.52,1.683,0
"84","Candeina_nitida",112.98,-33.8,0
"85","Candeina_nitida",114.12,-31.57,0
"86","Candeina_nitida",112.8,-21.42,0
"87","Candeina_nitida",-4.6,-49,0
"88","Candeina_nitida",-17.8,-42.58,0
"89","Candeina_nitida",-75.04,11.91,0
"90","Candeina_nitida",-71.67,15.617,1
"91","Candeina_nitida",-74.79,15.857,1
"92","Candeina_nitida",-76.96,10.032,0
"93","Candeina_nitida",-78.15,11.25,0
"94","Candeina_nitida",-77.17,14.695,0
"95","Candeina_nitida",-7.722,3.705,0
"96","Candeina_nitida",11.307,-25.49,0
"97","Candeina_nitida",7.625,-46.6,0
"98","Candeina_nitida",-15.57,-49.92,0
"99","Candeina_nitida",-13.23,-46.1,0
"100","Candeina_nitida",61.617,-12.38,0
"101","Candeina_nitida",59.872,-12.85,0
"102","Candeina_nitida",59.638,-13.61,0
"103","Candeina_nitida",58.852,-15.59,0
"104","Candeina_nitida",58.633,-16.23,0
"105","Candeina_nitida",61.203,-2.807,0
"106","Candeina_nitida",66.29,19.193,0
"107","Candeina_nitida",67.298,21.472,0
"108","Candeina_nitida",72.763,9.582,0
"109","Candeina_nitida",65.617,-13.22,0
"110","Candeina_nitida",-22.77,59.6532,0
"111","Candeina_nitida",-21.1328,53.867,0
"112","Candeina_nitida",-0.0667,63.4832,0
"113","Candeina_nitida",-54.9,42.467,0
"114","Candeina_nitida",-92.47,23.767,0
"115","Candeina_nitida",-69.5,32.6,1
"116","Candeina_nitida",-65.12,32.283,0
"117","Candeina_nitida",-64.72,32.217,0
"118","Candeina_nitida",-79.92,29.283,1
"119","Candeina_nitida",-57.13,38.917,0
"120","Candeina_nitida",-61.45,34.667,0
"121","Candeina_nitida",-64.6,40.767,0
"122","Candeina_nitida",-77.77,12.4,0
"123","Candeina_nitida",-37.87,8.233,1
"124","Candeina_nitida",-11.62,31.383,0
