"","Taxa","Longitude","Latitude","value"
"1","Dentigloborotalia_anfracta",-30.267,44.3498,0
"2","Dentigloborotalia_anfracta",-41.75,50.9332,0
"3","Dentigloborotalia_anfracta",-67.3333,35.7167,0
"4","Dentigloborotalia_anfracta",-68.9167,36.1333,0
"5","Dentigloborotalia_anfracta",-69.15,36.15,0
"6","Dentigloborotalia_anfracta",-68.9333,35.7833,0
"7","Dentigloborotalia_anfracta",-69.4,36.2167,0
"8","Dentigloborotalia_anfracta",-74.35,31.8333,0
"9","Dentigloborotalia_anfracta",-75.35,31.65,0
"10","Dentigloborotalia_anfracta",-72.95,37.65,0
"11","Dentigloborotalia_anfracta",-75.75,23.9333,0
"12","Dentigloborotalia_anfracta",-75.9333,24.8,0
"13","Dentigloborotalia_anfracta",-67.6667,30.7833,0
"14","Dentigloborotalia_anfracta",-69.0833,35.7667,0
"15","Dentigloborotalia_anfracta",-42.65,39.1332,0
"16","Dentigloborotalia_anfracta",-27.367,33.333,0
"17","Dentigloborotalia_anfracta",-17.0667,5.2833,0
"18","Dentigloborotalia_anfracta",-18.3,3.65,0
"19","Dentigloborotalia_anfracta",-24.1667,-0.05,0
"20","Dentigloborotalia_anfracta",-26.0333,-0.7667,0
"21","Dentigloborotalia_anfracta",-59.2,20.7332,0
"22","Dentigloborotalia_anfracta",62.5,-14.03333333,0
"23","Dentigloborotalia_anfracta",70.4,-25.41666667,0
"24","Dentigloborotalia_anfracta",58.51666667,-10.35,0
"25","Dentigloborotalia_anfracta",59.68333333,-13.68333333,0
"26","Dentigloborotalia_anfracta",70.96666667,-44.63333333,0
"27","Dentigloborotalia_anfracta",114.3833333,-31.51666667,0
"28","Dentigloborotalia_anfracta",67.88333333,-39.73333333,0
"29","Dentigloborotalia_anfracta",113.9333333,-31.26666667,0
"30","Dentigloborotalia_anfracta",87.85,-18.68333333,0
"31","Dentigloborotalia_anfracta",70.2,-14.9,0
"32","Dentigloborotalia_anfracta",62,-17.8,0
"33","Dentigloborotalia_anfracta",73.88333333,-23.93333333,0
"34","Dentigloborotalia_anfracta",75.05,-39.83333333,0
"35","Dentigloborotalia_anfracta",119.735,-53.038,0
"36","Dentigloborotalia_anfracta",114.478,-48.008,0
"37","Dentigloborotalia_anfracta",114.423,-47.533,0
"38","Dentigloborotalia_anfracta",114.417,-46.448,0
"39","Dentigloborotalia_anfracta",114.368,-43.953,0
"40","Dentigloborotalia_anfracta",95.082,-45.022,0
"41","Dentigloborotalia_anfracta",95.08,-47.128,0
"42","Dentigloborotalia_anfracta",95.037,-47.988,0
"43","Dentigloborotalia_anfracta",94.832,-49.378,0
"44","Dentigloborotalia_anfracta",-16.95,24.5,0
"45","Dentigloborotalia_anfracta",-74.88,14,0
"46","Dentigloborotalia_anfracta",46.2,-43.78,0
"47","Dentigloborotalia_anfracta",51.267,-43.63,0
"48","Dentigloborotalia_anfracta",65.467,-55.33,0
"49","Dentigloborotalia_anfracta",92.417,-44.77,0
"50","Dentigloborotalia_anfracta",104.37,-39.38,0
"51","Dentigloborotalia_anfracta",120.9,-36.75,0
"52","Dentigloborotalia_anfracta",125.57,-46.53,0
"53","Dentigloborotalia_anfracta",127.12,-49.33,0
"54","Dentigloborotalia_anfracta",129.97,-51.08,0
"55","Dentigloborotalia_anfracta",123.1,-47.77,0
"56","Dentigloborotalia_anfracta",121.12,-45.42,0
"57","Dentigloborotalia_anfracta",114.13,-41.37,0
"58","Dentigloborotalia_anfracta",63.15,12.05,0
"59","Dentigloborotalia_anfracta",58.083,17.883,0
"60","Dentigloborotalia_anfracta",-10.57,45.1,0
"61","Dentigloborotalia_anfracta",-15.4,54.983,0
"62","Dentigloborotalia_anfracta",-77.22,10.183,0
"63","Dentigloborotalia_anfracta",-77.22,10.183,0
"64","Dentigloborotalia_anfracta",-69.67,21.3,0
"65","Dentigloborotalia_anfracta",-81.63,13.483,0
"66","Dentigloborotalia_anfracta",-79.53,16.567,0
"67","Dentigloborotalia_anfracta",-79.53,16.567,0
"68","Dentigloborotalia_anfracta",-81.1,11.767,0
"69","Dentigloborotalia_anfracta",-45.97,4.967,0
"70","Dentigloborotalia_anfracta",57.35,-43.03,0
"71","Dentigloborotalia_anfracta",54.217,-34.33,0
"72","Dentigloborotalia_anfracta",-45.4,2.217,0
"73","Dentigloborotalia_anfracta",57.633,-22.4,0
"74","Dentigloborotalia_anfracta",67.583,-34.92,0
"75","Dentigloborotalia_anfracta",69.55,-36.48,0
"76","Dentigloborotalia_anfracta",-43.77,0.917,0
"77","Dentigloborotalia_anfracta",83.483,-38.03,0
"78","Dentigloborotalia_anfracta",95.967,-28.07,0
"79","Dentigloborotalia_anfracta",-41.52,1.683,0
"80","Dentigloborotalia_anfracta",112.98,-33.8,0
"81","Dentigloborotalia_anfracta",114.12,-31.57,0
"82","Dentigloborotalia_anfracta",112.8,-21.42,0
"83","Dentigloborotalia_anfracta",-4.6,-49,0
"84","Dentigloborotalia_anfracta",-17.8,-42.58,0
"85","Dentigloborotalia_anfracta",-75.04,11.91,0
"86","Dentigloborotalia_anfracta",-71.67,15.617,0
"87","Dentigloborotalia_anfracta",-74.79,15.857,0
"88","Dentigloborotalia_anfracta",-76.96,10.032,0
"89","Dentigloborotalia_anfracta",-78.15,11.25,0
"90","Dentigloborotalia_anfracta",-77.17,14.695,0
"91","Dentigloborotalia_anfracta",-7.722,3.705,0
"92","Dentigloborotalia_anfracta",11.307,-25.49,0
"93","Dentigloborotalia_anfracta",7.625,-46.6,0
"94","Dentigloborotalia_anfracta",-15.57,-49.92,0
"95","Dentigloborotalia_anfracta",-13.23,-46.1,0
"96","Dentigloborotalia_anfracta",61.617,-12.38,0
"97","Dentigloborotalia_anfracta",59.872,-12.85,0
"98","Dentigloborotalia_anfracta",59.638,-13.61,0
"99","Dentigloborotalia_anfracta",58.852,-15.59,0
"100","Dentigloborotalia_anfracta",58.633,-16.23,0
"101","Dentigloborotalia_anfracta",61.203,-2.807,0
"102","Dentigloborotalia_anfracta",66.29,19.193,0
"103","Dentigloborotalia_anfracta",67.298,21.472,0
"104","Dentigloborotalia_anfracta",72.763,9.582,0
"105","Dentigloborotalia_anfracta",-22.77,59.6532,0
"106","Dentigloborotalia_anfracta",-21.1328,53.867,0
"107","Dentigloborotalia_anfracta",-0.0667,63.4832,0
"108","Dentigloborotalia_anfracta",-54.9,42.467,0
"109","Dentigloborotalia_anfracta",-92.47,23.767,0
"110","Dentigloborotalia_anfracta",-69.5,32.6,0
"111","Dentigloborotalia_anfracta",-65.12,32.283,0
"112","Dentigloborotalia_anfracta",-64.72,32.217,0
"113","Dentigloborotalia_anfracta",-79.92,29.283,1
"114","Dentigloborotalia_anfracta",-57.13,38.917,0
"115","Dentigloborotalia_anfracta",-61.45,34.667,0
"116","Dentigloborotalia_anfracta",-64.6,40.767,0
"117","Dentigloborotalia_anfracta",-77.77,12.4,0
"118","Dentigloborotalia_anfracta",-37.87,8.233,0
"119","Dentigloborotalia_anfracta",-11.62,31.383,0
"120","Dentigloborotalia_anfracta",-38.2,22.967,0
"121","Dentigloborotalia_anfracta",-43.8,23.033,0
"122","Dentigloborotalia_anfracta",-64.17,31.433,0
"123","Dentigloborotalia_anfracta",-74.4,17,0
"124","Dentigloborotalia_anfracta",-53.07,24.283,0
"125","Dentigloborotalia_anfracta",7.017,-22.98,0
"126","Dentigloborotalia_anfracta",-16.05,1.75,0
"127","Dentigloborotalia_anfracta",-65.2,10.7,0
"128","Dentigloborotalia_anfracta",65.517,3.867,0
"129","Dentigloborotalia_anfracta",56.233,11.433,0
"130","Dentigloborotalia_anfracta",53.45,13.433,0
"131","Dentigloborotalia_anfracta",51,14.3,0
"132","Dentigloborotalia_anfracta",48.4,12.867,0
"133","Dentigloborotalia_anfracta",46.75,11.85,0
"134","Dentigloborotalia_anfracta",45.633,12.617,0
"135","Dentigloborotalia_anfracta",-40.52,15.483,0
"136","Dentigloborotalia_anfracta",-32.85,0.85,0
"137","Dentigloborotalia_anfracta",13.5,-39.2,0
"138","Dentigloborotalia_anfracta",15.917,-35.88,0
"139","Dentigloborotalia_anfracta",64.817,-4.3,0
"140","Dentigloborotalia_anfracta",66.3,-2.833,0
"141","Dentigloborotalia_anfracta",69.45,-0.633,0
"142","Dentigloborotalia_anfracta",-37.07,1.967,0
"143","Dentigloborotalia_anfracta",-46.48,23.333,0
"144","Dentigloborotalia_anfracta",-51.87,30,0
"145","Dentigloborotalia_anfracta",-48.42,17.267,0
"146","Dentigloborotalia_anfracta",-50.83,60.033,0
"147","Dentigloborotalia_anfracta",-40.67,13.25,0
"148","Dentigloborotalia_anfracta",15,-33.2,0
"149","Dentigloborotalia_anfracta",16.433,-33.35,0
"150","Dentigloborotalia_anfracta",16.433,-33.35,0
"151","Dentigloborotalia_anfracta",44.367,-46.02,0
"152","Dentigloborotalia_anfracta",45.767,-45,0
"153","Dentigloborotalia_anfracta",43.5,-37.15,0
"154","Dentigloborotalia_anfracta",79.567,-29.73,0
"155","Dentigloborotalia_anfracta",82.85,-31.05,0
"156","Dentigloborotalia_anfracta",83.8,-31.63,0
