"","Taxa","Longitude","Latitude","value"
"1","Globigerina_bulloides",-30.267,44.3498,1
"2","Globigerina_bulloides",-41.75,50.9332,1
"3","Globigerina_bulloides",-67.3333,35.7167,1
"4","Globigerina_bulloides",-68.9167,36.1333,1
"5","Globigerina_bulloides",-69.15,36.15,1
"6","Globigerina_bulloides",-68.9333,35.7833,1
"7","Globigerina_bulloides",-69.4,36.2167,1
"8","Globigerina_bulloides",-74.35,31.8333,1
"9","Globigerina_bulloides",-75.35,31.65,1
"10","Globigerina_bulloides",-72.95,37.65,1
"11","Globigerina_bulloides",-75.75,23.9333,0
"12","Globigerina_bulloides",-75.9333,24.8,1
"13","Globigerina_bulloides",-67.6667,30.7833,1
"14","Globigerina_bulloides",-69.0833,35.7667,1
"15","Globigerina_bulloides",-42.65,39.1332,1
"16","Globigerina_bulloides",-27.367,33.333,1
"17","Globigerina_bulloides",-17.0667,5.2833,1
"18","Globigerina_bulloides",-18.3,3.65,0
"19","Globigerina_bulloides",-24.1667,-0.05,1
"20","Globigerina_bulloides",-26.0333,-0.7667,1
"21","Globigerina_bulloides",-59.2,20.7332,0
"22","Globigerina_bulloides",62.5,-14.03333333,1
"23","Globigerina_bulloides",70.4,-25.41666667,1
"24","Globigerina_bulloides",58.51666667,-10.35,1
"25","Globigerina_bulloides",59.68333333,-13.68333333,1
"26","Globigerina_bulloides",70.96666667,-44.63333333,1
"27","Globigerina_bulloides",114.3833333,-31.51666667,1
"28","Globigerina_bulloides",67.88333333,-39.73333333,1
"29","Globigerina_bulloides",113.9333333,-31.26666667,1
"30","Globigerina_bulloides",87.85,-18.68333333,1
"31","Globigerina_bulloides",70.2,-14.9,1
"32","Globigerina_bulloides",62,-17.8,1
"33","Globigerina_bulloides",73.88333333,-23.93333333,1
"34","Globigerina_bulloides",75.05,-39.83333333,1
"35","Globigerina_bulloides",119.735,-53.038,1
"36","Globigerina_bulloides",105.548,-43.308,1
"37","Globigerina_bulloides",114.478,-48.008,1
"38","Globigerina_bulloides",114.423,-47.533,1
"39","Globigerina_bulloides",114.417,-46.448,1
"40","Globigerina_bulloides",114.348,-45.037,1
"41","Globigerina_bulloides",114.368,-43.953,1
"42","Globigerina_bulloides",100.012,-41.02,1
"43","Globigerina_bulloides",83.723,-39.515,1
"44","Globigerina_bulloides",95.082,-45.022,1
"45","Globigerina_bulloides",95.08,-47.128,1
"46","Globigerina_bulloides",95.037,-47.988,1
"47","Globigerina_bulloides",94.832,-49.378,1
"48","Globigerina_bulloides",-16.95,24.5,1
"49","Globigerina_bulloides",-74.88,14,0
"50","Globigerina_bulloides",46.2,-43.78,1
"51","Globigerina_bulloides",51.267,-43.63,1
"52","Globigerina_bulloides",65.467,-55.33,1
"53","Globigerina_bulloides",92.417,-44.77,1
"54","Globigerina_bulloides",104.37,-39.38,1
"55","Globigerina_bulloides",120.9,-36.75,1
"56","Globigerina_bulloides",125.57,-46.53,1
"57","Globigerina_bulloides",127.12,-49.33,1
"58","Globigerina_bulloides",129.97,-51.08,1
"59","Globigerina_bulloides",123.1,-47.77,1
"60","Globigerina_bulloides",121.12,-45.42,1
"61","Globigerina_bulloides",114.13,-41.37,1
"62","Globigerina_bulloides",63.15,12.05,1
"63","Globigerina_bulloides",58.083,17.883,1
"64","Globigerina_bulloides",-10.57,45.1,1
"65","Globigerina_bulloides",-15.4,54.983,1
"66","Globigerina_bulloides",-77.22,10.183,0
"67","Globigerina_bulloides",-77.22,10.183,1
"68","Globigerina_bulloides",-69.67,21.3,0
"69","Globigerina_bulloides",-81.63,13.483,0
"70","Globigerina_bulloides",-79.53,16.567,0
"71","Globigerina_bulloides",-79.53,16.567,0
"72","Globigerina_bulloides",-81.1,11.767,1
"73","Globigerina_bulloides",-45.97,4.967,1
"74","Globigerina_bulloides",57.35,-43.03,1
"75","Globigerina_bulloides",54.217,-34.33,1
"76","Globigerina_bulloides",-45.4,2.217,0
"77","Globigerina_bulloides",57.633,-22.4,1
"78","Globigerina_bulloides",67.583,-34.92,1
"79","Globigerina_bulloides",69.55,-36.48,1
"80","Globigerina_bulloides",-43.77,0.917,0
"81","Globigerina_bulloides",83.483,-38.03,1
"82","Globigerina_bulloides",95.967,-28.07,1
"83","Globigerina_bulloides",-41.52,1.683,0
"84","Globigerina_bulloides",112.98,-33.8,1
"85","Globigerina_bulloides",114.12,-31.57,1
"86","Globigerina_bulloides",112.8,-21.42,1
"87","Globigerina_bulloides",-4.6,-49,1
"88","Globigerina_bulloides",-17.8,-42.58,1
"89","Globigerina_bulloides",-75.04,11.91,1
"90","Globigerina_bulloides",-71.67,15.617,1
"91","Globigerina_bulloides",-74.79,15.857,1
"92","Globigerina_bulloides",-76.96,10.032,0
"93","Globigerina_bulloides",-78.15,11.25,0
"94","Globigerina_bulloides",-77.17,14.695,1
"95","Globigerina_bulloides",-7.722,3.705,1
"96","Globigerina_bulloides",11.307,-25.49,1
"97","Globigerina_bulloides",7.625,-46.6,1
"98","Globigerina_bulloides",-15.57,-49.92,1
"99","Globigerina_bulloides",-13.23,-46.1,1
"100","Globigerina_bulloides",61.617,-12.38,1
"101","Globigerina_bulloides",59.872,-12.85,1
"102","Globigerina_bulloides",59.638,-13.61,1
"103","Globigerina_bulloides",58.852,-15.59,1
"104","Globigerina_bulloides",58.633,-16.23,1
"105","Globigerina_bulloides",61.203,-2.807,1
"106","Globigerina_bulloides",66.29,19.193,1
"107","Globigerina_bulloides",67.298,21.472,1
"108","Globigerina_bulloides",72.763,9.582,1
"109","Globigerina_bulloides",65.617,-13.22,1
"110","Globigerina_bulloides",-22.77,59.6532,1
"111","Globigerina_bulloides",-21.1328,53.867,1
"112","Globigerina_bulloides",-0.0667,63.4832,1
"113","Globigerina_bulloides",-54.9,42.467,1
"114","Globigerina_bulloides",-92.47,23.767,1
"115","Globigerina_bulloides",-69.5,32.6,1
"116","Globigerina_bulloides",-65.12,32.283,1
"117","Globigerina_bulloides",-64.72,32.217,1
"118","Globigerina_bulloides",-79.92,29.283,1
"119","Globigerina_bulloides",-57.13,38.917,1
"120","Globigerina_bulloides",-61.45,34.667,1
"121","Globigerina_bulloides",-64.6,40.767,1
"122","Globigerina_bulloides",-77.77,12.4,0
"123","Globigerina_bulloides",-37.87,8.233,1
"124","Globigerina_bulloides",-11.62,31.383,1
"125","Globigerina_bulloides",-38.2,22.967,1
"126","Globigerina_bulloides",-43.8,23.033,0
"127","Globigerina_bulloides",-64.17,31.433,1
"128","Globigerina_bulloides",-74.4,17,0
"129","Globigerina_bulloides",-53.07,24.283,1
"130","Globigerina_bulloides",7.017,-22.98,1
"131","Globigerina_bulloides",-16.05,1.75,1
"132","Globigerina_bulloides",-65.2,10.7,1
"133","Globigerina_bulloides",65.517,3.867,1
"134","Globigerina_bulloides",56.233,11.433,1
"135","Globigerina_bulloides",53.45,13.433,1
"136","Globigerina_bulloides",51,14.3,1
"137","Globigerina_bulloides",48.4,12.867,1
"138","Globigerina_bulloides",46.75,11.85,1
"139","Globigerina_bulloides",45.633,12.617,1
"140","Globigerina_bulloides",-40.52,15.483,0
"141","Globigerina_bulloides",-32.85,0.85,0
"142","Globigerina_bulloides",13.5,-39.2,1
"143","Globigerina_bulloides",15.917,-35.88,1
"144","Globigerina_bulloides",64.817,-4.3,1
"145","Globigerina_bulloides",66.3,-2.833,1
"146","Globigerina_bulloides",69.45,-0.633,1
"147","Globigerina_bulloides",-37.07,1.967,0
"148","Globigerina_bulloides",-46.48,23.333,0
"149","Globigerina_bulloides",-51.87,30,1
"150","Globigerina_bulloides",-48.42,17.267,0
"151","Globigerina_bulloides",-50.83,60.033,0
"152","Globigerina_bulloides",-40.67,13.25,0
"153","Globigerina_bulloides",15,-33.2,1
"154","Globigerina_bulloides",16.433,-33.35,1
"155","Globigerina_bulloides",16.433,-33.35,1
"156","Globigerina_bulloides",44.367,-46.02,1
"157","Globigerina_bulloides",45.767,-45,1
"158","Globigerina_bulloides",43.5,-37.15,1
"159","Globigerina_bulloides",79.567,-29.73,1
"160","Globigerina_bulloides",82.85,-31.05,1
"161","Globigerina_bulloides",83.8,-31.63,1
"162","Globigerina_bulloides",84.85,-32.38,1
"163","Globigerina_bulloides",91.717,-30.2,1
"164","Globigerina_bulloides",92.833,-28.883,1
"165","Globigerina_bulloides",95.183,-28.017,1
"166","Globigerina_bulloides",99.25,-31.53,1
"167","Globigerina_bulloides",-65.05,28.483,1
"168","Globigerina_bulloides",-18.92,12.383,1
"169","Globigerina_bulloides",-28.93,24.967,1
"170","Globigerina_bulloides",-34.13,27.967,1
"171","Globigerina_bulloides",-36.92,29.617,1
