"","Taxa","Longitude","Latitude","value"
"1","Globigerina_falconensis",-30.267,44.3498,1
"2","Globigerina_falconensis",-41.75,50.9332,1
"3","Globigerina_falconensis",-67.3333,35.7167,1
"4","Globigerina_falconensis",-68.9167,36.1333,1
"5","Globigerina_falconensis",-69.15,36.15,1
"6","Globigerina_falconensis",-68.9333,35.7833,1
"7","Globigerina_falconensis",-69.4,36.2167,1
"8","Globigerina_falconensis",-74.35,31.8333,1
"9","Globigerina_falconensis",-75.35,31.65,1
"10","Globigerina_falconensis",-72.95,37.65,1
"11","Globigerina_falconensis",-75.75,23.9333,1
"12","Globigerina_falconensis",-75.9333,24.8,0
"13","Globigerina_falconensis",-67.6667,30.7833,1
"14","Globigerina_falconensis",-69.0833,35.7667,1
"15","Globigerina_falconensis",-42.65,39.1332,1
"16","Globigerina_falconensis",-27.367,33.333,1
"17","Globigerina_falconensis",-17.0667,5.2833,0
"18","Globigerina_falconensis",-18.3,3.65,0
"19","Globigerina_falconensis",-24.1667,-0.05,0
"20","Globigerina_falconensis",-26.0333,-0.7667,1
"21","Globigerina_falconensis",-59.2,20.7332,0
"22","Globigerina_falconensis",62.5,-14.03333333,0
"23","Globigerina_falconensis",70.4,-25.41666667,1
"24","Globigerina_falconensis",58.51666667,-10.35,1
"25","Globigerina_falconensis",59.68333333,-13.68333333,1
"26","Globigerina_falconensis",70.96666667,-44.63333333,1
"27","Globigerina_falconensis",114.3833333,-31.51666667,1
"28","Globigerina_falconensis",67.88333333,-39.73333333,1
"29","Globigerina_falconensis",113.9333333,-31.26666667,1
"30","Globigerina_falconensis",87.85,-18.68333333,1
"31","Globigerina_falconensis",70.2,-14.9,0
"32","Globigerina_falconensis",62,-17.8,1
"33","Globigerina_falconensis",73.88333333,-23.93333333,0
"34","Globigerina_falconensis",75.05,-39.83333333,1
"35","Globigerina_falconensis",119.735,-53.038,0
"36","Globigerina_falconensis",105.548,-43.308,0
"37","Globigerina_falconensis",114.478,-48.008,0
"38","Globigerina_falconensis",114.423,-47.533,0
"39","Globigerina_falconensis",114.417,-46.448,0
"40","Globigerina_falconensis",114.348,-45.037,0
