"","Taxa","Longitude","Latitude","value"
"1","Globigerinella_adamsi",-30.267,44.3498,0
"2","Globigerinella_adamsi",-41.75,50.9332,0
"3","Globigerinella_adamsi",-67.3333,35.7167,0
"4","Globigerinella_adamsi",-68.9167,36.1333,0
"5","Globigerinella_adamsi",-69.15,36.15,0
"6","Globigerinella_adamsi",-68.9333,35.7833,0
"7","Globigerinella_adamsi",-69.4,36.2167,0
"8","Globigerinella_adamsi",-74.35,31.8333,0
"9","Globigerinella_adamsi",-75.35,31.65,0
"10","Globigerinella_adamsi",-72.95,37.65,0
"11","Globigerinella_adamsi",-75.75,23.9333,0
"12","Globigerinella_adamsi",-75.9333,24.8,0
"13","Globigerinella_adamsi",-67.6667,30.7833,0
"14","Globigerinella_adamsi",-69.0833,35.7667,0
"15","Globigerinella_adamsi",-42.65,39.1332,0
"16","Globigerinella_adamsi",-27.367,33.333,0
"17","Globigerinella_adamsi",-17.0667,5.2833,0
"18","Globigerinella_adamsi",-18.3,3.65,0
"19","Globigerinella_adamsi",-24.1667,-0.05,0
"20","Globigerinella_adamsi",-26.0333,-0.7667,0
"21","Globigerinella_adamsi",-59.2,20.7332,0
"22","Globigerinella_adamsi",62.5,-14.03333333,0
"23","Globigerinella_adamsi",70.4,-25.41666667,0
"24","Globigerinella_adamsi",58.51666667,-10.35,0
"25","Globigerinella_adamsi",59.68333333,-13.68333333,0
"26","Globigerinella_adamsi",70.96666667,-44.63333333,0
"27","Globigerinella_adamsi",114.3833333,-31.51666667,0
"28","Globigerinella_adamsi",67.88333333,-39.73333333,0
"29","Globigerinella_adamsi",113.9333333,-31.26666667,0
"30","Globigerinella_adamsi",87.85,-18.68333333,0
"31","Globigerinella_adamsi",70.2,-14.9,0
"32","Globigerinella_adamsi",62,-17.8,0
"33","Globigerinella_adamsi",73.88333333,-23.93333333,0
"34","Globigerinella_adamsi",75.05,-39.83333333,0
"35","Globigerinella_adamsi",119.735,-53.038,0
"36","Globigerinella_adamsi",105.548,-43.308,0
"37","Globigerinella_adamsi",114.478,-48.008,0
"38","Globigerinella_adamsi",114.423,-47.533,0
"39","Globigerinella_adamsi",114.417,-46.448,0
"40","Globigerinella_adamsi",114.348,-45.037,0
"41","Globigerinella_adamsi",114.368,-43.953,0
"42","Globigerinella_adamsi",100.012,-41.02,0
"43","Globigerinella_adamsi",83.723,-39.515,0
"44","Globigerinella_adamsi",95.082,-45.022,0
"45","Globigerinella_adamsi",95.08,-47.128,0
"46","Globigerinella_adamsi",95.037,-47.988,0
"47","Globigerinella_adamsi",94.832,-49.378,0
"48","Globigerinella_adamsi",-16.95,24.5,0
"49","Globigerinella_adamsi",-74.88,14,0
"50","Globigerinella_adamsi",46.2,-43.78,0
"51","Globigerinella_adamsi",51.267,-43.63,0
"52","Globigerinella_adamsi",65.467,-55.33,0
"53","Globigerinella_adamsi",92.417,-44.77,0
"54","Globigerinella_adamsi",104.37,-39.38,0
"55","Globigerinella_adamsi",120.9,-36.75,0
"56","Globigerinella_adamsi",125.57,-46.53,0
"57","Globigerinella_adamsi",127.12,-49.33,0
"58","Globigerinella_adamsi",129.97,-51.08,0
"59","Globigerinella_adamsi",123.1,-47.77,0
"60","Globigerinella_adamsi",121.12,-45.42,0
"61","Globigerinella_adamsi",114.13,-41.37,0
"62","Globigerinella_adamsi",63.15,12.05,0
"63","Globigerinella_adamsi",58.083,17.883,0
"64","Globigerinella_adamsi",-10.57,45.1,0
"65","Globigerinella_adamsi",-15.4,54.983,0
"66","Globigerinella_adamsi",-77.22,10.183,0
"67","Globigerinella_adamsi",-77.22,10.183,0
"68","Globigerinella_adamsi",-69.67,21.3,0
"69","Globigerinella_adamsi",-81.63,13.483,0
"70","Globigerinella_adamsi",-79.53,16.567,0
"71","Globigerinella_adamsi",-79.53,16.567,0
"72","Globigerinella_adamsi",-81.1,11.767,0
"73","Globigerinella_adamsi",-45.97,4.967,0
"74","Globigerinella_adamsi",57.35,-43.03,0
"75","Globigerinella_adamsi",54.217,-34.33,0
"76","Globigerinella_adamsi",-45.4,2.217,0
"77","Globigerinella_adamsi",57.633,-22.4,0
"78","Globigerinella_adamsi",67.583,-34.92,0
"79","Globigerinella_adamsi",69.55,-36.48,0
"80","Globigerinella_adamsi",-43.77,0.917,0
"81","Globigerinella_adamsi",83.483,-38.03,0
"82","Globigerinella_adamsi",95.967,-28.07,0
"83","Globigerinella_adamsi",-41.52,1.683,0
"84","Globigerinella_adamsi",112.98,-33.8,0
"85","Globigerinella_adamsi",114.12,-31.57,0
"86","Globigerinella_adamsi",112.8,-21.42,0
"87","Globigerinella_adamsi",-4.6,-49,0
"88","Globigerinella_adamsi",-17.8,-42.58,0
"89","Globigerinella_adamsi",-75.04,11.91,0
"90","Globigerinella_adamsi",-71.67,15.617,0
"91","Globigerinella_adamsi",-74.79,15.857,0
"92","Globigerinella_adamsi",-76.96,10.032,0
"93","Globigerinella_adamsi",-78.15,11.25,0
"94","Globigerinella_adamsi",-77.17,14.695,0
"95","Globigerinella_adamsi",-7.722,3.705,0
"96","Globigerinella_adamsi",11.307,-25.49,0
"97","Globigerinella_adamsi",7.625,-46.6,0
"98","Globigerinella_adamsi",-15.57,-49.92,0
"99","Globigerinella_adamsi",-13.23,-46.1,0
"100","Globigerinella_adamsi",61.617,-12.38,0
"101","Globigerinella_adamsi",59.872,-12.85,0
"102","Globigerinella_adamsi",59.638,-13.61,0
"103","Globigerinella_adamsi",58.852,-15.59,0
"104","Globigerinella_adamsi",58.633,-16.23,0
"105","Globigerinella_adamsi",61.203,-2.807,0
"106","Globigerinella_adamsi",66.29,19.193,0
"107","Globigerinella_adamsi",67.298,21.472,0
"108","Globigerinella_adamsi",72.763,9.582,0
"109","Globigerinella_adamsi",65.617,-13.22,0
"110","Globigerinella_adamsi",-22.77,59.6532,0
"111","Globigerinella_adamsi",-21.1328,53.867,0
"112","Globigerinella_adamsi",-0.0667,63.4832,0
"113","Globigerinella_adamsi",-54.9,42.467,0
"114","Globigerinella_adamsi",-92.47,23.767,0
"115","Globigerinella_adamsi",-69.5,32.6,0
"116","Globigerinella_adamsi",-65.12,32.283,0
"117","Globigerinella_adamsi",-64.72,32.217,0
"118","Globigerinella_adamsi",-79.92,29.283,0
"119","Globigerinella_adamsi",-57.13,38.917,0
"120","Globigerinella_adamsi",-61.45,34.667,0
"121","Globigerinella_adamsi",-64.6,40.767,0
"122","Globigerinella_adamsi",-77.77,12.4,0
"123","Globigerinella_adamsi",-37.87,8.233,0
"124","Globigerinella_adamsi",-11.62,31.383,0
"125","Globigerinella_adamsi",-38.2,22.967,0
"126","Globigerinella_adamsi",-43.8,23.033,0
"127","Globigerinella_adamsi",-64.17,31.433,0
"128","Globigerinella_adamsi",-74.4,17,0
"129","Globigerinella_adamsi",-53.07,24.283,0
"130","Globigerinella_adamsi",7.017,-22.98,0
"131","Globigerinella_adamsi",-16.05,1.75,0
"132","Globigerinella_adamsi",-65.2,10.7,0
"133","Globigerinella_adamsi",65.517,3.867,0
"134","Globigerinella_adamsi",56.233,11.433,0
"135","Globigerinella_adamsi",53.45,13.433,0
"136","Globigerinella_adamsi",51,14.3,0
"137","Globigerinella_adamsi",48.4,12.867,0
"138","Globigerinella_adamsi",46.75,11.85,0
"139","Globigerinella_adamsi",45.633,12.617,0
"140","Globigerinella_adamsi",-40.52,15.483,0
"141","Globigerinella_adamsi",-32.85,0.85,0
"142","Globigerinella_adamsi",13.5,-39.2,0
"143","Globigerinella_adamsi",15.917,-35.88,0
"144","Globigerinella_adamsi",64.817,-4.3,0
"145","Globigerinella_adamsi",66.3,-2.833,0
"146","Globigerinella_adamsi",69.45,-0.633,0
"147","Globigerinella_adamsi",-37.07,1.967,0
"148","Globigerinella_adamsi",-46.48,23.333,0
"149","Globigerinella_adamsi",-51.87,30,0
"150","Globigerinella_adamsi",-48.42,17.267,0
"151","Globigerinella_adamsi",-50.83,60.033,0
"152","Globigerinella_adamsi",-40.67,13.25,0
"153","Globigerinella_adamsi",15,-33.2,0
"154","Globigerinella_adamsi",16.433,-33.35,0
"155","Globigerinella_adamsi",16.433,-33.35,0
"156","Globigerinella_adamsi",44.367,-46.02,0
"157","Globigerinella_adamsi",45.767,-45,0
"158","Globigerinella_adamsi",43.5,-37.15,0
"159","Globigerinella_adamsi",79.567,-29.73,0
"160","Globigerinella_adamsi",82.85,-31.05,0
"161","Globigerinella_adamsi",83.8,-31.63,0
"162","Globigerinella_adamsi",84.85,-32.38,0
"163","Globigerinella_adamsi",91.717,-30.2,0
"164","Globigerinella_adamsi",92.833,-28.883,0
"165","Globigerinella_adamsi",95.183,-28.017,0
"166","Globigerinella_adamsi",99.25,-31.53,0
"167","Globigerinella_adamsi",-65.05,28.483,0
"168","Globigerinella_adamsi",-18.92,12.383,0
"169","Globigerinella_adamsi",-28.93,24.967,0
"170","Globigerinella_adamsi",-34.13,27.967,0
"171","Globigerinella_adamsi",-36.92,29.617,0
"172","Globigerinella_adamsi",-47.73,58.367,0
"173","Globigerinella_adamsi",-57.83,60.733,0
"174","Globigerinella_adamsi",-80.43,11.75,0
"175","Globigerinella_adamsi",-51.12,13.733,0
"176","Globigerinella_adamsi",15.983,-33.23,0
"177","Globigerinella_adamsi",29.933,-38.98,0
"178","Globigerinella_adamsi",37.867,-37.63,0
"179","Globigerinella_adamsi",41.85,-36.12,0
"180","Globigerinella_adamsi",63.533,-20.58,0
"181","Globigerinella_adamsi",-47.75,4.233,0
"182","Globigerinella_adamsi",114.45,-30.57,0
"183","Globigerinella_adamsi",140.62,-38.57,0
"184","Globigerinella_adamsi",-67.55,38.75,0
"185","Globigerinella_adamsi",62.783,8.117,0
"186","Globigerinella_adamsi",61.067,7.433,0
"187","Globigerinella_adamsi",41.55,-4.217,0
"188","Globigerinella_adamsi",41.6,-19.92,0
"189","Globigerinella_adamsi",13.283,-30.58,0
"190","Globigerinella_adamsi",9.583,-29.52,0
"191","Globigerinella_adamsi",10.8,-21.83,0
"192","Globigerinella_adamsi",-5.25,2,0
"193","Globigerinella_adamsi",-9.083,1.417,0
"194","Globigerinella_adamsi",-15.05,3.65,0
"195","Globigerinella_adamsi",-41.4,29.017,0
"196","Globigerinella_adamsi",-48.27,33.3,0
"197","Globigerinella_adamsi",68.483,-21.98,0
"198","Globigerinella_adamsi",64.9,-23.05,0
"199","Globigerinella_adamsi",-35.6,2.1,0
"200","Globigerinella_adamsi",-33.03,5.317,0
"201","Globigerinella_adamsi",-30.13,8.467,0
"202","Globigerinella_adamsi",-68.53,38.283,0
"203","Globigerinella_adamsi",-60.52,11.533,0
"204","Globigerinella_adamsi",-77.23,14.45,0
"205","Globigerinella_adamsi",-10.9,-46.13,0
"206","Globigerinella_adamsi",-6.633,-44.47,0
"207","Globigerinella_adamsi",-3.25,-43.18,0
"208","Globigerinella_adamsi",-20.12,3.383,0
"209","Globigerinella_adamsi",-18.58,14.167,0
"210","Globigerinella_adamsi",-21.15,14.4,0
"211","Globigerinella_adamsi",-23.23,15.017,0
"212","Globigerinella_adamsi",-31.45,20.7,0
"213","Globigerinella_adamsi",-43.63,27.917,0
"214","Globigerinella_adamsi",-52.3,32.65,0
"215","Globigerinella_adamsi",-57.25,34.75,0
"216","Globigerinella_adamsi",-45.63,12.75,0
"217","Globigerinella_adamsi",-25.53,19.883,0
"218","Globigerinella_adamsi",-35.83,17.2,0
"219","Globigerinella_adamsi",-40.67,17.483,0
"220","Globigerinella_adamsi",-45.13,41.517,0
"221","Globigerinella_adamsi",-45.05,46,0
"222","Globigerinella_adamsi",-27.53,62.667,0
"223","Globigerinella_adamsi",0.0167,68.0333,0
"224","Globigerinella_adamsi",8.317,70.05,0
"225","Globigerinella_adamsi",0.2,77.95,0
"226","Globigerinella_adamsi",6.683,70.983,0
"227","Globigerinella_adamsi",2.717,68.55,0
"228","Globigerinella_adamsi",-17.57,60.933,0
"229","Globigerinella_adamsi",-16.83,54.25,0
"230","Globigerinella_adamsi",-21.93,52.583,0
"231","Globigerinella_adamsi",-24.25,49.867,0
"232","Globigerinella_adamsi",-16.92,46,0
"233","Globigerinella_adamsi",-15.1,29.8,0
"234","Globigerinella_adamsi",-76.63,12.25,0
"235","Globigerinella_adamsi",-72.6,22.6,0
"236","Globigerinella_adamsi",-46.7,26.783,0
"237","Globigerinella_adamsi",-43,9.317,0
"238","Globigerinella_adamsi",-71.23,17.033,0
"239","Globigerinella_adamsi",-18.18,9.567,0
"240","Globigerinella_adamsi",-17.92,6.267,0
"241","Globigerinella_adamsi",-18.25,6.033,0
"242","Globigerinella_adamsi",-18.08,5.833,0
"243","Globigerinella_adamsi",-14.8,0.3,0
"244","Globigerinella_adamsi",-60.5,42.267,0
"245","Globigerinella_adamsi",-14.2,62.133,0
"246","Globigerinella_adamsi",-24.08,56.067,0
"247","Globigerinella_adamsi",-14.68,43.8,0
"248","Globigerinella_adamsi",-17.07,42.7,0
"249","Globigerinella_adamsi",-20.15,39.717,0
"250","Globigerinella_adamsi",-13.55,39.617,0
"251","Globigerinella_adamsi",-43.23,42.75,0
"252","Globigerinella_adamsi",-39.87,44.167,0
"253","Globigerinella_adamsi",-26.58,25.933,0
"254","Globigerinella_adamsi",-37.3,50.1,0
"255","Globigerinella_adamsi",-28.85,16.533,0
"256","Globigerinella_adamsi",-46.2,54,0
"257","Globigerinella_adamsi",-46.87,54.033,0
"258","Globigerinella_adamsi",-50.8,54.467,0
"259","Globigerinella_adamsi",-53.12,54.733,0
"260","Globigerinella_adamsi",1.983,1,0
"261","Globigerinella_adamsi",-11.82,3.05,0
"262","Globigerinella_adamsi",-54.7,56.733,0
"263","Globigerinella_adamsi",-13.63,1.05,0
"264","Globigerinella_adamsi",-44.62,58.183,0
"265","Globigerinella_adamsi",-37.275,60.7033,0
"266","Globigerinella_adamsi",-11.5,61.367,0
"267","Globigerinella_adamsi",-6.133,63.45,0
"268","Globigerinella_adamsi",-6.217,65.017,0
"269","Globigerinella_adamsi",-5.4,76.167,0
