"","Taxa","Longitude","Latitude","value"
"1","Globigerinella_siphonifera",-30.267,44.3498,1
"2","Globigerinella_siphonifera",-41.75,50.9332,0
"3","Globigerinella_siphonifera",-67.3333,35.7167,1
"4","Globigerinella_siphonifera",-68.9167,36.1333,1
"5","Globigerinella_siphonifera",-69.15,36.15,1
"6","Globigerinella_siphonifera",-68.9333,35.7833,1
"7","Globigerinella_siphonifera",-69.4,36.2167,1
"8","Globigerinella_siphonifera",-74.35,31.8333,1
"9","Globigerinella_siphonifera",-75.35,31.65,1
"10","Globigerinella_siphonifera",-72.95,37.65,0
"11","Globigerinella_siphonifera",-75.75,23.9333,1
"12","Globigerinella_siphonifera",-75.9333,24.8,1
"13","Globigerinella_siphonifera",-67.6667,30.7833,1
"14","Globigerinella_siphonifera",-69.0833,35.7667,1
"15","Globigerinella_siphonifera",-42.65,39.1332,1
"16","Globigerinella_siphonifera",-27.367,33.333,1
"17","Globigerinella_siphonifera",-17.0667,5.2833,1
"18","Globigerinella_siphonifera",-18.3,3.65,1
"19","Globigerinella_siphonifera",-24.1667,-0.05,1
"20","Globigerinella_siphonifera",-26.0333,-0.7667,1
"21","Globigerinella_siphonifera",-59.2,20.7332,1
"22","Globigerinella_siphonifera",62.5,-14.03333333,1
"23","Globigerinella_siphonifera",70.4,-25.41666667,1
"24","Globigerinella_siphonifera",58.51666667,-10.35,1
"25","Globigerinella_siphonifera",59.68333333,-13.68333333,1
"26","Globigerinella_siphonifera",70.96666667,-44.63333333,1
"27","Globigerinella_siphonifera",114.3833333,-31.51666667,1
"28","Globigerinella_siphonifera",67.88333333,-39.73333333,1
"29","Globigerinella_siphonifera",113.9333333,-31.26666667,1
"30","Globigerinella_siphonifera",87.85,-18.68333333,1
"31","Globigerinella_siphonifera",70.2,-14.9,0
"32","Globigerinella_siphonifera",62,-17.8,1
"33","Globigerinella_siphonifera",73.88333333,-23.93333333,1
"34","Globigerinella_siphonifera",75.05,-39.83333333,1
"35","Globigerinella_siphonifera",119.735,-53.038,0
"36","Globigerinella_siphonifera",105.548,-43.308,0
"37","Globigerinella_siphonifera",114.478,-48.008,0
"38","Globigerinella_siphonifera",114.423,-47.533,0
"39","Globigerinella_siphonifera",114.417,-46.448,0
"40","Globigerinella_siphonifera",114.348,-45.037,0
"41","Globigerinella_siphonifera",114.368,-43.953,0
"42","Globigerinella_siphonifera",100.012,-41.02,0
"43","Globigerinella_siphonifera",83.723,-39.515,0
"44","Globigerinella_siphonifera",95.082,-45.022,0
"45","Globigerinella_siphonifera",95.08,-47.128,0
"46","Globigerinella_siphonifera",95.037,-47.988,0
"47","Globigerinella_siphonifera",94.832,-49.378,0
"48","Globigerinella_siphonifera",-16.95,24.5,1
"49","Globigerinella_siphonifera",-74.88,14,1
"50","Globigerinella_siphonifera",46.2,-43.78,0
"51","Globigerinella_siphonifera",51.267,-43.63,0
"52","Globigerinella_siphonifera",65.467,-55.33,0
"53","Globigerinella_siphonifera",92.417,-44.77,1
"54","Globigerinella_siphonifera",104.37,-39.38,1
"55","Globigerinella_siphonifera",120.9,-36.75,1
"56","Globigerinella_siphonifera",125.57,-46.53,0
"57","Globigerinella_siphonifera",127.12,-49.33,0
"58","Globigerinella_siphonifera",129.97,-51.08,0
"59","Globigerinella_siphonifera",123.1,-47.77,0
"60","Globigerinella_siphonifera",121.12,-45.42,0
"61","Globigerinella_siphonifera",114.13,-41.37,0
"62","Globigerinella_siphonifera",63.15,12.05,1
"63","Globigerinella_siphonifera",58.083,17.883,1
"64","Globigerinella_siphonifera",-10.57,45.1,1
"65","Globigerinella_siphonifera",-15.4,54.983,1
"66","Globigerinella_siphonifera",-77.22,10.183,1
"67","Globigerinella_siphonifera",-77.22,10.183,1
"68","Globigerinella_siphonifera",-69.67,21.3,1
"69","Globigerinella_siphonifera",-81.63,13.483,1
"70","Globigerinella_siphonifera",-79.53,16.567,1
"71","Globigerinella_siphonifera",-79.53,16.567,1
"72","Globigerinella_siphonifera",-81.1,11.767,1
"73","Globigerinella_siphonifera",-45.97,4.967,1
"74","Globigerinella_siphonifera",57.35,-43.03,0
"75","Globigerinella_siphonifera",54.217,-34.33,1
"76","Globigerinella_siphonifera",-45.4,2.217,1
"77","Globigerinella_siphonifera",57.633,-22.4,1
"78","Globigerinella_siphonifera",67.583,-34.92,1
"79","Globigerinella_siphonifera",69.55,-36.48,1
"80","Globigerinella_siphonifera",-43.77,0.917,1
"81","Globigerinella_siphonifera",83.483,-38.03,1
"82","Globigerinella_siphonifera",95.967,-28.07,1
"83","Globigerinella_siphonifera",-41.52,1.683,1
"84","Globigerinella_siphonifera",112.98,-33.8,1
"85","Globigerinella_siphonifera",114.12,-31.57,1
"86","Globigerinella_siphonifera",112.8,-21.42,1
"87","Globigerinella_siphonifera",-4.6,-49,0
"88","Globigerinella_siphonifera",-17.8,-42.58,1
"89","Globigerinella_siphonifera",-75.04,11.91,1
"90","Globigerinella_siphonifera",-71.67,15.617,1
"91","Globigerinella_siphonifera",-74.79,15.857,1
"92","Globigerinella_siphonifera",-76.96,10.032,1
"93","Globigerinella_siphonifera",-78.15,11.25,1
"94","Globigerinella_siphonifera",-77.17,14.695,1
"95","Globigerinella_siphonifera",-7.722,3.705,1
"96","Globigerinella_siphonifera",11.307,-25.49,1
"97","Globigerinella_siphonifera",7.625,-46.6,0
"98","Globigerinella_siphonifera",-15.57,-49.92,0
"99","Globigerinella_siphonifera",-13.23,-46.1,0
"100","Globigerinella_siphonifera",61.617,-12.38,1
"101","Globigerinella_siphonifera",59.872,-12.85,1
"102","Globigerinella_siphonifera",59.638,-13.61,1
"103","Globigerinella_siphonifera",58.852,-15.59,1
"104","Globigerinella_siphonifera",58.633,-16.23,1
"105","Globigerinella_siphonifera",61.203,-2.807,1
"106","Globigerinella_siphonifera",66.29,19.193,1
"107","Globigerinella_siphonifera",67.298,21.472,1
"108","Globigerinella_siphonifera",72.763,9.582,1
"109","Globigerinella_siphonifera",65.617,-13.22,1
"110","Globigerinella_siphonifera",-22.77,59.6532,0
"111","Globigerinella_siphonifera",-21.1328,53.867,0
"112","Globigerinella_siphonifera",-0.0667,63.4832,0
"113","Globigerinella_siphonifera",-54.9,42.467,0
"114","Globigerinella_siphonifera",-92.47,23.767,0
"115","Globigerinella_siphonifera",-69.5,32.6,1
"116","Globigerinella_siphonifera",-65.12,32.283,1
"117","Globigerinella_siphonifera",-64.72,32.217,1
"118","Globigerinella_siphonifera",-79.92,29.283,1
"119","Globigerinella_siphonifera",-57.13,38.917,1
"120","Globigerinella_siphonifera",-61.45,34.667,1
"121","Globigerinella_siphonifera",-64.6,40.767,0
"122","Globigerinella_siphonifera",-77.77,12.4,1
"123","Globigerinella_siphonifera",-37.87,8.233,1
"124","Globigerinella_siphonifera",-11.62,31.383,1
"125","Globigerinella_siphonifera",-38.2,22.967,1
"126","Globigerinella_siphonifera",-43.8,23.033,1
"127","Globigerinella_siphonifera",-64.17,31.433,1
"128","Globigerinella_siphonifera",-74.4,17,1
"129","Globigerinella_siphonifera",-53.07,24.283,1
"130","Globigerinella_siphonifera",7.017,-22.98,1
"131","Globigerinella_siphonifera",-16.05,1.75,1
"132","Globigerinella_siphonifera",-65.2,10.7,1
"133","Globigerinella_siphonifera",65.517,3.867,1
"134","Globigerinella_siphonifera",56.233,11.433,1
"135","Globigerinella_siphonifera",53.45,13.433,0
"136","Globigerinella_siphonifera",51,14.3,1
"137","Globigerinella_siphonifera",48.4,12.867,1
"138","Globigerinella_siphonifera",46.75,11.85,1
"139","Globigerinella_siphonifera",45.633,12.617,1
"140","Globigerinella_siphonifera",-40.52,15.483,1
"141","Globigerinella_siphonifera",-32.85,0.85,1
"142","Globigerinella_siphonifera",13.5,-39.2,1
"143","Globigerinella_siphonifera",15.917,-35.88,1
"144","Globigerinella_siphonifera",64.817,-4.3,1
"145","Globigerinella_siphonifera",66.3,-2.833,1
"146","Globigerinella_siphonifera",69.45,-0.633,1
"147","Globigerinella_siphonifera",-37.07,1.967,1
"148","Globigerinella_siphonifera",-46.48,23.333,1
"149","Globigerinella_siphonifera",-51.87,30,1
"150","Globigerinella_siphonifera",-48.42,17.267,1
"151","Globigerinella_siphonifera",-50.83,60.033,0
"152","Globigerinella_siphonifera",-40.67,13.25,1
"153","Globigerinella_siphonifera",15,-33.2,1
"154","Globigerinella_siphonifera",16.433,-33.35,0
"155","Globigerinella_siphonifera",16.433,-33.35,1
"156","Globigerinella_siphonifera",44.367,-46.02,0
"157","Globigerinella_siphonifera",45.767,-45,0
"158","Globigerinella_siphonifera",43.5,-37.15,1
"159","Globigerinella_siphonifera",79.567,-29.73,1
"160","Globigerinella_siphonifera",82.85,-31.05,1
"161","Globigerinella_siphonifera",83.8,-31.63,1
"162","Globigerinella_siphonifera",84.85,-32.38,1
"163","Globigerinella_siphonifera",91.717,-30.2,1
"164","Globigerinella_siphonifera",92.833,-28.883,1
"165","Globigerinella_siphonifera",95.183,-28.017,1
"166","Globigerinella_siphonifera",99.25,-31.53,1
"167","Globigerinella_siphonifera",-65.05,28.483,1
"168","Globigerinella_siphonifera",-18.92,12.383,1
"169","Globigerinella_siphonifera",-28.93,24.967,1
"170","Globigerinella_siphonifera",-34.13,27.967,1
"171","Globigerinella_siphonifera",-36.92,29.617,1
"172","Globigerinella_siphonifera",-47.73,58.367,0
"173","Globigerinella_siphonifera",-57.83,60.733,0
"174","Globigerinella_siphonifera",-80.43,11.75,1
"175","Globigerinella_siphonifera",-51.12,13.733,1
"176","Globigerinella_siphonifera",15.983,-33.23,1
"177","Globigerinella_siphonifera",29.933,-38.98,0
"178","Globigerinella_siphonifera",37.867,-37.63,1
"179","Globigerinella_siphonifera",41.85,-36.12,1
"180","Globigerinella_siphonifera",63.533,-20.58,1
"181","Globigerinella_siphonifera",-47.75,4.233,1
"182","Globigerinella_siphonifera",114.45,-30.57,1
"183","Globigerinella_siphonifera",140.62,-38.57,0
"184","Globigerinella_siphonifera",-67.55,38.75,1
"185","Globigerinella_siphonifera",62.783,8.117,1
"186","Globigerinella_siphonifera",61.067,7.433,1
"187","Globigerinella_siphonifera",41.55,-4.217,1
"188","Globigerinella_siphonifera",41.6,-19.92,1
"189","Globigerinella_siphonifera",13.283,-30.58,1
"190","Globigerinella_siphonifera",9.583,-29.52,1
"191","Globigerinella_siphonifera",10.8,-21.83,1
"192","Globigerinella_siphonifera",-5.25,2,1
"193","Globigerinella_siphonifera",-9.083,1.417,1
"194","Globigerinella_siphonifera",-15.05,3.65,1
"195","Globigerinella_siphonifera",-41.4,29.017,1
"196","Globigerinella_siphonifera",-48.27,33.3,1
"197","Globigerinella_siphonifera",68.483,-21.98,1
"198","Globigerinella_siphonifera",64.9,-23.05,1
"199","Globigerinella_siphonifera",-35.6,2.1,1
"200","Globigerinella_siphonifera",-33.03,5.317,1
"201","Globigerinella_siphonifera",-30.13,8.467,1
"202","Globigerinella_siphonifera",-68.53,38.283,1
"203","Globigerinella_siphonifera",-60.52,11.533,1
"204","Globigerinella_siphonifera",-77.23,14.45,1
"205","Globigerinella_siphonifera",-10.9,-46.13,0
"206","Globigerinella_siphonifera",-6.633,-44.47,0
"207","Globigerinella_siphonifera",-3.25,-43.18,0
"208","Globigerinella_siphonifera",-20.12,3.383,1
"209","Globigerinella_siphonifera",-18.58,14.167,1
"210","Globigerinella_siphonifera",-21.15,14.4,1
"211","Globigerinella_siphonifera",-23.23,15.017,1
"212","Globigerinella_siphonifera",-31.45,20.7,1
"213","Globigerinella_siphonifera",-43.63,27.917,1
"214","Globigerinella_siphonifera",-52.3,32.65,1
"215","Globigerinella_siphonifera",-57.25,34.75,1
"216","Globigerinella_siphonifera",-45.63,12.75,1
"217","Globigerinella_siphonifera",-25.53,19.883,1
"218","Globigerinella_siphonifera",-35.83,17.2,1
"219","Globigerinella_siphonifera",-40.67,17.483,1
"220","Globigerinella_siphonifera",-45.13,41.517,1
"221","Globigerinella_siphonifera",-45.05,46,0
"222","Globigerinella_siphonifera",-27.53,62.667,0
"223","Globigerinella_siphonifera",0.0167,68.0333,0
"224","Globigerinella_siphonifera",8.317,70.05,0
"225","Globigerinella_siphonifera",0.2,77.95,0
"226","Globigerinella_siphonifera",6.683,70.983,0
"227","Globigerinella_siphonifera",2.717,68.55,0
"228","Globigerinella_siphonifera",-17.57,60.933,0
"229","Globigerinella_siphonifera",-16.83,54.25,1
"230","Globigerinella_siphonifera",-21.93,52.583,0
"231","Globigerinella_siphonifera",-24.25,49.867,0
"232","Globigerinella_siphonifera",-16.92,46,1
"233","Globigerinella_siphonifera",-15.1,29.8,1
"234","Globigerinella_siphonifera",-76.63,12.25,1
"235","Globigerinella_siphonifera",-72.6,22.6,1
"236","Globigerinella_siphonifera",-46.7,26.783,1
"237","Globigerinella_siphonifera",-43,9.317,1
"238","Globigerinella_siphonifera",-71.23,17.033,1
"239","Globigerinella_siphonifera",-18.18,9.567,1
"240","Globigerinella_siphonifera",-17.92,6.267,0
"241","Globigerinella_siphonifera",-18.25,6.033,1
"242","Globigerinella_siphonifera",-18.08,5.833,0
"243","Globigerinella_siphonifera",-14.8,0.3,1
"244","Globigerinella_siphonifera",-60.5,42.267,0
"245","Globigerinella_siphonifera",-14.2,62.133,0
"246","Globigerinella_siphonifera",-24.08,56.067,0
"247","Globigerinella_siphonifera",-14.68,43.8,1
"248","Globigerinella_siphonifera",-17.07,42.7,1
"249","Globigerinella_siphonifera",-20.15,39.717,1
"250","Globigerinella_siphonifera",-13.55,39.617,1
"251","Globigerinella_siphonifera",-43.23,42.75,1
"252","Globigerinella_siphonifera",-39.87,44.167,0
"253","Globigerinella_siphonifera",-26.58,25.933,1
"254","Globigerinella_siphonifera",-37.3,50.1,1
"255","Globigerinella_siphonifera",-28.85,16.533,1
"256","Globigerinella_siphonifera",-46.2,54,0
"257","Globigerinella_siphonifera",-46.87,54.033,0
"258","Globigerinella_siphonifera",-50.8,54.467,0
"259","Globigerinella_siphonifera",-53.12,54.733,0
"260","Globigerinella_siphonifera",1.983,1,1
"261","Globigerinella_siphonifera",-11.82,3.05,0
"262","Globigerinella_siphonifera",-54.7,56.733,0
"263","Globigerinella_siphonifera",-13.63,1.05,1
"264","Globigerinella_siphonifera",-44.62,58.183,0
"265","Globigerinella_siphonifera",-37.275,60.7033,0
"266","Globigerinella_siphonifera",-11.5,61.367,1
"267","Globigerinella_siphonifera",-6.133,63.45,0
"268","Globigerinella_siphonifera",-6.217,65.017,0
"269","Globigerinella_siphonifera",-5.4,76.167,0
"270","Globigerinella_siphonifera",2.667,73.533,0
"271","Globigerinella_siphonifera",4.633,78.833,0
"272","Globigerinella_siphonifera",6.917,76.467,0
"273","Globigerinella_siphonifera",3.617,78.117,0
"274","Globigerinella_siphonifera",7.417,78.4,0
"275","Globigerinella_siphonifera",-10.8,75,0
"276","Globigerinella_siphonifera",-7.433,60.65,0
"277","Globigerinella_siphonifera",-73.92,14.933,1
"278","Globigerinella_siphonifera",-72.37,13.933,1
"279","Globigerinella_siphonifera",-76.6,17.033,1
"280","Globigerinella_siphonifera",-81.15,10.983,1
"281","Globigerinella_siphonifera",-80.4,11.117,1
"282","Globigerinella_siphonifera",-13.65,72.433,0
"283","Globigerinella_siphonifera",-0.833,73.483,0
