"","Taxa","Longitude","Latitude","value"
"1","Globigerinita_glutinata",-30.267,44.3498,1
"2","Globigerinita_glutinata",-41.75,50.9332,1
"3","Globigerinita_glutinata",-67.3333,35.7167,1
"4","Globigerinita_glutinata",-68.9167,36.1333,1
"5","Globigerinita_glutinata",-69.15,36.15,1
"6","Globigerinita_glutinata",-68.9333,35.7833,1
"7","Globigerinita_glutinata",-69.4,36.2167,1
"8","Globigerinita_glutinata",-74.35,31.8333,1
"9","Globigerinita_glutinata",-75.35,31.65,1
"10","Globigerinita_glutinata",-72.95,37.65,1
"11","Globigerinita_glutinata",-75.75,23.9333,1
"12","Globigerinita_glutinata",-75.9333,24.8,1
"13","Globigerinita_glutinata",-67.6667,30.7833,1
"14","Globigerinita_glutinata",-69.0833,35.7667,1
"15","Globigerinita_glutinata",-42.65,39.1332,1
"16","Globigerinita_glutinata",-27.367,33.333,1
"17","Globigerinita_glutinata",-17.0667,5.2833,1
"18","Globigerinita_glutinata",-18.3,3.65,1
"19","Globigerinita_glutinata",-24.1667,-0.05,1
"20","Globigerinita_glutinata",-26.0333,-0.7667,1
"21","Globigerinita_glutinata",-59.2,20.7332,0
"22","Globigerinita_glutinata",62.5,-14.03333333,1
"23","Globigerinita_glutinata",70.4,-25.41666667,1
"24","Globigerinita_glutinata",58.51666667,-10.35,1
"25","Globigerinita_glutinata",59.68333333,-13.68333333,1
"26","Globigerinita_glutinata",70.96666667,-44.63333333,1
"27","Globigerinita_glutinata",114.3833333,-31.51666667,1
"28","Globigerinita_glutinata",67.88333333,-39.73333333,1
"29","Globigerinita_glutinata",113.9333333,-31.26666667,0
"30","Globigerinita_glutinata",87.85,-18.68333333,1
"31","Globigerinita_glutinata",70.2,-14.9,1
"32","Globigerinita_glutinata",62,-17.8,1
"33","Globigerinita_glutinata",73.88333333,-23.93333333,1
"34","Globigerinita_glutinata",75.05,-39.83333333,1
"35","Globigerinita_glutinata",119.735,-53.038,1
"36","Globigerinita_glutinata",105.548,-43.308,1
"37","Globigerinita_glutinata",114.478,-48.008,1
"38","Globigerinita_glutinata",114.423,-47.533,1
"39","Globigerinita_glutinata",114.417,-46.448,1
"40","Globigerinita_glutinata",114.348,-45.037,1
"41","Globigerinita_glutinata",114.368,-43.953,1
"42","Globigerinita_glutinata",100.012,-41.02,1
"43","Globigerinita_glutinata",83.723,-39.515,1
"44","Globigerinita_glutinata",95.082,-45.022,1
"45","Globigerinita_glutinata",95.08,-47.128,1
"46","Globigerinita_glutinata",95.037,-47.988,1
"47","Globigerinita_glutinata",94.832,-49.378,1
"48","Globigerinita_glutinata",-16.95,24.5,1
"49","Globigerinita_glutinata",-74.88,14,1
"50","Globigerinita_glutinata",46.2,-43.78,1
"51","Globigerinita_glutinata",51.267,-43.63,1
"52","Globigerinita_glutinata",65.467,-55.33,1
"53","Globigerinita_glutinata",92.417,-44.77,1
"54","Globigerinita_glutinata",104.37,-39.38,1
"55","Globigerinita_glutinata",120.9,-36.75,1
"56","Globigerinita_glutinata",125.57,-46.53,1
"57","Globigerinita_glutinata",127.12,-49.33,1
"58","Globigerinita_glutinata",129.97,-51.08,1
"59","Globigerinita_glutinata",123.1,-47.77,1
"60","Globigerinita_glutinata",121.12,-45.42,0
"61","Globigerinita_glutinata",114.13,-41.37,1
"62","Globigerinita_glutinata",63.15,12.05,1
"63","Globigerinita_glutinata",58.083,17.883,1
"64","Globigerinita_glutinata",-10.57,45.1,1
"65","Globigerinita_glutinata",-15.4,54.983,1
"66","Globigerinita_glutinata",-77.22,10.183,1
"67","Globigerinita_glutinata",-77.22,10.183,1
"68","Globigerinita_glutinata",-69.67,21.3,1
"69","Globigerinita_glutinata",-81.63,13.483,1
"70","Globigerinita_glutinata",-79.53,16.567,1
"71","Globigerinita_glutinata",-79.53,16.567,1
"72","Globigerinita_glutinata",-81.1,11.767,1
"73","Globigerinita_glutinata",-45.97,4.967,1
"74","Globigerinita_glutinata",57.35,-43.03,0
"75","Globigerinita_glutinata",54.217,-34.33,1
"76","Globigerinita_glutinata",-45.4,2.217,1
"77","Globigerinita_glutinata",57.633,-22.4,1
"78","Globigerinita_glutinata",67.583,-34.92,0
"79","Globigerinita_glutinata",69.55,-36.48,0
"80","Globigerinita_glutinata",-43.77,0.917,1
"81","Globigerinita_glutinata",83.483,-38.03,1
"82","Globigerinita_glutinata",95.967,-28.07,1
"83","Globigerinita_glutinata",-41.52,1.683,1
"84","Globigerinita_glutinata",112.98,-33.8,1
"85","Globigerinita_glutinata",114.12,-31.57,1
"86","Globigerinita_glutinata",112.8,-21.42,1
"87","Globigerinita_glutinata",-4.6,-49,0
"88","Globigerinita_glutinata",-17.8,-42.58,1
"89","Globigerinita_glutinata",-75.04,11.91,1
"90","Globigerinita_glutinata",-71.67,15.617,1
"91","Globigerinita_glutinata",-74.79,15.857,1
"92","Globigerinita_glutinata",-76.96,10.032,1
"93","Globigerinita_glutinata",-78.15,11.25,1
"94","Globigerinita_glutinata",-77.17,14.695,1
"95","Globigerinita_glutinata",-7.722,3.705,1
"96","Globigerinita_glutinata",11.307,-25.49,1
"97","Globigerinita_glutinata",7.625,-46.6,1
"98","Globigerinita_glutinata",-15.57,-49.92,0
"99","Globigerinita_glutinata",-13.23,-46.1,1
"100","Globigerinita_glutinata",61.617,-12.38,1
"101","Globigerinita_glutinata",59.872,-12.85,1
"102","Globigerinita_glutinata",59.638,-13.61,1
"103","Globigerinita_glutinata",58.852,-15.59,1
"104","Globigerinita_glutinata",58.633,-16.23,1
"105","Globigerinita_glutinata",61.203,-2.807,1
"106","Globigerinita_glutinata",66.29,19.193,1
"107","Globigerinita_glutinata",67.298,21.472,1
"108","Globigerinita_glutinata",72.763,9.582,1
"109","Globigerinita_glutinata",65.617,-13.22,1
