"","Taxa","Longitude","Latitude","value"
"1","Globigerinita_minuta",-1.333333333,76.81666667,0
"2","Globigerinita_minuta",61.38333333,18.93333333,0
"3","Globigerinita_minuta",-87.355,-5.623,0
"4","Globigerinita_minuta",-96.33,-6.262,0
"5","Globigerinita_minuta",-90.52,-2.392,0
"6","Globigerinita_minuta",169.87,-53.63,0
"7","Globigerinita_minuta",167.83,-51.72,0
"8","Globigerinita_minuta",171.39,-50.6,0
"9","Globigerinita_minuta",168.93,-49.78,0
"10","Globigerinita_minuta",166.73,-52.42,0
"11","Globigerinita_minuta",169.99,-53.92,0
"12","Globigerinita_minuta",164.43,-54.04,0
"13","Globigerinita_minuta",165.41,-52.94,0
"14","Globigerinita_minuta",167.13,-51.93,0
"15","Globigerinita_minuta",170.06,-61.08,0
"16","Globigerinita_minuta",170.81,-48.67,0
"17","Globigerinita_minuta",174.98,-48.95,0
"18","Globigerinita_minuta",171.52,-51.7,0
"19","Globigerinita_minuta",173.42,-44.53,0
"20","Globigerinita_minuta",174.08,-47.04,0
"21","Globigerinita_minuta",72.78333333,-5.383333333,0
"22","Globigerinita_minuta",160.45,-13.25,0
"23","Globigerinita_minuta",154.5833333,-8.066666667,0
"24","Globigerinita_minuta",50.52,14.45,0
"25","Globigerinita_minuta",94.15,11.77,0
"26","Globigerinita_minuta",93.13,14.52,0
"27","Globigerinita_minuta",76.72,7.05,0
"28","Globigerinita_minuta",60.68333333,19.21666667,0
"29","Globigerinita_minuta",59.56666667,20.7,0
"30","Globigerinita_minuta",178,-40.4,0
"31","Globigerinita_minuta",172.03,-46,0
"32","Globigerinita_minuta",175.06,-45.96,0
"33","Globigerinita_minuta",177.99,-45.99,0
"34","Globigerinita_minuta",177.06,-45.03,0
"35","Globigerinita_minuta",-177.99,-49.67,0
"36","Globigerinita_minuta",65.46666667,-55.33333333,0
"37","Globigerinita_minuta",-105.2333333,-29.36666667,0
"38","Globigerinita_minuta",112.75,-19.06666667,0
"39","Globigerinita_minuta",-114.6166667,-5.983333333,0
"40","Globigerinita_minuta",163.5166667,-24.88333333,0
"41","Globigerinita_minuta",-89.41666667,-3.116666667,0
"42","Globigerinita_minuta",11.2,-22.33333333,0
"43","Globigerinita_minuta",13.43333333,-50.71666667,0
"44","Globigerinita_minuta",66.1,15.03333333,0
"45","Globigerinita_minuta",70.25,12.85,0
"46","Globigerinita_minuta",72.8,7.283333333,0
"47","Globigerinita_minuta",76.2,5.883333333,0
"48","Globigerinita_minuta",-81.499,-20.878,0
"49","Globigerinita_minuta",145.24,-46.45,0
"50","Globigerinita_minuta",146.28,-45.15,0
"51","Globigerinita_minuta",149.05,-44.53,0
"52","Globigerinita_minuta",180,-40.03,0
"53","Globigerinita_minuta",179.5,-45.08,0
"54","Globigerinita_minuta",179.5,-45.08,0
"55","Globigerinita_minuta",179.5,-44.5,0
"56","Globigerinita_minuta",-104.7333333,-6.316666667,0
"57","Globigerinita_minuta",-12.81,-10.06,0
"58","Globigerinita_minuta",-14.61,-7.75,0
"59","Globigerinita_minuta",161.9666667,-3.583333333,0
"60","Globigerinita_minuta",163.2666667,-0.916666667,0
"61","Globigerinita_minuta",77.58333333,5.116666667,0
"62","Globigerinita_minuta",178.97,-42.85,0
"63","Globigerinita_minuta",119.75,18.27,0
"64","Globigerinita_minuta",115.78,20.333,0
"65","Globigerinita_minuta",115.96,20.1,0
"66","Globigerinita_minuta",117.38,20.117,0
"67","Globigerinita_minuta",118.48,21.515,0
"68","Globigerinita_minuta",113.2,19.33,0
"69","Globigerinita_minuta",113.55,18.95,0
"70","Globigerinita_minuta",113.64,18.658,0
"71","Globigerinita_minuta",113.78,18.127,0
"72","Globigerinita_minuta",114.9,16.708,0
"73","Globigerinita_minuta",115.17,17.348,0
"74","Globigerinita_minuta",112.9,16.093,0
"75","Globigerinita_minuta",113.41,16.288,0
"76","Globigerinita_minuta",111.53,14.758,0
"77","Globigerinita_minuta",115.31,10.898,0
"78","Globigerinita_minuta",115.08,11.622,0
"79","Globigerinita_minuta",115.29,11.138,0
"80","Globigerinita_minuta",115.56,10.12,0
"81","Globigerinita_minuta",112.08,7.182,0
"82","Globigerinita_minuta",112.67,6.167,0
"83","Globigerinita_minuta",112.21,6.158,0
"84","Globigerinita_minuta",112.55,6.157,0
"85","Globigerinita_minuta",119.35,12.833,0
