"","Taxa","Longitude","Latitude","value"
"1","Globigerinita_uvula",-30.267,44.3498,0
"2","Globigerinita_uvula",-41.75,50.9332,0
"3","Globigerinita_uvula",-67.3333,35.7167,0
"4","Globigerinita_uvula",-68.9167,36.1333,0
"5","Globigerinita_uvula",-69.15,36.15,0
"6","Globigerinita_uvula",-68.9333,35.7833,0
"7","Globigerinita_uvula",-69.4,36.2167,0
"8","Globigerinita_uvula",-74.35,31.8333,0
"9","Globigerinita_uvula",-75.35,31.65,0
"10","Globigerinita_uvula",-72.95,37.65,0
"11","Globigerinita_uvula",-75.75,23.9333,0
"12","Globigerinita_uvula",-75.9333,24.8,0
"13","Globigerinita_uvula",-67.6667,30.7833,0
"14","Globigerinita_uvula",-69.0833,35.7667,0
"15","Globigerinita_uvula",-42.65,39.1332,0
"16","Globigerinita_uvula",-27.367,33.333,0
"17","Globigerinita_uvula",-17.0667,5.2833,0
"18","Globigerinita_uvula",-18.3,3.65,0
"19","Globigerinita_uvula",-24.1667,-0.05,0
"20","Globigerinita_uvula",-26.0333,-0.7667,0
"21","Globigerinita_uvula",-59.2,20.7332,0
"22","Globigerinita_uvula",62.5,-14.03333333,0
"23","Globigerinita_uvula",70.4,-25.41666667,0
"24","Globigerinita_uvula",58.51666667,-10.35,0
"25","Globigerinita_uvula",59.68333333,-13.68333333,0
"26","Globigerinita_uvula",70.96666667,-44.63333333,0
"27","Globigerinita_uvula",114.3833333,-31.51666667,0
"28","Globigerinita_uvula",67.88333333,-39.73333333,0
"29","Globigerinita_uvula",113.9333333,-31.26666667,0
"30","Globigerinita_uvula",87.85,-18.68333333,0
"31","Globigerinita_uvula",70.2,-14.9,0
"32","Globigerinita_uvula",62,-17.8,0
"33","Globigerinita_uvula",73.88333333,-23.93333333,0
"34","Globigerinita_uvula",75.05,-39.83333333,0
"35","Globigerinita_uvula",119.735,-53.038,0
"36","Globigerinita_uvula",114.478,-48.008,0
"37","Globigerinita_uvula",114.423,-47.533,0
"38","Globigerinita_uvula",114.417,-46.448,0
"39","Globigerinita_uvula",114.368,-43.953,0
