"","Taxa","Longitude","Latitude","value"
"1","Globigerinoides_conglobatus",-30.267,44.3498,0
"2","Globigerinoides_conglobatus",-41.75,50.9332,1
"3","Globigerinoides_conglobatus",-67.3333,35.7167,1
"4","Globigerinoides_conglobatus",-68.9167,36.1333,1
"5","Globigerinoides_conglobatus",-69.15,36.15,1
"6","Globigerinoides_conglobatus",-68.9333,35.7833,1
"7","Globigerinoides_conglobatus",-69.4,36.2167,1
"8","Globigerinoides_conglobatus",-74.35,31.8333,1
"9","Globigerinoides_conglobatus",-75.35,31.65,1
"10","Globigerinoides_conglobatus",-72.95,37.65,1
"11","Globigerinoides_conglobatus",-75.75,23.9333,1
"12","Globigerinoides_conglobatus",-75.9333,24.8,1
"13","Globigerinoides_conglobatus",-67.6667,30.7833,1
"14","Globigerinoides_conglobatus",-69.0833,35.7667,1
"15","Globigerinoides_conglobatus",-42.65,39.1332,1
"16","Globigerinoides_conglobatus",-27.367,33.333,1
"17","Globigerinoides_conglobatus",-17.0667,5.2833,0
"18","Globigerinoides_conglobatus",-18.3,3.65,1
"19","Globigerinoides_conglobatus",-24.1667,-0.05,1
"20","Globigerinoides_conglobatus",-26.0333,-0.7667,0
"21","Globigerinoides_conglobatus",-59.2,20.7332,1
"22","Globigerinoides_conglobatus",62.5,-14.03333333,1
"23","Globigerinoides_conglobatus",70.4,-25.41666667,1
"24","Globigerinoides_conglobatus",58.51666667,-10.35,1
"25","Globigerinoides_conglobatus",59.68333333,-13.68333333,1
"26","Globigerinoides_conglobatus",70.96666667,-44.63333333,0
"27","Globigerinoides_conglobatus",114.3833333,-31.51666667,1
"28","Globigerinoides_conglobatus",67.88333333,-39.73333333,0
"29","Globigerinoides_conglobatus",113.9333333,-31.26666667,0
"30","Globigerinoides_conglobatus",87.85,-18.68333333,1
"31","Globigerinoides_conglobatus",70.2,-14.9,1
"32","Globigerinoides_conglobatus",62,-17.8,1
"33","Globigerinoides_conglobatus",73.88333333,-23.93333333,1
"34","Globigerinoides_conglobatus",75.05,-39.83333333,0
"35","Globigerinoides_conglobatus",119.735,-53.038,0
"36","Globigerinoides_conglobatus",105.548,-43.308,0
"37","Globigerinoides_conglobatus",114.478,-48.008,0
"38","Globigerinoides_conglobatus",114.423,-47.533,0
"39","Globigerinoides_conglobatus",114.417,-46.448,0
"40","Globigerinoides_conglobatus",114.348,-45.037,0
"41","Globigerinoides_conglobatus",114.368,-43.953,0
"42","Globigerinoides_conglobatus",100.012,-41.02,0
"43","Globigerinoides_conglobatus",83.723,-39.515,0
"44","Globigerinoides_conglobatus",95.082,-45.022,0
"45","Globigerinoides_conglobatus",95.08,-47.128,0
"46","Globigerinoides_conglobatus",95.037,-47.988,0
"47","Globigerinoides_conglobatus",94.832,-49.378,0
"48","Globigerinoides_conglobatus",-16.95,24.5,0
