"","Taxa","Longitude","Latitude","value"
"1","Globigerinoides_ruber_and_Globigerinoides_white",-81.63,13.483,1
"2","Globigerinoides_ruber_and_Globigerinoides_white",-76.96,10.032,1
"3","Globigerinoides_ruber_and_Globigerinoides_white",-78.15,11.25,1
"4","Globigerinoides_ruber_and_Globigerinoides_white",16.433,-33.35,1
"5","Globigerinoides_ruber_and_Globigerinoides_white",-77.23,14.45,1
"6","Globigerinoides_ruber_and_Globigerinoides_white",-76.63,12.25,1
"7","Globigerinoides_ruber_and_Globigerinoides_white",-73.92,14.933,1
"8","Globigerinoides_ruber_and_Globigerinoides_white",-81.15,10.983,1
"9","Globigerinoides_ruber_and_Globigerinoides_white",-71.893,-29.4665,0
"10","Globigerinoides_ruber_and_Globigerinoides_white",-71.7325,-30.167,0
"11","Globigerinoides_ruber_and_Globigerinoides_white",-71.8695,-30.1332,0
"12","Globigerinoides_ruber_and_Globigerinoides_white",-71.7498,-31.089,0
"13","Globigerinoides_ruber_and_Globigerinoides_white",-71.75,-31.1797,0
"14","Globigerinoides_ruber_and_Globigerinoides_white",-71.6255,-31.9658,0
"15","Globigerinoides_ruber_and_Globigerinoides_white",-75.001,-42.544,0
"16","Globigerinoides_ruber_and_Globigerinoides_white",-75.2103,-42.4523,0
"17","Globigerinoides_ruber_and_Globigerinoides_white",-74.8368,-42.5827,0
"18","Globigerinoides_ruber_and_Globigerinoides_white",-75.3365,-42.5668,0
"19","Globigerinoides_ruber_and_Globigerinoides_white",-75.5693,-43.3668,0
"20","Globigerinoides_ruber_and_Globigerinoides_white",-75.2757,-43.367,0
"21","Globigerinoides_ruber_and_Globigerinoides_white",-74.919,-43.3677,0
"22","Globigerinoides_ruber_and_Globigerinoides_white",-75.1297,-44.0568,0
"23","Globigerinoides_ruber_and_Globigerinoides_white",-75.1587,-44.15,0
"24","Globigerinoides_ruber_and_Globigerinoides_white",-75.1742,-44.1998,0
"25","Globigerinoides_ruber_and_Globigerinoides_white",-75.3903,-44.2833,0
"26","Globigerinoides_ruber_and_Globigerinoides_white",-75.8647,-44.2842,0
"27","Globigerinoides_ruber_and_Globigerinoides_white",-75.5925,-44.2832,0
"28","Globigerinoides_ruber_and_Globigerinoides_white",-75.359,-44.0882,0
"29","Globigerinoides_ruber_and_Globigerinoides_white",-74.7143,-42.1767,0
"30","Globigerinoides_ruber_and_Globigerinoides_white",-74.4337,-41.4175,0
"31","Globigerinoides_ruber_and_Globigerinoides_white",-74.4098,-41.2077,0
"32","Globigerinoides_ruber_and_Globigerinoides_white",-74.2138,-39.0107,0
"33","Globigerinoides_ruber_and_Globigerinoides_white",-74.2665,-39.9333,0
"34","Globigerinoides_ruber_and_Globigerinoides_white",-74.3778,-39.6958,0
"35","Globigerinoides_ruber_and_Globigerinoides_white",-74.287,-39.7313,0
"36","Globigerinoides_ruber_and_Globigerinoides_white",-74.1672,-39.875,0
"37","Globigerinoides_ruber_and_Globigerinoides_white",-74.3,13.367,1
"38","Globigerinoides_ruber_and_Globigerinoides_white",-74.85,12.88,1
"39","Globigerinoides_ruber_and_Globigerinoides_white",-75.58,14.267,1
"40","Globigerinoides_ruber_and_Globigerinoides_white",-70.5422,-22.8672,0
"41","Globigerinoides_ruber_and_Globigerinoides_white",-70.4898,-22.8672,0
"42","Globigerinoides_ruber_and_Globigerinoides_white",-70.6118,-22.8003,0
"43","Globigerinoides_ruber_and_Globigerinoides_white",-70.5802,-22.8417,0
"44","Globigerinoides_ruber_and_Globigerinoides_white",-70.8237,-24.0332,0
"45","Globigerinoides_ruber_and_Globigerinoides_white",-70.868,-26,0
"46","Globigerinoides_ruber_and_Globigerinoides_white",-71.2365,-26.018,0
"47","Globigerinoides_ruber_and_Globigerinoides_white",-73.5887,-35.7832,0
"48","Globigerinoides_ruber_and_Globigerinoides_white",-73.2267,-35.7833,0
"49","Globigerinoides_ruber_and_Globigerinoides_white",-73.0732,-36.0388,0
"50","Globigerinoides_ruber_and_Globigerinoides_white",-73.667,-36.542,0
"51","Globigerinoides_ruber_and_Globigerinoides_white",-73.5957,-36.4258,0
"52","Globigerinoides_ruber_and_Globigerinoides_white",-73.7745,-36.4665,0
"53","Globigerinoides_ruber_and_Globigerinoides_white",-73.9078,-36.4528,0
"54","Globigerinoides_ruber_and_Globigerinoides_white",-73.9522,-37.3993,0
"55","Globigerinoides_ruber_and_Globigerinoides_white",-74.5598,-42.0902,0
"56","Globigerinoides_ruber_and_Globigerinoides_white",-74.3915,-38.172,0
"57","Globigerinoides_ruber_and_Globigerinoides_white",-74.3342,-38.1962,0
"58","Globigerinoides_ruber_and_Globigerinoides_white",-74.077,-38.2053,0
"59","Globigerinoides_ruber_and_Globigerinoides_white",-74.0585,-38.0898,0
"60","Globigerinoides_ruber_and_Globigerinoides_white",-73.9327,-38.122,0
"61","Globigerinoides_ruber_and_Globigerinoides_white",-73.9647,-38.0415,0
"62","Globigerinoides_ruber_and_Globigerinoides_white",-73.7485,-37.9997,0
"63","Globigerinoides_ruber_and_Globigerinoides_white",-73.728,-37.9998,0
"64","Globigerinoides_ruber_and_Globigerinoides_white",-74.066,-39.8165,0
"65","Globigerinoides_ruber_and_Globigerinoides_white",-73.9373,-40.0428,0
"66","Globigerinoides_ruber_and_Globigerinoides_white",-73.9257,-39.9893,0
"67","Globigerinoides_ruber_and_Globigerinoides_white",-73.8827,-39.9143,0
"68","Globigerinoides_ruber_and_Globigerinoides_white",-73.5753,-39.8213,0
"69","Globigerinoides_ruber_and_Globigerinoides_white",-73.902,-39.7668,0
