"","Taxa","Longitude","Latitude","value"
"1","Globigerinoides_tenellus",-30.267,44.3498,1
"2","Globigerinoides_tenellus",-41.75,50.9332,0
"3","Globigerinoides_tenellus",-67.3333,35.7167,0
"4","Globigerinoides_tenellus",-68.9167,36.1333,0
"5","Globigerinoides_tenellus",-69.15,36.15,0
"6","Globigerinoides_tenellus",-68.9333,35.7833,0
"7","Globigerinoides_tenellus",-69.4,36.2167,0
"8","Globigerinoides_tenellus",-74.35,31.8333,0
"9","Globigerinoides_tenellus",-75.35,31.65,1
"10","Globigerinoides_tenellus",-72.95,37.65,0
"11","Globigerinoides_tenellus",-75.75,23.9333,1
"12","Globigerinoides_tenellus",-75.9333,24.8,1
"13","Globigerinoides_tenellus",-67.6667,30.7833,1
"14","Globigerinoides_tenellus",-69.0833,35.7667,0
"15","Globigerinoides_tenellus",-42.65,39.1332,1
"16","Globigerinoides_tenellus",-27.367,33.333,1
"17","Globigerinoides_tenellus",-17.0667,5.2833,1
"18","Globigerinoides_tenellus",-18.3,3.65,1
"19","Globigerinoides_tenellus",-24.1667,-0.05,1
"20","Globigerinoides_tenellus",-26.0333,-0.7667,0
"21","Globigerinoides_tenellus",-59.2,20.7332,0
"22","Globigerinoides_tenellus",62.5,-14.03333333,1
"23","Globigerinoides_tenellus",70.4,-25.41666667,1
"24","Globigerinoides_tenellus",58.51666667,-10.35,0
"25","Globigerinoides_tenellus",59.68333333,-13.68333333,0
"26","Globigerinoides_tenellus",70.96666667,-44.63333333,0
"27","Globigerinoides_tenellus",114.3833333,-31.51666667,1
"28","Globigerinoides_tenellus",67.88333333,-39.73333333,0
"29","Globigerinoides_tenellus",113.9333333,-31.26666667,1
"30","Globigerinoides_tenellus",87.85,-18.68333333,1
"31","Globigerinoides_tenellus",70.2,-14.9,0
"32","Globigerinoides_tenellus",62,-17.8,1
"33","Globigerinoides_tenellus",73.88333333,-23.93333333,1
"34","Globigerinoides_tenellus",75.05,-39.83333333,1
"35","Globigerinoides_tenellus",119.735,-53.038,0
"36","Globigerinoides_tenellus",105.548,-43.308,0
"37","Globigerinoides_tenellus",114.478,-48.008,0
"38","Globigerinoides_tenellus",114.423,-47.533,0
"39","Globigerinoides_tenellus",114.417,-46.448,0
"40","Globigerinoides_tenellus",114.348,-45.037,0
"41","Globigerinoides_tenellus",114.368,-43.953,0
"42","Globigerinoides_tenellus",100.012,-41.02,0
"43","Globigerinoides_tenellus",83.723,-39.515,0
"44","Globigerinoides_tenellus",95.082,-45.022,0
"45","Globigerinoides_tenellus",95.08,-47.128,0
"46","Globigerinoides_tenellus",95.037,-47.988,0
"47","Globigerinoides_tenellus",94.832,-49.378,0
"48","Globigerinoides_tenellus",-16.95,24.5,1
"49","Globigerinoides_tenellus",-74.88,14,0
"50","Globigerinoides_tenellus",46.2,-43.78,0
"51","Globigerinoides_tenellus",51.267,-43.63,0
"52","Globigerinoides_tenellus",65.467,-55.33,0
"53","Globigerinoides_tenellus",92.417,-44.77,0
"54","Globigerinoides_tenellus",104.37,-39.38,0
"55","Globigerinoides_tenellus",120.9,-36.75,1
"56","Globigerinoides_tenellus",125.57,-46.53,0
"57","Globigerinoides_tenellus",127.12,-49.33,0
"58","Globigerinoides_tenellus",129.97,-51.08,0
"59","Globigerinoides_tenellus",123.1,-47.77,0
"60","Globigerinoides_tenellus",121.12,-45.42,0
"61","Globigerinoides_tenellus",114.13,-41.37,0
"62","Globigerinoides_tenellus",63.15,12.05,0
"63","Globigerinoides_tenellus",58.083,17.883,1
"64","Globigerinoides_tenellus",-10.57,45.1,0
"65","Globigerinoides_tenellus",-15.4,54.983,0
"66","Globigerinoides_tenellus",-77.22,10.183,1
"67","Globigerinoides_tenellus",-77.22,10.183,1
"68","Globigerinoides_tenellus",-69.67,21.3,1
"69","Globigerinoides_tenellus",-81.63,13.483,1
"70","Globigerinoides_tenellus",-79.53,16.567,1
"71","Globigerinoides_tenellus",-79.53,16.567,1
"72","Globigerinoides_tenellus",-81.1,11.767,0
"73","Globigerinoides_tenellus",-45.97,4.967,0
"74","Globigerinoides_tenellus",57.35,-43.03,0
"75","Globigerinoides_tenellus",54.217,-34.33,0
"76","Globigerinoides_tenellus",-45.4,2.217,1
"77","Globigerinoides_tenellus",57.633,-22.4,0
"78","Globigerinoides_tenellus",67.583,-34.92,0
"79","Globigerinoides_tenellus",69.55,-36.48,0
"80","Globigerinoides_tenellus",-43.77,0.917,0
"81","Globigerinoides_tenellus",83.483,-38.03,0
"82","Globigerinoides_tenellus",95.967,-28.07,1
"83","Globigerinoides_tenellus",-41.52,1.683,0
"84","Globigerinoides_tenellus",112.98,-33.8,1
"85","Globigerinoides_tenellus",114.12,-31.57,0
"86","Globigerinoides_tenellus",112.8,-21.42,1
"87","Globigerinoides_tenellus",-4.6,-49,0
"88","Globigerinoides_tenellus",-17.8,-42.58,0
"89","Globigerinoides_tenellus",-75.04,11.91,0
"90","Globigerinoides_tenellus",-71.67,15.617,1
"91","Globigerinoides_tenellus",-74.79,15.857,1
"92","Globigerinoides_tenellus",-76.96,10.032,0
"93","Globigerinoides_tenellus",-78.15,11.25,1
"94","Globigerinoides_tenellus",-77.17,14.695,1
"95","Globigerinoides_tenellus",-7.722,3.705,1
"96","Globigerinoides_tenellus",11.307,-25.49,0
"97","Globigerinoides_tenellus",7.625,-46.6,0
"98","Globigerinoides_tenellus",-15.57,-49.92,0
"99","Globigerinoides_tenellus",-13.23,-46.1,0
"100","Globigerinoides_tenellus",61.617,-12.38,1
"101","Globigerinoides_tenellus",59.872,-12.85,1
"102","Globigerinoides_tenellus",59.638,-13.61,1
"103","Globigerinoides_tenellus",58.852,-15.59,1
"104","Globigerinoides_tenellus",58.633,-16.23,1
"105","Globigerinoides_tenellus",61.203,-2.807,0
"106","Globigerinoides_tenellus",66.29,19.193,0
"107","Globigerinoides_tenellus",67.298,21.472,1
"108","Globigerinoides_tenellus",72.763,9.582,1
"109","Globigerinoides_tenellus",65.617,-13.22,1
"110","Globigerinoides_tenellus",-22.77,59.6532,0
"111","Globigerinoides_tenellus",-21.1328,53.867,0
"112","Globigerinoides_tenellus",-0.0667,63.4832,0
"113","Globigerinoides_tenellus",-54.9,42.467,0
"114","Globigerinoides_tenellus",-92.47,23.767,0
"115","Globigerinoides_tenellus",-69.5,32.6,1
