"","Taxa","Longitude","Latitude","value"
"1","Globigerinoides_white",-30.267,44.3498,1
"2","Globigerinoides_white",-41.75,50.9332,1
"3","Globigerinoides_white",-67.3333,35.7167,1
"4","Globigerinoides_white",-68.9167,36.1333,1
"5","Globigerinoides_white",-69.15,36.15,1
"6","Globigerinoides_white",-68.9333,35.7833,1
"7","Globigerinoides_white",-69.4,36.2167,1
"8","Globigerinoides_white",-74.35,31.8333,1
"9","Globigerinoides_white",-75.35,31.65,1
"10","Globigerinoides_white",-72.95,37.65,1
"11","Globigerinoides_white",-75.75,23.9333,1
"12","Globigerinoides_white",-75.9333,24.8,1
"13","Globigerinoides_white",-67.6667,30.7833,1
"14","Globigerinoides_white",-69.0833,35.7667,1
"15","Globigerinoides_white",-42.65,39.1332,1
"16","Globigerinoides_white",-27.367,33.333,1
"17","Globigerinoides_white",-17.0667,5.2833,1
"18","Globigerinoides_white",-18.3,3.65,1
"19","Globigerinoides_white",-24.1667,-0.05,0
"20","Globigerinoides_white",-26.0333,-0.7667,1
"21","Globigerinoides_white",-59.2,20.7332,1
"22","Globigerinoides_white",62.5,-14.03333333,1
"23","Globigerinoides_white",70.4,-25.41666667,1
"24","Globigerinoides_white",58.51666667,-10.35,1
"25","Globigerinoides_white",59.68333333,-13.68333333,1
"26","Globigerinoides_white",70.96666667,-44.63333333,0
"27","Globigerinoides_white",114.3833333,-31.51666667,1
"28","Globigerinoides_white",67.88333333,-39.73333333,1
"29","Globigerinoides_white",113.9333333,-31.26666667,1
"30","Globigerinoides_white",87.85,-18.68333333,1
"31","Globigerinoides_white",70.2,-14.9,1
"32","Globigerinoides_white",62,-17.8,1
"33","Globigerinoides_white",73.88333333,-23.93333333,1
"34","Globigerinoides_white",75.05,-39.83333333,1
"35","Globigerinoides_white",119.735,-53.038,0
"36","Globigerinoides_white",105.548,-43.308,0
"37","Globigerinoides_white",114.478,-48.008,0
"38","Globigerinoides_white",114.423,-47.533,0
"39","Globigerinoides_white",114.417,-46.448,0
"40","Globigerinoides_white",114.348,-45.037,0
"41","Globigerinoides_white",114.368,-43.953,1
"42","Globigerinoides_white",100.012,-41.02,0
"43","Globigerinoides_white",83.723,-39.515,0
"44","Globigerinoides_white",95.082,-45.022,0
"45","Globigerinoides_white",95.08,-47.128,0
"46","Globigerinoides_white",95.037,-47.988,0
"47","Globigerinoides_white",94.832,-49.378,0
"48","Globigerinoides_white",-16.95,24.5,1
"49","Globigerinoides_white",-74.88,14,1
"50","Globigerinoides_white",46.2,-43.78,1
"51","Globigerinoides_white",51.267,-43.63,0
"52","Globigerinoides_white",65.467,-55.33,0
"53","Globigerinoides_white",92.417,-44.77,1
"54","Globigerinoides_white",104.37,-39.38,1
"55","Globigerinoides_white",120.9,-36.75,1
"56","Globigerinoides_white",125.57,-46.53,0
"57","Globigerinoides_white",127.12,-49.33,0
"58","Globigerinoides_white",129.97,-51.08,0
"59","Globigerinoides_white",123.1,-47.77,0
"60","Globigerinoides_white",121.12,-45.42,0
"61","Globigerinoides_white",114.13,-41.37,1
"62","Globigerinoides_white",63.15,12.05,1
"63","Globigerinoides_white",58.083,17.883,1
"64","Globigerinoides_white",-10.57,45.1,1
"65","Globigerinoides_white",-15.4,54.983,0
"66","Globigerinoides_white",-77.22,10.183,1
"67","Globigerinoides_white",-77.22,10.183,1
"68","Globigerinoides_white",-69.67,21.3,1
"69","Globigerinoides_white",-79.53,16.567,1
"70","Globigerinoides_white",-79.53,16.567,1
"71","Globigerinoides_white",-81.1,11.767,1
"72","Globigerinoides_white",-45.97,4.967,1
"73","Globigerinoides_white",57.35,-43.03,0
"74","Globigerinoides_white",54.217,-34.33,1
"75","Globigerinoides_white",-45.4,2.217,1
"76","Globigerinoides_white",57.633,-22.4,1
"77","Globigerinoides_white",67.583,-34.92,1
"78","Globigerinoides_white",69.55,-36.48,1
"79","Globigerinoides_white",-43.77,0.917,1
"80","Globigerinoides_white",83.483,-38.03,1
"81","Globigerinoides_white",95.967,-28.07,1
"82","Globigerinoides_white",-41.52,1.683,1
"83","Globigerinoides_white",112.98,-33.8,1
"84","Globigerinoides_white",114.12,-31.57,1
"85","Globigerinoides_white",112.8,-21.42,1
"86","Globigerinoides_white",-4.6,-49,0
"87","Globigerinoides_white",-17.8,-42.58,0
"88","Globigerinoides_white",-75.04,11.91,1
"89","Globigerinoides_white",-71.67,15.617,1
"90","Globigerinoides_white",-74.79,15.857,1
"91","Globigerinoides_white",-77.17,14.695,1
"92","Globigerinoides_white",-7.722,3.705,1
"93","Globigerinoides_white",11.307,-25.49,1
"94","Globigerinoides_white",7.625,-46.6,0
"95","Globigerinoides_white",-15.57,-49.92,0
"96","Globigerinoides_white",-13.23,-46.1,0
"97","Globigerinoides_white",61.617,-12.38,1
"98","Globigerinoides_white",59.872,-12.85,1
"99","Globigerinoides_white",59.638,-13.61,1
"100","Globigerinoides_white",58.852,-15.59,1
"101","Globigerinoides_white",58.633,-16.23,1
"102","Globigerinoides_white",61.203,-2.807,1
"103","Globigerinoides_white",66.29,19.193,1
"104","Globigerinoides_white",67.298,21.472,1
"105","Globigerinoides_white",72.763,9.582,1
"106","Globigerinoides_white",65.617,-13.22,1
"107","Globigerinoides_white",-22.77,59.6532,0
"108","Globigerinoides_white",-21.1328,53.867,0
"109","Globigerinoides_white",-0.0667,63.4832,0
"110","Globigerinoides_white",-54.9,42.467,1
"111","Globigerinoides_white",-92.47,23.767,1
"112","Globigerinoides_white",-69.5,32.6,1
"113","Globigerinoides_white",-65.12,32.283,1
"114","Globigerinoides_white",-64.72,32.217,1
"115","Globigerinoides_white",-79.92,29.283,1
"116","Globigerinoides_white",-57.13,38.917,1
"117","Globigerinoides_white",-61.45,34.667,1
"118","Globigerinoides_white",-64.6,40.767,1
"119","Globigerinoides_white",-77.77,12.4,1
"120","Globigerinoides_white",-37.87,8.233,1
"121","Globigerinoides_white",-11.62,31.383,1
"122","Globigerinoides_white",-38.2,22.967,1
"123","Globigerinoides_white",-43.8,23.033,1
"124","Globigerinoides_white",-64.17,31.433,1
"125","Globigerinoides_white",-74.4,17,1
"126","Globigerinoides_white",-53.07,24.283,1
"127","Globigerinoides_white",7.017,-22.98,1
"128","Globigerinoides_white",-16.05,1.75,1
"129","Globigerinoides_white",-65.2,10.7,1
"130","Globigerinoides_white",65.517,3.867,1
"131","Globigerinoides_white",56.233,11.433,1
"132","Globigerinoides_white",53.45,13.433,1
"133","Globigerinoides_white",51,14.3,1
"134","Globigerinoides_white",48.4,12.867,1
"135","Globigerinoides_white",46.75,11.85,1
"136","Globigerinoides_white",45.633,12.617,1
"137","Globigerinoides_white",-40.52,15.483,1
"138","Globigerinoides_white",-32.85,0.85,1
"139","Globigerinoides_white",13.5,-39.2,1
"140","Globigerinoides_white",15.917,-35.88,1
"141","Globigerinoides_white",64.817,-4.3,1
"142","Globigerinoides_white",66.3,-2.833,1
"143","Globigerinoides_white",69.45,-0.633,1
"144","Globigerinoides_white",-37.07,1.967,1
"145","Globigerinoides_white",-46.48,23.333,1
"146","Globigerinoides_white",-51.87,30,1
"147","Globigerinoides_white",-48.42,17.267,1
"148","Globigerinoides_white",-50.83,60.033,0
"149","Globigerinoides_white",-40.67,13.25,1
"150","Globigerinoides_white",15,-33.2,1
"151","Globigerinoides_white",16.433,-33.35,1
"152","Globigerinoides_white",44.367,-46.02,0
"153","Globigerinoides_white",45.767,-45,0
"154","Globigerinoides_white",43.5,-37.15,1
"155","Globigerinoides_white",79.567,-29.73,1
"156","Globigerinoides_white",82.85,-31.05,1
"157","Globigerinoides_white",83.8,-31.63,1
"158","Globigerinoides_white",84.85,-32.38,1
"159","Globigerinoides_white",91.717,-30.2,1
"160","Globigerinoides_white",92.833,-28.883,1
"161","Globigerinoides_white",95.183,-28.017,1
"162","Globigerinoides_white",99.25,-31.53,1
"163","Globigerinoides_white",-65.05,28.483,1
"164","Globigerinoides_white",-18.92,12.383,1
"165","Globigerinoides_white",-28.93,24.967,1
"166","Globigerinoides_white",-34.13,27.967,1
"167","Globigerinoides_white",-36.92,29.617,1
"168","Globigerinoides_white",-47.73,58.367,1
"169","Globigerinoides_white",-57.83,60.733,0
"170","Globigerinoides_white",-80.43,11.75,1
"171","Globigerinoides_white",-51.12,13.733,1
"172","Globigerinoides_white",15.983,-33.23,1
"173","Globigerinoides_white",29.933,-38.98,1
"174","Globigerinoides_white",37.867,-37.63,1
"175","Globigerinoides_white",41.85,-36.12,0
"176","Globigerinoides_white",63.533,-20.58,1
"177","Globigerinoides_white",-47.75,4.233,1
"178","Globigerinoides_white",114.45,-30.57,1
"179","Globigerinoides_white",140.62,-38.57,1
"180","Globigerinoides_white",-67.55,38.75,1
"181","Globigerinoides_white",62.783,8.117,1
"182","Globigerinoides_white",61.067,7.433,1
"183","Globigerinoides_white",41.55,-4.217,1
"184","Globigerinoides_white",41.6,-19.92,1
"185","Globigerinoides_white",13.283,-30.58,1
"186","Globigerinoides_white",9.583,-29.52,1
"187","Globigerinoides_white",10.8,-21.83,1
"188","Globigerinoides_white",-5.25,2,1
"189","Globigerinoides_white",-9.083,1.417,1
"190","Globigerinoides_white",-15.05,3.65,1
"191","Globigerinoides_white",-41.4,29.017,1
"192","Globigerinoides_white",-48.27,33.3,1
"193","Globigerinoides_white",68.483,-21.98,1
"194","Globigerinoides_white",64.9,-23.05,1
"195","Globigerinoides_white",-35.6,2.1,1
