"","Taxa","Longitude","Latitude","value"
"1","Globoconella_inflata",-30.267,44.3498,1
"2","Globoconella_inflata",-41.75,50.9332,1
"3","Globoconella_inflata",-67.3333,35.7167,1
"4","Globoconella_inflata",-68.9167,36.1333,1
"5","Globoconella_inflata",-69.15,36.15,1
"6","Globoconella_inflata",-68.9333,35.7833,1
"7","Globoconella_inflata",-69.4,36.2167,1
"8","Globoconella_inflata",-74.35,31.8333,1
"9","Globoconella_inflata",-75.35,31.65,1
"10","Globoconella_inflata",-72.95,37.65,1
"11","Globoconella_inflata",-75.75,23.9333,0
"12","Globoconella_inflata",-75.9333,24.8,0
"13","Globoconella_inflata",-67.6667,30.7833,1
"14","Globoconella_inflata",-69.0833,35.7667,1
"15","Globoconella_inflata",-42.65,39.1332,1
"16","Globoconella_inflata",-27.367,33.333,1
"17","Globoconella_inflata",-17.0667,5.2833,1
"18","Globoconella_inflata",-18.3,3.65,0
"19","Globoconella_inflata",-24.1667,-0.05,1
"20","Globoconella_inflata",-26.0333,-0.7667,1
"21","Globoconella_inflata",-59.2,20.7332,0
"22","Globoconella_inflata",62.5,-14.03333333,0
"23","Globoconella_inflata",70.4,-25.41666667,1
"24","Globoconella_inflata",58.51666667,-10.35,0
"25","Globoconella_inflata",59.68333333,-13.68333333,0
"26","Globoconella_inflata",70.96666667,-44.63333333,1
"27","Globoconella_inflata",114.3833333,-31.51666667,1
"28","Globoconella_inflata",67.88333333,-39.73333333,1
"29","Globoconella_inflata",113.9333333,-31.26666667,1
"30","Globoconella_inflata",87.85,-18.68333333,1
"31","Globoconella_inflata",70.2,-14.9,0
"32","Globoconella_inflata",62,-17.8,1
"33","Globoconella_inflata",73.88333333,-23.93333333,1
"34","Globoconella_inflata",75.05,-39.83333333,1
"35","Globoconella_inflata",119.735,-53.038,1
"36","Globoconella_inflata",105.548,-43.308,1
"37","Globoconella_inflata",114.478,-48.008,1
"38","Globoconella_inflata",114.423,-47.533,1
"39","Globoconella_inflata",114.417,-46.448,1
"40","Globoconella_inflata",114.348,-45.037,1
"41","Globoconella_inflata",114.368,-43.953,1
"42","Globoconella_inflata",100.012,-41.02,1
"43","Globoconella_inflata",83.723,-39.515,1
"44","Globoconella_inflata",95.082,-45.022,1
"45","Globoconella_inflata",95.08,-47.128,1
"46","Globoconella_inflata",95.037,-47.988,1
"47","Globoconella_inflata",94.832,-49.378,1
"48","Globoconella_inflata",-16.95,24.5,1
"49","Globoconella_inflata",-74.88,14,1
"50","Globoconella_inflata",46.2,-43.78,1
"51","Globoconella_inflata",51.267,-43.63,1
"52","Globoconella_inflata",65.467,-55.33,0
"53","Globoconella_inflata",92.417,-44.77,1
"54","Globoconella_inflata",104.37,-39.38,1
"55","Globoconella_inflata",120.9,-36.75,1
"56","Globoconella_inflata",125.57,-46.53,1
"57","Globoconella_inflata",127.12,-49.33,1
"58","Globoconella_inflata",129.97,-51.08,1
"59","Globoconella_inflata",123.1,-47.77,1
"60","Globoconella_inflata",121.12,-45.42,1
"61","Globoconella_inflata",114.13,-41.37,1
"62","Globoconella_inflata",63.15,12.05,0
"63","Globoconella_inflata",58.083,17.883,0
"64","Globoconella_inflata",-10.57,45.1,1
"65","Globoconella_inflata",-15.4,54.983,1
"66","Globoconella_inflata",-77.22,10.183,0
"67","Globoconella_inflata",-77.22,10.183,0
"68","Globoconella_inflata",-69.67,21.3,1
"69","Globoconella_inflata",-81.63,13.483,0
"70","Globoconella_inflata",-79.53,16.567,0
"71","Globoconella_inflata",-79.53,16.567,0
"72","Globoconella_inflata",-81.1,11.767,1
"73","Globoconella_inflata",-45.97,4.967,0
"74","Globoconella_inflata",57.35,-43.03,1
"75","Globoconella_inflata",54.217,-34.33,1
"76","Globoconella_inflata",-45.4,2.217,0
"77","Globoconella_inflata",57.633,-22.4,1
"78","Globoconella_inflata",67.583,-34.92,1
"79","Globoconella_inflata",69.55,-36.48,1
"80","Globoconella_inflata",-43.77,0.917,0
"81","Globoconella_inflata",83.483,-38.03,1
