"","Taxa","Longitude","Latitude","value"
"1","Globoquadrina_conglomerata",-30.267,44.3498,0
"2","Globoquadrina_conglomerata",-41.75,50.9332,0
"3","Globoquadrina_conglomerata",-67.3333,35.7167,0
"4","Globoquadrina_conglomerata",-68.9167,36.1333,0
"5","Globoquadrina_conglomerata",-69.15,36.15,0
"6","Globoquadrina_conglomerata",-68.9333,35.7833,0
"7","Globoquadrina_conglomerata",-69.4,36.2167,0
"8","Globoquadrina_conglomerata",-74.35,31.8333,0
"9","Globoquadrina_conglomerata",-75.35,31.65,0
"10","Globoquadrina_conglomerata",-72.95,37.65,0
"11","Globoquadrina_conglomerata",-75.75,23.9333,0
"12","Globoquadrina_conglomerata",-75.9333,24.8,0
"13","Globoquadrina_conglomerata",-67.6667,30.7833,0
"14","Globoquadrina_conglomerata",-69.0833,35.7667,0
"15","Globoquadrina_conglomerata",-42.65,39.1332,0
"16","Globoquadrina_conglomerata",-27.367,33.333,0
"17","Globoquadrina_conglomerata",-17.0667,5.2833,0
"18","Globoquadrina_conglomerata",-18.3,3.65,0
"19","Globoquadrina_conglomerata",-24.1667,-0.05,0
"20","Globoquadrina_conglomerata",-26.0333,-0.7667,0
"21","Globoquadrina_conglomerata",-59.2,20.7332,0
"22","Globoquadrina_conglomerata",62.5,-14.03333333,0
"23","Globoquadrina_conglomerata",70.4,-25.41666667,0
"24","Globoquadrina_conglomerata",58.51666667,-10.35,1
"25","Globoquadrina_conglomerata",59.68333333,-13.68333333,0
"26","Globoquadrina_conglomerata",70.96666667,-44.63333333,0
"27","Globoquadrina_conglomerata",114.3833333,-31.51666667,0
"28","Globoquadrina_conglomerata",67.88333333,-39.73333333,0
"29","Globoquadrina_conglomerata",113.9333333,-31.26666667,0
"30","Globoquadrina_conglomerata",87.85,-18.68333333,0
"31","Globoquadrina_conglomerata",70.2,-14.9,1
"32","Globoquadrina_conglomerata",62,-17.8,1
"33","Globoquadrina_conglomerata",73.88333333,-23.93333333,0
"34","Globoquadrina_conglomerata",75.05,-39.83333333,0
"35","Globoquadrina_conglomerata",119.735,-53.038,0
"36","Globoquadrina_conglomerata",105.548,-43.308,0
"37","Globoquadrina_conglomerata",114.478,-48.008,0
"38","Globoquadrina_conglomerata",114.423,-47.533,0
"39","Globoquadrina_conglomerata",114.417,-46.448,0
"40","Globoquadrina_conglomerata",114.348,-45.037,0
"41","Globoquadrina_conglomerata",114.368,-43.953,0
"42","Globoquadrina_conglomerata",100.012,-41.02,0
"43","Globoquadrina_conglomerata",83.723,-39.515,0
"44","Globoquadrina_conglomerata",95.082,-45.022,0
"45","Globoquadrina_conglomerata",95.08,-47.128,0
"46","Globoquadrina_conglomerata",95.037,-47.988,0
"47","Globoquadrina_conglomerata",94.832,-49.378,0
"48","Globoquadrina_conglomerata",-16.95,24.5,0
"49","Globoquadrina_conglomerata",-74.88,14,0
"50","Globoquadrina_conglomerata",46.2,-43.78,0
"51","Globoquadrina_conglomerata",51.267,-43.63,0
"52","Globoquadrina_conglomerata",65.467,-55.33,0
"53","Globoquadrina_conglomerata",92.417,-44.77,0
"54","Globoquadrina_conglomerata",104.37,-39.38,0
"55","Globoquadrina_conglomerata",120.9,-36.75,0
"56","Globoquadrina_conglomerata",125.57,-46.53,0
"57","Globoquadrina_conglomerata",127.12,-49.33,0
"58","Globoquadrina_conglomerata",129.97,-51.08,0
"59","Globoquadrina_conglomerata",123.1,-47.77,0
"60","Globoquadrina_conglomerata",121.12,-45.42,0
"61","Globoquadrina_conglomerata",114.13,-41.37,0
"62","Globoquadrina_conglomerata",63.15,12.05,0
"63","Globoquadrina_conglomerata",58.083,17.883,0
"64","Globoquadrina_conglomerata",-10.57,45.1,0
"65","Globoquadrina_conglomerata",-15.4,54.983,0
"66","Globoquadrina_conglomerata",-77.22,10.183,0
"67","Globoquadrina_conglomerata",-77.22,10.183,0
"68","Globoquadrina_conglomerata",-69.67,21.3,0
"69","Globoquadrina_conglomerata",-81.63,13.483,0
"70","Globoquadrina_conglomerata",-79.53,16.567,0
