"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_cavernula",-1.333333333,76.81666667,0
"2","Globorotalia_cavernula",61.38333333,18.93333333,0
"3","Globorotalia_cavernula",-87.355,-5.623,0
"4","Globorotalia_cavernula",-96.33,-6.262,0
"5","Globorotalia_cavernula",-90.52,-2.392,0
"6","Globorotalia_cavernula",169.87,-53.63,0
"7","Globorotalia_cavernula",167.83,-51.72,0
"8","Globorotalia_cavernula",171.39,-50.6,0
"9","Globorotalia_cavernula",168.93,-49.78,0
"10","Globorotalia_cavernula",166.73,-52.42,0
"11","Globorotalia_cavernula",169.99,-53.92,0
"12","Globorotalia_cavernula",164.43,-54.04,0
"13","Globorotalia_cavernula",165.41,-52.94,0
"14","Globorotalia_cavernula",167.13,-51.93,0
"15","Globorotalia_cavernula",170.06,-61.08,0
"16","Globorotalia_cavernula",170.81,-48.67,0
"17","Globorotalia_cavernula",174.98,-48.95,0
"18","Globorotalia_cavernula",171.52,-51.7,0
"19","Globorotalia_cavernula",173.42,-44.53,0
"20","Globorotalia_cavernula",174.08,-47.04,0
"21","Globorotalia_cavernula",72.78333333,-5.383333333,0
"22","Globorotalia_cavernula",160.45,-13.25,0
"23","Globorotalia_cavernula",154.5833333,-8.066666667,0
"24","Globorotalia_cavernula",50.52,14.45,0
"25","Globorotalia_cavernula",94.15,11.77,0
"26","Globorotalia_cavernula",93.13,14.52,0
"27","Globorotalia_cavernula",76.72,7.05,0
"28","Globorotalia_cavernula",60.68333333,19.21666667,0
"29","Globorotalia_cavernula",59.56666667,20.7,0
"30","Globorotalia_cavernula",178,-40.4,0
"31","Globorotalia_cavernula",172.03,-46,0
"32","Globorotalia_cavernula",175.06,-45.96,0
"33","Globorotalia_cavernula",177.99,-45.99,0
"34","Globorotalia_cavernula",177.06,-45.03,0
"35","Globorotalia_cavernula",-177.99,-49.67,0
"36","Globorotalia_cavernula",65.46666667,-55.33333333,0
"37","Globorotalia_cavernula",-105.2333333,-29.36666667,0
"38","Globorotalia_cavernula",112.75,-19.06666667,0
"39","Globorotalia_cavernula",-114.6166667,-5.983333333,0
