"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_hirsuta",-30.267,44.3498,1
"2","Globorotalia_hirsuta",-41.75,50.9332,1
"3","Globorotalia_hirsuta",-67.3333,35.7167,1
"4","Globorotalia_hirsuta",-68.9167,36.1333,1
"5","Globorotalia_hirsuta",-69.15,36.15,1
"6","Globorotalia_hirsuta",-68.9333,35.7833,1
"7","Globorotalia_hirsuta",-69.4,36.2167,1
"8","Globorotalia_hirsuta",-74.35,31.8333,1
"9","Globorotalia_hirsuta",-75.35,31.65,1
"10","Globorotalia_hirsuta",-72.95,37.65,1
"11","Globorotalia_hirsuta",-75.75,23.9333,0
"12","Globorotalia_hirsuta",-75.9333,24.8,1
"13","Globorotalia_hirsuta",-67.6667,30.7833,1
"14","Globorotalia_hirsuta",-69.0833,35.7667,1
"15","Globorotalia_hirsuta",-42.65,39.1332,1
"16","Globorotalia_hirsuta",-27.367,33.333,1
"17","Globorotalia_hirsuta",-17.0667,5.2833,1
"18","Globorotalia_hirsuta",-18.3,3.65,0
"19","Globorotalia_hirsuta",-24.1667,-0.05,0
"20","Globorotalia_hirsuta",-26.0333,-0.7667,0
"21","Globorotalia_hirsuta",-59.2,20.7332,0
"22","Globorotalia_hirsuta",62.5,-14.03333333,0
"23","Globorotalia_hirsuta",70.4,-25.41666667,1
"24","Globorotalia_hirsuta",58.51666667,-10.35,0
"25","Globorotalia_hirsuta",59.68333333,-13.68333333,1
"26","Globorotalia_hirsuta",70.96666667,-44.63333333,1
"27","Globorotalia_hirsuta",114.3833333,-31.51666667,1
"28","Globorotalia_hirsuta",67.88333333,-39.73333333,1
"29","Globorotalia_hirsuta",113.9333333,-31.26666667,1
"30","Globorotalia_hirsuta",87.85,-18.68333333,0
"31","Globorotalia_hirsuta",70.2,-14.9,1
"32","Globorotalia_hirsuta",62,-17.8,1
"33","Globorotalia_hirsuta",73.88333333,-23.93333333,1
"34","Globorotalia_hirsuta",75.05,-39.83333333,1
"35","Globorotalia_hirsuta",119.735,-53.038,0
"36","Globorotalia_hirsuta",105.548,-43.308,0
"37","Globorotalia_hirsuta",114.478,-48.008,0
"38","Globorotalia_hirsuta",114.423,-47.533,0
"39","Globorotalia_hirsuta",114.417,-46.448,0
"40","Globorotalia_hirsuta",114.348,-45.037,0
"41","Globorotalia_hirsuta",114.368,-43.953,0
"42","Globorotalia_hirsuta",100.012,-41.02,0
"43","Globorotalia_hirsuta",83.723,-39.515,0
"44","Globorotalia_hirsuta",95.082,-45.022,0
"45","Globorotalia_hirsuta",95.08,-47.128,1
"46","Globorotalia_hirsuta",95.037,-47.988,0
"47","Globorotalia_hirsuta",94.832,-49.378,0
"48","Globorotalia_hirsuta",-16.95,24.5,0
"49","Globorotalia_hirsuta",-74.88,14,0
"50","Globorotalia_hirsuta",46.2,-43.78,0
"51","Globorotalia_hirsuta",51.267,-43.63,0
"52","Globorotalia_hirsuta",65.467,-55.33,0
"53","Globorotalia_hirsuta",92.417,-44.77,0
"54","Globorotalia_hirsuta",104.37,-39.38,0
"55","Globorotalia_hirsuta",120.9,-36.75,0
"56","Globorotalia_hirsuta",125.57,-46.53,0
"57","Globorotalia_hirsuta",127.12,-49.33,0
"58","Globorotalia_hirsuta",129.97,-51.08,0
"59","Globorotalia_hirsuta",123.1,-47.77,0
"60","Globorotalia_hirsuta",121.12,-45.42,1
"61","Globorotalia_hirsuta",114.13,-41.37,1
"62","Globorotalia_hirsuta",63.15,12.05,0
"63","Globorotalia_hirsuta",58.083,17.883,0
"64","Globorotalia_hirsuta",-10.57,45.1,1
"65","Globorotalia_hirsuta",-15.4,54.983,0
"66","Globorotalia_hirsuta",-77.22,10.183,0
"67","Globorotalia_hirsuta",-77.22,10.183,0
"68","Globorotalia_hirsuta",-69.67,21.3,0
"69","Globorotalia_hirsuta",-81.63,13.483,0
"70","Globorotalia_hirsuta",-79.53,16.567,0
"71","Globorotalia_hirsuta",-79.53,16.567,0
"72","Globorotalia_hirsuta",-81.1,11.767,1
"73","Globorotalia_hirsuta",-45.97,4.967,0
"74","Globorotalia_hirsuta",57.35,-43.03,1
"75","Globorotalia_hirsuta",54.217,-34.33,1
"76","Globorotalia_hirsuta",-45.4,2.217,0
"77","Globorotalia_hirsuta",57.633,-22.4,0
"78","Globorotalia_hirsuta",67.583,-34.92,1
"79","Globorotalia_hirsuta",69.55,-36.48,1
"80","Globorotalia_hirsuta",-43.77,0.917,0
"81","Globorotalia_hirsuta",83.483,-38.03,1
"82","Globorotalia_hirsuta",95.967,-28.07,1
"83","Globorotalia_hirsuta",-41.52,1.683,0
"84","Globorotalia_hirsuta",112.98,-33.8,1
"85","Globorotalia_hirsuta",114.12,-31.57,1
"86","Globorotalia_hirsuta",112.8,-21.42,0
"87","Globorotalia_hirsuta",-4.6,-49,0
"88","Globorotalia_hirsuta",-17.8,-42.58,0
"89","Globorotalia_hirsuta",-75.04,11.91,0
"90","Globorotalia_hirsuta",-71.67,15.617,0
"91","Globorotalia_hirsuta",-74.79,15.857,1
"92","Globorotalia_hirsuta",-76.96,10.032,0
"93","Globorotalia_hirsuta",-78.15,11.25,0
"94","Globorotalia_hirsuta",-77.17,14.695,0
"95","Globorotalia_hirsuta",-7.722,3.705,0
"96","Globorotalia_hirsuta",11.307,-25.49,1
"97","Globorotalia_hirsuta",7.625,-46.6,0
"98","Globorotalia_hirsuta",-15.57,-49.92,0
"99","Globorotalia_hirsuta",-13.23,-46.1,0
"100","Globorotalia_hirsuta",61.617,-12.38,0
"101","Globorotalia_hirsuta",59.872,-12.85,0
"102","Globorotalia_hirsuta",59.638,-13.61,0
"103","Globorotalia_hirsuta",58.852,-15.59,0
"104","Globorotalia_hirsuta",58.633,-16.23,0
"105","Globorotalia_hirsuta",61.203,-2.807,0
"106","Globorotalia_hirsuta",66.29,19.193,0
"107","Globorotalia_hirsuta",67.298,21.472,0
"108","Globorotalia_hirsuta",72.763,9.582,0
"109","Globorotalia_hirsuta",65.617,-13.22,1
"110","Globorotalia_hirsuta",-22.77,59.6532,1
"111","Globorotalia_hirsuta",-21.1328,53.867,0
