"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_scitula",-30.267,44.3498,1
"2","Globorotalia_scitula",-41.75,50.9332,0
"3","Globorotalia_scitula",-67.3333,35.7167,0
"4","Globorotalia_scitula",-68.9167,36.1333,0
"5","Globorotalia_scitula",-69.15,36.15,0
"6","Globorotalia_scitula",-68.9333,35.7833,0
"7","Globorotalia_scitula",-69.4,36.2167,0
"8","Globorotalia_scitula",-74.35,31.8333,0
"9","Globorotalia_scitula",-75.35,31.65,1
"10","Globorotalia_scitula",-72.95,37.65,0
"11","Globorotalia_scitula",-75.75,23.9333,1
"12","Globorotalia_scitula",-75.9333,24.8,0
"13","Globorotalia_scitula",-67.6667,30.7833,0
"14","Globorotalia_scitula",-69.0833,35.7667,0
"15","Globorotalia_scitula",-42.65,39.1332,0
"16","Globorotalia_scitula",-27.367,33.333,1
"17","Globorotalia_scitula",-17.0667,5.2833,1
"18","Globorotalia_scitula",-18.3,3.65,0
"19","Globorotalia_scitula",-24.1667,-0.05,1
"20","Globorotalia_scitula",-26.0333,-0.7667,0
"21","Globorotalia_scitula",-59.2,20.7332,0
"22","Globorotalia_scitula",62.5,-14.03333333,0
"23","Globorotalia_scitula",70.4,-25.41666667,1
"24","Globorotalia_scitula",58.51666667,-10.35,1
"25","Globorotalia_scitula",59.68333333,-13.68333333,1
"26","Globorotalia_scitula",70.96666667,-44.63333333,0
"27","Globorotalia_scitula",114.3833333,-31.51666667,1
"28","Globorotalia_scitula",67.88333333,-39.73333333,1
"29","Globorotalia_scitula",113.9333333,-31.26666667,0
"30","Globorotalia_scitula",87.85,-18.68333333,0
"31","Globorotalia_scitula",70.2,-14.9,0
"32","Globorotalia_scitula",62,-17.8,0
"33","Globorotalia_scitula",73.88333333,-23.93333333,1
"34","Globorotalia_scitula",75.05,-39.83333333,1
"35","Globorotalia_scitula",119.735,-53.038,0
"36","Globorotalia_scitula",105.548,-43.308,1
"37","Globorotalia_scitula",114.478,-48.008,0
"38","Globorotalia_scitula",114.423,-47.533,1
"39","Globorotalia_scitula",114.417,-46.448,0
