"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_truncatulinoides",-30.267,44.3498,1
"2","Globorotalia_truncatulinoides",-41.75,50.9332,1
"3","Globorotalia_truncatulinoides",-67.3333,35.7167,1
"4","Globorotalia_truncatulinoides",-68.9167,36.1333,1
"5","Globorotalia_truncatulinoides",-69.15,36.15,1
"6","Globorotalia_truncatulinoides",-68.9333,35.7833,1
"7","Globorotalia_truncatulinoides",-69.4,36.2167,1
"8","Globorotalia_truncatulinoides",-74.35,31.8333,1
"9","Globorotalia_truncatulinoides",-75.35,31.65,1
"10","Globorotalia_truncatulinoides",-72.95,37.65,1
"11","Globorotalia_truncatulinoides",-75.75,23.9333,1
"12","Globorotalia_truncatulinoides",-75.9333,24.8,1
"13","Globorotalia_truncatulinoides",-67.6667,30.7833,1
"14","Globorotalia_truncatulinoides",-69.0833,35.7667,1
"15","Globorotalia_truncatulinoides",-42.65,39.1332,1
"16","Globorotalia_truncatulinoides",-27.367,33.333,1
"17","Globorotalia_truncatulinoides",-17.0667,5.2833,1
"18","Globorotalia_truncatulinoides",-18.3,3.65,0
"19","Globorotalia_truncatulinoides",-24.1667,-0.05,1
"20","Globorotalia_truncatulinoides",-26.0333,-0.7667,1
"21","Globorotalia_truncatulinoides",-59.2,20.7332,1
"22","Globorotalia_truncatulinoides",62.5,-14.03333333,1
"23","Globorotalia_truncatulinoides",70.4,-25.41666667,1
"24","Globorotalia_truncatulinoides",58.51666667,-10.35,0
"25","Globorotalia_truncatulinoides",59.68333333,-13.68333333,1
"26","Globorotalia_truncatulinoides",70.96666667,-44.63333333,1
"27","Globorotalia_truncatulinoides",114.3833333,-31.51666667,1
"28","Globorotalia_truncatulinoides",67.88333333,-39.73333333,1
"29","Globorotalia_truncatulinoides",113.9333333,-31.26666667,1
"30","Globorotalia_truncatulinoides",87.85,-18.68333333,1
"31","Globorotalia_truncatulinoides",70.2,-14.9,1
"32","Globorotalia_truncatulinoides",62,-17.8,1
"33","Globorotalia_truncatulinoides",73.88333333,-23.93333333,1
"34","Globorotalia_truncatulinoides",75.05,-39.83333333,1
"35","Globorotalia_truncatulinoides",119.735,-53.038,1
"36","Globorotalia_truncatulinoides",105.548,-43.308,1
"37","Globorotalia_truncatulinoides",114.478,-48.008,1
"38","Globorotalia_truncatulinoides",114.423,-47.533,1
"39","Globorotalia_truncatulinoides",114.417,-46.448,1
"40","Globorotalia_truncatulinoides",114.348,-45.037,1
"41","Globorotalia_truncatulinoides",114.368,-43.953,1
"42","Globorotalia_truncatulinoides",100.012,-41.02,1
"43","Globorotalia_truncatulinoides",83.723,-39.515,1
"44","Globorotalia_truncatulinoides",95.082,-45.022,1
"45","Globorotalia_truncatulinoides",95.08,-47.128,1
"46","Globorotalia_truncatulinoides",95.037,-47.988,1
"47","Globorotalia_truncatulinoides",94.832,-49.378,1
"48","Globorotalia_truncatulinoides",-16.95,24.5,1
"49","Globorotalia_truncatulinoides",-74.88,14,1
"50","Globorotalia_truncatulinoides",46.2,-43.78,1
"51","Globorotalia_truncatulinoides",51.267,-43.63,1
"52","Globorotalia_truncatulinoides",65.467,-55.33,0
"53","Globorotalia_truncatulinoides",92.417,-44.77,1
"54","Globorotalia_truncatulinoides",104.37,-39.38,1
"55","Globorotalia_truncatulinoides",120.9,-36.75,1
"56","Globorotalia_truncatulinoides",125.57,-46.53,1
"57","Globorotalia_truncatulinoides",127.12,-49.33,1
"58","Globorotalia_truncatulinoides",129.97,-51.08,1
"59","Globorotalia_truncatulinoides",123.1,-47.77,1
"60","Globorotalia_truncatulinoides",121.12,-45.42,1
"61","Globorotalia_truncatulinoides",114.13,-41.37,1
"62","Globorotalia_truncatulinoides",63.15,12.05,1
"63","Globorotalia_truncatulinoides",58.083,17.883,0
"64","Globorotalia_truncatulinoides",-10.57,45.1,0
"65","Globorotalia_truncatulinoides",-15.4,54.983,1
"66","Globorotalia_truncatulinoides",-77.22,10.183,1
"67","Globorotalia_truncatulinoides",-77.22,10.183,1
"68","Globorotalia_truncatulinoides",-69.67,21.3,1
"69","Globorotalia_truncatulinoides",-81.63,13.483,0
"70","Globorotalia_truncatulinoides",-79.53,16.567,0
"71","Globorotalia_truncatulinoides",-79.53,16.567,0
"72","Globorotalia_truncatulinoides",-81.1,11.767,1
"73","Globorotalia_truncatulinoides",-45.97,4.967,1
"74","Globorotalia_truncatulinoides",57.35,-43.03,1
"75","Globorotalia_truncatulinoides",54.217,-34.33,1
"76","Globorotalia_truncatulinoides",-45.4,2.217,0
"77","Globorotalia_truncatulinoides",57.633,-22.4,1
"78","Globorotalia_truncatulinoides",67.583,-34.92,1
"79","Globorotalia_truncatulinoides",69.55,-36.48,1
"80","Globorotalia_truncatulinoides",-43.77,0.917,0
"81","Globorotalia_truncatulinoides",83.483,-38.03,1
"82","Globorotalia_truncatulinoides",95.967,-28.07,1
"83","Globorotalia_truncatulinoides",-41.52,1.683,0
"84","Globorotalia_truncatulinoides",112.98,-33.8,1
"85","Globorotalia_truncatulinoides",114.12,-31.57,1
"86","Globorotalia_truncatulinoides",112.8,-21.42,1
"87","Globorotalia_truncatulinoides",-4.6,-49,0
"88","Globorotalia_truncatulinoides",-17.8,-42.58,1
"89","Globorotalia_truncatulinoides",-75.04,11.91,1
"90","Globorotalia_truncatulinoides",-71.67,15.617,1
"91","Globorotalia_truncatulinoides",-74.79,15.857,1
"92","Globorotalia_truncatulinoides",-76.96,10.032,1
"93","Globorotalia_truncatulinoides",-78.15,11.25,1
"94","Globorotalia_truncatulinoides",-77.17,14.695,1
"95","Globorotalia_truncatulinoides",-7.722,3.705,1
"96","Globorotalia_truncatulinoides",11.307,-25.49,1
"97","Globorotalia_truncatulinoides",7.625,-46.6,1
"98","Globorotalia_truncatulinoides",-15.57,-49.92,1
"99","Globorotalia_truncatulinoides",-13.23,-46.1,1
"100","Globorotalia_truncatulinoides",61.617,-12.38,0
"101","Globorotalia_truncatulinoides",59.872,-12.85,1
"102","Globorotalia_truncatulinoides",59.638,-13.61,0
"103","Globorotalia_truncatulinoides",58.852,-15.59,0
"104","Globorotalia_truncatulinoides",58.633,-16.23,0
"105","Globorotalia_truncatulinoides",61.203,-2.807,1
"106","Globorotalia_truncatulinoides",66.29,19.193,1
"107","Globorotalia_truncatulinoides",67.298,21.472,0
"108","Globorotalia_truncatulinoides",72.763,9.582,0
"109","Globorotalia_truncatulinoides",65.617,-13.22,1
"110","Globorotalia_truncatulinoides",-22.77,59.6532,0
"111","Globorotalia_truncatulinoides",-21.1328,53.867,1
"112","Globorotalia_truncatulinoides",-0.0667,63.4832,1
"113","Globorotalia_truncatulinoides",-54.9,42.467,1
"114","Globorotalia_truncatulinoides",-92.47,23.767,1
"115","Globorotalia_truncatulinoides",-69.5,32.6,1
"116","Globorotalia_truncatulinoides",-65.12,32.283,1
"117","Globorotalia_truncatulinoides",-64.72,32.217,1
"118","Globorotalia_truncatulinoides",-79.92,29.283,1
"119","Globorotalia_truncatulinoides",-57.13,38.917,1
"120","Globorotalia_truncatulinoides",-61.45,34.667,1
"121","Globorotalia_truncatulinoides",-64.6,40.767,1
"122","Globorotalia_truncatulinoides",-77.77,12.4,1
"123","Globorotalia_truncatulinoides",-37.87,8.233,1
"124","Globorotalia_truncatulinoides",-11.62,31.383,1
"125","Globorotalia_truncatulinoides",-38.2,22.967,1
"126","Globorotalia_truncatulinoides",-43.8,23.033,1
"127","Globorotalia_truncatulinoides",-64.17,31.433,1
"128","Globorotalia_truncatulinoides",-74.4,17,1
"129","Globorotalia_truncatulinoides",-53.07,24.283,1
"130","Globorotalia_truncatulinoides",7.017,-22.98,1
"131","Globorotalia_truncatulinoides",-16.05,1.75,1
"132","Globorotalia_truncatulinoides",-65.2,10.7,1
"133","Globorotalia_truncatulinoides",65.517,3.867,0
"134","Globorotalia_truncatulinoides",56.233,11.433,0
"135","Globorotalia_truncatulinoides",53.45,13.433,0
"136","Globorotalia_truncatulinoides",51,14.3,0
"137","Globorotalia_truncatulinoides",48.4,12.867,0
"138","Globorotalia_truncatulinoides",46.75,11.85,0
"139","Globorotalia_truncatulinoides",45.633,12.617,0
"140","Globorotalia_truncatulinoides",-40.52,15.483,1
"141","Globorotalia_truncatulinoides",-32.85,0.85,0
"142","Globorotalia_truncatulinoides",13.5,-39.2,1
"143","Globorotalia_truncatulinoides",15.917,-35.88,1
"144","Globorotalia_truncatulinoides",64.817,-4.3,1
"145","Globorotalia_truncatulinoides",66.3,-2.833,1
"146","Globorotalia_truncatulinoides",69.45,-0.633,1
"147","Globorotalia_truncatulinoides",-37.07,1.967,1
"148","Globorotalia_truncatulinoides",-46.48,23.333,1
"149","Globorotalia_truncatulinoides",-51.87,30,1
"150","Globorotalia_truncatulinoides",-48.42,17.267,1
"151","Globorotalia_truncatulinoides",-50.83,60.033,0
"152","Globorotalia_truncatulinoides",-40.67,13.25,1
"153","Globorotalia_truncatulinoides",15,-33.2,1
"154","Globorotalia_truncatulinoides",16.433,-33.35,1
"155","Globorotalia_truncatulinoides",16.433,-33.35,1
"156","Globorotalia_truncatulinoides",44.367,-46.02,1
"157","Globorotalia_truncatulinoides",45.767,-45,1
"158","Globorotalia_truncatulinoides",43.5,-37.15,1
"159","Globorotalia_truncatulinoides",79.567,-29.73,1
"160","Globorotalia_truncatulinoides",82.85,-31.05,1
"161","Globorotalia_truncatulinoides",83.8,-31.63,1
"162","Globorotalia_truncatulinoides",84.85,-32.38,1
"163","Globorotalia_truncatulinoides",91.717,-30.2,1
"164","Globorotalia_truncatulinoides",92.833,-28.883,1
"165","Globorotalia_truncatulinoides",95.183,-28.017,1
"166","Globorotalia_truncatulinoides",99.25,-31.53,1
"167","Globorotalia_truncatulinoides",-65.05,28.483,1
"168","Globorotalia_truncatulinoides",-18.92,12.383,1
"169","Globorotalia_truncatulinoides",-28.93,24.967,1
"170","Globorotalia_truncatulinoides",-34.13,27.967,1
"171","Globorotalia_truncatulinoides",-36.92,29.617,1
"172","Globorotalia_truncatulinoides",-47.73,58.367,0
"173","Globorotalia_truncatulinoides",-57.83,60.733,0
"174","Globorotalia_truncatulinoides",-80.43,11.75,1
"175","Globorotalia_truncatulinoides",-51.12,13.733,1
"176","Globorotalia_truncatulinoides",15.983,-33.23,1
"177","Globorotalia_truncatulinoides",29.933,-38.98,1
"178","Globorotalia_truncatulinoides",37.867,-37.63,1
"179","Globorotalia_truncatulinoides",41.85,-36.12,1
"180","Globorotalia_truncatulinoides",63.533,-20.58,1
"181","Globorotalia_truncatulinoides",-47.75,4.233,0
"182","Globorotalia_truncatulinoides",114.45,-30.57,1
"183","Globorotalia_truncatulinoides",140.62,-38.57,1
"184","Globorotalia_truncatulinoides",-67.55,38.75,1
"185","Globorotalia_truncatulinoides",62.783,8.117,0
"186","Globorotalia_truncatulinoides",61.067,7.433,0
"187","Globorotalia_truncatulinoides",41.55,-4.217,0
"188","Globorotalia_truncatulinoides",41.6,-19.92,1
"189","Globorotalia_truncatulinoides",13.283,-30.58,1
"190","Globorotalia_truncatulinoides",9.583,-29.52,1
"191","Globorotalia_truncatulinoides",10.8,-21.83,1
"192","Globorotalia_truncatulinoides",-5.25,2,1
"193","Globorotalia_truncatulinoides",-9.083,1.417,0
"194","Globorotalia_truncatulinoides",-15.05,3.65,0
"195","Globorotalia_truncatulinoides",-41.4,29.017,1
"196","Globorotalia_truncatulinoides",-48.27,33.3,1
"197","Globorotalia_truncatulinoides",68.483,-21.98,1
"198","Globorotalia_truncatulinoides",64.9,-23.05,1
