"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_truncatulinoides_sinistral_coiling",-30.267,44.3498,1
"2","Globorotalia_truncatulinoides_sinistral_coiling",-41.75,50.9332,1
"3","Globorotalia_truncatulinoides_sinistral_coiling",-67.3333,35.7167,1
"4","Globorotalia_truncatulinoides_sinistral_coiling",-68.9167,36.1333,1
"5","Globorotalia_truncatulinoides_sinistral_coiling",-69.15,36.15,1
"6","Globorotalia_truncatulinoides_sinistral_coiling",-68.9333,35.7833,1
"7","Globorotalia_truncatulinoides_sinistral_coiling",-69.4,36.2167,1
"8","Globorotalia_truncatulinoides_sinistral_coiling",-74.35,31.8333,1
"9","Globorotalia_truncatulinoides_sinistral_coiling",-75.35,31.65,1
"10","Globorotalia_truncatulinoides_sinistral_coiling",-72.95,37.65,1
"11","Globorotalia_truncatulinoides_sinistral_coiling",-75.75,23.9333,1
"12","Globorotalia_truncatulinoides_sinistral_coiling",-75.9333,24.8,1
"13","Globorotalia_truncatulinoides_sinistral_coiling",-67.6667,30.7833,1
"14","Globorotalia_truncatulinoides_sinistral_coiling",-69.0833,35.7667,1
"15","Globorotalia_truncatulinoides_sinistral_coiling",-42.65,39.1332,1
"16","Globorotalia_truncatulinoides_sinistral_coiling",-27.367,33.333,1
"17","Globorotalia_truncatulinoides_sinistral_coiling",-17.0667,5.2833,1
"18","Globorotalia_truncatulinoides_sinistral_coiling",-24.1667,-0.05,0
"19","Globorotalia_truncatulinoides_sinistral_coiling",-26.0333,-0.7667,1
"20","Globorotalia_truncatulinoides_sinistral_coiling",-59.2,20.7332,1
"21","Globorotalia_truncatulinoides_sinistral_coiling",62.5,-14.03333333,0
"22","Globorotalia_truncatulinoides_sinistral_coiling",70.4,-25.41666667,1
"23","Globorotalia_truncatulinoides_sinistral_coiling",59.68333333,-13.68333333,1
"24","Globorotalia_truncatulinoides_sinistral_coiling",70.96666667,-44.63333333,1
"25","Globorotalia_truncatulinoides_sinistral_coiling",114.3833333,-31.51666667,1
"26","Globorotalia_truncatulinoides_sinistral_coiling",67.88333333,-39.73333333,1
"27","Globorotalia_truncatulinoides_sinistral_coiling",113.9333333,-31.26666667,1
"28","Globorotalia_truncatulinoides_sinistral_coiling",87.85,-18.68333333,1
"29","Globorotalia_truncatulinoides_sinistral_coiling",70.2,-14.9,1
"30","Globorotalia_truncatulinoides_sinistral_coiling",62,-17.8,1
"31","Globorotalia_truncatulinoides_sinistral_coiling",73.88333333,-23.93333333,1
"32","Globorotalia_truncatulinoides_sinistral_coiling",75.05,-39.83333333,1
"33","Globorotalia_truncatulinoides_sinistral_coiling",119.735,-53.038,1
"34","Globorotalia_truncatulinoides_sinistral_coiling",105.548,-43.308,1
"35","Globorotalia_truncatulinoides_sinistral_coiling",114.478,-48.008,1
"36","Globorotalia_truncatulinoides_sinistral_coiling",114.423,-47.533,1
"37","Globorotalia_truncatulinoides_sinistral_coiling",114.417,-46.448,1
"38","Globorotalia_truncatulinoides_sinistral_coiling",114.348,-45.037,1
"39","Globorotalia_truncatulinoides_sinistral_coiling",114.368,-43.953,1
"40","Globorotalia_truncatulinoides_sinistral_coiling",100.012,-41.02,1
"41","Globorotalia_truncatulinoides_sinistral_coiling",83.723,-39.515,1
"42","Globorotalia_truncatulinoides_sinistral_coiling",95.082,-45.022,1
"43","Globorotalia_truncatulinoides_sinistral_coiling",95.08,-47.128,1
"44","Globorotalia_truncatulinoides_sinistral_coiling",95.037,-47.988,1
"45","Globorotalia_truncatulinoides_sinistral_coiling",94.832,-49.378,1
"46","Globorotalia_truncatulinoides_sinistral_coiling",-16.95,24.5,1
"47","Globorotalia_truncatulinoides_sinistral_coiling",-74.88,14,1
"48","Globorotalia_truncatulinoides_sinistral_coiling",46.2,-43.78,1
"49","Globorotalia_truncatulinoides_sinistral_coiling",51.267,-43.63,1
"50","Globorotalia_truncatulinoides_sinistral_coiling",92.417,-44.77,1
"51","Globorotalia_truncatulinoides_sinistral_coiling",104.37,-39.38,1
"52","Globorotalia_truncatulinoides_sinistral_coiling",120.9,-36.75,1
"53","Globorotalia_truncatulinoides_sinistral_coiling",125.57,-46.53,1
"54","Globorotalia_truncatulinoides_sinistral_coiling",127.12,-49.33,1
"55","Globorotalia_truncatulinoides_sinistral_coiling",129.97,-51.08,1
"56","Globorotalia_truncatulinoides_sinistral_coiling",123.1,-47.77,1
"57","Globorotalia_truncatulinoides_sinistral_coiling",121.12,-45.42,1
"58","Globorotalia_truncatulinoides_sinistral_coiling",114.13,-41.37,1
"59","Globorotalia_truncatulinoides_sinistral_coiling",63.15,12.05,0
"60","Globorotalia_truncatulinoides_sinistral_coiling",-15.4,54.983,0
"61","Globorotalia_truncatulinoides_sinistral_coiling",-77.22,10.183,0
"62","Globorotalia_truncatulinoides_sinistral_coiling",-77.22,10.183,0
"63","Globorotalia_truncatulinoides_sinistral_coiling",-69.67,21.3,1
"64","Globorotalia_truncatulinoides_sinistral_coiling",-81.1,11.767,0
"65","Globorotalia_truncatulinoides_sinistral_coiling",-45.97,4.967,0
"66","Globorotalia_truncatulinoides_sinistral_coiling",57.35,-43.03,1
"67","Globorotalia_truncatulinoides_sinistral_coiling",54.217,-34.33,1
"68","Globorotalia_truncatulinoides_sinistral_coiling",57.633,-22.4,1
"69","Globorotalia_truncatulinoides_sinistral_coiling",67.583,-34.92,1
"70","Globorotalia_truncatulinoides_sinistral_coiling",69.55,-36.48,1
"71","Globorotalia_truncatulinoides_sinistral_coiling",83.483,-38.03,1
"72","Globorotalia_truncatulinoides_sinistral_coiling",95.967,-28.07,1
"73","Globorotalia_truncatulinoides_sinistral_coiling",112.98,-33.8,1
"74","Globorotalia_truncatulinoides_sinistral_coiling",114.12,-31.57,1
"75","Globorotalia_truncatulinoides_sinistral_coiling",112.8,-21.42,0
"76","Globorotalia_truncatulinoides_sinistral_coiling",-17.8,-42.58,1
"77","Globorotalia_truncatulinoides_sinistral_coiling",-75.04,11.91,0
"78","Globorotalia_truncatulinoides_sinistral_coiling",-71.67,15.617,1
"79","Globorotalia_truncatulinoides_sinistral_coiling",-74.79,15.857,0
"80","Globorotalia_truncatulinoides_sinistral_coiling",-76.96,10.032,0
"81","Globorotalia_truncatulinoides_sinistral_coiling",-78.15,11.25,1
"82","Globorotalia_truncatulinoides_sinistral_coiling",-77.17,14.695,1
"83","Globorotalia_truncatulinoides_sinistral_coiling",-7.722,3.705,1
"84","Globorotalia_truncatulinoides_sinistral_coiling",11.307,-25.49,0
"85","Globorotalia_truncatulinoides_sinistral_coiling",7.625,-46.6,1
