"","Taxa","Longitude","Latitude","value"
"1","Globorotalia_tumida",-30.267,44.3498,0
"2","Globorotalia_tumida",-41.75,50.9332,0
"3","Globorotalia_tumida",-67.3333,35.7167,1
"4","Globorotalia_tumida",-68.9167,36.1333,1
"5","Globorotalia_tumida",-69.15,36.15,1
"6","Globorotalia_tumida",-68.9333,35.7833,1
"7","Globorotalia_tumida",-69.4,36.2167,1
"8","Globorotalia_tumida",-74.35,31.8333,1
"9","Globorotalia_tumida",-75.35,31.65,1
"10","Globorotalia_tumida",-72.95,37.65,1
"11","Globorotalia_tumida",-75.75,23.9333,0
"12","Globorotalia_tumida",-75.9333,24.8,0
"13","Globorotalia_tumida",-67.6667,30.7833,0
"14","Globorotalia_tumida",-69.0833,35.7667,1
"15","Globorotalia_tumida",-42.65,39.1332,1
"16","Globorotalia_tumida",-27.367,33.333,0
"17","Globorotalia_tumida",-17.0667,5.2833,1
"18","Globorotalia_tumida",-18.3,3.65,1
"19","Globorotalia_tumida",-24.1667,-0.05,0
"20","Globorotalia_tumida",-26.0333,-0.7667,1
"21","Globorotalia_tumida",-59.2,20.7332,1
"22","Globorotalia_tumida",62.5,-14.03333333,1
"23","Globorotalia_tumida",70.4,-25.41666667,0
"24","Globorotalia_tumida",58.51666667,-10.35,0
"25","Globorotalia_tumida",59.68333333,-13.68333333,1
"26","Globorotalia_tumida",70.96666667,-44.63333333,0
"27","Globorotalia_tumida",114.3833333,-31.51666667,1
"28","Globorotalia_tumida",67.88333333,-39.73333333,0
"29","Globorotalia_tumida",113.9333333,-31.26666667,1
"30","Globorotalia_tumida",87.85,-18.68333333,1
"31","Globorotalia_tumida",70.2,-14.9,1
"32","Globorotalia_tumida",62,-17.8,1
"33","Globorotalia_tumida",73.88333333,-23.93333333,1
"34","Globorotalia_tumida",75.05,-39.83333333,0
"35","Globorotalia_tumida",119.735,-53.038,0
"36","Globorotalia_tumida",105.548,-43.308,0
"37","Globorotalia_tumida",114.478,-48.008,0
"38","Globorotalia_tumida",114.423,-47.533,0
"39","Globorotalia_tumida",114.417,-46.448,0
"40","Globorotalia_tumida",114.348,-45.037,0
"41","Globorotalia_tumida",114.368,-43.953,0
"42","Globorotalia_tumida",100.012,-41.02,0
"43","Globorotalia_tumida",83.723,-39.515,0
"44","Globorotalia_tumida",95.082,-45.022,0
"45","Globorotalia_tumida",95.08,-47.128,0
"46","Globorotalia_tumida",95.037,-47.988,0
"47","Globorotalia_tumida",94.832,-49.378,0
"48","Globorotalia_tumida",-16.95,24.5,0
"49","Globorotalia_tumida",-74.88,14,1
"50","Globorotalia_tumida",46.2,-43.78,0
"51","Globorotalia_tumida",51.267,-43.63,0
"52","Globorotalia_tumida",65.467,-55.33,0
"53","Globorotalia_tumida",92.417,-44.77,0
"54","Globorotalia_tumida",104.37,-39.38,0
"55","Globorotalia_tumida",120.9,-36.75,0
"56","Globorotalia_tumida",125.57,-46.53,0
"57","Globorotalia_tumida",127.12,-49.33,0
"58","Globorotalia_tumida",129.97,-51.08,0
"59","Globorotalia_tumida",123.1,-47.77,0
"60","Globorotalia_tumida",121.12,-45.42,0
"61","Globorotalia_tumida",114.13,-41.37,0
"62","Globorotalia_tumida",63.15,12.05,0
"63","Globorotalia_tumida",58.083,17.883,0
"64","Globorotalia_tumida",-10.57,45.1,0
