"","Taxa","Longitude","Latitude","value"
"1","Globoturborotalita_rubescens",-30.267,44.3498,1
"2","Globoturborotalita_rubescens",-41.75,50.9332,0
"3","Globoturborotalita_rubescens",-67.3333,35.7167,0
"4","Globoturborotalita_rubescens",-68.9167,36.1333,0
"5","Globoturborotalita_rubescens",-69.15,36.15,0
"6","Globoturborotalita_rubescens",-68.9333,35.7833,0
"7","Globoturborotalita_rubescens",-69.4,36.2167,0
"8","Globoturborotalita_rubescens",-74.35,31.8333,0
"9","Globoturborotalita_rubescens",-75.35,31.65,1
"10","Globoturborotalita_rubescens",-72.95,37.65,0
"11","Globoturborotalita_rubescens",-75.75,23.9333,1
"12","Globoturborotalita_rubescens",-75.9333,24.8,1
"13","Globoturborotalita_rubescens",-67.6667,30.7833,0
"14","Globoturborotalita_rubescens",-69.0833,35.7667,0
"15","Globoturborotalita_rubescens",-42.65,39.1332,0
"16","Globoturborotalita_rubescens",-27.367,33.333,0
"17","Globoturborotalita_rubescens",-17.0667,5.2833,1
"18","Globoturborotalita_rubescens",-18.3,3.65,0
"19","Globoturborotalita_rubescens",-24.1667,-0.05,1
"20","Globoturborotalita_rubescens",-26.0333,-0.7667,1
"21","Globoturborotalita_rubescens",-59.2,20.7332,0
"22","Globoturborotalita_rubescens",62.5,-14.03333333,0
"23","Globoturborotalita_rubescens",70.4,-25.41666667,1
"24","Globoturborotalita_rubescens",58.51666667,-10.35,0
"25","Globoturborotalita_rubescens",59.68333333,-13.68333333,0
"26","Globoturborotalita_rubescens",70.96666667,-44.63333333,0
"27","Globoturborotalita_rubescens",114.3833333,-31.51666667,0
"28","Globoturborotalita_rubescens",67.88333333,-39.73333333,0
"29","Globoturborotalita_rubescens",113.9333333,-31.26666667,0
"30","Globoturborotalita_rubescens",87.85,-18.68333333,1
"31","Globoturborotalita_rubescens",70.2,-14.9,0
"32","Globoturborotalita_rubescens",62,-17.8,0
"33","Globoturborotalita_rubescens",73.88333333,-23.93333333,1
"34","Globoturborotalita_rubescens",75.05,-39.83333333,0
"35","Globoturborotalita_rubescens",119.735,-53.038,0
"36","Globoturborotalita_rubescens",105.548,-43.308,0
"37","Globoturborotalita_rubescens",114.478,-48.008,0
"38","Globoturborotalita_rubescens",114.423,-47.533,0
"39","Globoturborotalita_rubescens",114.417,-46.448,0
"40","Globoturborotalita_rubescens",114.348,-45.037,0
"41","Globoturborotalita_rubescens",114.368,-43.953,0
"42","Globoturborotalita_rubescens",100.012,-41.02,0
"43","Globoturborotalita_rubescens",83.723,-39.515,0
"44","Globoturborotalita_rubescens",95.082,-45.022,0
"45","Globoturborotalita_rubescens",95.08,-47.128,0
"46","Globoturborotalita_rubescens",95.037,-47.988,0
"47","Globoturborotalita_rubescens",94.832,-49.378,0
"48","Globoturborotalita_rubescens",-16.95,24.5,1
"49","Globoturborotalita_rubescens",-74.88,14,0
"50","Globoturborotalita_rubescens",46.2,-43.78,0
"51","Globoturborotalita_rubescens",51.267,-43.63,0
"52","Globoturborotalita_rubescens",65.467,-55.33,0
"53","Globoturborotalita_rubescens",92.417,-44.77,0
"54","Globoturborotalita_rubescens",104.37,-39.38,0
"55","Globoturborotalita_rubescens",120.9,-36.75,1
"56","Globoturborotalita_rubescens",125.57,-46.53,0
"57","Globoturborotalita_rubescens",127.12,-49.33,0
"58","Globoturborotalita_rubescens",129.97,-51.08,0
"59","Globoturborotalita_rubescens",123.1,-47.77,0
"60","Globoturborotalita_rubescens",121.12,-45.42,0
"61","Globoturborotalita_rubescens",114.13,-41.37,0
"62","Globoturborotalita_rubescens",63.15,12.05,0
"63","Globoturborotalita_rubescens",58.083,17.883,1
"64","Globoturborotalita_rubescens",-10.57,45.1,0
"65","Globoturborotalita_rubescens",-15.4,54.983,0
"66","Globoturborotalita_rubescens",-77.22,10.183,1
"67","Globoturborotalita_rubescens",-77.22,10.183,1
"68","Globoturborotalita_rubescens",-69.67,21.3,1
"69","Globoturborotalita_rubescens",-81.63,13.483,1
"70","Globoturborotalita_rubescens",-79.53,16.567,1
"71","Globoturborotalita_rubescens",-79.53,16.567,1
"72","Globoturborotalita_rubescens",-81.1,11.767,1
