"","Taxa","Longitude","Latitude","value"
"1","Hastigerina_pelagica",-30.267,44.3498,0
"2","Hastigerina_pelagica",-41.75,50.9332,0
"3","Hastigerina_pelagica",-67.3333,35.7167,0
"4","Hastigerina_pelagica",-68.9167,36.1333,0
"5","Hastigerina_pelagica",-69.15,36.15,0
"6","Hastigerina_pelagica",-68.9333,35.7833,0
"7","Hastigerina_pelagica",-69.4,36.2167,0
"8","Hastigerina_pelagica",-74.35,31.8333,0
"9","Hastigerina_pelagica",-75.35,31.65,0
"10","Hastigerina_pelagica",-72.95,37.65,0
"11","Hastigerina_pelagica",-75.75,23.9333,0
"12","Hastigerina_pelagica",-75.9333,24.8,1
"13","Hastigerina_pelagica",-67.6667,30.7833,0
"14","Hastigerina_pelagica",-69.0833,35.7667,0
"15","Hastigerina_pelagica",-42.65,39.1332,0
"16","Hastigerina_pelagica",-27.367,33.333,0
"17","Hastigerina_pelagica",-17.0667,5.2833,0
"18","Hastigerina_pelagica",-18.3,3.65,0
"19","Hastigerina_pelagica",-24.1667,-0.05,0
"20","Hastigerina_pelagica",-26.0333,-0.7667,0
"21","Hastigerina_pelagica",-59.2,20.7332,0
"22","Hastigerina_pelagica",62.5,-14.03333333,0
"23","Hastigerina_pelagica",70.4,-25.41666667,0
"24","Hastigerina_pelagica",58.51666667,-10.35,0
"25","Hastigerina_pelagica",59.68333333,-13.68333333,0
"26","Hastigerina_pelagica",70.96666667,-44.63333333,0
"27","Hastigerina_pelagica",114.3833333,-31.51666667,0
"28","Hastigerina_pelagica",67.88333333,-39.73333333,0
"29","Hastigerina_pelagica",113.9333333,-31.26666667,0
"30","Hastigerina_pelagica",87.85,-18.68333333,0
"31","Hastigerina_pelagica",70.2,-14.9,0
"32","Hastigerina_pelagica",62,-17.8,0
"33","Hastigerina_pelagica",73.88333333,-23.93333333,0
"34","Hastigerina_pelagica",75.05,-39.83333333,0
"35","Hastigerina_pelagica",119.735,-53.038,0
"36","Hastigerina_pelagica",114.478,-48.008,0
"37","Hastigerina_pelagica",114.423,-47.533,0
"38","Hastigerina_pelagica",114.417,-46.448,0
"39","Hastigerina_pelagica",114.368,-43.953,0
"40","Hastigerina_pelagica",95.082,-45.022,0
"41","Hastigerina_pelagica",95.08,-47.128,0
"42","Hastigerina_pelagica",95.037,-47.988,0
"43","Hastigerina_pelagica",94.832,-49.378,0
"44","Hastigerina_pelagica",-16.95,24.5,0
"45","Hastigerina_pelagica",-74.88,14,0
"46","Hastigerina_pelagica",46.2,-43.78,0
"47","Hastigerina_pelagica",51.267,-43.63,0
"48","Hastigerina_pelagica",65.467,-55.33,0
"49","Hastigerina_pelagica",92.417,-44.77,0
"50","Hastigerina_pelagica",104.37,-39.38,0
"51","Hastigerina_pelagica",120.9,-36.75,0
"52","Hastigerina_pelagica",125.57,-46.53,0
"53","Hastigerina_pelagica",127.12,-49.33,0
"54","Hastigerina_pelagica",129.97,-51.08,0
"55","Hastigerina_pelagica",123.1,-47.77,0
"56","Hastigerina_pelagica",121.12,-45.42,0
"57","Hastigerina_pelagica",114.13,-41.37,0
"58","Hastigerina_pelagica",63.15,12.05,0
"59","Hastigerina_pelagica",58.083,17.883,0
"60","Hastigerina_pelagica",-10.57,45.1,0
"61","Hastigerina_pelagica",-15.4,54.983,0
"62","Hastigerina_pelagica",-77.22,10.183,0
"63","Hastigerina_pelagica",-77.22,10.183,0
"64","Hastigerina_pelagica",-69.67,21.3,0
"65","Hastigerina_pelagica",-81.63,13.483,0
"66","Hastigerina_pelagica",-79.53,16.567,0
"67","Hastigerina_pelagica",-79.53,16.567,0
"68","Hastigerina_pelagica",-81.1,11.767,0
"69","Hastigerina_pelagica",-45.97,4.967,0
"70","Hastigerina_pelagica",57.35,-43.03,0
"71","Hastigerina_pelagica",54.217,-34.33,0
"72","Hastigerina_pelagica",-45.4,2.217,0
"73","Hastigerina_pelagica",57.633,-22.4,0
"74","Hastigerina_pelagica",67.583,-34.92,0
"75","Hastigerina_pelagica",69.55,-36.48,0
"76","Hastigerina_pelagica",-43.77,0.917,0
"77","Hastigerina_pelagica",83.483,-38.03,0
"78","Hastigerina_pelagica",95.967,-28.07,0
"79","Hastigerina_pelagica",-41.52,1.683,0
"80","Hastigerina_pelagica",112.98,-33.8,0
"81","Hastigerina_pelagica",114.12,-31.57,0
"82","Hastigerina_pelagica",112.8,-21.42,0
"83","Hastigerina_pelagica",-4.6,-49,0
"84","Hastigerina_pelagica",-17.8,-42.58,0
"85","Hastigerina_pelagica",-75.04,11.91,0
"86","Hastigerina_pelagica",-71.67,15.617,0
"87","Hastigerina_pelagica",-74.79,15.857,0
"88","Hastigerina_pelagica",-76.96,10.032,1
"89","Hastigerina_pelagica",-78.15,11.25,0
"90","Hastigerina_pelagica",-77.17,14.695,0
"91","Hastigerina_pelagica",-7.722,3.705,0
"92","Hastigerina_pelagica",11.307,-25.49,0
"93","Hastigerina_pelagica",7.625,-46.6,0
"94","Hastigerina_pelagica",-15.57,-49.92,0
"95","Hastigerina_pelagica",-13.23,-46.1,0
"96","Hastigerina_pelagica",61.617,-12.38,0
"97","Hastigerina_pelagica",59.872,-12.85,0
"98","Hastigerina_pelagica",59.638,-13.61,0
"99","Hastigerina_pelagica",58.852,-15.59,0
"100","Hastigerina_pelagica",58.633,-16.23,0
"101","Hastigerina_pelagica",61.203,-2.807,0
"102","Hastigerina_pelagica",66.29,19.193,0
"103","Hastigerina_pelagica",67.298,21.472,0
"104","Hastigerina_pelagica",72.763,9.582,0
"105","Hastigerina_pelagica",-22.77,59.6532,0
"106","Hastigerina_pelagica",-21.1328,53.867,0
"107","Hastigerina_pelagica",-0.0667,63.4832,0
"108","Hastigerina_pelagica",-54.9,42.467,0
"109","Hastigerina_pelagica",-92.47,23.767,0
"110","Hastigerina_pelagica",-69.5,32.6,0
"111","Hastigerina_pelagica",-65.12,32.283,0
"112","Hastigerina_pelagica",-64.72,32.217,0
"113","Hastigerina_pelagica",-79.92,29.283,1
"114","Hastigerina_pelagica",-57.13,38.917,0
"115","Hastigerina_pelagica",-61.45,34.667,0
"116","Hastigerina_pelagica",-64.6,40.767,0
"117","Hastigerina_pelagica",-77.77,12.4,0
"118","Hastigerina_pelagica",-37.87,8.233,0
"119","Hastigerina_pelagica",-11.62,31.383,0
"120","Hastigerina_pelagica",-38.2,22.967,0
"121","Hastigerina_pelagica",-43.8,23.033,0
"122","Hastigerina_pelagica",-64.17,31.433,0
"123","Hastigerina_pelagica",-74.4,17,0
"124","Hastigerina_pelagica",-53.07,24.283,0
"125","Hastigerina_pelagica",7.017,-22.98,0
"126","Hastigerina_pelagica",-16.05,1.75,0
"127","Hastigerina_pelagica",-65.2,10.7,0
"128","Hastigerina_pelagica",65.517,3.867,0
"129","Hastigerina_pelagica",56.233,11.433,0
"130","Hastigerina_pelagica",53.45,13.433,0
"131","Hastigerina_pelagica",51,14.3,0
"132","Hastigerina_pelagica",48.4,12.867,0
"133","Hastigerina_pelagica",46.75,11.85,0
"134","Hastigerina_pelagica",45.633,12.617,0
"135","Hastigerina_pelagica",-40.52,15.483,0
"136","Hastigerina_pelagica",-32.85,0.85,0
"137","Hastigerina_pelagica",13.5,-39.2,0
"138","Hastigerina_pelagica",15.917,-35.88,0
"139","Hastigerina_pelagica",64.817,-4.3,0
"140","Hastigerina_pelagica",66.3,-2.833,0
"141","Hastigerina_pelagica",69.45,-0.633,0
"142","Hastigerina_pelagica",-37.07,1.967,0
"143","Hastigerina_pelagica",-46.48,23.333,0
"144","Hastigerina_pelagica",-51.87,30,0
"145","Hastigerina_pelagica",-48.42,17.267,0
"146","Hastigerina_pelagica",-50.83,60.033,0
"147","Hastigerina_pelagica",-40.67,13.25,0
"148","Hastigerina_pelagica",15,-33.2,0
"149","Hastigerina_pelagica",16.433,-33.35,0
"150","Hastigerina_pelagica",16.433,-33.35,0
"151","Hastigerina_pelagica",44.367,-46.02,0
"152","Hastigerina_pelagica",45.767,-45,0
"153","Hastigerina_pelagica",43.5,-37.15,0
"154","Hastigerina_pelagica",79.567,-29.73,0
"155","Hastigerina_pelagica",82.85,-31.05,0
"156","Hastigerina_pelagica",83.8,-31.63,0
"157","Hastigerina_pelagica",84.85,-32.38,0
"158","Hastigerina_pelagica",91.717,-30.2,0
"159","Hastigerina_pelagica",92.833,-28.883,0
"160","Hastigerina_pelagica",95.183,-28.017,0
"161","Hastigerina_pelagica",99.25,-31.53,0
"162","Hastigerina_pelagica",-65.05,28.483,0
"163","Hastigerina_pelagica",-18.92,12.383,0
"164","Hastigerina_pelagica",-28.93,24.967,0
"165","Hastigerina_pelagica",-34.13,27.967,0
"166","Hastigerina_pelagica",-36.92,29.617,0
"167","Hastigerina_pelagica",-47.73,58.367,0
"168","Hastigerina_pelagica",-57.83,60.733,0
"169","Hastigerina_pelagica",-80.43,11.75,0
"170","Hastigerina_pelagica",-51.12,13.733,0
"171","Hastigerina_pelagica",15.983,-33.23,0
"172","Hastigerina_pelagica",29.933,-38.98,0
"173","Hastigerina_pelagica",37.867,-37.63,0
"174","Hastigerina_pelagica",41.85,-36.12,0
"175","Hastigerina_pelagica",63.533,-20.58,0
"176","Hastigerina_pelagica",-47.75,4.233,0
"177","Hastigerina_pelagica",114.45,-30.57,0
"178","Hastigerina_pelagica",140.62,-38.57,0
"179","Hastigerina_pelagica",-67.55,38.75,0
"180","Hastigerina_pelagica",62.783,8.117,0
"181","Hastigerina_pelagica",61.067,7.433,0
"182","Hastigerina_pelagica",41.55,-4.217,0
"183","Hastigerina_pelagica",41.6,-19.92,0
"184","Hastigerina_pelagica",13.283,-30.58,0
"185","Hastigerina_pelagica",9.583,-29.52,0
"186","Hastigerina_pelagica",10.8,-21.83,0
"187","Hastigerina_pelagica",-5.25,2,0
"188","Hastigerina_pelagica",-9.083,1.417,0
"189","Hastigerina_pelagica",-15.05,3.65,0
"190","Hastigerina_pelagica",-41.4,29.017,0
"191","Hastigerina_pelagica",-48.27,33.3,0
"192","Hastigerina_pelagica",68.483,-21.98,0
"193","Hastigerina_pelagica",64.9,-23.05,0
"194","Hastigerina_pelagica",-35.6,2.1,0
"195","Hastigerina_pelagica",-33.03,5.317,0
"196","Hastigerina_pelagica",-30.13,8.467,0
"197","Hastigerina_pelagica",-68.53,38.283,0
"198","Hastigerina_pelagica",-60.52,11.533,0
"199","Hastigerina_pelagica",-77.23,14.45,0
"200","Hastigerina_pelagica",-10.9,-46.13,0
"201","Hastigerina_pelagica",-6.633,-44.47,0
"202","Hastigerina_pelagica",-3.25,-43.18,0
"203","Hastigerina_pelagica",-20.12,3.383,0
"204","Hastigerina_pelagica",-18.58,14.167,0
"205","Hastigerina_pelagica",-21.15,14.4,0
"206","Hastigerina_pelagica",-23.23,15.017,0
"207","Hastigerina_pelagica",-31.45,20.7,0
"208","Hastigerina_pelagica",-43.63,27.917,0
"209","Hastigerina_pelagica",-52.3,32.65,0
"210","Hastigerina_pelagica",-57.25,34.75,0
"211","Hastigerina_pelagica",-45.63,12.75,0
"212","Hastigerina_pelagica",-25.53,19.883,0
"213","Hastigerina_pelagica",-35.83,17.2,0
"214","Hastigerina_pelagica",-40.67,17.483,0
"215","Hastigerina_pelagica",-45.13,41.517,0
"216","Hastigerina_pelagica",-45.05,46,0
"217","Hastigerina_pelagica",-27.53,62.667,0
"218","Hastigerina_pelagica",0.0167,68.0333,0
"219","Hastigerina_pelagica",8.317,70.05,0
"220","Hastigerina_pelagica",0.2,77.95,0
"221","Hastigerina_pelagica",6.683,70.983,0
"222","Hastigerina_pelagica",2.717,68.55,0
"223","Hastigerina_pelagica",-17.57,60.933,0
"224","Hastigerina_pelagica",-16.83,54.25,0
"225","Hastigerina_pelagica",-21.93,52.583,0
"226","Hastigerina_pelagica",-24.25,49.867,0
"227","Hastigerina_pelagica",-16.92,46,0
"228","Hastigerina_pelagica",-15.1,29.8,0
"229","Hastigerina_pelagica",-76.63,12.25,0
"230","Hastigerina_pelagica",-72.6,22.6,0
"231","Hastigerina_pelagica",-46.7,26.783,1
"232","Hastigerina_pelagica",-43,9.317,0
"233","Hastigerina_pelagica",-71.23,17.033,0
"234","Hastigerina_pelagica",-18.18,9.567,0
"235","Hastigerina_pelagica",-17.92,6.267,0
"236","Hastigerina_pelagica",-18.25,6.033,0
"237","Hastigerina_pelagica",-18.08,5.833,0
"238","Hastigerina_pelagica",-14.8,0.3,0
"239","Hastigerina_pelagica",-60.5,42.267,0
"240","Hastigerina_pelagica",-14.2,62.133,0
"241","Hastigerina_pelagica",-24.08,56.067,0
"242","Hastigerina_pelagica",-14.68,43.8,0
"243","Hastigerina_pelagica",-17.07,42.7,0
"244","Hastigerina_pelagica",-20.15,39.717,0
"245","Hastigerina_pelagica",-13.55,39.617,0
"246","Hastigerina_pelagica",-43.23,42.75,0
"247","Hastigerina_pelagica",-39.87,44.167,0
"248","Hastigerina_pelagica",-26.58,25.933,0
"249","Hastigerina_pelagica",-37.3,50.1,0
"250","Hastigerina_pelagica",-28.85,16.533,0
"251","Hastigerina_pelagica",-46.2,54,0
"252","Hastigerina_pelagica",-46.87,54.033,0
"253","Hastigerina_pelagica",-50.8,54.467,0
"254","Hastigerina_pelagica",-53.12,54.733,0
"255","Hastigerina_pelagica",1.983,1,0
"256","Hastigerina_pelagica",-11.82,3.05,0
"257","Hastigerina_pelagica",-54.7,56.733,0
"258","Hastigerina_pelagica",-13.63,1.05,0
"259","Hastigerina_pelagica",-44.62,58.183,0
"260","Hastigerina_pelagica",-37.275,60.7033,0
"261","Hastigerina_pelagica",-11.5,61.367,0
"262","Hastigerina_pelagica",-6.133,63.45,0
"263","Hastigerina_pelagica",-6.217,65.017,0
"264","Hastigerina_pelagica",-5.4,76.167,0
"265","Hastigerina_pelagica",2.667,73.533,0
"266","Hastigerina_pelagica",4.633,78.833,0
"267","Hastigerina_pelagica",6.917,76.467,0
"268","Hastigerina_pelagica",3.617,78.117,0
"269","Hastigerina_pelagica",7.417,78.4,0
"270","Hastigerina_pelagica",-10.8,75,0
"271","Hastigerina_pelagica",-7.433,60.65,0
"272","Hastigerina_pelagica",-73.92,14.933,0
"273","Hastigerina_pelagica",-72.37,13.933,0
"274","Hastigerina_pelagica",-76.6,17.033,0
"275","Hastigerina_pelagica",-81.15,10.983,0
"276","Hastigerina_pelagica",-80.4,11.117,0
"277","Hastigerina_pelagica",-13.65,72.433,0
"278","Hastigerina_pelagica",-0.833,73.483,0
"279","Hastigerina_pelagica",5.267,72.183,0
"280","Hastigerina_pelagica",-1.617,71.167,0
"281","Hastigerina_pelagica",-1.617,71.167,0
"282","Hastigerina_pelagica",0.583,62.9,0
"283","Hastigerina_pelagica",-3.583,64.833,0
"284","Hastigerina_pelagica",-3.583,64.833,0
"285","Hastigerina_pelagica",-12.72,68.717,0
"286","Hastigerina_pelagica",-12.72,68.717,0
"287","Hastigerina_pelagica",-9.0667,72.0667,0
"288","Hastigerina_pelagica",-4.4,69.383,0
"289","Hastigerina_pelagica",0.233,67.683,0
"290","Hastigerina_pelagica",0.233,67.683,0
"291","Hastigerina_pelagica",11.667,74.483,0
"292","Hastigerina_pelagica",-4.0167,64.0833,0
"293","Hastigerina_pelagica",-50.83,26.783,1
"294","Hastigerina_pelagica",88.083,14.15,0
"295","Hastigerina_pelagica",-17.92,16.383,0
"296","Hastigerina_pelagica",-20.07,22.467,0
"297","Hastigerina_pelagica",-25.72,41.533,0
"298","Hastigerina_pelagica",-25.15,42.85,0
"299","Hastigerina_pelagica",-23.87,45.3,0
"300","Hastigerina_pelagica",-17.53,52.367,0
"301","Hastigerina_pelagica",-15.57,58.733,0
"302","Hastigerina_pelagica",-19.2,59.95,0
"303","Hastigerina_pelagica",-20.97,60.383,0
"304","Hastigerina_pelagica",-25.12,61.55,0
"305","Hastigerina_pelagica",-6.733,66.733,0
"306","Hastigerina_pelagica",-6.667,67.783,0
"307","Hastigerina_pelagica",-6.983,72.967,0
"308","Hastigerina_pelagica",-5.417,68.383,0
"309","Hastigerina_pelagica",-0.067,65.167,0
"310","Hastigerina_pelagica",-14.53,62.85,0
"311","Hastigerina_pelagica",-24.05,61.917,0
"312","Hastigerina_pelagica",-1.333333333,76.81666667,0
"313","Hastigerina_pelagica",61.38333333,18.93333333,0
"314","Hastigerina_pelagica",-87.355,-5.623,0
"315","Hastigerina_pelagica",-96.33,-6.262,0
"316","Hastigerina_pelagica",-90.52,-2.392,0
"317","Hastigerina_pelagica",169.87,-53.63,0
"318","Hastigerina_pelagica",167.83,-51.72,0
"319","Hastigerina_pelagica",171.39,-50.6,0
"320","Hastigerina_pelagica",168.93,-49.78,0
"321","Hastigerina_pelagica",166.73,-52.42,0
"322","Hastigerina_pelagica",169.99,-53.92,0
"323","Hastigerina_pelagica",164.43,-54.04,0
"324","Hastigerina_pelagica",165.41,-52.94,0
"325","Hastigerina_pelagica",167.13,-51.93,0
"326","Hastigerina_pelagica",170.06,-61.08,0
"327","Hastigerina_pelagica",170.81,-48.67,0
"328","Hastigerina_pelagica",174.98,-48.95,0
"329","Hastigerina_pelagica",171.52,-51.7,0
"330","Hastigerina_pelagica",173.42,-44.53,0
"331","Hastigerina_pelagica",174.08,-47.04,0
"332","Hastigerina_pelagica",72.78333333,-5.383333333,0
"333","Hastigerina_pelagica",160.45,-13.25,0
"334","Hastigerina_pelagica",154.5833333,-8.066666667,0
"335","Hastigerina_pelagica",50.52,14.45,0
"336","Hastigerina_pelagica",94.15,11.77,0
"337","Hastigerina_pelagica",93.13,14.52,0
"338","Hastigerina_pelagica",76.72,7.05,0
"339","Hastigerina_pelagica",60.68333333,19.21666667,0
"340","Hastigerina_pelagica",59.56666667,20.7,0
"341","Hastigerina_pelagica",178,-40.4,0
"342","Hastigerina_pelagica",172.03,-46,0
"343","Hastigerina_pelagica",175.06,-45.96,0
"344","Hastigerina_pelagica",177.99,-45.99,0
"345","Hastigerina_pelagica",177.06,-45.03,0
"346","Hastigerina_pelagica",-177.99,-49.67,0
"347","Hastigerina_pelagica",65.46666667,-55.33333333,0
"348","Hastigerina_pelagica",-105.2333333,-29.36666667,0
"349","Hastigerina_pelagica",112.75,-19.06666667,0
"350","Hastigerina_pelagica",-114.6166667,-5.983333333,0
"351","Hastigerina_pelagica",163.5166667,-24.88333333,0
"352","Hastigerina_pelagica",-89.41666667,-3.116666667,0
"353","Hastigerina_pelagica",11.2,-22.33333333,0
"354","Hastigerina_pelagica",13.43333333,-50.71666667,0
"355","Hastigerina_pelagica",66.1,15.03333333,0
"356","Hastigerina_pelagica",70.25,12.85,0
"357","Hastigerina_pelagica",72.8,7.283333333,0
"358","Hastigerina_pelagica",76.2,5.883333333,0
"359","Hastigerina_pelagica",-81.499,-20.878,0
"360","Hastigerina_pelagica",145.24,-46.45,0
"361","Hastigerina_pelagica",146.28,-45.15,0
"362","Hastigerina_pelagica",149.05,-44.53,0
"363","Hastigerina_pelagica",180,-40.03,0
"364","Hastigerina_pelagica",179.5,-45.08,0
"365","Hastigerina_pelagica",179.5,-45.08,0
"366","Hastigerina_pelagica",179.5,-44.5,0
"367","Hastigerina_pelagica",-104.7333333,-6.316666667,0
"368","Hastigerina_pelagica",-12.81,-10.06,0
"369","Hastigerina_pelagica",-14.61,-7.75,0
"370","Hastigerina_pelagica",161.9666667,-3.583333333,0
"371","Hastigerina_pelagica",163.2666667,-0.916666667,0
"372","Hastigerina_pelagica",77.58333333,5.116666667,0
"373","Hastigerina_pelagica",178.97,-42.85,0
"374","Hastigerina_pelagica",119.75,18.27,0
"375","Hastigerina_pelagica",115.78,20.333,0
"376","Hastigerina_pelagica",115.96,20.1,0
"377","Hastigerina_pelagica",117.38,20.117,0
"378","Hastigerina_pelagica",118.48,21.515,0
"379","Hastigerina_pelagica",113.2,19.33,0
"380","Hastigerina_pelagica",113.55,18.95,0
"381","Hastigerina_pelagica",113.64,18.658,0
"382","Hastigerina_pelagica",113.78,18.127,0
"383","Hastigerina_pelagica",114.9,16.708,0
"384","Hastigerina_pelagica",115.17,17.348,0
"385","Hastigerina_pelagica",112.9,16.093,0
"386","Hastigerina_pelagica",113.41,16.288,0
"387","Hastigerina_pelagica",111.53,14.758,0
"388","Hastigerina_pelagica",115.31,10.898,0
"389","Hastigerina_pelagica",115.08,11.622,0
"390","Hastigerina_pelagica",115.29,11.138,0
"391","Hastigerina_pelagica",115.56,10.12,0
"392","Hastigerina_pelagica",112.08,7.182,0
"393","Hastigerina_pelagica",112.67,6.167,0
