"","Taxa","Longitude","Latitude","value"
"1","Hastigerinella_digitata",-30.267,44.3498,0
"2","Hastigerinella_digitata",-41.75,50.9332,0
"3","Hastigerinella_digitata",-67.3333,35.7167,0
"4","Hastigerinella_digitata",-68.9167,36.1333,0
"5","Hastigerinella_digitata",-69.15,36.15,0
"6","Hastigerinella_digitata",-68.9333,35.7833,0
"7","Hastigerinella_digitata",-69.4,36.2167,0
"8","Hastigerinella_digitata",-74.35,31.8333,0
"9","Hastigerinella_digitata",-75.35,31.65,0
"10","Hastigerinella_digitata",-72.95,37.65,0
"11","Hastigerinella_digitata",-75.75,23.9333,0
"12","Hastigerinella_digitata",-75.9333,24.8,0
"13","Hastigerinella_digitata",-67.6667,30.7833,0
"14","Hastigerinella_digitata",-69.0833,35.7667,0
"15","Hastigerinella_digitata",-42.65,39.1332,0
"16","Hastigerinella_digitata",-27.367,33.333,0
"17","Hastigerinella_digitata",-17.0667,5.2833,0
"18","Hastigerinella_digitata",-18.3,3.65,0
"19","Hastigerinella_digitata",-24.1667,-0.05,0
"20","Hastigerinella_digitata",-26.0333,-0.7667,0
"21","Hastigerinella_digitata",-59.2,20.7332,0
"22","Hastigerinella_digitata",62.5,-14.03333333,0
"23","Hastigerinella_digitata",70.4,-25.41666667,0
"24","Hastigerinella_digitata",58.51666667,-10.35,0
"25","Hastigerinella_digitata",59.68333333,-13.68333333,0
"26","Hastigerinella_digitata",70.96666667,-44.63333333,0
"27","Hastigerinella_digitata",114.3833333,-31.51666667,0
"28","Hastigerinella_digitata",67.88333333,-39.73333333,0
"29","Hastigerinella_digitata",113.9333333,-31.26666667,0
"30","Hastigerinella_digitata",87.85,-18.68333333,0
"31","Hastigerinella_digitata",70.2,-14.9,0
"32","Hastigerinella_digitata",62,-17.8,0
"33","Hastigerinella_digitata",73.88333333,-23.93333333,0
"34","Hastigerinella_digitata",75.05,-39.83333333,0
"35","Hastigerinella_digitata",119.735,-53.038,0
"36","Hastigerinella_digitata",114.478,-48.008,0
"37","Hastigerinella_digitata",114.423,-47.533,0
"38","Hastigerinella_digitata",114.417,-46.448,0
"39","Hastigerinella_digitata",114.368,-43.953,0
"40","Hastigerinella_digitata",95.082,-45.022,0
"41","Hastigerinella_digitata",95.08,-47.128,0
"42","Hastigerinella_digitata",95.037,-47.988,0
"43","Hastigerinella_digitata",94.832,-49.378,0
"44","Hastigerinella_digitata",-16.95,24.5,0
"45","Hastigerinella_digitata",-74.88,14,0
"46","Hastigerinella_digitata",46.2,-43.78,0
"47","Hastigerinella_digitata",51.267,-43.63,0
"48","Hastigerinella_digitata",65.467,-55.33,0
"49","Hastigerinella_digitata",92.417,-44.77,0
"50","Hastigerinella_digitata",104.37,-39.38,0
"51","Hastigerinella_digitata",120.9,-36.75,0
"52","Hastigerinella_digitata",125.57,-46.53,0
"53","Hastigerinella_digitata",127.12,-49.33,0
"54","Hastigerinella_digitata",129.97,-51.08,0
"55","Hastigerinella_digitata",123.1,-47.77,0
"56","Hastigerinella_digitata",121.12,-45.42,0
"57","Hastigerinella_digitata",114.13,-41.37,0
"58","Hastigerinella_digitata",63.15,12.05,0
"59","Hastigerinella_digitata",58.083,17.883,0
"60","Hastigerinella_digitata",-10.57,45.1,0
"61","Hastigerinella_digitata",-15.4,54.983,0
"62","Hastigerinella_digitata",-77.22,10.183,0
"63","Hastigerinella_digitata",-77.22,10.183,0
"64","Hastigerinella_digitata",-69.67,21.3,0
"65","Hastigerinella_digitata",-81.63,13.483,0
"66","Hastigerinella_digitata",-79.53,16.567,0
"67","Hastigerinella_digitata",-79.53,16.567,0
"68","Hastigerinella_digitata",-81.1,11.767,0
"69","Hastigerinella_digitata",-45.97,4.967,0
"70","Hastigerinella_digitata",57.35,-43.03,0
"71","Hastigerinella_digitata",54.217,-34.33,0
"72","Hastigerinella_digitata",-45.4,2.217,0
"73","Hastigerinella_digitata",57.633,-22.4,0
"74","Hastigerinella_digitata",67.583,-34.92,0
"75","Hastigerinella_digitata",69.55,-36.48,0
"76","Hastigerinella_digitata",-43.77,0.917,0
"77","Hastigerinella_digitata",83.483,-38.03,0
"78","Hastigerinella_digitata",95.967,-28.07,0
"79","Hastigerinella_digitata",-41.52,1.683,0
"80","Hastigerinella_digitata",112.98,-33.8,0
"81","Hastigerinella_digitata",114.12,-31.57,0
"82","Hastigerinella_digitata",112.8,-21.42,0
"83","Hastigerinella_digitata",-4.6,-49,0
"84","Hastigerinella_digitata",-17.8,-42.58,0
"85","Hastigerinella_digitata",-75.04,11.91,0
"86","Hastigerinella_digitata",-71.67,15.617,0
"87","Hastigerinella_digitata",-74.79,15.857,0
"88","Hastigerinella_digitata",-76.96,10.032,0
"89","Hastigerinella_digitata",-78.15,11.25,0
"90","Hastigerinella_digitata",-77.17,14.695,0
"91","Hastigerinella_digitata",-7.722,3.705,0
"92","Hastigerinella_digitata",11.307,-25.49,0
"93","Hastigerinella_digitata",7.625,-46.6,0
"94","Hastigerinella_digitata",-15.57,-49.92,0
"95","Hastigerinella_digitata",-13.23,-46.1,0
"96","Hastigerinella_digitata",61.617,-12.38,0
"97","Hastigerinella_digitata",59.872,-12.85,0
"98","Hastigerinella_digitata",59.638,-13.61,0
"99","Hastigerinella_digitata",58.852,-15.59,0
"100","Hastigerinella_digitata",58.633,-16.23,0
"101","Hastigerinella_digitata",61.203,-2.807,0
"102","Hastigerinella_digitata",66.29,19.193,0
"103","Hastigerinella_digitata",67.298,21.472,0
"104","Hastigerinella_digitata",72.763,9.582,0
"105","Hastigerinella_digitata",-22.77,59.6532,0
"106","Hastigerinella_digitata",-21.1328,53.867,0
"107","Hastigerinella_digitata",-0.0667,63.4832,0
"108","Hastigerinella_digitata",-54.9,42.467,0
"109","Hastigerinella_digitata",-92.47,23.767,0
"110","Hastigerinella_digitata",-69.5,32.6,0
"111","Hastigerinella_digitata",-65.12,32.283,0
"112","Hastigerinella_digitata",-64.72,32.217,0
"113","Hastigerinella_digitata",-79.92,29.283,0
"114","Hastigerinella_digitata",-57.13,38.917,0
"115","Hastigerinella_digitata",-61.45,34.667,0
"116","Hastigerinella_digitata",-64.6,40.767,0
"117","Hastigerinella_digitata",-77.77,12.4,0
"118","Hastigerinella_digitata",-37.87,8.233,0
"119","Hastigerinella_digitata",-11.62,31.383,0
"120","Hastigerinella_digitata",-38.2,22.967,0
"121","Hastigerinella_digitata",-43.8,23.033,0
"122","Hastigerinella_digitata",-64.17,31.433,0
"123","Hastigerinella_digitata",-74.4,17,0
"124","Hastigerinella_digitata",-53.07,24.283,0
"125","Hastigerinella_digitata",7.017,-22.98,0
"126","Hastigerinella_digitata",-16.05,1.75,0
"127","Hastigerinella_digitata",-65.2,10.7,0
"128","Hastigerinella_digitata",65.517,3.867,0
"129","Hastigerinella_digitata",56.233,11.433,0
"130","Hastigerinella_digitata",53.45,13.433,0
"131","Hastigerinella_digitata",51,14.3,0
"132","Hastigerinella_digitata",48.4,12.867,0
"133","Hastigerinella_digitata",46.75,11.85,0
"134","Hastigerinella_digitata",45.633,12.617,0
"135","Hastigerinella_digitata",-40.52,15.483,0
"136","Hastigerinella_digitata",-32.85,0.85,0
"137","Hastigerinella_digitata",13.5,-39.2,0
"138","Hastigerinella_digitata",15.917,-35.88,0
"139","Hastigerinella_digitata",64.817,-4.3,0
"140","Hastigerinella_digitata",66.3,-2.833,0
"141","Hastigerinella_digitata",69.45,-0.633,0
"142","Hastigerinella_digitata",-37.07,1.967,0
"143","Hastigerinella_digitata",-46.48,23.333,0
"144","Hastigerinella_digitata",-51.87,30,0
"145","Hastigerinella_digitata",-48.42,17.267,0
"146","Hastigerinella_digitata",-50.83,60.033,0
"147","Hastigerinella_digitata",-40.67,13.25,0
"148","Hastigerinella_digitata",15,-33.2,0
"149","Hastigerinella_digitata",16.433,-33.35,0
"150","Hastigerinella_digitata",16.433,-33.35,0
"151","Hastigerinella_digitata",44.367,-46.02,0
"152","Hastigerinella_digitata",45.767,-45,0
"153","Hastigerinella_digitata",43.5,-37.15,0
"154","Hastigerinella_digitata",79.567,-29.73,0
"155","Hastigerinella_digitata",82.85,-31.05,0
"156","Hastigerinella_digitata",83.8,-31.63,0
"157","Hastigerinella_digitata",84.85,-32.38,0
"158","Hastigerinella_digitata",91.717,-30.2,0
"159","Hastigerinella_digitata",92.833,-28.883,0
"160","Hastigerinella_digitata",95.183,-28.017,0
"161","Hastigerinella_digitata",99.25,-31.53,0
"162","Hastigerinella_digitata",-65.05,28.483,0
"163","Hastigerinella_digitata",-18.92,12.383,0
"164","Hastigerinella_digitata",-28.93,24.967,0
