"","Taxa","Longitude","Latitude","value"
"1","Neogloboquadrina_dutertrei",-30.267,44.3498,1
"2","Neogloboquadrina_dutertrei",-41.75,50.9332,1
"3","Neogloboquadrina_dutertrei",-67.3333,35.7167,1
"4","Neogloboquadrina_dutertrei",-68.9167,36.1333,1
"5","Neogloboquadrina_dutertrei",-69.15,36.15,1
"6","Neogloboquadrina_dutertrei",-68.9333,35.7833,1
"7","Neogloboquadrina_dutertrei",-69.4,36.2167,1
"8","Neogloboquadrina_dutertrei",-74.35,31.8333,1
"9","Neogloboquadrina_dutertrei",-75.35,31.65,1
"10","Neogloboquadrina_dutertrei",-72.95,37.65,1
"11","Neogloboquadrina_dutertrei",-75.75,23.9333,1
"12","Neogloboquadrina_dutertrei",-75.9333,24.8,1
"13","Neogloboquadrina_dutertrei",-67.6667,30.7833,1
"14","Neogloboquadrina_dutertrei",-69.0833,35.7667,1
"15","Neogloboquadrina_dutertrei",-42.65,39.1332,1
"16","Neogloboquadrina_dutertrei",-27.367,33.333,0
"17","Neogloboquadrina_dutertrei",-17.0667,5.2833,1
"18","Neogloboquadrina_dutertrei",-18.3,3.65,1
"19","Neogloboquadrina_dutertrei",-24.1667,-0.05,1
"20","Neogloboquadrina_dutertrei",-26.0333,-0.7667,1
"21","Neogloboquadrina_dutertrei",-59.2,20.7332,1
"22","Neogloboquadrina_dutertrei",62.5,-14.03333333,1
"23","Neogloboquadrina_dutertrei",70.4,-25.41666667,0
"24","Neogloboquadrina_dutertrei",58.51666667,-10.35,1
"25","Neogloboquadrina_dutertrei",59.68333333,-13.68333333,1
"26","Neogloboquadrina_dutertrei",70.96666667,-44.63333333,0
"27","Neogloboquadrina_dutertrei",114.3833333,-31.51666667,1
"28","Neogloboquadrina_dutertrei",67.88333333,-39.73333333,0
"29","Neogloboquadrina_dutertrei",113.9333333,-31.26666667,1
"30","Neogloboquadrina_dutertrei",87.85,-18.68333333,1
"31","Neogloboquadrina_dutertrei",70.2,-14.9,1
"32","Neogloboquadrina_dutertrei",62,-17.8,1
"33","Neogloboquadrina_dutertrei",73.88333333,-23.93333333,1
"34","Neogloboquadrina_dutertrei",75.05,-39.83333333,1
"35","Neogloboquadrina_dutertrei",119.735,-53.038,0
"36","Neogloboquadrina_dutertrei",105.548,-43.308,0
"37","Neogloboquadrina_dutertrei",114.478,-48.008,0
"38","Neogloboquadrina_dutertrei",114.423,-47.533,0
"39","Neogloboquadrina_dutertrei",114.417,-46.448,0
"40","Neogloboquadrina_dutertrei",114.348,-45.037,0
"41","Neogloboquadrina_dutertrei",114.368,-43.953,0
"42","Neogloboquadrina_dutertrei",100.012,-41.02,0
"43","Neogloboquadrina_dutertrei",83.723,-39.515,0
"44","Neogloboquadrina_dutertrei",95.082,-45.022,0
"45","Neogloboquadrina_dutertrei",95.08,-47.128,0
"46","Neogloboquadrina_dutertrei",95.037,-47.988,0
"47","Neogloboquadrina_dutertrei",94.832,-49.378,0
"48","Neogloboquadrina_dutertrei",-16.95,24.5,0
"49","Neogloboquadrina_dutertrei",-74.88,14,1
"50","Neogloboquadrina_dutertrei",46.2,-43.78,0
"51","Neogloboquadrina_dutertrei",51.267,-43.63,0
"52","Neogloboquadrina_dutertrei",65.467,-55.33,0
"53","Neogloboquadrina_dutertrei",92.417,-44.77,1
"54","Neogloboquadrina_dutertrei",104.37,-39.38,1
"55","Neogloboquadrina_dutertrei",120.9,-36.75,1
"56","Neogloboquadrina_dutertrei",125.57,-46.53,0
"57","Neogloboquadrina_dutertrei",127.12,-49.33,0
"58","Neogloboquadrina_dutertrei",129.97,-51.08,1
"59","Neogloboquadrina_dutertrei",123.1,-47.77,0
"60","Neogloboquadrina_dutertrei",121.12,-45.42,0
"61","Neogloboquadrina_dutertrei",114.13,-41.37,0
"62","Neogloboquadrina_dutertrei",63.15,12.05,1
"63","Neogloboquadrina_dutertrei",58.083,17.883,1
"64","Neogloboquadrina_dutertrei",-10.57,45.1,0
"65","Neogloboquadrina_dutertrei",-15.4,54.983,1
"66","Neogloboquadrina_dutertrei",-77.22,10.183,1
"67","Neogloboquadrina_dutertrei",-77.22,10.183,1
"68","Neogloboquadrina_dutertrei",-69.67,21.3,1
"69","Neogloboquadrina_dutertrei",-81.63,13.483,1
"70","Neogloboquadrina_dutertrei",-79.53,16.567,1
"71","Neogloboquadrina_dutertrei",-79.53,16.567,1
"72","Neogloboquadrina_dutertrei",-81.1,11.767,1
"73","Neogloboquadrina_dutertrei",-45.97,4.967,1
"74","Neogloboquadrina_dutertrei",57.35,-43.03,0
"75","Neogloboquadrina_dutertrei",54.217,-34.33,0
"76","Neogloboquadrina_dutertrei",-45.4,2.217,1
"77","Neogloboquadrina_dutertrei",57.633,-22.4,1
"78","Neogloboquadrina_dutertrei",67.583,-34.92,0
"79","Neogloboquadrina_dutertrei",69.55,-36.48,0
"80","Neogloboquadrina_dutertrei",-43.77,0.917,1
"81","Neogloboquadrina_dutertrei",83.483,-38.03,1
"82","Neogloboquadrina_dutertrei",95.967,-28.07,0
"83","Neogloboquadrina_dutertrei",-41.52,1.683,1
"84","Neogloboquadrina_dutertrei",112.98,-33.8,1
"85","Neogloboquadrina_dutertrei",114.12,-31.57,1
"86","Neogloboquadrina_dutertrei",112.8,-21.42,1
"87","Neogloboquadrina_dutertrei",-4.6,-49,0
"88","Neogloboquadrina_dutertrei",-17.8,-42.58,0
"89","Neogloboquadrina_dutertrei",-75.04,11.91,1
"90","Neogloboquadrina_dutertrei",-71.67,15.617,1
"91","Neogloboquadrina_dutertrei",-74.79,15.857,1
"92","Neogloboquadrina_dutertrei",-76.96,10.032,1
"93","Neogloboquadrina_dutertrei",-78.15,11.25,1
"94","Neogloboquadrina_dutertrei",-77.17,14.695,1
"95","Neogloboquadrina_dutertrei",-7.722,3.705,1
"96","Neogloboquadrina_dutertrei",11.307,-25.49,1
"97","Neogloboquadrina_dutertrei",7.625,-46.6,0
"98","Neogloboquadrina_dutertrei",-15.57,-49.92,0
"99","Neogloboquadrina_dutertrei",-13.23,-46.1,0
"100","Neogloboquadrina_dutertrei",61.617,-12.38,1
"101","Neogloboquadrina_dutertrei",59.872,-12.85,1
"102","Neogloboquadrina_dutertrei",59.638,-13.61,1
"103","Neogloboquadrina_dutertrei",58.852,-15.59,1
"104","Neogloboquadrina_dutertrei",58.633,-16.23,1
"105","Neogloboquadrina_dutertrei",61.203,-2.807,1
"106","Neogloboquadrina_dutertrei",66.29,19.193,1
"107","Neogloboquadrina_dutertrei",67.298,21.472,1
"108","Neogloboquadrina_dutertrei",72.763,9.582,1
"109","Neogloboquadrina_dutertrei",65.617,-13.22,1
"110","Neogloboquadrina_dutertrei",-22.77,59.6532,0
"111","Neogloboquadrina_dutertrei",-21.1328,53.867,1
"112","Neogloboquadrina_dutertrei",-0.0667,63.4832,0
"113","Neogloboquadrina_dutertrei",-54.9,42.467,1
"114","Neogloboquadrina_dutertrei",-92.47,23.767,1
"115","Neogloboquadrina_dutertrei",-69.5,32.6,1
"116","Neogloboquadrina_dutertrei",-65.12,32.283,1
"117","Neogloboquadrina_dutertrei",-64.72,32.217,0
"118","Neogloboquadrina_dutertrei",-79.92,29.283,1
"119","Neogloboquadrina_dutertrei",-57.13,38.917,1
"120","Neogloboquadrina_dutertrei",-61.45,34.667,1
"121","Neogloboquadrina_dutertrei",-64.6,40.767,1
"122","Neogloboquadrina_dutertrei",-77.77,12.4,1
"123","Neogloboquadrina_dutertrei",-37.87,8.233,1
"124","Neogloboquadrina_dutertrei",-11.62,31.383,0
"125","Neogloboquadrina_dutertrei",-38.2,22.967,1
"126","Neogloboquadrina_dutertrei",-43.8,23.033,1
"127","Neogloboquadrina_dutertrei",-64.17,31.433,1
"128","Neogloboquadrina_dutertrei",-74.4,17,1
"129","Neogloboquadrina_dutertrei",-53.07,24.283,1
"130","Neogloboquadrina_dutertrei",7.017,-22.98,1
"131","Neogloboquadrina_dutertrei",-16.05,1.75,1
"132","Neogloboquadrina_dutertrei",-65.2,10.7,1
"133","Neogloboquadrina_dutertrei",65.517,3.867,1
"134","Neogloboquadrina_dutertrei",56.233,11.433,1
"135","Neogloboquadrina_dutertrei",53.45,13.433,1
"136","Neogloboquadrina_dutertrei",51,14.3,1
"137","Neogloboquadrina_dutertrei",48.4,12.867,1
"138","Neogloboquadrina_dutertrei",46.75,11.85,1
"139","Neogloboquadrina_dutertrei",45.633,12.617,1
"140","Neogloboquadrina_dutertrei",-40.52,15.483,1
"141","Neogloboquadrina_dutertrei",-32.85,0.85,1
"142","Neogloboquadrina_dutertrei",13.5,-39.2,1
"143","Neogloboquadrina_dutertrei",15.917,-35.88,1
"144","Neogloboquadrina_dutertrei",64.817,-4.3,1
"145","Neogloboquadrina_dutertrei",66.3,-2.833,1
"146","Neogloboquadrina_dutertrei",69.45,-0.633,1
"147","Neogloboquadrina_dutertrei",-37.07,1.967,1
"148","Neogloboquadrina_dutertrei",-46.48,23.333,1
"149","Neogloboquadrina_dutertrei",-51.87,30,1
"150","Neogloboquadrina_dutertrei",-48.42,17.267,1
"151","Neogloboquadrina_dutertrei",-50.83,60.033,0
"152","Neogloboquadrina_dutertrei",-40.67,13.25,1
"153","Neogloboquadrina_dutertrei",15,-33.2,1
"154","Neogloboquadrina_dutertrei",16.433,-33.35,1
"155","Neogloboquadrina_dutertrei",16.433,-33.35,1
"156","Neogloboquadrina_dutertrei",44.367,-46.02,0
"157","Neogloboquadrina_dutertrei",45.767,-45,1
"158","Neogloboquadrina_dutertrei",43.5,-37.15,1
"159","Neogloboquadrina_dutertrei",79.567,-29.73,0
"160","Neogloboquadrina_dutertrei",82.85,-31.05,0
"161","Neogloboquadrina_dutertrei",83.8,-31.63,1
"162","Neogloboquadrina_dutertrei",84.85,-32.38,1
"163","Neogloboquadrina_dutertrei",91.717,-30.2,1
"164","Neogloboquadrina_dutertrei",92.833,-28.883,1
"165","Neogloboquadrina_dutertrei",95.183,-28.017,1
"166","Neogloboquadrina_dutertrei",99.25,-31.53,1
"167","Neogloboquadrina_dutertrei",-65.05,28.483,1
"168","Neogloboquadrina_dutertrei",-18.92,12.383,1
"169","Neogloboquadrina_dutertrei",-28.93,24.967,1
"170","Neogloboquadrina_dutertrei",-34.13,27.967,0
"171","Neogloboquadrina_dutertrei",-36.92,29.617,1
"172","Neogloboquadrina_dutertrei",-47.73,58.367,0
"173","Neogloboquadrina_dutertrei",-57.83,60.733,0
"174","Neogloboquadrina_dutertrei",-80.43,11.75,1
"175","Neogloboquadrina_dutertrei",-51.12,13.733,1
