"","Taxa","Longitude","Latitude","value"
"1","Neogloboquadrina_incompta",-30.267,44.3498,1
"2","Neogloboquadrina_incompta",-41.75,50.9332,1
"3","Neogloboquadrina_incompta",-67.3333,35.7167,1
"4","Neogloboquadrina_incompta",-68.9167,36.1333,1
"5","Neogloboquadrina_incompta",-69.15,36.15,1
"6","Neogloboquadrina_incompta",-68.9333,35.7833,1
"7","Neogloboquadrina_incompta",-69.4,36.2167,1
"8","Neogloboquadrina_incompta",-74.35,31.8333,0
"9","Neogloboquadrina_incompta",-75.35,31.65,1
"10","Neogloboquadrina_incompta",-72.95,37.65,1
"11","Neogloboquadrina_incompta",-75.75,23.9333,0
"12","Neogloboquadrina_incompta",-75.9333,24.8,0
"13","Neogloboquadrina_incompta",-67.6667,30.7833,1
"14","Neogloboquadrina_incompta",-69.0833,35.7667,1
"15","Neogloboquadrina_incompta",-42.65,39.1332,1
"16","Neogloboquadrina_incompta",-27.367,33.333,1
"17","Neogloboquadrina_incompta",-17.0667,5.2833,1
"18","Neogloboquadrina_incompta",-18.3,3.65,0
"19","Neogloboquadrina_incompta",-24.1667,-0.05,1
"20","Neogloboquadrina_incompta",-26.0333,-0.7667,1
"21","Neogloboquadrina_incompta",-59.2,20.7332,0
"22","Neogloboquadrina_incompta",62.5,-14.03333333,1
"23","Neogloboquadrina_incompta",70.4,-25.41666667,0
"24","Neogloboquadrina_incompta",58.51666667,-10.35,0
"25","Neogloboquadrina_incompta",59.68333333,-13.68333333,0
"26","Neogloboquadrina_incompta",70.96666667,-44.63333333,1
"27","Neogloboquadrina_incompta",114.3833333,-31.51666667,1
"28","Neogloboquadrina_incompta",67.88333333,-39.73333333,1
"29","Neogloboquadrina_incompta",113.9333333,-31.26666667,1
"30","Neogloboquadrina_incompta",87.85,-18.68333333,0
"31","Neogloboquadrina_incompta",70.2,-14.9,0
"32","Neogloboquadrina_incompta",62,-17.8,0
"33","Neogloboquadrina_incompta",73.88333333,-23.93333333,1
"34","Neogloboquadrina_incompta",75.05,-39.83333333,1
"35","Neogloboquadrina_incompta",119.735,-53.038,1
"36","Neogloboquadrina_incompta",105.548,-43.308,1
"37","Neogloboquadrina_incompta",114.478,-48.008,1
"38","Neogloboquadrina_incompta",114.423,-47.533,1
"39","Neogloboquadrina_incompta",114.417,-46.448,1
"40","Neogloboquadrina_incompta",114.348,-45.037,1
"41","Neogloboquadrina_incompta",114.368,-43.953,1
"42","Neogloboquadrina_incompta",100.012,-41.02,1
"43","Neogloboquadrina_incompta",83.723,-39.515,1
"44","Neogloboquadrina_incompta",95.082,-45.022,1
"45","Neogloboquadrina_incompta",95.08,-47.128,1
"46","Neogloboquadrina_incompta",95.037,-47.988,1
"47","Neogloboquadrina_incompta",94.832,-49.378,1
"48","Neogloboquadrina_incompta",-16.95,24.5,1
"49","Neogloboquadrina_incompta",-74.88,14,1
"50","Neogloboquadrina_incompta",46.2,-43.78,1
"51","Neogloboquadrina_incompta",51.267,-43.63,1
"52","Neogloboquadrina_incompta",65.467,-55.33,1
"53","Neogloboquadrina_incompta",92.417,-44.77,1
"54","Neogloboquadrina_incompta",104.37,-39.38,1
"55","Neogloboquadrina_incompta",120.9,-36.75,1
"56","Neogloboquadrina_incompta",125.57,-46.53,1
"57","Neogloboquadrina_incompta",127.12,-49.33,1
"58","Neogloboquadrina_incompta",129.97,-51.08,1
"59","Neogloboquadrina_incompta",123.1,-47.77,1
"60","Neogloboquadrina_incompta",121.12,-45.42,1
"61","Neogloboquadrina_incompta",114.13,-41.37,1
"62","Neogloboquadrina_incompta",63.15,12.05,0
"63","Neogloboquadrina_incompta",58.083,17.883,1
"64","Neogloboquadrina_incompta",-10.57,45.1,1
"65","Neogloboquadrina_incompta",-15.4,54.983,1
"66","Neogloboquadrina_incompta",-77.22,10.183,0
"67","Neogloboquadrina_incompta",-77.22,10.183,1
"68","Neogloboquadrina_incompta",-69.67,21.3,0
"69","Neogloboquadrina_incompta",-81.63,13.483,0
"70","Neogloboquadrina_incompta",-79.53,16.567,0
"71","Neogloboquadrina_incompta",-79.53,16.567,0
"72","Neogloboquadrina_incompta",-81.1,11.767,1
