"","Taxa","Longitude","Latitude","value"
"1","Neogloboquadrina_pachyderma",-30.267,44.3498,1
"2","Neogloboquadrina_pachyderma",-41.75,50.9332,1
"3","Neogloboquadrina_pachyderma",-67.3333,35.7167,0
"4","Neogloboquadrina_pachyderma",-68.9167,36.1333,1
"5","Neogloboquadrina_pachyderma",-69.15,36.15,0
"6","Neogloboquadrina_pachyderma",-68.9333,35.7833,1
"7","Neogloboquadrina_pachyderma",-69.4,36.2167,0
"8","Neogloboquadrina_pachyderma",-74.35,31.8333,0
"9","Neogloboquadrina_pachyderma",-75.35,31.65,0
"10","Neogloboquadrina_pachyderma",-72.95,37.65,1
"11","Neogloboquadrina_pachyderma",-75.75,23.9333,0
"12","Neogloboquadrina_pachyderma",-75.9333,24.8,0
"13","Neogloboquadrina_pachyderma",-67.6667,30.7833,0
"14","Neogloboquadrina_pachyderma",-69.0833,35.7667,1
"15","Neogloboquadrina_pachyderma",-42.65,39.1332,1
"16","Neogloboquadrina_pachyderma",-27.367,33.333,0
"17","Neogloboquadrina_pachyderma",-17.0667,5.2833,1
"18","Neogloboquadrina_pachyderma",-18.3,3.65,1
"19","Neogloboquadrina_pachyderma",-24.1667,-0.05,1
"20","Neogloboquadrina_pachyderma",-26.0333,-0.7667,0
"21","Neogloboquadrina_pachyderma",-59.2,20.7332,0
"22","Neogloboquadrina_pachyderma",62.5,-14.03333333,0
"23","Neogloboquadrina_pachyderma",70.4,-25.41666667,1
"24","Neogloboquadrina_pachyderma",58.51666667,-10.35,0
"25","Neogloboquadrina_pachyderma",59.68333333,-13.68333333,0
"26","Neogloboquadrina_pachyderma",70.96666667,-44.63333333,1
"27","Neogloboquadrina_pachyderma",114.3833333,-31.51666667,0
"28","Neogloboquadrina_pachyderma",67.88333333,-39.73333333,1
"29","Neogloboquadrina_pachyderma",113.9333333,-31.26666667,0
"30","Neogloboquadrina_pachyderma",87.85,-18.68333333,0
"31","Neogloboquadrina_pachyderma",70.2,-14.9,1
"32","Neogloboquadrina_pachyderma",62,-17.8,0
"33","Neogloboquadrina_pachyderma",73.88333333,-23.93333333,1
"34","Neogloboquadrina_pachyderma",75.05,-39.83333333,1
"35","Neogloboquadrina_pachyderma",119.735,-53.038,1
"36","Neogloboquadrina_pachyderma",105.548,-43.308,1
"37","Neogloboquadrina_pachyderma",114.478,-48.008,1
"38","Neogloboquadrina_pachyderma",114.423,-47.533,1
"39","Neogloboquadrina_pachyderma",114.417,-46.448,1
"40","Neogloboquadrina_pachyderma",114.348,-45.037,1
"41","Neogloboquadrina_pachyderma",114.368,-43.953,1
"42","Neogloboquadrina_pachyderma",100.012,-41.02,1
"43","Neogloboquadrina_pachyderma",83.723,-39.515,1
"44","Neogloboquadrina_pachyderma",95.082,-45.022,1
"45","Neogloboquadrina_pachyderma",95.08,-47.128,1
"46","Neogloboquadrina_pachyderma",95.037,-47.988,1
"47","Neogloboquadrina_pachyderma",94.832,-49.378,1
"48","Neogloboquadrina_pachyderma",-16.95,24.5,1
"49","Neogloboquadrina_pachyderma",-74.88,14,0
"50","Neogloboquadrina_pachyderma",46.2,-43.78,1
"51","Neogloboquadrina_pachyderma",51.267,-43.63,1
"52","Neogloboquadrina_pachyderma",65.467,-55.33,1
"53","Neogloboquadrina_pachyderma",92.417,-44.77,1
"54","Neogloboquadrina_pachyderma",104.37,-39.38,1
"55","Neogloboquadrina_pachyderma",120.9,-36.75,1
"56","Neogloboquadrina_pachyderma",125.57,-46.53,1
"57","Neogloboquadrina_pachyderma",127.12,-49.33,1
"58","Neogloboquadrina_pachyderma",129.97,-51.08,1
"59","Neogloboquadrina_pachyderma",123.1,-47.77,1
"60","Neogloboquadrina_pachyderma",121.12,-45.42,1
"61","Neogloboquadrina_pachyderma",114.13,-41.37,1
"62","Neogloboquadrina_pachyderma",63.15,12.05,0
"63","Neogloboquadrina_pachyderma",58.083,17.883,1
"64","Neogloboquadrina_pachyderma",-10.57,45.1,1
"65","Neogloboquadrina_pachyderma",-15.4,54.983,1
"66","Neogloboquadrina_pachyderma",-77.22,10.183,0
"67","Neogloboquadrina_pachyderma",-77.22,10.183,0
"68","Neogloboquadrina_pachyderma",-69.67,21.3,0
"69","Neogloboquadrina_pachyderma",-81.63,13.483,0
"70","Neogloboquadrina_pachyderma",-79.53,16.567,0
"71","Neogloboquadrina_pachyderma",-79.53,16.567,0
"72","Neogloboquadrina_pachyderma",-81.1,11.767,0
"73","Neogloboquadrina_pachyderma",-45.97,4.967,0
"74","Neogloboquadrina_pachyderma",57.35,-43.03,1
"75","Neogloboquadrina_pachyderma",54.217,-34.33,1
"76","Neogloboquadrina_pachyderma",-45.4,2.217,0
"77","Neogloboquadrina_pachyderma",57.633,-22.4,0
"78","Neogloboquadrina_pachyderma",67.583,-34.92,1
"79","Neogloboquadrina_pachyderma",69.55,-36.48,1
"80","Neogloboquadrina_pachyderma",-43.77,0.917,0
"81","Neogloboquadrina_pachyderma",83.483,-38.03,0
"82","Neogloboquadrina_pachyderma",95.967,-28.07,1
"83","Neogloboquadrina_pachyderma",-41.52,1.683,0
"84","Neogloboquadrina_pachyderma",112.98,-33.8,0
