"","Taxa","Longitude","Latitude","value"
"1","Orbulina_universa",-30.267,44.3498,1
"2","Orbulina_universa",-41.75,50.9332,0
"3","Orbulina_universa",-67.3333,35.7167,1
"4","Orbulina_universa",-68.9167,36.1333,1
"5","Orbulina_universa",-69.15,36.15,1
"6","Orbulina_universa",-68.9333,35.7833,1
"7","Orbulina_universa",-69.4,36.2167,1
"8","Orbulina_universa",-74.35,31.8333,0
"9","Orbulina_universa",-75.35,31.65,1
"10","Orbulina_universa",-72.95,37.65,1
"11","Orbulina_universa",-75.75,23.9333,1
"12","Orbulina_universa",-75.9333,24.8,1
"13","Orbulina_universa",-67.6667,30.7833,1
"14","Orbulina_universa",-69.0833,35.7667,1
"15","Orbulina_universa",-42.65,39.1332,1
"16","Orbulina_universa",-27.367,33.333,1
"17","Orbulina_universa",-17.0667,5.2833,1
"18","Orbulina_universa",-18.3,3.65,1
"19","Orbulina_universa",-24.1667,-0.05,0
"20","Orbulina_universa",-26.0333,-0.7667,0
"21","Orbulina_universa",-59.2,20.7332,1
"22","Orbulina_universa",62.5,-14.03333333,1
"23","Orbulina_universa",70.4,-25.41666667,1
"24","Orbulina_universa",58.51666667,-10.35,1
"25","Orbulina_universa",59.68333333,-13.68333333,1
"26","Orbulina_universa",70.96666667,-44.63333333,0
"27","Orbulina_universa",114.3833333,-31.51666667,0
"28","Orbulina_universa",67.88333333,-39.73333333,0
"29","Orbulina_universa",113.9333333,-31.26666667,1
"30","Orbulina_universa",87.85,-18.68333333,1
"31","Orbulina_universa",70.2,-14.9,1
"32","Orbulina_universa",62,-17.8,1
"33","Orbulina_universa",73.88333333,-23.93333333,1
"34","Orbulina_universa",75.05,-39.83333333,1
"35","Orbulina_universa",119.735,-53.038,0
"36","Orbulina_universa",105.548,-43.308,0
"37","Orbulina_universa",114.478,-48.008,0
"38","Orbulina_universa",114.423,-47.533,1
"39","Orbulina_universa",114.417,-46.448,1
"40","Orbulina_universa",114.348,-45.037,1
"41","Orbulina_universa",114.368,-43.953,1
"42","Orbulina_universa",100.012,-41.02,1
"43","Orbulina_universa",83.723,-39.515,1
"44","Orbulina_universa",95.082,-45.022,0
"45","Orbulina_universa",95.08,-47.128,0
"46","Orbulina_universa",95.037,-47.988,0
"47","Orbulina_universa",94.832,-49.378,0
"48","Orbulina_universa",-16.95,24.5,1
"49","Orbulina_universa",-74.88,14,1
"50","Orbulina_universa",46.2,-43.78,0
"51","Orbulina_universa",51.267,-43.63,0
"52","Orbulina_universa",65.467,-55.33,0
"53","Orbulina_universa",92.417,-44.77,0
"54","Orbulina_universa",104.37,-39.38,1
"55","Orbulina_universa",120.9,-36.75,0
"56","Orbulina_universa",125.57,-46.53,1
"57","Orbulina_universa",127.12,-49.33,0
"58","Orbulina_universa",129.97,-51.08,0
"59","Orbulina_universa",123.1,-47.77,1
"60","Orbulina_universa",121.12,-45.42,0
"61","Orbulina_universa",114.13,-41.37,1
"62","Orbulina_universa",63.15,12.05,1
"63","Orbulina_universa",58.083,17.883,1
"64","Orbulina_universa",-10.57,45.1,1
"65","Orbulina_universa",-15.4,54.983,0
"66","Orbulina_universa",-77.22,10.183,1
"67","Orbulina_universa",-77.22,10.183,1
"68","Orbulina_universa",-69.67,21.3,1
"69","Orbulina_universa",-81.63,13.483,1
"70","Orbulina_universa",-79.53,16.567,1
"71","Orbulina_universa",-79.53,16.567,1
"72","Orbulina_universa",-81.1,11.767,1
"73","Orbulina_universa",-45.97,4.967,1
"74","Orbulina_universa",57.35,-43.03,0
"75","Orbulina_universa",54.217,-34.33,1
"76","Orbulina_universa",-45.4,2.217,1
"77","Orbulina_universa",57.633,-22.4,1
"78","Orbulina_universa",67.583,-34.92,1
"79","Orbulina_universa",69.55,-36.48,1
"80","Orbulina_universa",-43.77,0.917,1
"81","Orbulina_universa",83.483,-38.03,1
"82","Orbulina_universa",95.967,-28.07,1
"83","Orbulina_universa",-41.52,1.683,1
"84","Orbulina_universa",112.98,-33.8,1
"85","Orbulina_universa",114.12,-31.57,0
"86","Orbulina_universa",112.8,-21.42,1
"87","Orbulina_universa",-4.6,-49,0
"88","Orbulina_universa",-17.8,-42.58,1
"89","Orbulina_universa",-75.04,11.91,1
"90","Orbulina_universa",-71.67,15.617,1
"91","Orbulina_universa",-74.79,15.857,1
"92","Orbulina_universa",-76.96,10.032,1
"93","Orbulina_universa",-78.15,11.25,1
"94","Orbulina_universa",-77.17,14.695,1
"95","Orbulina_universa",-7.722,3.705,1
"96","Orbulina_universa",11.307,-25.49,1
"97","Orbulina_universa",7.625,-46.6,0
"98","Orbulina_universa",-15.57,-49.92,0
"99","Orbulina_universa",-13.23,-46.1,0
"100","Orbulina_universa",61.617,-12.38,1
"101","Orbulina_universa",59.872,-12.85,1
"102","Orbulina_universa",59.638,-13.61,1
"103","Orbulina_universa",58.852,-15.59,1
"104","Orbulina_universa",58.633,-16.23,1
"105","Orbulina_universa",61.203,-2.807,0
"106","Orbulina_universa",66.29,19.193,1
"107","Orbulina_universa",67.298,21.472,1
"108","Orbulina_universa",72.763,9.582,1
"109","Orbulina_universa",65.617,-13.22,1
"110","Orbulina_universa",-22.77,59.6532,1
"111","Orbulina_universa",-21.1328,53.867,1
"112","Orbulina_universa",-0.0667,63.4832,1
"113","Orbulina_universa",-54.9,42.467,1
"114","Orbulina_universa",-92.47,23.767,1
"115","Orbulina_universa",-69.5,32.6,1
"116","Orbulina_universa",-65.12,32.283,1
"117","Orbulina_universa",-64.72,32.217,1
"118","Orbulina_universa",-79.92,29.283,1
"119","Orbulina_universa",-57.13,38.917,1
"120","Orbulina_universa",-61.45,34.667,1
"121","Orbulina_universa",-64.6,40.767,1
"122","Orbulina_universa",-77.77,12.4,1
"123","Orbulina_universa",-37.87,8.233,1
"124","Orbulina_universa",-11.62,31.383,1
"125","Orbulina_universa",-38.2,22.967,1
"126","Orbulina_universa",-43.8,23.033,1
"127","Orbulina_universa",-64.17,31.433,1
"128","Orbulina_universa",-74.4,17,1
"129","Orbulina_universa",-53.07,24.283,1
"130","Orbulina_universa",7.017,-22.98,1
"131","Orbulina_universa",-16.05,1.75,1
"132","Orbulina_universa",-65.2,10.7,1
"133","Orbulina_universa",65.517,3.867,0
"134","Orbulina_universa",56.233,11.433,0
"135","Orbulina_universa",53.45,13.433,0
"136","Orbulina_universa",51,14.3,0
"137","Orbulina_universa",48.4,12.867,0
"138","Orbulina_universa",46.75,11.85,0
"139","Orbulina_universa",45.633,12.617,1
"140","Orbulina_universa",-40.52,15.483,1
"141","Orbulina_universa",-32.85,0.85,0
"142","Orbulina_universa",13.5,-39.2,0
"143","Orbulina_universa",15.917,-35.88,0
"144","Orbulina_universa",64.817,-4.3,0
"145","Orbulina_universa",66.3,-2.833,1
"146","Orbulina_universa",69.45,-0.633,1
"147","Orbulina_universa",-37.07,1.967,1
"148","Orbulina_universa",-46.48,23.333,1
"149","Orbulina_universa",-51.87,30,1
"150","Orbulina_universa",-48.42,17.267,1
"151","Orbulina_universa",-50.83,60.033,0
"152","Orbulina_universa",-40.67,13.25,1
"153","Orbulina_universa",15,-33.2,1
"154","Orbulina_universa",16.433,-33.35,1
"155","Orbulina_universa",16.433,-33.35,0
"156","Orbulina_universa",44.367,-46.02,0
"157","Orbulina_universa",45.767,-45,0
"158","Orbulina_universa",43.5,-37.15,1
"159","Orbulina_universa",79.567,-29.73,1
"160","Orbulina_universa",82.85,-31.05,1
"161","Orbulina_universa",83.8,-31.63,1
"162","Orbulina_universa",84.85,-32.38,1
"163","Orbulina_universa",91.717,-30.2,1
"164","Orbulina_universa",92.833,-28.883,1
"165","Orbulina_universa",95.183,-28.017,1
"166","Orbulina_universa",99.25,-31.53,1
"167","Orbulina_universa",-65.05,28.483,1
"168","Orbulina_universa",-18.92,12.383,1
"169","Orbulina_universa",-28.93,24.967,1
"170","Orbulina_universa",-34.13,27.967,0
"171","Orbulina_universa",-36.92,29.617,1
"172","Orbulina_universa",-47.73,58.367,0
"173","Orbulina_universa",-57.83,60.733,0
"174","Orbulina_universa",-80.43,11.75,1
"175","Orbulina_universa",-51.12,13.733,1
"176","Orbulina_universa",15.983,-33.23,1
"177","Orbulina_universa",29.933,-38.98,1
"178","Orbulina_universa",37.867,-37.63,1
"179","Orbulina_universa",41.85,-36.12,1
"180","Orbulina_universa",63.533,-20.58,1
"181","Orbulina_universa",-47.75,4.233,1
"182","Orbulina_universa",114.45,-30.57,1
"183","Orbulina_universa",140.62,-38.57,1
"184","Orbulina_universa",-67.55,38.75,1
"185","Orbulina_universa",62.783,8.117,0
"186","Orbulina_universa",61.067,7.433,1
"187","Orbulina_universa",41.55,-4.217,1
"188","Orbulina_universa",41.6,-19.92,1
"189","Orbulina_universa",13.283,-30.58,1
"190","Orbulina_universa",9.583,-29.52,1
"191","Orbulina_universa",10.8,-21.83,1
"192","Orbulina_universa",-5.25,2,1
"193","Orbulina_universa",-9.083,1.417,1
"194","Orbulina_universa",-15.05,3.65,1
"195","Orbulina_universa",-41.4,29.017,1
"196","Orbulina_universa",-48.27,33.3,1
"197","Orbulina_universa",68.483,-21.98,1
"198","Orbulina_universa",64.9,-23.05,1
"199","Orbulina_universa",-35.6,2.1,1
"200","Orbulina_universa",-33.03,5.317,1
"201","Orbulina_universa",-30.13,8.467,1
"202","Orbulina_universa",-68.53,38.283,1
"203","Orbulina_universa",-60.52,11.533,1
"204","Orbulina_universa",-77.23,14.45,1
"205","Orbulina_universa",-10.9,-46.13,0
"206","Orbulina_universa",-6.633,-44.47,1
"207","Orbulina_universa",-3.25,-43.18,1
"208","Orbulina_universa",-20.12,3.383,1
"209","Orbulina_universa",-18.58,14.167,1
"210","Orbulina_universa",-21.15,14.4,1
"211","Orbulina_universa",-23.23,15.017,1
"212","Orbulina_universa",-31.45,20.7,1
"213","Orbulina_universa",-43.63,27.917,1
"214","Orbulina_universa",-52.3,32.65,1
"215","Orbulina_universa",-57.25,34.75,1
"216","Orbulina_universa",-45.63,12.75,1
"217","Orbulina_universa",-25.53,19.883,1
"218","Orbulina_universa",-35.83,17.2,1
"219","Orbulina_universa",-40.67,17.483,1
"220","Orbulina_universa",-45.13,41.517,1
"221","Orbulina_universa",-45.05,46,0
"222","Orbulina_universa",-27.53,62.667,0
"223","Orbulina_universa",0.0167,68.0333,0
"224","Orbulina_universa",8.317,70.05,0
"225","Orbulina_universa",0.2,77.95,0
"226","Orbulina_universa",6.683,70.983,0
"227","Orbulina_universa",2.717,68.55,0
"228","Orbulina_universa",-17.57,60.933,1
"229","Orbulina_universa",-16.83,54.25,0
"230","Orbulina_universa",-21.93,52.583,0
"231","Orbulina_universa",-24.25,49.867,0
"232","Orbulina_universa",-16.92,46,1
"233","Orbulina_universa",-15.1,29.8,1
"234","Orbulina_universa",-76.63,12.25,1
"235","Orbulina_universa",-72.6,22.6,1
"236","Orbulina_universa",-46.7,26.783,1
"237","Orbulina_universa",-43,9.317,1
"238","Orbulina_universa",-71.23,17.033,1
"239","Orbulina_universa",-18.18,9.567,1
"240","Orbulina_universa",-17.92,6.267,1
"241","Orbulina_universa",-18.25,6.033,1
"242","Orbulina_universa",-18.08,5.833,1
"243","Orbulina_universa",-14.8,0.3,1
"244","Orbulina_universa",-60.5,42.267,1
"245","Orbulina_universa",-14.2,62.133,1
"246","Orbulina_universa",-24.08,56.067,1
"247","Orbulina_universa",-14.68,43.8,1
"248","Orbulina_universa",-17.07,42.7,1
"249","Orbulina_universa",-20.15,39.717,1
"250","Orbulina_universa",-13.55,39.617,1
"251","Orbulina_universa",-43.23,42.75,1
"252","Orbulina_universa",-39.87,44.167,1
"253","Orbulina_universa",-26.58,25.933,1
"254","Orbulina_universa",-37.3,50.1,1
"255","Orbulina_universa",-28.85,16.533,1
"256","Orbulina_universa",-46.2,54,0
"257","Orbulina_universa",-46.87,54.033,0
"258","Orbulina_universa",-50.8,54.467,0
"259","Orbulina_universa",-53.12,54.733,0
"260","Orbulina_universa",1.983,1,1
"261","Orbulina_universa",-11.82,3.05,1
"262","Orbulina_universa",-54.7,56.733,0
"263","Orbulina_universa",-13.63,1.05,1
"264","Orbulina_universa",-44.62,58.183,1
"265","Orbulina_universa",-37.275,60.7033,0
"266","Orbulina_universa",-11.5,61.367,1
"267","Orbulina_universa",-6.133,63.45,1
"268","Orbulina_universa",-6.217,65.017,0
"269","Orbulina_universa",-5.4,76.167,0
"270","Orbulina_universa",2.667,73.533,0
"271","Orbulina_universa",4.633,78.833,0
"272","Orbulina_universa",6.917,76.467,0
"273","Orbulina_universa",3.617,78.117,0
"274","Orbulina_universa",7.417,78.4,0
"275","Orbulina_universa",-10.8,75,0
"276","Orbulina_universa",-7.433,60.65,0
"277","Orbulina_universa",-73.92,14.933,1
"278","Orbulina_universa",-72.37,13.933,1
"279","Orbulina_universa",-76.6,17.033,1
"280","Orbulina_universa",-81.15,10.983,1
"281","Orbulina_universa",-80.4,11.117,1
"282","Orbulina_universa",-13.65,72.433,0
"283","Orbulina_universa",-0.833,73.483,0
"284","Orbulina_universa",5.267,72.183,0
"285","Orbulina_universa",-1.617,71.167,0
"286","Orbulina_universa",-1.617,71.167,0
"287","Orbulina_universa",0.583,62.9,0
"288","Orbulina_universa",-3.583,64.833,0
"289","Orbulina_universa",-3.583,64.833,0
"290","Orbulina_universa",-12.72,68.717,0
"291","Orbulina_universa",-12.72,68.717,0
"292","Orbulina_universa",-9.0667,72.0667,0
"293","Orbulina_universa",-4.4,69.383,0
"294","Orbulina_universa",0.233,67.683,0
"295","Orbulina_universa",0.233,67.683,0
"296","Orbulina_universa",11.667,74.483,0
"297","Orbulina_universa",-4.0167,64.0833,0
"298","Orbulina_universa",-50.83,26.783,1
"299","Orbulina_universa",88.083,14.15,0
"300","Orbulina_universa",-17.92,16.383,1
"301","Orbulina_universa",-20.07,22.467,1
"302","Orbulina_universa",-25.72,41.533,1
"303","Orbulina_universa",-25.15,42.85,1
"304","Orbulina_universa",-23.87,45.3,1
"305","Orbulina_universa",-17.53,52.367,1
"306","Orbulina_universa",-15.57,58.733,0
"307","Orbulina_universa",-19.2,59.95,0
"308","Orbulina_universa",-20.97,60.383,1
"309","Orbulina_universa",-25.12,61.55,0
"310","Orbulina_universa",-6.733,66.733,0
"311","Orbulina_universa",-6.667,67.783,0
"312","Orbulina_universa",-6.983,72.967,0
"313","Orbulina_universa",-5.417,68.383,0
"314","Orbulina_universa",-0.067,65.167,0
"315","Orbulina_universa",-14.53,62.85,0
"316","Orbulina_universa",-24.05,61.917,1
"317","Orbulina_universa",-38.78333333,28,1
"318","Orbulina_universa",-73.51666667,38.18333333,0
"319","Orbulina_universa",-41.75,50.93333333,0
"320","Orbulina_universa",-67.33333333,35.71666667,1
"321","Orbulina_universa",-68.91666667,36.13333333,1
"322","Orbulina_universa",-69.13333333,36.13333333,1
"323","Orbulina_universa",-68.93333333,35.78333333,1
"324","Orbulina_universa",-69.4,36.21666667,1
"325","Orbulina_universa",-72.95,37.65,1
"326","Orbulina_universa",-74.35,31.83333333,0
"327","Orbulina_universa",-75.35,31.65,1
"328","Orbulina_universa",-76.8,29.76666667,1
"329","Orbulina_universa",-78.55,19.4,1
"330","Orbulina_universa",-75.75,23.93333333,1
"331","Orbulina_universa",-75.91666667,24.8,1
"332","Orbulina_universa",-67.66666667,30.78333333,1
"333","Orbulina_universa",-42.65,39.13333333,1
"334","Orbulina_universa",-36.7,39.26666667,1
"335","Orbulina_universa",-27.36666667,33.56666667,1
"336","Orbulina_universa",-19.3,25.83333333,1
"337","Orbulina_universa",-17.06666667,5.283333333,1
"338","Orbulina_universa",-18.3,3.65,1
"339","Orbulina_universa",-21.78333333,0.583333333,1
"340","Orbulina_universa",-26.03333333,-0.766666667,1
"341","Orbulina_universa",-27.01666667,-1.5,1
"342","Orbulina_universa",-57.33333333,10.55,1
"343","Orbulina_universa",-59.2,20.71666667,1
"344","Orbulina_universa",51.9,12,0
"345","Orbulina_universa",53.16666667,10.25,1
"346","Orbulina_universa",51.73333333,8.983333333,1
"347","Orbulina_universa",51.61666667,8.9,1
"348","Orbulina_universa",60.21666667,9.216666667,1
"349","Orbulina_universa",69.43333333,20.15,1
"350","Orbulina_universa",67.91666667,20.11666667,0
"351","Orbulina_universa",59.55,21,0
"352","Orbulina_universa",61.01666667,20.83333333,1
"353","Orbulina_universa",57.18333333,17.43333333,1
"354","Orbulina_universa",54.76666667,16.23333333,0
