"","Taxa","Longitude","Latitude","value"
"1","Pulleniatina_obliquiloculata",-30.267,44.3498,0
"2","Pulleniatina_obliquiloculata",-41.75,50.9332,0
"3","Pulleniatina_obliquiloculata",-67.3333,35.7167,1
"4","Pulleniatina_obliquiloculata",-68.9167,36.1333,1
"5","Pulleniatina_obliquiloculata",-69.15,36.15,1
"6","Pulleniatina_obliquiloculata",-68.9333,35.7833,1
"7","Pulleniatina_obliquiloculata",-69.4,36.2167,1
"8","Pulleniatina_obliquiloculata",-74.35,31.8333,1
"9","Pulleniatina_obliquiloculata",-75.35,31.65,1
"10","Pulleniatina_obliquiloculata",-72.95,37.65,1
"11","Pulleniatina_obliquiloculata",-75.75,23.9333,0
"12","Pulleniatina_obliquiloculata",-75.9333,24.8,0
"13","Pulleniatina_obliquiloculata",-67.6667,30.7833,1
"14","Pulleniatina_obliquiloculata",-69.0833,35.7667,1
"15","Pulleniatina_obliquiloculata",-42.65,39.1332,1
"16","Pulleniatina_obliquiloculata",-27.367,33.333,0
"17","Pulleniatina_obliquiloculata",-17.0667,5.2833,1
"18","Pulleniatina_obliquiloculata",-18.3,3.65,1
"19","Pulleniatina_obliquiloculata",-24.1667,-0.05,0
"20","Pulleniatina_obliquiloculata",-26.0333,-0.7667,1
"21","Pulleniatina_obliquiloculata",-59.2,20.7332,1
"22","Pulleniatina_obliquiloculata",62.5,-14.03333333,1
"23","Pulleniatina_obliquiloculata",70.4,-25.41666667,1
"24","Pulleniatina_obliquiloculata",58.51666667,-10.35,1
"25","Pulleniatina_obliquiloculata",59.68333333,-13.68333333,1
"26","Pulleniatina_obliquiloculata",70.96666667,-44.63333333,0
"27","Pulleniatina_obliquiloculata",114.3833333,-31.51666667,1
"28","Pulleniatina_obliquiloculata",67.88333333,-39.73333333,0
"29","Pulleniatina_obliquiloculata",113.9333333,-31.26666667,1
"30","Pulleniatina_obliquiloculata",87.85,-18.68333333,1
"31","Pulleniatina_obliquiloculata",70.2,-14.9,1
"32","Pulleniatina_obliquiloculata",62,-17.8,1
"33","Pulleniatina_obliquiloculata",73.88333333,-23.93333333,0
"34","Pulleniatina_obliquiloculata",75.05,-39.83333333,0
"35","Pulleniatina_obliquiloculata",119.735,-53.038,0
"36","Pulleniatina_obliquiloculata",105.548,-43.308,0
"37","Pulleniatina_obliquiloculata",114.478,-48.008,0
"38","Pulleniatina_obliquiloculata",114.423,-47.533,0
"39","Pulleniatina_obliquiloculata",114.417,-46.448,1
"40","Pulleniatina_obliquiloculata",114.348,-45.037,0
"41","Pulleniatina_obliquiloculata",114.368,-43.953,0
"42","Pulleniatina_obliquiloculata",100.012,-41.02,0
"43","Pulleniatina_obliquiloculata",83.723,-39.515,0
"44","Pulleniatina_obliquiloculata",95.082,-45.022,0
"45","Pulleniatina_obliquiloculata",95.08,-47.128,0
"46","Pulleniatina_obliquiloculata",95.037,-47.988,0
"47","Pulleniatina_obliquiloculata",94.832,-49.378,0
"48","Pulleniatina_obliquiloculata",-16.95,24.5,1
"49","Pulleniatina_obliquiloculata",-74.88,14,1
"50","Pulleniatina_obliquiloculata",46.2,-43.78,0
"51","Pulleniatina_obliquiloculata",51.267,-43.63,0
"52","Pulleniatina_obliquiloculata",65.467,-55.33,0
"53","Pulleniatina_obliquiloculata",92.417,-44.77,0
"54","Pulleniatina_obliquiloculata",104.37,-39.38,0
"55","Pulleniatina_obliquiloculata",120.9,-36.75,0
"56","Pulleniatina_obliquiloculata",125.57,-46.53,0
"57","Pulleniatina_obliquiloculata",127.12,-49.33,0
"58","Pulleniatina_obliquiloculata",129.97,-51.08,0
"59","Pulleniatina_obliquiloculata",123.1,-47.77,0
"60","Pulleniatina_obliquiloculata",121.12,-45.42,0
"61","Pulleniatina_obliquiloculata",114.13,-41.37,0
"62","Pulleniatina_obliquiloculata",63.15,12.05,1
"63","Pulleniatina_obliquiloculata",58.083,17.883,0
"64","Pulleniatina_obliquiloculata",-10.57,45.1,0
"65","Pulleniatina_obliquiloculata",-15.4,54.983,0
"66","Pulleniatina_obliquiloculata",-77.22,10.183,1
"67","Pulleniatina_obliquiloculata",-77.22,10.183,1
"68","Pulleniatina_obliquiloculata",-69.67,21.3,0
"69","Pulleniatina_obliquiloculata",-81.63,13.483,0
"70","Pulleniatina_obliquiloculata",-79.53,16.567,1
"71","Pulleniatina_obliquiloculata",-79.53,16.567,0
"72","Pulleniatina_obliquiloculata",-81.1,11.767,0
"73","Pulleniatina_obliquiloculata",-45.97,4.967,1
"74","Pulleniatina_obliquiloculata",57.35,-43.03,0
"75","Pulleniatina_obliquiloculata",54.217,-34.33,0
"76","Pulleniatina_obliquiloculata",-45.4,2.217,1
"77","Pulleniatina_obliquiloculata",57.633,-22.4,1
"78","Pulleniatina_obliquiloculata",67.583,-34.92,0
"79","Pulleniatina_obliquiloculata",69.55,-36.48,0
"80","Pulleniatina_obliquiloculata",-43.77,0.917,1
"81","Pulleniatina_obliquiloculata",83.483,-38.03,0
"82","Pulleniatina_obliquiloculata",95.967,-28.07,0
"83","Pulleniatina_obliquiloculata",-41.52,1.683,1
"84","Pulleniatina_obliquiloculata",112.98,-33.8,0
"85","Pulleniatina_obliquiloculata",114.12,-31.57,0
"86","Pulleniatina_obliquiloculata",112.8,-21.42,1
"87","Pulleniatina_obliquiloculata",-4.6,-49,0
"88","Pulleniatina_obliquiloculata",-17.8,-42.58,0
"89","Pulleniatina_obliquiloculata",-75.04,11.91,1
"90","Pulleniatina_obliquiloculata",-71.67,15.617,0
"91","Pulleniatina_obliquiloculata",-74.79,15.857,1
"92","Pulleniatina_obliquiloculata",-76.96,10.032,1
"93","Pulleniatina_obliquiloculata",-78.15,11.25,1
"94","Pulleniatina_obliquiloculata",-77.17,14.695,0
"95","Pulleniatina_obliquiloculata",-7.722,3.705,1
"96","Pulleniatina_obliquiloculata",11.307,-25.49,0
"97","Pulleniatina_obliquiloculata",7.625,-46.6,0
"98","Pulleniatina_obliquiloculata",-15.57,-49.92,0
"99","Pulleniatina_obliquiloculata",-13.23,-46.1,0
"100","Pulleniatina_obliquiloculata",61.617,-12.38,1
"101","Pulleniatina_obliquiloculata",59.872,-12.85,1
"102","Pulleniatina_obliquiloculata",59.638,-13.61,1
"103","Pulleniatina_obliquiloculata",58.852,-15.59,1
"104","Pulleniatina_obliquiloculata",58.633,-16.23,1
"105","Pulleniatina_obliquiloculata",61.203,-2.807,1
"106","Pulleniatina_obliquiloculata",66.29,19.193,1
"107","Pulleniatina_obliquiloculata",67.298,21.472,1
"108","Pulleniatina_obliquiloculata",72.763,9.582,1
"109","Pulleniatina_obliquiloculata",65.617,-13.22,1
"110","Pulleniatina_obliquiloculata",-22.77,59.6532,0
"111","Pulleniatina_obliquiloculata",-21.1328,53.867,0
"112","Pulleniatina_obliquiloculata",-0.0667,63.4832,0
"113","Pulleniatina_obliquiloculata",-54.9,42.467,1
"114","Pulleniatina_obliquiloculata",-92.47,23.767,1
"115","Pulleniatina_obliquiloculata",-69.5,32.6,1
"116","Pulleniatina_obliquiloculata",-65.12,32.283,1
"117","Pulleniatina_obliquiloculata",-64.72,32.217,1
"118","Pulleniatina_obliquiloculata",-79.92,29.283,0
"119","Pulleniatina_obliquiloculata",-57.13,38.917,1
"120","Pulleniatina_obliquiloculata",-61.45,34.667,1
"121","Pulleniatina_obliquiloculata",-64.6,40.767,1
"122","Pulleniatina_obliquiloculata",-77.77,12.4,1
"123","Pulleniatina_obliquiloculata",-37.87,8.233,1
"124","Pulleniatina_obliquiloculata",-11.62,31.383,1
"125","Pulleniatina_obliquiloculata",-38.2,22.967,0
"126","Pulleniatina_obliquiloculata",-43.8,23.033,0
"127","Pulleniatina_obliquiloculata",-64.17,31.433,0
"128","Pulleniatina_obliquiloculata",-74.4,17,0
"129","Pulleniatina_obliquiloculata",-53.07,24.283,0
"130","Pulleniatina_obliquiloculata",7.017,-22.98,0
"131","Pulleniatina_obliquiloculata",-16.05,1.75,1
"132","Pulleniatina_obliquiloculata",-65.2,10.7,1
"133","Pulleniatina_obliquiloculata",65.517,3.867,1
"134","Pulleniatina_obliquiloculata",56.233,11.433,1
"135","Pulleniatina_obliquiloculata",53.45,13.433,1
"136","Pulleniatina_obliquiloculata",51,14.3,0
"137","Pulleniatina_obliquiloculata",48.4,12.867,1
"138","Pulleniatina_obliquiloculata",46.75,11.85,1
"139","Pulleniatina_obliquiloculata",45.633,12.617,1
"140","Pulleniatina_obliquiloculata",-40.52,15.483,0
"141","Pulleniatina_obliquiloculata",-32.85,0.85,1
"142","Pulleniatina_obliquiloculata",13.5,-39.2,0
"143","Pulleniatina_obliquiloculata",15.917,-35.88,1
"144","Pulleniatina_obliquiloculata",64.817,-4.3,1
"145","Pulleniatina_obliquiloculata",66.3,-2.833,1
"146","Pulleniatina_obliquiloculata",69.45,-0.633,1
"147","Pulleniatina_obliquiloculata",-37.07,1.967,1
"148","Pulleniatina_obliquiloculata",-46.48,23.333,0
"149","Pulleniatina_obliquiloculata",-51.87,30,1
"150","Pulleniatina_obliquiloculata",-48.42,17.267,1
"151","Pulleniatina_obliquiloculata",-50.83,60.033,0
"152","Pulleniatina_obliquiloculata",-40.67,13.25,1
"153","Pulleniatina_obliquiloculata",15,-33.2,0
"154","Pulleniatina_obliquiloculata",16.433,-33.35,1
"155","Pulleniatina_obliquiloculata",16.433,-33.35,0
"156","Pulleniatina_obliquiloculata",44.367,-46.02,0
"157","Pulleniatina_obliquiloculata",45.767,-45,0
"158","Pulleniatina_obliquiloculata",43.5,-37.15,0
"159","Pulleniatina_obliquiloculata",79.567,-29.73,0
"160","Pulleniatina_obliquiloculata",82.85,-31.05,0
"161","Pulleniatina_obliquiloculata",83.8,-31.63,0
"162","Pulleniatina_obliquiloculata",84.85,-32.38,0
"163","Pulleniatina_obliquiloculata",91.717,-30.2,0
"164","Pulleniatina_obliquiloculata",92.833,-28.883,0
"165","Pulleniatina_obliquiloculata",95.183,-28.017,0
"166","Pulleniatina_obliquiloculata",99.25,-31.53,0
"167","Pulleniatina_obliquiloculata",-65.05,28.483,0
"168","Pulleniatina_obliquiloculata",-18.92,12.383,1
"169","Pulleniatina_obliquiloculata",-28.93,24.967,1
"170","Pulleniatina_obliquiloculata",-34.13,27.967,1
"171","Pulleniatina_obliquiloculata",-36.92,29.617,0
"172","Pulleniatina_obliquiloculata",-47.73,58.367,0
"173","Pulleniatina_obliquiloculata",-57.83,60.733,0
"174","Pulleniatina_obliquiloculata",-80.43,11.75,0
"175","Pulleniatina_obliquiloculata",-51.12,13.733,1
"176","Pulleniatina_obliquiloculata",15.983,-33.23,1
"177","Pulleniatina_obliquiloculata",29.933,-38.98,0
"178","Pulleniatina_obliquiloculata",37.867,-37.63,0
"179","Pulleniatina_obliquiloculata",41.85,-36.12,1
"180","Pulleniatina_obliquiloculata",63.533,-20.58,0
"181","Pulleniatina_obliquiloculata",-47.75,4.233,1
"182","Pulleniatina_obliquiloculata",114.45,-30.57,1
"183","Pulleniatina_obliquiloculata",140.62,-38.57,0
"184","Pulleniatina_obliquiloculata",-67.55,38.75,1
"185","Pulleniatina_obliquiloculata",62.783,8.117,1
"186","Pulleniatina_obliquiloculata",61.067,7.433,1
"187","Pulleniatina_obliquiloculata",41.55,-4.217,1
"188","Pulleniatina_obliquiloculata",41.6,-19.92,1
"189","Pulleniatina_obliquiloculata",13.283,-30.58,0
"190","Pulleniatina_obliquiloculata",9.583,-29.52,0
"191","Pulleniatina_obliquiloculata",10.8,-21.83,0
"192","Pulleniatina_obliquiloculata",-5.25,2,1
"193","Pulleniatina_obliquiloculata",-9.083,1.417,1
"194","Pulleniatina_obliquiloculata",-15.05,3.65,1
"195","Pulleniatina_obliquiloculata",-41.4,29.017,1
"196","Pulleniatina_obliquiloculata",-48.27,33.3,1
"197","Pulleniatina_obliquiloculata",68.483,-21.98,1
"198","Pulleniatina_obliquiloculata",64.9,-23.05,0
"199","Pulleniatina_obliquiloculata",-35.6,2.1,1
"200","Pulleniatina_obliquiloculata",-33.03,5.317,1
"201","Pulleniatina_obliquiloculata",-30.13,8.467,1
"202","Pulleniatina_obliquiloculata",-68.53,38.283,1
"203","Pulleniatina_obliquiloculata",-60.52,11.533,1
"204","Pulleniatina_obliquiloculata",-77.23,14.45,1
"205","Pulleniatina_obliquiloculata",-10.9,-46.13,0
"206","Pulleniatina_obliquiloculata",-6.633,-44.47,0
"207","Pulleniatina_obliquiloculata",-3.25,-43.18,0
"208","Pulleniatina_obliquiloculata",-20.12,3.383,1
"209","Pulleniatina_obliquiloculata",-18.58,14.167,1
"210","Pulleniatina_obliquiloculata",-21.15,14.4,1
"211","Pulleniatina_obliquiloculata",-23.23,15.017,1
"212","Pulleniatina_obliquiloculata",-31.45,20.7,1
"213","Pulleniatina_obliquiloculata",-43.63,27.917,0
"214","Pulleniatina_obliquiloculata",-52.3,32.65,1
"215","Pulleniatina_obliquiloculata",-57.25,34.75,1
"216","Pulleniatina_obliquiloculata",-45.63,12.75,1
"217","Pulleniatina_obliquiloculata",-25.53,19.883,1
"218","Pulleniatina_obliquiloculata",-35.83,17.2,1
"219","Pulleniatina_obliquiloculata",-40.67,17.483,1
"220","Pulleniatina_obliquiloculata",-45.13,41.517,1
"221","Pulleniatina_obliquiloculata",-45.05,46,0
"222","Pulleniatina_obliquiloculata",-27.53,62.667,0
"223","Pulleniatina_obliquiloculata",0.0167,68.0333,0
"224","Pulleniatina_obliquiloculata",8.317,70.05,0
"225","Pulleniatina_obliquiloculata",0.2,77.95,0
"226","Pulleniatina_obliquiloculata",6.683,70.983,0
"227","Pulleniatina_obliquiloculata",2.717,68.55,0
"228","Pulleniatina_obliquiloculata",-17.57,60.933,0
"229","Pulleniatina_obliquiloculata",-16.83,54.25,0
"230","Pulleniatina_obliquiloculata",-21.93,52.583,0
"231","Pulleniatina_obliquiloculata",-24.25,49.867,0
"232","Pulleniatina_obliquiloculata",-16.92,46,0
"233","Pulleniatina_obliquiloculata",-15.1,29.8,1
"234","Pulleniatina_obliquiloculata",-76.63,12.25,1
"235","Pulleniatina_obliquiloculata",-72.6,22.6,0
"236","Pulleniatina_obliquiloculata",-46.7,26.783,1
"237","Pulleniatina_obliquiloculata",-43,9.317,1
"238","Pulleniatina_obliquiloculata",-71.23,17.033,1
"239","Pulleniatina_obliquiloculata",-18.18,9.567,1
"240","Pulleniatina_obliquiloculata",-17.92,6.267,1
"241","Pulleniatina_obliquiloculata",-18.25,6.033,1
"242","Pulleniatina_obliquiloculata",-18.08,5.833,1
"243","Pulleniatina_obliquiloculata",-14.8,0.3,1
"244","Pulleniatina_obliquiloculata",-60.5,42.267,1
"245","Pulleniatina_obliquiloculata",-14.2,62.133,0
"246","Pulleniatina_obliquiloculata",-24.08,56.067,0
"247","Pulleniatina_obliquiloculata",-14.68,43.8,0
"248","Pulleniatina_obliquiloculata",-17.07,42.7,0
"249","Pulleniatina_obliquiloculata",-20.15,39.717,0
"250","Pulleniatina_obliquiloculata",-13.55,39.617,0
"251","Pulleniatina_obliquiloculata",-43.23,42.75,1
"252","Pulleniatina_obliquiloculata",-39.87,44.167,1
"253","Pulleniatina_obliquiloculata",-26.58,25.933,1
"254","Pulleniatina_obliquiloculata",-37.3,50.1,0
"255","Pulleniatina_obliquiloculata",-28.85,16.533,1
"256","Pulleniatina_obliquiloculata",-46.2,54,0
"257","Pulleniatina_obliquiloculata",-46.87,54.033,0
"258","Pulleniatina_obliquiloculata",-50.8,54.467,0
"259","Pulleniatina_obliquiloculata",-53.12,54.733,0
"260","Pulleniatina_obliquiloculata",1.983,1,1
"261","Pulleniatina_obliquiloculata",-11.82,3.05,0
"262","Pulleniatina_obliquiloculata",-54.7,56.733,0
"263","Pulleniatina_obliquiloculata",-13.63,1.05,1
"264","Pulleniatina_obliquiloculata",-44.62,58.183,0
"265","Pulleniatina_obliquiloculata",-37.275,60.7033,0
"266","Pulleniatina_obliquiloculata",-11.5,61.367,0
"267","Pulleniatina_obliquiloculata",-6.133,63.45,0
"268","Pulleniatina_obliquiloculata",-6.217,65.017,0
"269","Pulleniatina_obliquiloculata",-5.4,76.167,0
"270","Pulleniatina_obliquiloculata",2.667,73.533,0
"271","Pulleniatina_obliquiloculata",4.633,78.833,0
"272","Pulleniatina_obliquiloculata",6.917,76.467,0
"273","Pulleniatina_obliquiloculata",3.617,78.117,0
"274","Pulleniatina_obliquiloculata",7.417,78.4,0
"275","Pulleniatina_obliquiloculata",-10.8,75,0
"276","Pulleniatina_obliquiloculata",-7.433,60.65,0
"277","Pulleniatina_obliquiloculata",-73.92,14.933,1
"278","Pulleniatina_obliquiloculata",-72.37,13.933,1
"279","Pulleniatina_obliquiloculata",-76.6,17.033,0
"280","Pulleniatina_obliquiloculata",-81.15,10.983,1
"281","Pulleniatina_obliquiloculata",-80.4,11.117,0
"282","Pulleniatina_obliquiloculata",-13.65,72.433,0
"283","Pulleniatina_obliquiloculata",-0.833,73.483,0
"284","Pulleniatina_obliquiloculata",5.267,72.183,0
"285","Pulleniatina_obliquiloculata",-1.617,71.167,0
"286","Pulleniatina_obliquiloculata",-1.617,71.167,0
"287","Pulleniatina_obliquiloculata",0.583,62.9,0
"288","Pulleniatina_obliquiloculata",-3.583,64.833,0
"289","Pulleniatina_obliquiloculata",-3.583,64.833,0
"290","Pulleniatina_obliquiloculata",-12.72,68.717,0
"291","Pulleniatina_obliquiloculata",-12.72,68.717,0
"292","Pulleniatina_obliquiloculata",-9.0667,72.0667,0
"293","Pulleniatina_obliquiloculata",-4.4,69.383,0
"294","Pulleniatina_obliquiloculata",0.233,67.683,0
"295","Pulleniatina_obliquiloculata",0.233,67.683,0
"296","Pulleniatina_obliquiloculata",11.667,74.483,0
"297","Pulleniatina_obliquiloculata",-4.0167,64.0833,0
"298","Pulleniatina_obliquiloculata",-50.83,26.783,1
"299","Pulleniatina_obliquiloculata",88.083,14.15,1
"300","Pulleniatina_obliquiloculata",-17.92,16.383,0
"301","Pulleniatina_obliquiloculata",-20.07,22.467,1
"302","Pulleniatina_obliquiloculata",-25.72,41.533,0
"303","Pulleniatina_obliquiloculata",-25.15,42.85,0
"304","Pulleniatina_obliquiloculata",-23.87,45.3,0
"305","Pulleniatina_obliquiloculata",-17.53,52.367,0
"306","Pulleniatina_obliquiloculata",-15.57,58.733,0
"307","Pulleniatina_obliquiloculata",-19.2,59.95,0
"308","Pulleniatina_obliquiloculata",-20.97,60.383,0
"309","Pulleniatina_obliquiloculata",-25.12,61.55,0
"310","Pulleniatina_obliquiloculata",-6.733,66.733,0
"311","Pulleniatina_obliquiloculata",-6.667,67.783,0
"312","Pulleniatina_obliquiloculata",-6.983,72.967,0
"313","Pulleniatina_obliquiloculata",-5.417,68.383,0
"314","Pulleniatina_obliquiloculata",-0.067,65.167,0
"315","Pulleniatina_obliquiloculata",-14.53,62.85,0
"316","Pulleniatina_obliquiloculata",-24.05,61.917,0
"317","Pulleniatina_obliquiloculata",-38.78333333,28,0
"318","Pulleniatina_obliquiloculata",-73.51666667,38.18333333,0
"319","Pulleniatina_obliquiloculata",-41.75,50.93333333,0
"320","Pulleniatina_obliquiloculata",-67.33333333,35.71666667,1
"321","Pulleniatina_obliquiloculata",-68.91666667,36.13333333,1
"322","Pulleniatina_obliquiloculata",-69.13333333,36.13333333,1
"323","Pulleniatina_obliquiloculata",-68.93333333,35.78333333,1
"324","Pulleniatina_obliquiloculata",-69.4,36.21666667,1
"325","Pulleniatina_obliquiloculata",-72.95,37.65,1
"326","Pulleniatina_obliquiloculata",-74.35,31.83333333,1
"327","Pulleniatina_obliquiloculata",-75.35,31.65,1
"328","Pulleniatina_obliquiloculata",-76.8,29.76666667,1
"329","Pulleniatina_obliquiloculata",-78.55,19.4,1
"330","Pulleniatina_obliquiloculata",-75.75,23.93333333,1
"331","Pulleniatina_obliquiloculata",-75.91666667,24.8,0
"332","Pulleniatina_obliquiloculata",-67.66666667,30.78333333,1
"333","Pulleniatina_obliquiloculata",-42.65,39.13333333,1
"334","Pulleniatina_obliquiloculata",-36.7,39.26666667,0
"335","Pulleniatina_obliquiloculata",-27.36666667,33.56666667,0
"336","Pulleniatina_obliquiloculata",-19.3,25.83333333,1
"337","Pulleniatina_obliquiloculata",-17.06666667,5.283333333,1
"338","Pulleniatina_obliquiloculata",-18.3,3.65,1
"339","Pulleniatina_obliquiloculata",-21.78333333,0.583333333,1
"340","Pulleniatina_obliquiloculata",-26.03333333,-0.766666667,1
"341","Pulleniatina_obliquiloculata",-27.01666667,-1.5,1
"342","Pulleniatina_obliquiloculata",-57.33333333,10.55,1
"343","Pulleniatina_obliquiloculata",-59.2,20.71666667,1
"344","Pulleniatina_obliquiloculata",51.9,12,1
"345","Pulleniatina_obliquiloculata",53.16666667,10.25,1
"346","Pulleniatina_obliquiloculata",51.73333333,8.983333333,1
"347","Pulleniatina_obliquiloculata",51.61666667,8.9,0
"348","Pulleniatina_obliquiloculata",60.21666667,9.216666667,1
"349","Pulleniatina_obliquiloculata",69.43333333,20.15,1
"350","Pulleniatina_obliquiloculata",67.91666667,20.11666667,1
"351","Pulleniatina_obliquiloculata",59.55,21,1
"352","Pulleniatina_obliquiloculata",61.01666667,20.83333333,1
"353","Pulleniatina_obliquiloculata",57.18333333,17.43333333,1
"354","Pulleniatina_obliquiloculata",54.76666667,16.23333333,1
"355","Pulleniatina_obliquiloculata",54.63333333,15.26666667,1
"356","Pulleniatina_obliquiloculata",57.35,14.93333333,1
"357","Pulleniatina_obliquiloculata",-34.56666667,-29.13333333,0
"358","Pulleniatina_obliquiloculata",71.56666667,13.58333333,1
"359","Pulleniatina_obliquiloculata",74.18333333,9.9,1
"360","Pulleniatina_obliquiloculata",73.4,7.033333333,1
"361","Pulleniatina_obliquiloculata",127.85,-9.1,1
"362","Pulleniatina_obliquiloculata",133.8333333,-4.883333333,1
"363","Pulleniatina_obliquiloculata",131.9833333,-4.666666667,1
"364","Pulleniatina_obliquiloculata",130.6166667,-2.633333333,1
"365","Pulleniatina_obliquiloculata",112.6833333,-11.88333333,1
"366","Pulleniatina_obliquiloculata",175.3833333,36.56666667,0
"367","Pulleniatina_obliquiloculata",178.6333333,36.43333333,0
"368","Pulleniatina_obliquiloculata",46.98333333,-13.3,1
"369","Pulleniatina_obliquiloculata",41.61666667,-12.98333333,1
"370","Pulleniatina_obliquiloculata",41.4,-13.18333333,1
"371","Pulleniatina_obliquiloculata",41.55,-16.06666667,1
"372","Pulleniatina_obliquiloculata",41.83333333,-11.51666667,1
"373","Pulleniatina_obliquiloculata",-121.8833333,19,1
"374","Pulleniatina_obliquiloculata",-11.11666667,-8.283333333,1
