"","Taxa","Longitude","Latitude","value"
"1","Sphaeroidinella_dehiscens",-30.267,44.3498,0
"2","Sphaeroidinella_dehiscens",-41.75,50.9332,0
"3","Sphaeroidinella_dehiscens",-67.3333,35.7167,1
"4","Sphaeroidinella_dehiscens",-68.9167,36.1333,1
"5","Sphaeroidinella_dehiscens",-69.15,36.15,1
"6","Sphaeroidinella_dehiscens",-68.9333,35.7833,0
"7","Sphaeroidinella_dehiscens",-69.4,36.2167,0
"8","Sphaeroidinella_dehiscens",-74.35,31.8333,1
"9","Sphaeroidinella_dehiscens",-75.35,31.65,0
"10","Sphaeroidinella_dehiscens",-72.95,37.65,0
"11","Sphaeroidinella_dehiscens",-75.75,23.9333,0
"12","Sphaeroidinella_dehiscens",-75.9333,24.8,0
"13","Sphaeroidinella_dehiscens",-67.6667,30.7833,0
"14","Sphaeroidinella_dehiscens",-69.0833,35.7667,0
"15","Sphaeroidinella_dehiscens",-42.65,39.1332,0
"16","Sphaeroidinella_dehiscens",-27.367,33.333,0
"17","Sphaeroidinella_dehiscens",-17.0667,5.2833,1
"18","Sphaeroidinella_dehiscens",-18.3,3.65,1
"19","Sphaeroidinella_dehiscens",-24.1667,-0.05,0
"20","Sphaeroidinella_dehiscens",-26.0333,-0.7667,0
"21","Sphaeroidinella_dehiscens",-59.2,20.7332,1
"22","Sphaeroidinella_dehiscens",62.5,-14.03333333,0
"23","Sphaeroidinella_dehiscens",70.4,-25.41666667,0
"24","Sphaeroidinella_dehiscens",58.51666667,-10.35,0
"25","Sphaeroidinella_dehiscens",59.68333333,-13.68333333,1
"26","Sphaeroidinella_dehiscens",70.96666667,-44.63333333,0
"27","Sphaeroidinella_dehiscens",114.3833333,-31.51666667,0
"28","Sphaeroidinella_dehiscens",67.88333333,-39.73333333,0
"29","Sphaeroidinella_dehiscens",113.9333333,-31.26666667,0
"30","Sphaeroidinella_dehiscens",87.85,-18.68333333,0
"31","Sphaeroidinella_dehiscens",70.2,-14.9,1
"32","Sphaeroidinella_dehiscens",62,-17.8,0
