"","Taxa","Longitude","Latitude","value"
"1","Tenuitella_iota",-30.267,44.3498,0
"2","Tenuitella_iota",-41.75,50.9332,0
"3","Tenuitella_iota",-67.3333,35.7167,0
"4","Tenuitella_iota",-68.9167,36.1333,0
"5","Tenuitella_iota",-69.15,36.15,0
"6","Tenuitella_iota",-68.9333,35.7833,0
"7","Tenuitella_iota",-69.4,36.2167,0
"8","Tenuitella_iota",-74.35,31.8333,0
"9","Tenuitella_iota",-75.35,31.65,0
"10","Tenuitella_iota",-72.95,37.65,0
"11","Tenuitella_iota",-75.75,23.9333,0
"12","Tenuitella_iota",-75.9333,24.8,0
"13","Tenuitella_iota",-67.6667,30.7833,0
"14","Tenuitella_iota",-69.0833,35.7667,0
"15","Tenuitella_iota",-42.65,39.1332,0
"16","Tenuitella_iota",-27.367,33.333,0
"17","Tenuitella_iota",-17.0667,5.2833,0
"18","Tenuitella_iota",-18.3,3.65,0
"19","Tenuitella_iota",-24.1667,-0.05,0
"20","Tenuitella_iota",-26.0333,-0.7667,0
"21","Tenuitella_iota",-59.2,20.7332,0
"22","Tenuitella_iota",62.5,-14.03333333,0
"23","Tenuitella_iota",70.4,-25.41666667,0
"24","Tenuitella_iota",58.51666667,-10.35,0
"25","Tenuitella_iota",59.68333333,-13.68333333,0
"26","Tenuitella_iota",70.96666667,-44.63333333,0
"27","Tenuitella_iota",114.3833333,-31.51666667,0
"28","Tenuitella_iota",67.88333333,-39.73333333,0
"29","Tenuitella_iota",113.9333333,-31.26666667,1
"30","Tenuitella_iota",87.85,-18.68333333,0
"31","Tenuitella_iota",70.2,-14.9,0
"32","Tenuitella_iota",62,-17.8,0
"33","Tenuitella_iota",73.88333333,-23.93333333,0
"34","Tenuitella_iota",75.05,-39.83333333,0
"35","Tenuitella_iota",119.735,-53.038,0
"36","Tenuitella_iota",114.478,-48.008,1
"37","Tenuitella_iota",114.423,-47.533,0
"38","Tenuitella_iota",114.417,-46.448,0
"39","Tenuitella_iota",114.368,-43.953,0
"40","Tenuitella_iota",95.082,-45.022,0
"41","Tenuitella_iota",95.08,-47.128,0
