"","Taxa","Longitude","Latitude","value"
"1","Trilobatus_sacculifer",-30.267,44.3498,1
"2","Trilobatus_sacculifer",-41.75,50.9332,1
"3","Trilobatus_sacculifer",-67.3333,35.7167,1
"4","Trilobatus_sacculifer",-68.9167,36.1333,1
"5","Trilobatus_sacculifer",-69.15,36.15,1
"6","Trilobatus_sacculifer",-68.9333,35.7833,1
"7","Trilobatus_sacculifer",-69.4,36.2167,1
"8","Trilobatus_sacculifer",-74.35,31.8333,1
"9","Trilobatus_sacculifer",-75.35,31.65,1
"10","Trilobatus_sacculifer",-72.95,37.65,1
"11","Trilobatus_sacculifer",-75.75,23.9333,1
"12","Trilobatus_sacculifer",-75.9333,24.8,1
"13","Trilobatus_sacculifer",-67.6667,30.7833,1
"14","Trilobatus_sacculifer",-69.0833,35.7667,1
"15","Trilobatus_sacculifer",-42.65,39.1332,1
"16","Trilobatus_sacculifer",-27.367,33.333,1
"17","Trilobatus_sacculifer",-17.0667,5.2833,1
"18","Trilobatus_sacculifer",-18.3,3.65,1
"19","Trilobatus_sacculifer",-24.1667,-0.05,1
"20","Trilobatus_sacculifer",-26.0333,-0.7667,1
"21","Trilobatus_sacculifer",-59.2,20.7332,1
"22","Trilobatus_sacculifer",62.5,-14.03333333,1
"23","Trilobatus_sacculifer",70.4,-25.41666667,1
"24","Trilobatus_sacculifer",58.51666667,-10.35,1
"25","Trilobatus_sacculifer",59.68333333,-13.68333333,1
"26","Trilobatus_sacculifer",70.96666667,-44.63333333,0
"27","Trilobatus_sacculifer",114.3833333,-31.51666667,1
"28","Trilobatus_sacculifer",67.88333333,-39.73333333,0
"29","Trilobatus_sacculifer",113.9333333,-31.26666667,1
"30","Trilobatus_sacculifer",87.85,-18.68333333,1
"31","Trilobatus_sacculifer",70.2,-14.9,1
"32","Trilobatus_sacculifer",62,-17.8,1
"33","Trilobatus_sacculifer",73.88333333,-23.93333333,1
"34","Trilobatus_sacculifer",75.05,-39.83333333,1
"35","Trilobatus_sacculifer",119.735,-53.038,0
