"","Taxa","Longitude","Latitude","value"
"1","Turborotalita_humilis",-30.267,44.3498,0
"2","Turborotalita_humilis",-41.75,50.9332,0
"3","Turborotalita_humilis",-67.3333,35.7167,1
"4","Turborotalita_humilis",-68.9167,36.1333,1
"5","Turborotalita_humilis",-69.15,36.15,0
"6","Turborotalita_humilis",-68.9333,35.7833,1
"7","Turborotalita_humilis",-69.4,36.2167,0
"8","Turborotalita_humilis",-74.35,31.8333,1
"9","Turborotalita_humilis",-75.35,31.65,1
"10","Turborotalita_humilis",-72.95,37.65,0
"11","Turborotalita_humilis",-75.75,23.9333,0
"12","Turborotalita_humilis",-75.9333,24.8,0
"13","Turborotalita_humilis",-67.6667,30.7833,1
"14","Turborotalita_humilis",-69.0833,35.7667,1
"15","Turborotalita_humilis",-42.65,39.1332,0
"16","Turborotalita_humilis",-27.367,33.333,1
"17","Turborotalita_humilis",-17.0667,5.2833,0
"18","Turborotalita_humilis",-18.3,3.65,0
"19","Turborotalita_humilis",-24.1667,-0.05,0
"20","Turborotalita_humilis",-26.0333,-0.7667,0
"21","Turborotalita_humilis",-59.2,20.7332,0
"22","Turborotalita_humilis",62.5,-14.03333333,0
"23","Turborotalita_humilis",70.4,-25.41666667,0
"24","Turborotalita_humilis",58.51666667,-10.35,0
"25","Turborotalita_humilis",59.68333333,-13.68333333,0
"26","Turborotalita_humilis",70.96666667,-44.63333333,0
"27","Turborotalita_humilis",114.3833333,-31.51666667,0
"28","Turborotalita_humilis",67.88333333,-39.73333333,0
"29","Turborotalita_humilis",113.9333333,-31.26666667,0
"30","Turborotalita_humilis",87.85,-18.68333333,0
"31","Turborotalita_humilis",70.2,-14.9,0
"32","Turborotalita_humilis",62,-17.8,0
"33","Turborotalita_humilis",73.88333333,-23.93333333,0
"34","Turborotalita_humilis",75.05,-39.83333333,0
"35","Turborotalita_humilis",119.735,-53.038,0
"36","Turborotalita_humilis",105.548,-43.308,0
"37","Turborotalita_humilis",114.478,-48.008,0
"38","Turborotalita_humilis",114.423,-47.533,0
"39","Turborotalita_humilis",114.417,-46.448,0
"40","Turborotalita_humilis",114.348,-45.037,1
"41","Turborotalita_humilis",114.368,-43.953,0
"42","Turborotalita_humilis",100.012,-41.02,1
"43","Turborotalita_humilis",83.723,-39.515,1
"44","Turborotalita_humilis",95.082,-45.022,0
"45","Turborotalita_humilis",95.08,-47.128,0
"46","Turborotalita_humilis",95.037,-47.988,0
"47","Turborotalita_humilis",94.832,-49.378,0
"48","Turborotalita_humilis",-16.95,24.5,1
"49","Turborotalita_humilis",-74.88,14,0
"50","Turborotalita_humilis",46.2,-43.78,0
"51","Turborotalita_humilis",51.267,-43.63,0
"52","Turborotalita_humilis",65.467,-55.33,0
"53","Turborotalita_humilis",92.417,-44.77,0
"54","Turborotalita_humilis",104.37,-39.38,0
"55","Turborotalita_humilis",120.9,-36.75,0
"56","Turborotalita_humilis",125.57,-46.53,0
"57","Turborotalita_humilis",127.12,-49.33,0
"58","Turborotalita_humilis",129.97,-51.08,0
"59","Turborotalita_humilis",123.1,-47.77,0
