"","Taxa","Longitude","Latitude","value"
"1","Turborotalita_humilis_and_Berggrenia_pumilio",57.36666667,13.86666667,1
"2","Turborotalita_humilis_and_Berggrenia_pumilio",-127.3333333,-44.21666667,1
"3","Turborotalita_humilis_and_Berggrenia_pumilio",-116.2166667,1.45,1
"4","Turborotalita_humilis_and_Berggrenia_pumilio",-42.91666667,4.95,1
"5","Turborotalita_humilis_and_Berggrenia_pumilio",98.86666667,-32,1
"6","Turborotalita_humilis_and_Berggrenia_pumilio",113.9333333,-32.26666667,1
"7","Turborotalita_humilis_and_Berggrenia_pumilio",95.15,8.716666667,1
"8","Turborotalita_humilis_and_Berggrenia_pumilio",-149.4,-4.433333333,1
"9","Turborotalita_humilis_and_Berggrenia_pumilio",-161.9833333,10.01666667,1
"10","Turborotalita_humilis_and_Berggrenia_pumilio",57.61666667,17.71666667,1
"11","Turborotalita_humilis_and_Berggrenia_pumilio",-113.4833333,-14.68333333,1
"12","Turborotalita_humilis_and_Berggrenia_pumilio",-160.5,5.35,1
"13","Turborotalita_humilis_and_Berggrenia_pumilio",58.23333333,19.26666667,1
"14","Turborotalita_humilis_and_Berggrenia_pumilio",83.81666667,-31.63333333,1
"15","Turborotalita_humilis_and_Berggrenia_pumilio",92.83333333,-28.88333333,1
"16","Turborotalita_humilis_and_Berggrenia_pumilio",85.96666667,6.683333333,1
"17","Turborotalita_humilis_and_Berggrenia_pumilio",73.8,5.083333333,1
"18","Turborotalita_humilis_and_Berggrenia_pumilio",76.25,3.083333333,1
"19","Turborotalita_humilis_and_Berggrenia_pumilio",89.58333333,-6.116666667,1
"20","Turborotalita_humilis_and_Berggrenia_pumilio",-42.917,4.95,1
"21","Turborotalita_humilis_and_Berggrenia_pumilio",57.36666667,13.86666667,1
"22","Turborotalita_humilis_and_Berggrenia_pumilio",-127.3333333,-44.21666667,1
"23","Turborotalita_humilis_and_Berggrenia_pumilio",98.86666667,-32,1
"24","Turborotalita_humilis_and_Berggrenia_pumilio",113.9333333,-32.26666667,1
"25","Turborotalita_humilis_and_Berggrenia_pumilio",95.15,8.716666667,1
"26","Turborotalita_humilis_and_Berggrenia_pumilio",-149.4,-4.433333333,1
"27","Turborotalita_humilis_and_Berggrenia_pumilio",57.61666667,17.71666667,1
"28","Turborotalita_humilis_and_Berggrenia_pumilio",58.23333333,19.26666667,1
"29","Turborotalita_humilis_and_Berggrenia_pumilio",83.81666667,-31.63333333,1
"30","Turborotalita_humilis_and_Berggrenia_pumilio",92.83333333,-28.88333333,1
"31","Turborotalita_humilis_and_Berggrenia_pumilio",85.96666667,6.683333333,1
"32","Turborotalita_humilis_and_Berggrenia_pumilio",73.8,5.083333333,1
"33","Turborotalita_humilis_and_Berggrenia_pumilio",76.25,3.083333333,1
"34","Turborotalita_humilis_and_Berggrenia_pumilio",-161.9833333,10.01666667,1
