"","Taxa","Longitude","Latitude","value"
"1","Turborotalita_quinqueloba",-30.267,44.3498,1
"2","Turborotalita_quinqueloba",-41.75,50.9332,1
"3","Turborotalita_quinqueloba",-67.3333,35.7167,0
"4","Turborotalita_quinqueloba",-68.9167,36.1333,0
"5","Turborotalita_quinqueloba",-69.15,36.15,0
"6","Turborotalita_quinqueloba",-68.9333,35.7833,0
"7","Turborotalita_quinqueloba",-69.4,36.2167,0
"8","Turborotalita_quinqueloba",-74.35,31.8333,0
"9","Turborotalita_quinqueloba",-75.35,31.65,0
"10","Turborotalita_quinqueloba",-72.95,37.65,0
"11","Turborotalita_quinqueloba",-75.75,23.9333,0
"12","Turborotalita_quinqueloba",-75.9333,24.8,0
"13","Turborotalita_quinqueloba",-67.6667,30.7833,0
"14","Turborotalita_quinqueloba",-69.0833,35.7667,0
"15","Turborotalita_quinqueloba",-42.65,39.1332,0
"16","Turborotalita_quinqueloba",-27.367,33.333,1
"17","Turborotalita_quinqueloba",-17.0667,5.2833,0
"18","Turborotalita_quinqueloba",-18.3,3.65,1
"19","Turborotalita_quinqueloba",-24.1667,-0.05,0
"20","Turborotalita_quinqueloba",-26.0333,-0.7667,0
"21","Turborotalita_quinqueloba",-59.2,20.7332,1
"22","Turborotalita_quinqueloba",62.5,-14.03333333,0
"23","Turborotalita_quinqueloba",70.4,-25.41666667,0
"24","Turborotalita_quinqueloba",58.51666667,-10.35,0
"25","Turborotalita_quinqueloba",59.68333333,-13.68333333,0
"26","Turborotalita_quinqueloba",70.96666667,-44.63333333,1
"27","Turborotalita_quinqueloba",114.3833333,-31.51666667,0
"28","Turborotalita_quinqueloba",67.88333333,-39.73333333,0
"29","Turborotalita_quinqueloba",113.9333333,-31.26666667,1
"30","Turborotalita_quinqueloba",87.85,-18.68333333,0
"31","Turborotalita_quinqueloba",70.2,-14.9,0
"32","Turborotalita_quinqueloba",62,-17.8,0
"33","Turborotalita_quinqueloba",73.88333333,-23.93333333,0
"34","Turborotalita_quinqueloba",75.05,-39.83333333,1
"35","Turborotalita_quinqueloba",119.735,-53.038,1
"36","Turborotalita_quinqueloba",105.548,-43.308,1
"37","Turborotalita_quinqueloba",114.478,-48.008,1
"38","Turborotalita_quinqueloba",114.423,-47.533,1
"39","Turborotalita_quinqueloba",114.417,-46.448,0
"40","Turborotalita_quinqueloba",114.348,-45.037,1
"41","Turborotalita_quinqueloba",114.368,-43.953,1
"42","Turborotalita_quinqueloba",100.012,-41.02,1
"43","Turborotalita_quinqueloba",83.723,-39.515,1
"44","Turborotalita_quinqueloba",95.082,-45.022,1
"45","Turborotalita_quinqueloba",95.08,-47.128,1
"46","Turborotalita_quinqueloba",95.037,-47.988,1
"47","Turborotalita_quinqueloba",94.832,-49.378,0
"48","Turborotalita_quinqueloba",-16.95,24.5,1
"49","Turborotalita_quinqueloba",-74.88,14,0
"50","Turborotalita_quinqueloba",46.2,-43.78,1
"51","Turborotalita_quinqueloba",51.267,-43.63,0
"52","Turborotalita_quinqueloba",65.467,-55.33,0
"53","Turborotalita_quinqueloba",92.417,-44.77,1
"54","Turborotalita_quinqueloba",104.37,-39.38,1
"55","Turborotalita_quinqueloba",120.9,-36.75,1
"56","Turborotalita_quinqueloba",125.57,-46.53,1
"57","Turborotalita_quinqueloba",127.12,-49.33,1
"58","Turborotalita_quinqueloba",129.97,-51.08,1
"59","Turborotalita_quinqueloba",123.1,-47.77,0
"60","Turborotalita_quinqueloba",121.12,-45.42,1
"61","Turborotalita_quinqueloba",114.13,-41.37,0
"62","Turborotalita_quinqueloba",63.15,12.05,0
"63","Turborotalita_quinqueloba",58.083,17.883,1
"64","Turborotalita_quinqueloba",-10.57,45.1,0
"65","Turborotalita_quinqueloba",-15.4,54.983,1
"66","Turborotalita_quinqueloba",-77.22,10.183,0
"67","Turborotalita_quinqueloba",-77.22,10.183,0
"68","Turborotalita_quinqueloba",-69.67,21.3,0
"69","Turborotalita_quinqueloba",-81.63,13.483,0
"70","Turborotalita_quinqueloba",-79.53,16.567,0
"71","Turborotalita_quinqueloba",-79.53,16.567,0
"72","Turborotalita_quinqueloba",-81.1,11.767,0
"73","Turborotalita_quinqueloba",-45.97,4.967,0
"74","Turborotalita_quinqueloba",57.35,-43.03,1
"75","Turborotalita_quinqueloba",54.217,-34.33,1
"76","Turborotalita_quinqueloba",-45.4,2.217,0
"77","Turborotalita_quinqueloba",57.633,-22.4,0
"78","Turborotalita_quinqueloba",67.583,-34.92,0
"79","Turborotalita_quinqueloba",69.55,-36.48,1
"80","Turborotalita_quinqueloba",-43.77,0.917,0
"81","Turborotalita_quinqueloba",83.483,-38.03,1
"82","Turborotalita_quinqueloba",95.967,-28.07,0
"83","Turborotalita_quinqueloba",-41.52,1.683,0
"84","Turborotalita_quinqueloba",112.98,-33.8,0
"85","Turborotalita_quinqueloba",114.12,-31.57,1
"86","Turborotalita_quinqueloba",112.8,-21.42,0
"87","Turborotalita_quinqueloba",-4.6,-49,0
