"","Taxa","Longitude","Latitude","value"
"1","Turborotalita_quinqueloba_sinistral_coiling",-44.05,5.433,1
"2","Turborotalita_quinqueloba_sinistral_coiling",-84.867,25.95,1
"3","Turborotalita_quinqueloba_sinistral_coiling",-86.25,20.733,1
"4","Turborotalita_quinqueloba_sinistral_coiling",-85.283,20.4,1
"5","Turborotalita_quinqueloba_sinistral_coiling",-85.7,21.45,1
"6","Turborotalita_quinqueloba_sinistral_coiling",59.36666667,23.11666667,1
"7","Turborotalita_quinqueloba_sinistral_coiling",-82.8,-2.6,1
"8","Turborotalita_quinqueloba_sinistral_coiling",-85.82,-1.52,1
"9","Turborotalita_quinqueloba_sinistral_coiling",157.8666667,-25.88333333,1
"10","Turborotalita_quinqueloba_sinistral_coiling",163.5166667,-24.88333333,1
"11","Turborotalita_quinqueloba_sinistral_coiling",70.05,14.76666667,1
"12","Turborotalita_quinqueloba_sinistral_coiling",-85.1,-3.6,1
"13","Turborotalita_quinqueloba_sinistral_coiling",-106.18,-0.37,1
"14","Turborotalita_quinqueloba_sinistral_coiling",-84.016,8.3803,1
"15","Turborotalita_quinqueloba_sinistral_coiling",142.5,27.96666667,1
"16","Turborotalita_quinqueloba_sinistral_coiling",158.0666667,5.216666667,1
"17","Turborotalita_quinqueloba_sinistral_coiling",-82.73,4.6,0
"18","Turborotalita_quinqueloba_sinistral_coiling",-85.3,7.03,1
"19","Turborotalita_quinqueloba_sinistral_coiling",-101.55,-7.38,1
"20","Turborotalita_quinqueloba_sinistral_coiling",1,-34.06666667,0
"21","Turborotalita_quinqueloba_sinistral_coiling",6.3,-21.43333333,1
"22","Turborotalita_quinqueloba_sinistral_coiling",13.55,-30.43333333,1
"23","Turborotalita_quinqueloba_sinistral_coiling",14.7,-31.06666667,1
"24","Turborotalita_quinqueloba_sinistral_coiling",-113.4833333,-14.68333333,1
"25","Turborotalita_quinqueloba_sinistral_coiling",-76.955,-50.657,1
"26","Turborotalita_quinqueloba_sinistral_coiling",-73.652,-32.591,1
"27","Turborotalita_quinqueloba_sinistral_coiling",-73.345,-23.606,1
"28","Turborotalita_quinqueloba_sinistral_coiling",-81.436,-21.359,1
"29","Turborotalita_quinqueloba_sinistral_coiling",-79.04,-18.085,1
"30","Turborotalita_quinqueloba_sinistral_coiling",-77.098,-16.127,1
"31","Turborotalita_quinqueloba_sinistral_coiling",-36.13333333,-2.283333333,1
"32","Turborotalita_quinqueloba_sinistral_coiling",13.5,-39.2,0
"33","Turborotalita_quinqueloba_sinistral_coiling",12.58333333,-33.4,0
"34","Turborotalita_quinqueloba_sinistral_coiling",15,-33.2,0
"35","Turborotalita_quinqueloba_sinistral_coiling",15.98333333,-33.23333333,1
"36","Turborotalita_quinqueloba_sinistral_coiling",10.8,-21.83333333,1
"37","Turborotalita_quinqueloba_sinistral_coiling",19.53333333,-36.33333333,1
"38","Turborotalita_quinqueloba_sinistral_coiling",-95.07,-3.01,1
"39","Turborotalita_quinqueloba_sinistral_coiling",-90.823,-3.092,1
"40","Turborotalita_quinqueloba_sinistral_coiling",-110.498,-3.002,1
"41","Turborotalita_quinqueloba_sinistral_coiling",-85.418,-1.138,0
"42","Turborotalita_quinqueloba_sinistral_coiling",-85.112,-1.065,1
"43","Turborotalita_quinqueloba_sinistral_coiling",127.85,-9.1,1
"44","Turborotalita_quinqueloba_sinistral_coiling",133.8333333,-4.883333333,1
"45","Turborotalita_quinqueloba_sinistral_coiling",130.6166667,-2.633333333,1
"46","Turborotalita_quinqueloba_sinistral_coiling",112.6833333,-11.88333333,1
"47","Turborotalita_quinqueloba_sinistral_coiling",-133.3833333,-9.983333333,1
"48","Turborotalita_quinqueloba_sinistral_coiling",-143.6666667,-28.56666667,1
"49","Turborotalita_quinqueloba_sinistral_coiling",-106.5,-28.48333333,1
"50","Turborotalita_quinqueloba_sinistral_coiling",-118.2333333,-23.61666667,1
"51","Turborotalita_quinqueloba_sinistral_coiling",-115.2,-22.08333333,1
"52","Turborotalita_quinqueloba_sinistral_coiling",-113.3,-4.033333333,0
"53","Turborotalita_quinqueloba_sinistral_coiling",-112.1,-14.73333333,1
"54","Turborotalita_quinqueloba_sinistral_coiling",-109.7166667,-11.7,1
"55","Turborotalita_quinqueloba_sinistral_coiling",-110.6833333,-9.883333333,1
"56","Turborotalita_quinqueloba_sinistral_coiling",157,-2.233333333,1
"57","Turborotalita_quinqueloba_sinistral_coiling",161.3166667,-3.6,1
"58","Turborotalita_quinqueloba_sinistral_coiling",160.8,-1.75,1
