"","Taxa","Longitude","Latitude","value"
"1","unidentified",-30.267,44.3498,1
"2","unidentified",-41.75,50.9332,1
"3","unidentified",-67.3333,35.7167,1
"4","unidentified",-68.9167,36.1333,1
"5","unidentified",-69.15,36.15,1
"6","unidentified",-68.9333,35.7833,1
"7","unidentified",-69.4,36.2167,1
"8","unidentified",-74.35,31.8333,1
"9","unidentified",-75.35,31.65,1
"10","unidentified",-72.95,37.65,1
"11","unidentified",-75.75,23.9333,1
"12","unidentified",-75.9333,24.8,1
"13","unidentified",-67.6667,30.7833,1
"14","unidentified",-69.0833,35.7667,1
"15","unidentified",-42.65,39.1332,1
"16","unidentified",-27.367,33.333,1
"17","unidentified",-17.0667,5.2833,1
"18","unidentified",-18.3,3.65,0
"19","unidentified",-24.1667,-0.05,0
"20","unidentified",-26.0333,-0.7667,1
"21","unidentified",-59.2,20.7332,1
"22","unidentified",62.5,-14.03333333,1
"23","unidentified",70.4,-25.41666667,1
"24","unidentified",58.51666667,-10.35,1
"25","unidentified",59.68333333,-13.68333333,0
"26","unidentified",70.96666667,-44.63333333,1
"27","unidentified",114.3833333,-31.51666667,1
"28","unidentified",67.88333333,-39.73333333,1
"29","unidentified",113.9333333,-31.26666667,1
"30","unidentified",87.85,-18.68333333,1
"31","unidentified",70.2,-14.9,0
"32","unidentified",62,-17.8,0
"33","unidentified",73.88333333,-23.93333333,1
"34","unidentified",75.05,-39.83333333,1
"35","unidentified",119.735,-53.038,1
"36","unidentified",114.478,-48.008,1
"37","unidentified",114.423,-47.533,1
"38","unidentified",114.417,-46.448,1
"39","unidentified",114.368,-43.953,1
"40","unidentified",95.082,-45.022,1
"41","unidentified",95.08,-47.128,1
"42","unidentified",95.037,-47.988,0
"43","unidentified",94.832,-49.378,1
"44","unidentified",-16.95,24.5,1
"45","unidentified",-74.88,14,0
"46","unidentified",46.2,-43.78,1
"47","unidentified",51.267,-43.63,0
"48","unidentified",65.467,-55.33,1
"49","unidentified",92.417,-44.77,0
"50","unidentified",104.37,-39.38,1
"51","unidentified",120.9,-36.75,1
"52","unidentified",125.57,-46.53,1
"53","unidentified",127.12,-49.33,1
"54","unidentified",129.97,-51.08,1
"55","unidentified",123.1,-47.77,1
"56","unidentified",121.12,-45.42,1
"57","unidentified",114.13,-41.37,1
"58","unidentified",63.15,12.05,0
"59","unidentified",58.083,17.883,1
"60","unidentified",-10.57,45.1,1
"61","unidentified",-15.4,54.983,1
"62","unidentified",-77.22,10.183,1
"63","unidentified",-77.22,10.183,1
"64","unidentified",-69.67,21.3,1
"65","unidentified",-81.63,13.483,1
"66","unidentified",-79.53,16.567,1
"67","unidentified",-79.53,16.567,1
"68","unidentified",-81.1,11.767,1
"69","unidentified",-45.97,4.967,0
"70","unidentified",57.35,-43.03,0
"71","unidentified",54.217,-34.33,1
"72","unidentified",-45.4,2.217,1
"73","unidentified",57.633,-22.4,1
"74","unidentified",67.583,-34.92,1
"75","unidentified",69.55,-36.48,1
"76","unidentified",-43.77,0.917,1
"77","unidentified",83.483,-38.03,1
"78","unidentified",95.967,-28.07,1
"79","unidentified",-41.52,1.683,1
"80","unidentified",112.98,-33.8,0
"81","unidentified",114.12,-31.57,0
"82","unidentified",112.8,-21.42,1
"83","unidentified",-4.6,-49,1
"84","unidentified",-17.8,-42.58,1
"85","unidentified",-75.04,11.91,1
"86","unidentified",-71.67,15.617,1
"87","unidentified",-74.79,15.857,1
"88","unidentified",-76.96,10.032,0
"89","unidentified",-78.15,11.25,1
"90","unidentified",-77.17,14.695,1
"91","unidentified",-7.722,3.705,1
"92","unidentified",11.307,-25.49,1
"93","unidentified",7.625,-46.6,1
"94","unidentified",-15.57,-49.92,1
"95","unidentified",-13.23,-46.1,1
"96","unidentified",61.617,-12.38,1
"97","unidentified",59.872,-12.85,0
"98","unidentified",59.638,-13.61,1
"99","unidentified",58.852,-15.59,1
"100","unidentified",58.633,-16.23,0
"101","unidentified",61.203,-2.807,0
"102","unidentified",66.29,19.193,0
"103","unidentified",67.298,21.472,0
"104","unidentified",72.763,9.582,1
"105","unidentified",-22.77,59.6532,1
"106","unidentified",-21.1328,53.867,1
"107","unidentified",-0.0667,63.4832,1
"108","unidentified",-54.9,42.467,1
"109","unidentified",-92.47,23.767,1
"110","unidentified",-69.5,32.6,1
"111","unidentified",-65.12,32.283,1
"112","unidentified",-64.72,32.217,1
"113","unidentified",-79.92,29.283,1
"114","unidentified",-57.13,38.917,1
"115","unidentified",-61.45,34.667,1
"116","unidentified",-64.6,40.767,1
"117","unidentified",-77.77,12.4,1
"118","unidentified",-37.87,8.233,1
"119","unidentified",-11.62,31.383,1
"120","unidentified",-38.2,22.967,1
"121","unidentified",-43.8,23.033,1
"122","unidentified",-64.17,31.433,1
"123","unidentified",-74.4,17,1
"124","unidentified",-53.07,24.283,0
"125","unidentified",7.017,-22.98,1
"126","unidentified",-16.05,1.75,1
"127","unidentified",-65.2,10.7,1
"128","unidentified",65.517,3.867,0
"129","unidentified",56.233,11.433,0
"130","unidentified",53.45,13.433,1
"131","unidentified",51,14.3,0
"132","unidentified",48.4,12.867,0
"133","unidentified",46.75,11.85,0
"134","unidentified",45.633,12.617,0
"135","unidentified",-40.52,15.483,1
"136","unidentified",-32.85,0.85,1
"137","unidentified",13.5,-39.2,1
"138","unidentified",15.917,-35.88,1
"139","unidentified",64.817,-4.3,0
"140","unidentified",66.3,-2.833,0
"141","unidentified",69.45,-0.633,0
"142","unidentified",-37.07,1.967,1
"143","unidentified",-46.48,23.333,1
"144","unidentified",-51.87,30,1
"145","unidentified",-48.42,17.267,1
"146","unidentified",-50.83,60.033,1
"147","unidentified",-40.67,13.25,1
"148","unidentified",15,-33.2,0
"149","unidentified",16.433,-33.35,0
"150","unidentified",16.433,-33.35,1
"151","unidentified",44.367,-46.02,1
"152","unidentified",45.767,-45,1
"153","unidentified",43.5,-37.15,1
"154","unidentified",79.567,-29.73,0
"155","unidentified",82.85,-31.05,0
"156","unidentified",83.8,-31.63,0
"157","unidentified",84.85,-32.38,0
"158","unidentified",91.717,-30.2,1
"159","unidentified",92.833,-28.883,0
"160","unidentified",95.183,-28.017,0
"161","unidentified",99.25,-31.53,0
"162","unidentified",-65.05,28.483,1
"163","unidentified",-18.92,12.383,1
"164","unidentified",-28.93,24.967,1
"165","unidentified",-34.13,27.967,1
"166","unidentified",-36.92,29.617,1
"167","unidentified",-47.73,58.367,0
"168","unidentified",-57.83,60.733,0
"169","unidentified",-80.43,11.75,1
"170","unidentified",-51.12,13.733,1
"171","unidentified",15.983,-33.23,0
"172","unidentified",29.933,-38.98,0
"173","unidentified",37.867,-37.63,0
"174","unidentified",41.85,-36.12,0
"175","unidentified",63.533,-20.58,1
"176","unidentified",-47.75,4.233,1
"177","unidentified",114.45,-30.57,1
"178","unidentified",140.62,-38.57,1
"179","unidentified",-67.55,38.75,1
"180","unidentified",62.783,8.117,1
"181","unidentified",61.067,7.433,1
"182","unidentified",41.55,-4.217,1
"183","unidentified",41.6,-19.92,1
"184","unidentified",13.283,-30.58,1
"185","unidentified",9.583,-29.52,1
"186","unidentified",10.8,-21.83,1
"187","unidentified",-5.25,2,1
"188","unidentified",-9.083,1.417,0
"189","unidentified",-15.05,3.65,1
"190","unidentified",-41.4,29.017,1
"191","unidentified",-48.27,33.3,1
"192","unidentified",68.483,-21.98,1
"193","unidentified",64.9,-23.05,1
"194","unidentified",-35.6,2.1,1
"195","unidentified",-33.03,5.317,1
"196","unidentified",-30.13,8.467,1
"197","unidentified",-68.53,38.283,1
"198","unidentified",-60.52,11.533,1
"199","unidentified",-77.23,14.45,1
"200","unidentified",-10.9,-46.13,1
"201","unidentified",-6.633,-44.47,1
"202","unidentified",-3.25,-43.18,1
"203","unidentified",-20.12,3.383,1
"204","unidentified",-18.58,14.167,1
"205","unidentified",-21.15,14.4,0
"206","unidentified",-23.23,15.017,1
"207","unidentified",-31.45,20.7,1
"208","unidentified",-43.63,27.917,1
"209","unidentified",-52.3,32.65,1
"210","unidentified",-57.25,34.75,0
"211","unidentified",-45.63,12.75,1
"212","unidentified",-25.53,19.883,1
"213","unidentified",-35.83,17.2,1
"214","unidentified",-40.67,17.483,1
"215","unidentified",-45.13,41.517,1
"216","unidentified",-45.05,46,1
"217","unidentified",-27.53,62.667,1
"218","unidentified",0.0167,68.0333,1
"219","unidentified",8.317,70.05,0
"220","unidentified",0.2,77.95,0
"221","unidentified",6.683,70.983,1
"222","unidentified",2.717,68.55,1
"223","unidentified",-17.57,60.933,1
"224","unidentified",-16.83,54.25,1
"225","unidentified",-21.93,52.583,1
"226","unidentified",-24.25,49.867,1
"227","unidentified",-16.92,46,1
"228","unidentified",-15.1,29.8,1
"229","unidentified",-76.63,12.25,0
"230","unidentified",-72.6,22.6,1
"231","unidentified",-46.7,26.783,1
"232","unidentified",-43,9.317,1
"233","unidentified",-71.23,17.033,0
"234","unidentified",-18.18,9.567,1
"235","unidentified",-17.92,6.267,1
"236","unidentified",-18.25,6.033,1
"237","unidentified",-18.08,5.833,1
"238","unidentified",-14.8,0.3,1
"239","unidentified",-60.5,42.267,1
"240","unidentified",-14.2,62.133,1
"241","unidentified",-24.08,56.067,1
"242","unidentified",-14.68,43.8,1
"243","unidentified",-17.07,42.7,1
"244","unidentified",-20.15,39.717,1
"245","unidentified",-13.55,39.617,1
"246","unidentified",-43.23,42.75,1
"247","unidentified",-39.87,44.167,1
"248","unidentified",-26.58,25.933,1
"249","unidentified",-37.3,50.1,1
"250","unidentified",-28.85,16.533,1
"251","unidentified",-46.2,54,1
"252","unidentified",-46.87,54.033,1
"253","unidentified",-50.8,54.467,1
"254","unidentified",-53.12,54.733,0
"255","unidentified",1.983,1,1
"256","unidentified",-11.82,3.05,0
"257","unidentified",-54.7,56.733,0
"258","unidentified",-13.63,1.05,1
"259","unidentified",-44.62,58.183,1
"260","unidentified",-37.275,60.7033,1
"261","unidentified",-11.5,61.367,1
"262","unidentified",-6.133,63.45,0
"263","unidentified",-6.217,65.017,1
"264","unidentified",-5.4,76.167,1
"265","unidentified",2.667,73.533,1
"266","unidentified",4.633,78.833,0
"267","unidentified",6.917,76.467,0
"268","unidentified",3.617,78.117,1
"269","unidentified",7.417,78.4,0
"270","unidentified",-10.8,75,0
"271","unidentified",-7.433,60.65,1
"272","unidentified",-73.92,14.933,1
"273","unidentified",-72.37,13.933,1
"274","unidentified",-76.6,17.033,1
"275","unidentified",-81.15,10.983,0
"276","unidentified",-80.4,11.117,1
"277","unidentified",-13.65,72.433,1
"278","unidentified",-0.833,73.483,1
"279","unidentified",5.267,72.183,1
"280","unidentified",-1.617,71.167,1
"281","unidentified",-1.617,71.167,1
"282","unidentified",0.583,62.9,1
"283","unidentified",-3.583,64.833,1
"284","unidentified",-3.583,64.833,1
"285","unidentified",-12.72,68.717,1
"286","unidentified",-12.72,68.717,1
"287","unidentified",-9.0667,72.0667,1
"288","unidentified",-4.4,69.383,1
"289","unidentified",0.233,67.683,1
"290","unidentified",0.233,67.683,1
"291","unidentified",11.667,74.483,0
"292","unidentified",-4.0167,64.0833,0
"293","unidentified",88.083,14.15,0
"294","unidentified",-17.92,16.383,1
"295","unidentified",-20.07,22.467,1
"296","unidentified",-25.72,41.533,1
"297","unidentified",-25.15,42.85,1
"298","unidentified",-23.87,45.3,1
"299","unidentified",-17.53,52.367,1
"300","unidentified",-15.57,58.733,1
"301","unidentified",-19.2,59.95,1
"302","unidentified",-20.97,60.383,1
"303","unidentified",-25.12,61.55,1
"304","unidentified",-6.733,66.733,1
"305","unidentified",-6.667,67.783,1
"306","unidentified",-6.983,72.967,1
"307","unidentified",-5.417,68.383,0
"308","unidentified",-0.067,65.167,1
"309","unidentified",-14.53,62.85,1
"310","unidentified",-24.05,61.917,1
"311","unidentified",-38.78333333,28,1
"312","unidentified",-73.51666667,38.18333333,1
"313","unidentified",-41.75,50.93333333,1
"314","unidentified",-67.33333333,35.71666667,1
"315","unidentified",-68.91666667,36.13333333,1
"316","unidentified",-69.13333333,36.13333333,1
"317","unidentified",-68.93333333,35.78333333,1
"318","unidentified",-69.4,36.21666667,1
"319","unidentified",-72.95,37.65,1
"320","unidentified",-74.35,31.83333333,0
"321","unidentified",-75.35,31.65,1
"322","unidentified",-76.8,29.76666667,1
"323","unidentified",-78.55,19.4,1
"324","unidentified",-75.75,23.93333333,1
"325","unidentified",-75.91666667,24.8,1
