Longitude,Latitude,value
-30.267,44.3498,1
-41.75,50.9332,0
-67.3333,35.7167,0
-68.9167,36.1333,0
-69.15,36.15,0
-68.9333,35.7833,1
-69.4,36.2167,1
-74.35,31.8333,0
-75.35,31.65,1
-72.95,37.65,0
-75.75,23.9333,1
-75.9333,24.8,1
-67.6667,30.7833,1
-69.0833,35.7667,1
-42.65,39.1332,0
-27.367,33.333,1
-17.0667,5.2833,0
-18.3,3.65,0
-24.1667,-0.05,1
-26.0333,-0.7667,1
-59.2,20.7332,1
62.5,-14.03333333,0
70.4,-25.41666667,0
58.51666667,-10.35,0
59.68333333,-13.68333333,0
70.96666667,-44.63333333,0
114.3833333,-31.51666667,0
67.88333333,-39.73333333,0
113.9333333,-31.26666667,0
87.85,-18.68333333,0
70.2,-14.9,0
62,-17.8,0
73.88333333,-23.93333333,0
75.05,-39.83333333,0
119.735,-53.038,0
105.548,-43.308,0
114.478,-48.008,0
114.423,-47.533,0
114.417,-46.448,0
114.348,-45.037,0
114.368,-43.953,0
100.012,-41.02,0
83.723,-39.515,0
95.082,-45.022,0
95.08,-47.128,0
95.037,-47.988,0
94.832,-49.378,0
-16.95,24.5,1
-74.88,14,1
46.2,-43.78,0
51.267,-43.63,0
65.467,-55.33,0
92.417,-44.77,0
104.37,-39.38,0
120.9,-36.75,0
125.57,-46.53,0
127.12,-49.33,0
129.97,-51.08,0
123.1,-47.77,0
121.12,-45.42,0
114.13,-41.37,0
63.15,12.05,0
58.083,17.883,0
-10.57,45.1,0
-15.4,54.983,0
-77.22,10.183,1
-69.67,21.3,1
-79.53,16.567,1
-81.1,11.767,1
-45.97,4.967,1
57.35,-43.03,0
54.217,-34.33,0
-45.4,2.217,1
57.633,-22.4,0
67.583,-34.92,0
69.55,-36.48,0
-43.77,0.917,1
83.483,-38.03,0
95.967,-28.07,0
-41.52,1.683,1
112.98,-33.8,0
114.12,-31.57,0
112.8,-21.42,0
-4.6,-49,0
-17.8,-42.58,0
-75.04,11.91,1
-71.67,15.617,1
-74.79,15.857,1
-77.17,14.695,1
-7.722,3.705,1
11.307,-25.49,0
7.625,-46.6,0
-15.57,-49.92,0
-13.23,-46.1,0
61.617,-12.38,0
59.872,-12.85,0
59.638,-13.61,0
58.852,-15.59,0
58.633,-16.23,0
61.203,-2.807,0
66.29,19.193,0
67.298,21.472,0
72.763,9.582,0
65.617,-13.22,0
-22.77,59.6532,0
-21.1328,53.867,0
-0.0667,63.4832,0
-54.9,42.467,0
-92.47,23.767,1
-69.5,32.6,0
-65.12,32.283,1
-64.72,32.217,1
-79.92,29.283,1
-57.13,38.917,1
-61.45,34.667,1
-64.6,40.767,0
-77.77,12.4,1
-37.87,8.233,1
-11.62,31.383,1
-38.2,22.967,1
-43.8,23.033,1
-64.17,31.433,1
-74.4,17,1
-53.07,24.283,1
7.017,-22.98,0
-16.05,1.75,1
-65.2,10.7,1
65.517,3.867,0
56.233,11.433,0
53.45,13.433,0
51,14.3,0
48.4,12.867,0
46.75,11.85,0
45.633,12.617,0
-40.52,15.483,1
-32.85,0.85,1
13.5,-39.2,0
15.917,-35.88,0
64.817,-4.3,0
66.3,-2.833,0
69.45,-0.633,0
-37.07,1.967,1
-46.48,23.333,1
-51.87,30,1
-48.42,17.267,1
-50.83,60.033,0
-40.67,13.25,1
15,-33.2,0
16.433,-33.35,0
44.367,-46.02,0
45.767,-45,0
43.5,-37.15,0
79.567,-29.73,0
82.85,-31.05,0
83.8,-31.63,0
84.85,-32.38,0
91.717,-30.2,0
92.833,-28.883,0
95.183,-28.017,0
99.25,-31.53,0
-65.05,28.483,1
-18.92,12.383,1
-28.93,24.967,0
-34.13,27.967,0
-36.92,29.617,1
-47.73,58.367,0
-57.83,60.733,0
-80.43,11.75,0
-51.12,13.733,1
15.983,-33.23,0
29.933,-38.98,0
37.867,-37.63,0
41.85,-36.12,0
63.533,-20.58,0
-47.75,4.233,1
