Longitude,Latitude,value
-44.05,5.433,1
-84.867,25.95,1
-86.25,20.733,1
-85.283,20.4,1
-85.7,21.45,1
59.36666667,23.11666667,1
-82.8,-2.6,0
-85.82,-1.52,1
157.8666667,-25.88333333,1
163.5166667,-24.88333333,1
70.05,14.76666667,1
-85.1,-3.6,1
-106.18,-0.37,1
-84.016,8.3803,1
142.5,27.96666667,1
158.0666667,5.216666667,1
-82.73,4.6,1
-85.3,7.03,1
-101.55,-7.38,1
1,-34.06666667,1
6.3,-21.43333333,1
13.55,-30.43333333,1
14.7,-31.06666667,0
-113.4833333,-14.68333333,1
-76.955,-50.657,1
-73.652,-32.591,0
-73.345,-23.606,1
-81.436,-21.359,1
-79.04,-18.085,1
-77.098,-16.127,0
-36.13333333,-2.283333333,1
13.5,-39.2,1
12.58333333,-33.4,1
15,-33.2,1
15.98333333,-33.23333333,1
10.8,-21.83333333,1
19.53333333,-36.33333333,1
-95.07,-3.01,1
-90.823,-3.092,0
-110.498,-3.002,1
-85.418,-1.138,1
-85.112,-1.065,1
127.85,-9.1,1
133.8333333,-4.883333333,0
130.6166667,-2.633333333,1
112.6833333,-11.88333333,1
-133.3833333,-9.983333333,1
-143.6666667,-28.56666667,1
-106.5,-28.48333333,1
-118.2333333,-23.61666667,1
-115.2,-22.08333333,1
-113.3,-4.033333333,1
-112.1,-14.73333333,1
-109.7166667,-11.7,1
-110.6833333,-9.883333333,1
157,-2.233333333,1
161.3166667,-3.6,1
160.8,-1.75,1
159.0666667,-1.633333333,1
158.7,-0.016666667,1
160.4166667,-0.016666667,1
161,0,1
161.4333333,0,1
161.9833333,0,1
162.7,-0.033333333,0
114.3833333,-31.51666667,1
113.9333333,-32.26666667,1
148.7,-14.5,1
154.7333333,-15.71666667,1
155,-16.05,1
155.9333333,-14.78333333,1
156.85,-13.28333333,1
157.2166667,-12.53333333,1
165.4166667,-5.7,1
168.0333333,-4.516666667,1
170.0333333,-3.383333333,1
-171.5333333,-60.2,0
-154.75,-24.68333333,1
-150.5833333,-13.88333333,1
