Longitude,Latitude,value
-30.267,44.3498,1
-41.75,50.9332,0
-67.3333,35.7167,1
-68.9167,36.1333,1
-69.15,36.15,1
-68.9333,35.7833,1
-69.4,36.2167,1
-74.35,31.8333,1
-75.35,31.65,1
-72.95,37.65,1
-75.75,23.9333,1
-75.9333,24.8,1
-67.6667,30.7833,1
-69.0833,35.7667,1
-42.65,39.1332,1
-27.367,33.333,1
-17.0667,5.2833,1
-18.3,3.65,1
-24.1667,-0.05,0
-26.0333,-0.7667,1
-59.2,20.7332,1
62.5,-14.03333333,1
70.4,-25.41666667,1
58.51666667,-10.35,1
59.68333333,-13.68333333,1
114.3833333,-31.51666667,1
113.9333333,-31.26666667,0
87.85,-18.68333333,1
70.2,-14.9,1
62,-17.8,1
73.88333333,-23.93333333,1
75.05,-39.83333333,0
-16.95,24.5,1
-74.88,14,1
120.9,-36.75,0
63.15,12.05,1
-77.22,10.183,1
-69.67,21.3,1
-79.53,16.567,1
-81.1,11.767,1
-45.97,4.967,1
-45.4,2.217,1
57.633,-22.4,1
67.583,-34.92,0
-43.77,0.917,1
95.967,-28.07,1
-41.52,1.683,1
112.98,-33.8,1
112.8,-21.42,1
-75.04,11.91,1
-71.67,15.617,1
-74.79,15.857,1
-77.17,14.695,1
-7.722,3.705,1
11.307,-25.49,1
61.617,-12.38,1
59.872,-12.85,1
59.638,-13.61,1
58.852,-15.59,1
58.633,-16.23,1
61.203,-2.807,1
66.29,19.193,1
67.298,21.472,1
72.763,9.582,1
-92.47,23.767,1
-69.5,32.6,1
-65.12,32.283,0
-64.72,32.217,0
-79.92,29.283,1
-57.13,38.917,1
-61.45,34.667,1
-64.6,40.767,0
-77.77,12.4,1
-37.87,8.233,1
-11.62,31.383,1
-38.2,22.967,1
-43.8,23.033,1
-64.17,31.433,1
-74.4,17,1
-53.07,24.283,1
7.017,-22.98,1
-16.05,1.75,1
-65.2,10.7,1
65.517,3.867,1
56.233,11.433,0
53.45,13.433,1
51,14.3,1
48.4,12.867,1
46.75,11.85,1
45.633,12.617,0
-40.52,15.483,1
-32.85,0.85,1
13.5,-39.2,0
64.817,-4.3,0
66.3,-2.833,1
69.45,-0.633,1
-37.07,1.967,1
-46.48,23.333,1
-51.87,30,1
-48.42,17.267,1
-40.67,13.25,1
15,-33.2,0
16.433,-33.35,1
16.433,-33.35,0
43.5,-37.15,1
79.567,-29.73,1
82.85,-31.05,0
83.8,-31.63,0
84.85,-32.38,1
91.717,-30.2,1
92.833,-28.883,1
99.25,-31.53,1
-65.05,28.483,1
-18.92,12.383,1
-28.93,24.967,1
-34.13,27.967,1
-36.92,29.617,1
-80.43,11.75,1
-51.12,13.733,1
15.983,-33.23,1
41.85,-36.12,1
-47.75,4.233,1
114.45,-30.57,1
-67.55,38.75,1
62.783,8.117,1
61.067,7.433,1
41.55,-4.217,1
41.6,-19.92,1
13.283,-30.58,1
9.583,-29.52,1
10.8,-21.83,1
-5.25,2,1
-9.083,1.417,1
-15.05,3.65,1
-41.4,29.017,1
-48.27,33.3,1
68.483,-21.98,1
64.9,-23.05,1
-35.6,2.1,1
-33.03,5.317,1
-30.13,8.467,1
-68.53,38.283,1
-60.52,11.533,1
-20.12,3.383,1
-18.58,14.167,1
-21.15,14.4,1
-23.23,15.017,1
-31.45,20.7,1
-43.63,27.917,1
-52.3,32.65,1
-57.25,34.75,1
-45.63,12.75,1
-25.53,19.883,1
-35.83,17.2,1
-40.67,17.483,1
-45.13,41.517,1
-45.05,46,1
-16.92,46,0
-15.1,29.8,1
-72.6,22.6,1
-46.7,26.783,1
-43,9.317,1
-71.23,17.033,1
-18.18,9.567,1
-17.92,6.267,1
-18.25,6.033,1
-18.08,5.833,1
-14.8,0.3,1
-60.5,42.267,0
-17.07,42.7,1
-20.15,39.717,1
-43.23,42.75,1
-39.87,44.167,1
-26.58,25.933,1
-28.85,16.533,1
1.983,1,1
-11.82,3.05,1
-13.63,1.05,1
