"","Taxa","Longitude","Latitude","Count"
"1","B_pumilio",-38.783,28,0
"2","B_pumilio",-73.5167,38.1833,0
"3","B_pumilio",-41.75,50.9332,0
"4","B_pumilio",-67.3333,35.7167,0
"5","B_pumilio",-68.9167,36.1333,0
"6","B_pumilio",-69.15,36.15,0
"7","B_pumilio",-68.9333,35.7833,0
"8","B_pumilio",-69.4,36.2167,0
"9","B_pumilio",-72.95,37.65,0
"10","B_pumilio",-74.35,31.8333,0
"11","B_pumilio",-75.35,31.65,0
"12","B_pumilio",-76.8,29.7667,0
"13","B_pumilio",-75.75,23.9333,0
"14","B_pumilio",-75.9333,24.8,0
"15","B_pumilio",-67.6667,30.7833,0
"16","B_pumilio",-69.0833,35.7667,0
"17","B_pumilio",-78.55,19.4,0
"18","B_pumilio",-73.833,19.917,0
"19","B_pumilio",-42.65,39.1332,0
"20","B_pumilio",-36.7,39.267,0
"21","B_pumilio",-27.367,33.333,0
"22","B_pumilio",-19.2998,25.833,0
"23","B_pumilio",-17.0667,5.2833,0
"24","B_pumilio",-18.3,3.65,0
"25","B_pumilio",-21.7833,0.6,0
"26","B_pumilio",-26.0333,-0.7667,0
"27","B_pumilio",-27.0167,-1.5,0
"28","B_pumilio",-57.3167,10.55,0
"29","B_pumilio",-59.2,20.7332,0
"30","B_pumilio",175.387,36.562,0
"31","B_pumilio",178.637,36.433,0
"32","B_pumilio",51.9,12,0
"33","B_pumilio",53.1667,10.25,0
"34","B_pumilio",51.7333,8.9833,0
"35","B_pumilio",51.6167,8.9,0
"36","B_pumilio",60.2167,9.2167,0
"37","B_pumilio",69.433,20.15,0
"38","B_pumilio",67.933,20.125,0
"39","B_pumilio",59.55,21,0
"40","B_pumilio",61.017,20.833,0
"41","B_pumilio",57.1833,17.4333,0
"42","B_pumilio",54.7667,16.2333,0
"43","B_pumilio",54.6333,15.2667,0
"44","B_pumilio",57.35,14.9333,0
"45","B_pumilio",-34.5667,-29.1333,0
"46","B_pumilio",71.558,13.583,0
"47","B_pumilio",74.1833,9.9,0
"48","B_pumilio",73.4,7.0333,0
"49","B_pumilio",127.85,-9.1,0
"50","B_pumilio",133.8333,-4.8833,0
"51","B_pumilio",131.9833,-4.6667,0
"52","B_pumilio",130.6167,-2.6333,0
"53","B_pumilio",112.6833,-11.8833,0
"54","B_pumilio",46.9833,-13.3,0
"55","B_pumilio",41.6167,-12.9833,0
"56","B_pumilio",41.4,-13.1833,0
"57","B_pumilio",41.55,-16.0667,0
"58","B_pumilio",41.8333,-11.5167,0
"59","B_pumilio",-121.8833,19,0
"60","B_pumilio",119.05,7.916,0
"61","B_pumilio",118.55,8.5,0
"62","B_pumilio",87.783,11.383,0
"63","B_pumilio",-11.12,-8.28,0
"64","B_pumilio",80.867,14.267,0
"65","B_pumilio",87.317,15.3,0
"66","B_pumilio",91.233,15.217,0
"67","B_pumilio",91.533,19,0
"68","B_pumilio",89.317,20.333,0
"69","B_pumilio",86.9,13.483,0
"70","B_pumilio",89.033,6.917,0
"71","B_pumilio",88.583,4.183,0
"72","B_pumilio",57.3667,17.7,0
"73","B_pumilio",57.3833,17.5667,0
"74","B_pumilio",60.6667,16.6167,0
"75","B_pumilio",58.3333,19.15,0
"76","B_pumilio",58.9833,19.7,0
"77","B_pumilio",59.6,21,0
"78","B_pumilio",59.7333,21.75,0
"79","B_pumilio",60.1833,20.75,0
"80","B_pumilio",60.6167,20,0
"81","B_pumilio",60.75,19.55,0
"82","B_pumilio",61.6833,19.9333,0
"83","B_pumilio",60.8333,21.7167,0
"84","B_pumilio",60.15,22.6833,0
"85","B_pumilio",59.75,22.6833,0
"86","B_pumilio",59.6167,22.6167,0
"87","B_pumilio",59.7167,22.6333,0
"88","B_pumilio",63.15,22.1833,0
"89","B_pumilio",58.7833,24.0667,0
"90","B_pumilio",62.067,-18.35,0
"91","B_pumilio",62.5,-14.033,0
"92","B_pumilio",62.833,-12.267,0
"93","B_pumilio",55.5,-8.933,0
"94","B_pumilio",61.817,-26.933,0
"95","B_pumilio",70.367,-25.417,0
"96","B_pumilio",69.017,-8.317,0
"97","B_pumilio",71.217,-2.45,0
"98","B_pumilio",70.233,-2.333,0
"99","B_pumilio",69.25,-2.2,0
"100","B_pumilio",71.2167,-2.45,0
"101","B_pumilio",88.85,2.97,0
"102","B_pumilio",91.05,2.917,0
"103","B_pumilio",91.683,2.983,0
"104","B_pumilio",97.883,-0.567,0
"105","B_pumilio",-130.617,3.333,0
"106","B_pumilio",-115.7167,-26.3,0
"107","B_pumilio",-112.1,-14.7333,0
"108","B_pumilio",-109.7167,-11.7,0
"109","B_pumilio",-110.68,-9.88,0
"110","B_pumilio",-133.38,-9.98,0
"111","B_pumilio",-115.767,4.133,0
"112","B_pumilio",-148.4833,-16.7833,0
"113","B_pumilio",-143.6667,-28.5667,0
"114","B_pumilio",-127.233,-44.35,0
