"","Taxa","Longitude","Latitude","Count"
"1","C_nitida",-38.783,28,0
"2","C_nitida",-73.5167,38.1833,0
"3","C_nitida",-41.75,50.9332,0
"4","C_nitida",-67.3333,35.7167,0
"5","C_nitida",-68.9167,36.1333,0
"6","C_nitida",-69.15,36.15,0
"7","C_nitida",-69.4,36.2167,0
"8","C_nitida",-72.95,37.65,0
"9","C_nitida",-74.35,31.8333,0
"10","C_nitida",-75.35,31.65,0
"11","C_nitida",-75.9333,24.8,0
"12","C_nitida",-67.6667,30.7833,0
"13","C_nitida",-69.0833,35.7667,0
"14","C_nitida",-42.65,39.1332,0
"15","C_nitida",-36.7,39.267,0
"16","C_nitida",-27.367,33.333,0
"17","C_nitida",-19.2998,25.833,0
"18","C_nitida",-17.0667,5.2833,0
"19","C_nitida",-18.3,3.65,0
"20","C_nitida",-21.7833,0.6,0
"21","C_nitida",-26.0333,-0.7667,0
"22","C_nitida",-27.0167,-1.5,0
"23","C_nitida",-59.2,20.7332,0
"24","C_nitida",175.387,36.562,0
"25","C_nitida",178.637,36.433,0
"26","C_nitida",51.9,12,0
"27","C_nitida",53.1667,10.25,0
"28","C_nitida",51.6167,8.9,0
"29","C_nitida",60.2167,9.2167,0
"30","C_nitida",69.433,20.15,0
"31","C_nitida",67.933,20.125,0
"32","C_nitida",59.55,21,0
"33","C_nitida",61.017,20.833,0
"34","C_nitida",57.1833,17.4333,0
"35","C_nitida",54.7667,16.2333,0
"36","C_nitida",54.6333,15.2667,0
"37","C_nitida",57.35,14.9333,0
"38","C_nitida",71.558,13.583,0
"39","C_nitida",74.1833,9.9,0
"40","C_nitida",73.4,7.0333,0
"41","C_nitida",127.85,-9.1,0
"42","C_nitida",133.8333,-4.8833,0
"43","C_nitida",131.9833,-4.6667,0
"44","C_nitida",130.6167,-2.6333,0
"45","C_nitida",112.6833,-11.8833,0
"46","C_nitida",41.6167,-12.9833,0
"47","C_nitida",41.55,-16.0667,0
"48","C_nitida",41.8333,-11.5167,0
"49","C_nitida",-121.8833,19,0
"50","C_nitida",119.05,7.916,0
"51","C_nitida",118.55,8.5,0
"52","C_nitida",-11.12,-8.28,0
"53","C_nitida",87.317,15.3,0
"54","C_nitida",91.233,15.217,0
"55","C_nitida",91.533,19,0
"56","C_nitida",89.317,20.333,0
"57","C_nitida",86.9,13.483,0
"58","C_nitida",89.033,6.917,0
"59","C_nitida",88.583,4.183,0
"60","C_nitida",57.3667,17.7,0
"61","C_nitida",57.3833,17.5667,0
"62","C_nitida",57.3667,13.8667,0
"63","C_nitida",60.6667,16.6167,0
"64","C_nitida",58.3333,19.15,0
"65","C_nitida",58.9833,19.7,0
"66","C_nitida",59.6,21,0
"67","C_nitida",59.7333,21.75,0
"68","C_nitida",60.1833,20.75,0
"69","C_nitida",60.75,19.55,0
"70","C_nitida",61.6833,19.9333,0
"71","C_nitida",60.8333,21.7167,0
"72","C_nitida",60.15,22.6833,0
"73","C_nitida",59.75,22.6833,0
"74","C_nitida",59.6167,22.6167,0
"75","C_nitida",59.7167,22.6333,0
"76","C_nitida",63.15,22.1833,0
"77","C_nitida",58.7833,24.0667,0
"78","C_nitida",62.067,-18.35,0
"79","C_nitida",62.5,-14.033,0
"80","C_nitida",62.833,-12.267,0
"81","C_nitida",55.5,-8.933,0
"82","C_nitida",61.817,-26.933,0
"83","C_nitida",69.017,-8.317,0
