"","Taxa","Longitude","Latitude","Count"
"1","G_aequilateralis",-73.5167,38.1833,0
"2","G_aequilateralis",-41.75,50.9332,0
"3","G_aequilateralis",-72.95,37.65,0
"4","G_aequilateralis",178.637,36.433,0
"5","G_aequilateralis",67.933,20.125,0
"6","G_aequilateralis",60.8333,21.7167,0
"7","G_aequilateralis",-115.767,4.133,0
"8","G_aequilateralis",-127.333,-44.217,0
"9","G_aequilateralis",-127.233,-44.35,0
"10","G_aequilateralis",-119.833,-45.5,0
"11","G_aequilateralis",-97.083,-42.9,0
"12","G_aequilateralis",-79.5,-34.5,0
"13","G_aequilateralis",-89.75,-59.65,0
"14","G_aequilateralis",-130.117,-58,0
"15","G_aequilateralis",-159.983,-54.017,0
"16","G_aequilateralis",-63.0667,-58.8667,0
"17","G_aequilateralis",-136.9667,-59.9667,0
"18","G_aequilateralis",95.082,-45.022,0
"19","G_aequilateralis",95.08,-47.128,0
"20","G_aequilateralis",95.037,-47.988,0
"21","G_aequilateralis",94.832,-49.378,0
"22","G_aequilateralis",73.6,-35.783,0
"23","G_aequilateralis",178.483,-63.067,0
"24","G_aequilateralis",-166.967,-63.283,0
"25","G_aequilateralis",-171.533,-60.2,0
"26","G_aequilateralis",175.233,-46.35,0
"27","G_aequilateralis",-147.8333,50.85,0
"28","G_aequilateralis",42.35,-42.88,0
"29","G_aequilateralis",46.2,-43.78,0
"30","G_aequilateralis",51.267,-43.63,0
"31","G_aequilateralis",65.467,-55.33,0
"32","G_aequilateralis",93.883,-44.03,0
"33","G_aequilateralis",101.42,-41.1,0
"34","G_aequilateralis",120.9,-36.75,0
"35","G_aequilateralis",125.57,-46.53,0
"36","G_aequilateralis",127.12,-49.33,0
"37","G_aequilateralis",129.97,-51.08,0
"38","G_aequilateralis",135.85,-51.5,0
"39","G_aequilateralis",143.78,-44.08,0
"40","G_aequilateralis",123.1,-47.77,0
"41","G_aequilateralis",121.12,-45.42,0
"42","G_aequilateralis",114.13,-41.37,0
"43","G_aequilateralis",111.38,-39.78,0
"44","G_aequilateralis",-76.68,29.967,0
"45","G_aequilateralis",158,33.083,0
"46","G_aequilateralis",57.35,-43.03,0
"47","G_aequilateralis",-130.1,47.15,0
"48","G_aequilateralis",-9.867,-50.87,0
"49","G_aequilateralis",-4.6,-49,0
"50","G_aequilateralis",-0.05,-46.75,0
"51","G_aequilateralis",5.95,-43.48,0
"52","G_aequilateralis",12.583,-39.27,0
"53","G_aequilateralis",61.033,-46.52,0
"54","G_aequilateralis",134.15,32.3,0
"55","G_aequilateralis",-66.93,-56.83,0
"56","G_aequilateralis",-54.13,-50.43,0
"57","G_aequilateralis",-57.67,-43.47,0
"58","G_aequilateralis",-24.8,-39.82,0
"59","G_aequilateralis",-28.87,-37.87,0
"60","G_aequilateralis",-15.48,-39.68,0
"61","G_aequilateralis",-10.1,-37.27,0
"62","G_aequilateralis",-6.717,-36.15,0
"63","G_aequilateralis",71,6.233,0
"64","G_aequilateralis",170.02,38.1,0
"65","G_aequilateralis",170.02,38.1,0
"66","G_aequilateralis",-89.42,-3.12,0
"67","G_aequilateralis",-3.587,-37.54,0
"68","G_aequilateralis",7.625,-46.6,0
"69","G_aequilateralis",13.4333,-50.7167,0
"70","G_aequilateralis",-142.6,50.385,0
"71","G_aequilateralis",-47.57,-49.6,0
"72","G_aequilateralis",-15.57,-49.92,0
"73","G_aequilateralis",-13.23,-46.1,0
"74","G_aequilateralis",-20.86,-42.98,0
"75","G_aequilateralis",57.53,18.11,0
"76","G_aequilateralis",-85.467,-2.767,0
"77","G_aequilateralis",-96.7,-13.6,0
"78","G_aequilateralis",-140.247,4.46,0
"79","G_aequilateralis",-133.293,0.442,0
"80","G_aequilateralis",-21.1328,53.867,0
"81","G_aequilateralis",-0.0667,63.4832,0
"82","G_aequilateralis",-133.733,-1.783,0
"83","G_aequilateralis",-54.9,42.467,0
"84","G_aequilateralis",-92.47,23.767,0
"85","G_aequilateralis",-54.03,36.9,0
"86","G_aequilateralis",-57.98,-45.32,0
"87","G_aequilateralis",-20.38,-40.9,0
"88","G_aequilateralis",-42.15,-50.77,0
"89","G_aequilateralis",-49.08,-52.18,0
"90","G_aequilateralis",-47.4,-50.38,0
"91","G_aequilateralis",-74.6,37.017,0
"92","G_aequilateralis",-74.13,37.667,0
"93","G_aequilateralis",137.65,-48.08,0
"94","G_aequilateralis",153.98,-53.4,0
"95","G_aequilateralis",171.5,-46.7,0
"96","G_aequilateralis",-50.83,60.033,0
"97","G_aequilateralis",10.75,-32.13,0
"98","G_aequilateralis",12.583,-33.4,0
"99","G_aequilateralis",16.433,-33.35,0
"100","G_aequilateralis",31.267,-46.5,0
"101","G_aequilateralis",-55.17,-40.57,0
"102","G_aequilateralis",-47.733,58.367,0
"103","G_aequilateralis",-57.83,60.733,0
"104","G_aequilateralis",-44.7,-53.58,0
"105","G_aequilateralis",-52.25,-49.5,0
"106","G_aequilateralis",-57.62,-45.67,0
"107","G_aequilateralis",29.933,-38.98,0
"108","G_aequilateralis",141.65,-39.78,0
"109","G_aequilateralis",-83.93,-3.583,0
"110","G_aequilateralis",-177.8,33.983,0
"111","G_aequilateralis",168.78,47.95,0
"112","G_aequilateralis",-132.4,41.067,0
"113","G_aequilateralis",-10.9,-46.13,0
"114","G_aequilateralis",-6.633,-44.47,0
"115","G_aequilateralis",24.583,-39.583,0
"116","G_aequilateralis",-30.58,-6.117,0
"117","G_aequilateralis",-42.93,-50.1,0
"118","G_aequilateralis",-43.17,-50.78,0
"119","G_aequilateralis",-43.5,-51.52,0
"120","G_aequilateralis",-45.97,54.2,0
"121","G_aequilateralis",-32.85,59.95,0
"122","G_aequilateralis",-27.53,62.667,0
"123","G_aequilateralis",8.317,70.05,0
"124","G_aequilateralis",14.4,69.267,0
"125","G_aequilateralis",-17.57,60.933,0
"126","G_aequilateralis",-21.93,52.583,0
"127","G_aequilateralis",-24.25,49.867,0
"128","G_aequilateralis",-10.6,-34.45,0
"129","G_aequilateralis",-17.92,6.267,0
"130","G_aequilateralis",-18.08,5.833,0
"131","G_aequilateralis",-60.5,42.267,0
"132","G_aequilateralis",-14.2,62.133,0
"133","G_aequilateralis",-17.93,62.867,0
"134","G_aequilateralis",-33.07,55.05,0
"135","G_aequilateralis",-13.55,39.617,0
"136","G_aequilateralis",-16.87,-36.57,0
"137","G_aequilateralis",-46.2,54,0
"138","G_aequilateralis",-46.87,54.033,0
"139","G_aequilateralis",-53.12,54.733,0
"140","G_aequilateralis",-56.07,55.967,0
"141","G_aequilateralis",-54.7,56.733,0
"142","G_aequilateralis",-44.62,58.183,0
"143","G_aequilateralis",-41.07,59.15,0
"144","G_aequilateralis",-37.275,60.7033,0
"145","G_aequilateralis",-33.27,61.933,0
"146","G_aequilateralis",-6.217,65.017,0
"147","G_aequilateralis",-5.4,76.167,0
"148","G_aequilateralis",2.667,73.533,0
"149","G_aequilateralis",-54.33,42.783,0
"150","G_aequilateralis",4.633,78.833,0
"151","G_aequilateralis",6.917,76.467,0
"152","G_aequilateralis",3.617,78.117,0
"153","G_aequilateralis",-10.8,75,0
"154","G_aequilateralis",1.117,66.6,0
"155","G_aequilateralis",-7.433,60.65,0
"156","G_aequilateralis",-29.57,64.783,0
"157","G_aequilateralis",163.27,-0.917,0
"158","G_aequilateralis",-1.35,76.817,0
"159","G_aequilateralis",-1.35,76.817,0
"160","G_aequilateralis",-0.833,73.483,0
"161","G_aequilateralis",-0.833,73.483,0
"162","G_aequilateralis",5.267,72.183,0
"163","G_aequilateralis",5.267,72.183,0
"164","G_aequilateralis",-1.617,71.167,0
"165","G_aequilateralis",0.583,62.9,0
"166","G_aequilateralis",-3.583,64.833,0
"167","G_aequilateralis",-3.583,64.833,0
"168","G_aequilateralis",-12.72,68.717,0
"169","G_aequilateralis",-12.72,68.717,0
"170","G_aequilateralis",0.233,67.683,0
"171","G_aequilateralis",11.667,74.483,0
"172","G_aequilateralis",0.2,65.517,0
"173","G_aequilateralis",-6.117,68.033,0
"174","G_aequilateralis",-4.0167,64.0833,0
"175","G_aequilateralis",-11.45,60.55,0
"176","G_aequilateralis",-15.18,60.617,0
"177","G_aequilateralis",-47.1,55.533,0
"178","G_aequilateralis",-18.73,55.4,0
"179","G_aequilateralis",-15.57,58.733,0
"180","G_aequilateralis",-19.2,59.95,0
"181","G_aequilateralis",-20.97,60.383,0
"182","G_aequilateralis",-22.45,60.8,0
"183","G_aequilateralis",-23.02,61.183,0
"184","G_aequilateralis",-25.12,61.55,0
"185","G_aequilateralis",-6.483,65.6,0
"186","G_aequilateralis",-6.733,66.733,0
"187","G_aequilateralis",-6.667,67.783,0
"188","G_aequilateralis",-6.983,72.967,0
"189","G_aequilateralis",-5.117,75.933,0
"190","G_aequilateralis",-5.417,68.383,0
"191","G_aequilateralis",-0.067,65.167,0
"192","G_aequilateralis",-14.53,62.85,0
"193","G_aequilateralis",-24.05,61.917,0
"194","G_aequilateralis",158.033,33.317,0
