"","Taxa","Longitude","Latitude","Count"
"1","G_bulloides",-75.75,23.9333,0
"2","G_bulloides",-75.9333,24.8,0
"3","G_bulloides",-78.55,19.4,0
"4","G_bulloides",-18.3,3.65,0
"5","G_bulloides",-21.7833,0.6,0
"6","G_bulloides",-26.0333,-0.7667,0
"7","G_bulloides",-57.3167,10.55,0
"8","G_bulloides",-59.2,20.7332,0
"9","G_bulloides",-116.217,1.45,0
"10","G_bulloides",-115.767,4.133,0
"11","G_bulloides",-113.3,-4.033,0
"12","G_bulloides",-63.0667,-58.8667,0
"13","G_bulloides",-136.9667,-59.9667,0
"14","G_bulloides",162.702,-0.027,0
"15","G_bulloides",161.605,1.1,0
"16","G_bulloides",-34.173,10.993,0
"17","G_bulloides",-42.9833,4.8667,0
"18","G_bulloides",-44.9667,5.9833,0
"19","G_bulloides",-44.9333,5.8667,0
"20","G_bulloides",-44.7667,5.6667,0
"21","G_bulloides",-44.7167,5.7,0
"22","G_bulloides",-44.6333,5.7833,0
"23","G_bulloides",-44.5833,5.8333,0
"24","G_bulloides",-44.5833,5.8333,0
"25","G_bulloides",-44.5,5.8833,0
"26","G_bulloides",-44.4667,5.9667,0
"27","G_bulloides",-44.3,6.1167,0
"28","G_bulloides",-44.0833,6.2167,0
"29","G_bulloides",-44.0833,6.0333,0
"30","G_bulloides",-44.0833,6,0
"31","G_bulloides",-44.05,5.7167,0
"32","G_bulloides",-44.0667,5.4667,0
"33","G_bulloides",-44.05,5.4333,0
"34","G_bulloides",-43.75,4.7333,0
"35","G_bulloides",-43.4833,4.7833,0
"36","G_bulloides",-43.45,4.7667,0
"37","G_bulloides",-43.1333,4.9,0
"38","G_bulloides",-43.05,4.9167,0
"39","G_bulloides",-42.9167,4.95,0
"40","G_bulloides",-43.038,4.792,0
"41","G_bulloides",-43.3167,4.85,0
"42","G_bulloides",-43.15,4.7,0
"43","G_bulloides",-43.382,4.563,0
"44","G_bulloides",-43.697,4.363,0
"45","G_bulloides",-43.4833,4.35,0
"46","G_bulloides",-43.4333,4.35,0
"47","G_bulloides",-43.487,4.337,0
"48","G_bulloides",-43.307,4.76,0
"49","G_bulloides",-43.15,4.85,0
"50","G_bulloides",-166.967,-63.283,0
"51","G_bulloides",-149.4,-4.433,0
"52","G_bulloides",-148.65,-1.533,0
"53","G_bulloides",167.233,2.933,0
"54","G_bulloides",-75.58,14.267,0
"55","G_bulloides",-84.18,20.533,0
"56","G_bulloides",-77.22,10.183,0
"57","G_bulloides",-79.53,16.567,0
"58","G_bulloides",-45.4,2.217,0
"59","G_bulloides",-43.77,0.917,0
"60","G_bulloides",-41.52,1.683,0
"61","G_bulloides",-40.6,-2.0667,0
"62","G_bulloides",-36.95,-1.167,0
"63","G_bulloides",-35.22,-2.767,0
"64","G_bulloides",-35.97,-17.27,0
"65","G_bulloides",-114.6,-5.983,0
"66","G_bulloides",-32.6833,-20.15,0
"67","G_bulloides",-48.08,7.633,0
"68","G_bulloides",164.82,1.633,0
"69","G_bulloides",-157.9,20.783,0
"70","G_bulloides",-86.25,20.733,0
"71","G_bulloides",-86.13,20.45,0
"72","G_bulloides",-177.6,-24.23,0
"73","G_bulloides",76.167,0.8,0
"74","G_bulloides",-78.74,14.878,0
"75","G_bulloides",-76.96,10.032,0
"76","G_bulloides",-25.43,1.783,0
"77","G_bulloides",165.74,4.098,0
"78","G_bulloides",69.48,-25.34,0
"79","G_bulloides",68.683,-21.68,0
"80","G_bulloides",-131.883,-1.667,0
"81","G_bulloides",-132.533,2.067,0
"82","G_bulloides",-96.7,-13.6,0
"83","G_bulloides",-140.247,4.46,0
"84","G_bulloides",-155,5.063,0
"85","G_bulloides",-133.293,0.442,0
"86","G_bulloides",-130.487,2.69,0
"87","G_bulloides",-121.443,2.485,0
"88","G_bulloides",-114.082,-4.995,0
"89","G_bulloides",-138.85,-0.15,0
"90","G_bulloides",-141.133,2.533,0
"91","G_bulloides",65.0833,10.0333,0
"92","G_bulloides",-63.57,17.567,0
"93","G_bulloides",-77.77,12.4,0
"94","G_bulloides",-74.4,17,0
"95","G_bulloides",-32.85,0.85,0
"96","G_bulloides",-36.13,-2.3,0
"97","G_bulloides",-34.4,-9.75,0
"98","G_bulloides",-37.07,1.967,0
"99","G_bulloides",-46.48,23.333,0
"100","G_bulloides",-50.83,60.033,0
"101","G_bulloides",-51.12,13.733,0
"102","G_bulloides",87.117,-25.63,0
"103","G_bulloides",-47.75,4.233,0
"104","G_bulloides",-78.37,13.233,0
"105","G_bulloides",-79.07,11.8,0
"106","G_bulloides",9.583,-29.52,0
"107","G_bulloides",-15.05,3.65,0
"108","G_bulloides",172,-0.867,0
"109","G_bulloides",167.03,3.117,0
"110","G_bulloides",-34.63,-4.233,0
"111","G_bulloides",-39.03,-1.95,0
"112","G_bulloides",-35.6,2.1,0
"113","G_bulloides",-33.03,5.317,0
"114","G_bulloides",-43.65,23.367,0
"115","G_bulloides",-84.65,24.683,0
"116","G_bulloides",-85.28,20.4,0
"117","G_bulloides",-77.23,14.45,0
"118","G_bulloides",-112.4,-4.333,0
"119","G_bulloides",-21.15,14.4,0
"120","G_bulloides",-45.63,12.75,0
"121","G_bulloides",-35.83,17.2,0
"122","G_bulloides",-77.95,15.317,0
"123","G_bulloides",-76.63,12.25,0
"124","G_bulloides",-100.3,1.417,0
"125","G_bulloides",-107,1.717,0
"126","G_bulloides",-129,1.85,0
"127","G_bulloides",-150.2,2.85,0
"128","G_bulloides",-72.6,22.6,0
"129","G_bulloides",-46.7,26.783,0
"130","G_bulloides",-43,9.317,0
"131","G_bulloides",-34.65,-1.55,0
"132","G_bulloides",-74.45,16.133,0
"133","G_bulloides",-71.23,17.033,0
"134","G_bulloides",-17.92,6.267,0
"135","G_bulloides",-18.25,6.033,0
"136","G_bulloides",-18.08,5.833,0
"137","G_bulloides",-14.8,0.3,0
"138","G_bulloides",-26.58,25.933,0
"139","G_bulloides",-26.65,5.1,0
"140","G_bulloides",-35.65,-11.15,0
"141","G_bulloides",-56.07,55.967,0
"142","G_bulloides",-6.217,65.017,0
"143","G_bulloides",-5.4,76.167,0
"144","G_bulloides",2.667,73.533,0
"145","G_bulloides",-54.33,42.783,0
"146","G_bulloides",4.633,78.833,0
"147","G_bulloides",6.917,76.467,0
"148","G_bulloides",-10.8,75,0
"149","G_bulloides",-73.92,14.933,0
"150","G_bulloides",-78.68,11.933,0
"151","G_bulloides",-81.15,10.983,0
"152","G_bulloides",-1.35,76.817,0
"153","G_bulloides",-0.833,73.483,0
"154","G_bulloides",-0.833,73.483,0
"155","G_bulloides",-12.72,68.717,0
"156","G_bulloides",-12.72,68.717,0
"157","G_bulloides",11.667,74.483,0
"158","G_bulloides",-6.117,68.033,0
"159","G_bulloides",-4.0167,64.0833,0
"160","G_bulloides",-6.733,66.733,0
"161","G_bulloides",-6.983,72.967,0
