"","Taxa","Longitude","Latitude","Count"
"1","G_calida",-73.5167,38.1833,0
"2","G_calida",-41.75,50.9332,0
"3","G_calida",-72.95,37.65,0
"4","G_calida",-18.3,3.65,0
"5","G_calida",-26.0333,-0.7667,0
"6","G_calida",175.387,36.562,0
"7","G_calida",60.6167,20,0
"8","G_calida",61.817,-26.933,0
"9","G_calida",-130.617,3.333,0
"10","G_calida",-116.217,1.45,0
"11","G_calida",-115.767,4.133,0
"12","G_calida",-127.333,-44.217,0
"13","G_calida",-119.833,-45.5,0
"14","G_calida",-97.083,-42.9,0
"15","G_calida",-113.3,-4.033,0
"16","G_calida",-89.75,-59.65,0
"17","G_calida",-130.117,-58,0
"18","G_calida",-159.983,-54.017,0
"19","G_calida",-63.0667,-58.8667,0
"20","G_calida",-136.9667,-59.9667,0
"21","G_calida",95.08,-47.128,0
"22","G_calida",95.037,-47.988,0
"23","G_calida",94.832,-49.378,0
"24","G_calida",162.702,-0.027,0
"25","G_calida",161.605,1.1,0
"26","G_calida",162.393,1.362,0
"27","G_calida",163.707,2.362,0
"28","G_calida",-43.15,4.7,0
"29","G_calida",-43.15,4.85,0
"30","G_calida",-43.0333,4.8833,0
"31","G_calida",63.717,-5.567,0
"32","G_calida",73.6,-35.783,0
"33","G_calida",67.883,-39.733,0
"34","G_calida",93.08,14.31,0
"35","G_calida",178.483,-63.067,0
"36","G_calida",-166.967,-63.283,0
"37","G_calida",-171.533,-60.2,0
"38","G_calida",-148.75,-1.9,0
"39","G_calida",-148.65,-1.533,0
"40","G_calida",-144.65,51.5167,0
"41","G_calida",-165.55,10.5,0
"42","G_calida",-170.95,10.383,0
"43","G_calida",42.35,-42.88,0
"44","G_calida",46.2,-43.78,0
"45","G_calida",51.267,-43.63,0
"46","G_calida",65.467,-55.33,0
"47","G_calida",92.417,-44.77,0
"48","G_calida",93.883,-44.03,0
"49","G_calida",101.42,-41.1,0
"50","G_calida",125.57,-46.53,0
"51","G_calida",127.12,-49.33,0
"52","G_calida",129.97,-51.08,0
"53","G_calida",135.85,-51.5,0
"54","G_calida",170.22,-31.45,0
"55","G_calida",148.37,-45.75,0
"56","G_calida",143.78,-44.08,0
"57","G_calida",123.1,-47.77,0
"58","G_calida",121.12,-45.42,0
"59","G_calida",114.13,-41.37,0
"60","G_calida",111.38,-39.78,0
"61","G_calida",-76.68,29.967,0
"62","G_calida",158.8,31.417,0
