"","Taxa","Longitude","Latitude","Count"
"1","G_conglobatus",-73.5167,38.1833,0
"2","G_conglobatus",-78.55,19.4,0
"3","G_conglobatus",-19.2998,25.833,0
"4","G_conglobatus",-17.0667,5.2833,0
"5","G_conglobatus",-21.7833,0.6,0
"6","G_conglobatus",-27.0167,-1.5,0
"7","G_conglobatus",175.387,36.562,0
"8","G_conglobatus",178.637,36.433,0
"9","G_conglobatus",51.6167,8.9,0
"10","G_conglobatus",59.55,21,0
"11","G_conglobatus",61.017,20.833,0
"12","G_conglobatus",57.1833,17.4333,0
"13","G_conglobatus",54.7667,16.2333,0
"14","G_conglobatus",54.6333,15.2667,0
"15","G_conglobatus",57.35,14.9333,0
"16","G_conglobatus",131.9833,-4.6667,0
"17","G_conglobatus",-121.8833,19,0
"18","G_conglobatus",91.533,19,0
"19","G_conglobatus",57.3833,17.5667,0
"20","G_conglobatus",57.3667,13.8667,0
"21","G_conglobatus",60.6667,16.6167,0
"22","G_conglobatus",58.3333,19.15,0
"23","G_conglobatus",59.6,21,0
"24","G_conglobatus",59.7333,21.75,0
"25","G_conglobatus",60.1833,20.75,0
"26","G_conglobatus",60.6167,20,0
"27","G_conglobatus",60.15,22.6833,0
"28","G_conglobatus",59.75,22.6833,0
"29","G_conglobatus",59.6167,22.6167,0
"30","G_conglobatus",63.15,22.1833,0
"31","G_conglobatus",58.7833,24.0667,0
"32","G_conglobatus",-130.617,3.333,0
"33","G_conglobatus",-116.217,1.45,0
"34","G_conglobatus",-127.333,-44.217,0
"35","G_conglobatus",-127.233,-44.35,0
"36","G_conglobatus",-119.833,-45.5,0
"37","G_conglobatus",-102,-42,0
"38","G_conglobatus",-79.5,-34.5,0
"39","G_conglobatus",-113.3,-4.033,0
"40","G_conglobatus",-89.75,-59.65,0
"41","G_conglobatus",-130.117,-58,0
"42","G_conglobatus",-159.983,-54.017,0
"43","G_conglobatus",-63.0667,-58.8667,0
"44","G_conglobatus",-136.9667,-59.9667,0
"45","G_conglobatus",95.082,-45.022,0
"46","G_conglobatus",95.08,-47.128,0
"47","G_conglobatus",95.037,-47.988,0
"48","G_conglobatus",94.832,-49.378,0
"49","G_conglobatus",160.415,-0.022,0
"50","G_conglobatus",161.975,-0.007,0
"51","G_conglobatus",-43.222,29.813,0
"52","G_conglobatus",-16.95,24.5,0
"53","G_conglobatus",-42.9833,4.8667,0
"54","G_conglobatus",-44.7333,5.7,0
"55","G_conglobatus",-44.5,5.8833,0
"56","G_conglobatus",-44.0833,6.1167,0
"57","G_conglobatus",-44.0833,6.0333,0
"58","G_conglobatus",-44.0833,6,0
"59","G_conglobatus",-44.05,5.7167,0
"60","G_conglobatus",-44.0833,5.5667,0
"61","G_conglobatus",-43.65,4.7167,0
"62","G_conglobatus",-43.4833,4.7833,0
"63","G_conglobatus",-43.205,4.865,0
"64","G_conglobatus",-43.1333,4.9,0
"65","G_conglobatus",-42.9167,4.95,0
"66","G_conglobatus",-42.7833,5,0
"67","G_conglobatus",-42.7333,5.0333,0
"68","G_conglobatus",-43.0667,4.75,0
"69","G_conglobatus",-43.3167,4.85,0
"70","G_conglobatus",-43.382,4.563,0
"71","G_conglobatus",-43.6667,4.3667,0
"72","G_conglobatus",-43.4833,4.35,0
"73","G_conglobatus",-43.487,4.337,0
"74","G_conglobatus",-43.4833,4.7,0
"75","G_conglobatus",-43.15,4.85,0
"76","G_conglobatus",70.967,-44.633,0
"77","G_conglobatus",78.433,-37.317,0
"78","G_conglobatus",98.867,-32,0
"79","G_conglobatus",67.883,-39.733,0
"80","G_conglobatus",113.933,-32.267,0
"81","G_conglobatus",50.5183,14.4333,0
"82","G_conglobatus",73.59,12.19,0
"83","G_conglobatus",116.4167,7.7,0
"84","G_conglobatus",118.7167,8.2167,0
"85","G_conglobatus",118.9,8.3,0
"86","G_conglobatus",119.4833,7.1667,0
"87","G_conglobatus",-139.9667,4.5833,0
"88","G_conglobatus",71,-42,0
"89","G_conglobatus",178.483,-63.067,0
"90","G_conglobatus",-166.967,-63.283,0
"91","G_conglobatus",-171.533,-60.2,0
"92","G_conglobatus",175.233,-46.35,0
"93","G_conglobatus",-148.65,-1.533,0
"94","G_conglobatus",-147.8333,50.85,0
"95","G_conglobatus",-144.65,51.5167,0
"96","G_conglobatus",42.35,-42.88,0
"97","G_conglobatus",46.2,-43.78,0
"98","G_conglobatus",51.267,-43.63,0
"99","G_conglobatus",65.467,-55.33,0
"100","G_conglobatus",92.417,-44.77,0
"101","G_conglobatus",93.883,-44.03,0
"102","G_conglobatus",101.42,-41.1,0
"103","G_conglobatus",104.37,-39.38,0
"104","G_conglobatus",120.9,-36.75,0
"105","G_conglobatus",125.57,-46.53,0
"106","G_conglobatus",127.12,-49.33,0
"107","G_conglobatus",129.97,-51.08,0
"108","G_conglobatus",135.85,-51.5,0
"109","G_conglobatus",170.22,-31.45,0
"110","G_conglobatus",168.73,-33.23,0
"111","G_conglobatus",148.37,-45.75,0
"112","G_conglobatus",143.78,-44.08,0
"113","G_conglobatus",123.1,-47.77,0
"114","G_conglobatus",121.12,-45.42,0
"115","G_conglobatus",114.13,-41.37,0
"116","G_conglobatus",111.38,-39.78,0
"117","G_conglobatus",114.55,-31.28,0
"118","G_conglobatus",59.6,19.567,0
"119","G_conglobatus",60.417,19.083,0
"120","G_conglobatus",-14.9,44.2,0
"121","G_conglobatus",-10.57,45.1,0
"122","G_conglobatus",-15.4,54.983,0
"123","G_conglobatus",-90.73,25.683,0
"124","G_conglobatus",-88.98,25.05,0
"125","G_conglobatus",-76.68,29.967,0
"126","G_conglobatus",156.3,-1.133,0
"127","G_conglobatus",158,33.083,0
"128","G_conglobatus",158.8,31.417,0
"129","G_conglobatus",-84.32,6.283,0
"130","G_conglobatus",57.35,-43.03,0
"131","G_conglobatus",54.217,-34.33,0
"132","G_conglobatus",69.55,-36.48,0
"133","G_conglobatus",71.533,-37.8,0
"134","G_conglobatus",79.867,-43.52,0
"135","G_conglobatus",82.25,-39.72,0
"136","G_conglobatus",83.483,-38.03,0
"137","G_conglobatus",86.65,-37.98,0
"138","G_conglobatus",90.217,-36.1,0
"139","G_conglobatus",94.417,-30.07,0
"140","G_conglobatus",-41.52,1.683,0
"141","G_conglobatus",110.55,-33.07,0
"142","G_conglobatus",112.98,-33.8,0
"143","G_conglobatus",-130.1,47.15,0
"144","G_conglobatus",-9.867,-50.87,0
"145","G_conglobatus",-4.6,-49,0
"146","G_conglobatus",-0.05,-46.75,0
"147","G_conglobatus",5.95,-43.48,0
"148","G_conglobatus",12.583,-39.27,0
"149","G_conglobatus",18.45,-35.78,0
"150","G_conglobatus",61.033,-46.52,0
"151","G_conglobatus",-66.93,-56.83,0
"152","G_conglobatus",-54.13,-50.43,0
"153","G_conglobatus",-57.67,-43.47,0
"154","G_conglobatus",-24.8,-39.82,0
"155","G_conglobatus",-28.87,-37.87,0
"156","G_conglobatus",-17.8,-42.58,0
"157","G_conglobatus",-15.48,-39.68,0
"158","G_conglobatus",-13.15,-36.88,0
"159","G_conglobatus",-10.1,-37.27,0
"160","G_conglobatus",-6.717,-36.15,0
"161","G_conglobatus",-4.75,-34.95,0
"162","G_conglobatus",-1,-34.0831,0
"163","G_conglobatus",2.833,-32.88,0
"164","G_conglobatus",11.55,-30.48,0
"165","G_conglobatus",67.717,-2.833,0
"166","G_conglobatus",170.02,38.1,0
"167","G_conglobatus",170.02,38.1,0
"168","G_conglobatus",-89.42,-3.12,0
"169","G_conglobatus",-103.6,-1.652,0
"170","G_conglobatus",-90.93,4.748,0
"171","G_conglobatus",-78.74,14.878,0
"172","G_conglobatus",-30,1.863,0
"173","G_conglobatus",-10.05,4.583,0
"174","G_conglobatus",-7.722,3.705,0
"175","G_conglobatus",-0.7167,4.517,0
"176","G_conglobatus",-8.222,-8.197,0
"177","G_conglobatus",8.872,-21.88,0
"178","G_conglobatus",11.198,-22.33,0
"179","G_conglobatus",11.307,-25.49,0
"180","G_conglobatus",-3.587,-37.54,0
"181","G_conglobatus",7.625,-46.6,0
"182","G_conglobatus",13.4333,-50.7167,0
"183","G_conglobatus",-142.6,50.385,0
"184","G_conglobatus",119.95,4.417,0
"185","G_conglobatus",-47.57,-49.6,0
"186","G_conglobatus",-15.57,-49.92,0
"187","G_conglobatus",-13.23,-46.1,0
"188","G_conglobatus",-20.86,-42.98,0
"189","G_conglobatus",166.55,1.675,0
"190","G_conglobatus",173.51,4.187,0
"191","G_conglobatus",13.148,-28.09,0
"192","G_conglobatus",13.55,-30.43,0
"193","G_conglobatus",14.698,-31.07,0
