"","Taxa","Longitude","Latitude","Count"
"1","G_crassaformis",-73.5167,38.1833,0
"2","G_crassaformis",-41.75,50.9332,0
"3","G_crassaformis",-67.3333,35.7167,0
"4","G_crassaformis",-69.15,36.15,0
"5","G_crassaformis",-68.9333,35.7833,0
"6","G_crassaformis",-72.95,37.65,0
"7","G_crassaformis",-74.35,31.8333,0
"8","G_crassaformis",-76.8,29.7667,0
"9","G_crassaformis",-75.75,23.9333,0
"10","G_crassaformis",-75.9333,24.8,0
"11","G_crassaformis",-67.6667,30.7833,0
"12","G_crassaformis",-69.0833,35.7667,0
"13","G_crassaformis",-73.833,19.917,0
"14","G_crassaformis",-36.7,39.267,0
"15","G_crassaformis",-27.367,33.333,0
"16","G_crassaformis",175.387,36.562,0
"17","G_crassaformis",178.637,36.433,0
"18","G_crassaformis",51.9,12,0
"19","G_crassaformis",51.6167,8.9,0
"20","G_crassaformis",60.2167,9.2167,0
"21","G_crassaformis",69.433,20.15,0
"22","G_crassaformis",67.933,20.125,0
"23","G_crassaformis",59.55,21,0
"24","G_crassaformis",61.017,20.833,0
"25","G_crassaformis",57.1833,17.4333,0
"26","G_crassaformis",54.7667,16.2333,0
"27","G_crassaformis",54.6333,15.2667,0
"28","G_crassaformis",57.35,14.9333,0
"29","G_crassaformis",-34.5667,-29.1333,0
"30","G_crassaformis",71.558,13.583,0
"31","G_crassaformis",74.1833,9.9,0
"32","G_crassaformis",73.4,7.0333,0
"33","G_crassaformis",127.85,-9.1,0
"34","G_crassaformis",131.9833,-4.6667,0
"35","G_crassaformis",130.6167,-2.6333,0
"36","G_crassaformis",112.6833,-11.8833,0
"37","G_crassaformis",46.9833,-13.3,0
"38","G_crassaformis",41.6167,-12.9833,0
"39","G_crassaformis",41.4,-13.1833,0
"40","G_crassaformis",41.55,-16.0667,0
"41","G_crassaformis",41.8333,-11.5167,0
"42","G_crassaformis",-121.8833,19,0
"43","G_crassaformis",118.55,8.5,0
"44","G_crassaformis",87.783,11.383,0
"45","G_crassaformis",80.867,14.267,0
"46","G_crassaformis",87.317,15.3,0
"47","G_crassaformis",91.233,15.217,0
"48","G_crassaformis",91.533,19,0
"49","G_crassaformis",89.317,20.333,0
"50","G_crassaformis",86.9,13.483,0
"51","G_crassaformis",89.033,6.917,0
"52","G_crassaformis",88.583,4.183,0
"53","G_crassaformis",57.3667,17.7,0
"54","G_crassaformis",57.3833,17.5667,0
"55","G_crassaformis",57.3667,13.8667,0
"56","G_crassaformis",60.6667,16.6167,0
"57","G_crassaformis",58.3333,19.15,0
"58","G_crassaformis",58.9833,19.7,0
"59","G_crassaformis",59.6,21,0
"60","G_crassaformis",59.7333,21.75,0
"61","G_crassaformis",60.1833,20.75,0
"62","G_crassaformis",60.6167,20,0
"63","G_crassaformis",60.75,19.55,0
"64","G_crassaformis",61.6833,19.9333,0
"65","G_crassaformis",60.8333,21.7167,0
"66","G_crassaformis",60.15,22.6833,0
"67","G_crassaformis",59.75,22.6833,0
"68","G_crassaformis",59.6167,22.6167,0
"69","G_crassaformis",59.7167,22.6333,0
"70","G_crassaformis",63.15,22.1833,0
"71","G_crassaformis",58.7833,24.0667,0
"72","G_crassaformis",62.067,-18.35,0
"73","G_crassaformis",62.5,-14.033,0
"74","G_crassaformis",55.5,-8.933,0
"75","G_crassaformis",61.817,-26.933,0
"76","G_crassaformis",70.367,-25.417,0
"77","G_crassaformis",69.017,-8.317,0
"78","G_crassaformis",71.217,-2.45,0
"79","G_crassaformis",88.85,2.97,0
"80","G_crassaformis",91.05,2.917,0
"81","G_crassaformis",91.683,2.983,0
"82","G_crassaformis",97.883,-0.567,0
"83","G_crassaformis",-109.7167,-11.7,0
"84","G_crassaformis",-115.767,4.133,0
"85","G_crassaformis",-119.833,-45.5,0
"86","G_crassaformis",-102,-42,0
"87","G_crassaformis",-115.2,-22.0833,0
"88","G_crassaformis",-113.3,-4.033,0
"89","G_crassaformis",-89.75,-59.65,0
"90","G_crassaformis",-130.117,-58,0
"91","G_crassaformis",-159.983,-54.017,0
"92","G_crassaformis",-63.0667,-58.8667,0
"93","G_crassaformis",-136.9667,-59.9667,0
"94","G_crassaformis",95.082,-45.022,0
"95","G_crassaformis",95.08,-47.128,0
"96","G_crassaformis",95.037,-47.988,0
"97","G_crassaformis",94.832,-49.378,0
"98","G_crassaformis",156.058,4.85,0
"99","G_crassaformis",156.23,2.785,0
"100","G_crassaformis",156.998,-2.225,0
"101","G_crassaformis",161.318,-3.605,0
"102","G_crassaformis",160.8,-1.747,0
"103","G_crassaformis",159.235,-1.625,0
"104","G_crassaformis",158.693,-0.017,0
"105","G_crassaformis",160.415,-0.022,0
"106","G_crassaformis",160.998,-0.003,0
"107","G_crassaformis",161.427,-0.005,0
"108","G_crassaformis",161.975,-0.007,0
"109","G_crassaformis",162.702,-0.027,0
"110","G_crassaformis",160.993,0.875,0
"111","G_crassaformis",161.605,1.1,0
"112","G_crassaformis",162.393,1.362,0
"113","G_crassaformis",163.707,2.362,0
"114","G_crassaformis",-47.4833,28.35,0
"115","G_crassaformis",-46.357,28.573,0
