"","Taxa","Longitude","Latitude","Count"
"1","G_digitata",-38.783,28,0
"2","G_digitata",-73.5167,38.1833,0
"3","G_digitata",-41.75,50.9332,0
"4","G_digitata",-67.3333,35.7167,0
"5","G_digitata",-68.9167,36.1333,0
"6","G_digitata",-72.95,37.65,0
"7","G_digitata",-75.35,31.65,0
"8","G_digitata",-75.75,23.9333,0
"9","G_digitata",-75.9333,24.8,0
"10","G_digitata",-78.55,19.4,0
"11","G_digitata",-73.833,19.917,0
"12","G_digitata",-42.65,39.1332,0
"13","G_digitata",-21.7833,0.6,0
"14","G_digitata",-59.2,20.7332,0
"15","G_digitata",51.9,12,0
"16","G_digitata",53.1667,10.25,0
"17","G_digitata",51.7333,8.9833,0
"18","G_digitata",51.6167,8.9,0
"19","G_digitata",59.55,21,0
"20","G_digitata",61.017,20.833,0
"21","G_digitata",57.1833,17.4333,0
"22","G_digitata",54.7667,16.2333,0
"23","G_digitata",73.4,7.0333,0
"24","G_digitata",133.8333,-4.8833,0
"25","G_digitata",131.9833,-4.6667,0
"26","G_digitata",130.6167,-2.6333,0
"27","G_digitata",46.9833,-13.3,0
"28","G_digitata",41.6167,-12.9833,0
"29","G_digitata",41.4,-13.1833,0
"30","G_digitata",41.55,-16.0667,0
"31","G_digitata",-121.8833,19,0
"32","G_digitata",57.3667,17.7,0
"33","G_digitata",57.3833,17.5667,0
"34","G_digitata",60.6667,16.6167,0
"35","G_digitata",58.3333,19.15,0
"36","G_digitata",59.6,21,0
"37","G_digitata",59.7333,21.75,0
"38","G_digitata",60.1833,20.75,0
"39","G_digitata",60.15,22.6833,0
"40","G_digitata",59.6167,22.6167,0
"41","G_digitata",59.7167,22.6333,0
"42","G_digitata",63.15,22.1833,0
"43","G_digitata",58.7833,24.0667,0
"44","G_digitata",-112.1,-14.7333,0
"45","G_digitata",-109.7167,-11.7,0
"46","G_digitata",-110.68,-9.88,0
"47","G_digitata",-119.833,-45.5,0
"48","G_digitata",-118.2333,-23.6167,0
"49","G_digitata",-89.75,-59.65,0
"50","G_digitata",-130.117,-58,0
"51","G_digitata",-63.0667,-58.8667,0
"52","G_digitata",95.082,-45.022,0
"53","G_digitata",95.08,-47.128,0
"54","G_digitata",95.037,-47.988,0
"55","G_digitata",94.832,-49.378,0
"56","G_digitata",156.23,2.785,0
"57","G_digitata",160.415,-0.022,0
"58","G_digitata",-47.4833,28.35,0
"59","G_digitata",-43.222,29.813,0
"60","G_digitata",-37.85,31.653,0
"61","G_digitata",-17.36,34.968,0
"62","G_digitata",-12.618,35.18,0
"63","G_digitata",-42.9833,4.8667,0
"64","G_digitata",-44.5833,5.8333,0
"65","G_digitata",-44.3,6.5,0
"66","G_digitata",-44.0833,6,0
"67","G_digitata",-44.05,5.7167,0
"68","G_digitata",-44.0833,5.6,0
"69","G_digitata",-44.0833,5.5667,0
"70","G_digitata",-44.0667,5.4667,0
"71","G_digitata",-43.75,4.7333,0
"72","G_digitata",-43.45,4.7667,0
"73","G_digitata",-43.1333,4.9,0
"74","G_digitata",-43.05,4.9167,0
"75","G_digitata",-42.7833,5,0
"76","G_digitata",-43.15,4.85,0
"77","G_digitata",59.25,-5.433,0
"78","G_digitata",70.967,-44.633,0
"79","G_digitata",73.6,-35.783,0
"80","G_digitata",67.883,-39.733,0
"81","G_digitata",100.333,-32.1,0
"82","G_digitata",113.933,-32.267,0
"83","G_digitata",155.933,-14.783,0
"84","G_digitata",156.85,-13.283,0
"85","G_digitata",157.217,-12.533,0
"86","G_digitata",163.217,-6.667,0
"87","G_digitata",165.417,-5.7,0
"88","G_digitata",170.033,-3.383,0
"89","G_digitata",71.5133,16.99,0
"90","G_digitata",50.5183,14.4333,0
"91","G_digitata",95.09,8.43,0
"92","G_digitata",95.56,13.34,0
"93","G_digitata",76.43,7.3,0
"94","G_digitata",73.59,12.19,0
"95","G_digitata",58.26,19.18,0
"96","G_digitata",118.9,8.3,0
"97","G_digitata",119.4833,7.1667,0
"98","G_digitata",178.483,-63.067,0
"99","G_digitata",-166.967,-63.283,0
"100","G_digitata",-171.533,-60.2,0
"101","G_digitata",-148.75,-1.9,0
"102","G_digitata",-147.567,-0.25,0
"103","G_digitata",-147.8333,50.85,0
"104","G_digitata",-144.65,51.5167,0
"105","G_digitata",172.483,-2.067,0
"106","G_digitata",171.4,-2.1,0
"107","G_digitata",-171.183,10.167,0
"108","G_digitata",42.35,-42.88,0
"109","G_digitata",46.2,-43.78,0
"110","G_digitata",51.267,-43.63,0
"111","G_digitata",65.467,-55.33,0
"112","G_digitata",101.42,-41.1,0
"113","G_digitata",104.37,-39.38,0
"114","G_digitata",127.12,-49.33,0
"115","G_digitata",129.97,-51.08,0
"116","G_digitata",135.85,-51.5,0
"117","G_digitata",123.1,-47.77,0
"118","G_digitata",121.12,-45.42,0
"119","G_digitata",114.13,-41.37,0
