"","Taxa","Longitude","Latitude","Count"
"1","G_falconensis",-75.9333,24.8,0
"2","G_falconensis",-17.0667,5.2833,0
"3","G_falconensis",-18.3,3.65,0
"4","G_falconensis",-57.3167,10.55,0
"5","G_falconensis",-59.2,20.7332,0
"6","G_falconensis",60.2167,9.2167,0
"7","G_falconensis",130.6167,-2.6333,0
"8","G_falconensis",112.6833,-11.8833,0
"9","G_falconensis",87.317,15.3,0
"10","G_falconensis",86.9,13.483,0
"11","G_falconensis",89.033,6.917,0
"12","G_falconensis",88.583,4.183,0
"13","G_falconensis",62.833,-12.267,0
"14","G_falconensis",69.017,-8.317,0
"15","G_falconensis",71.217,-2.45,0
"16","G_falconensis",70.233,-2.333,0
"17","G_falconensis",88.85,2.97,0
"18","G_falconensis",91.683,2.983,0
"19","G_falconensis",97.883,-0.567,0
"20","G_falconensis",-130.617,3.333,0
"21","G_falconensis",-115.7167,-26.3,0
"22","G_falconensis",-116.217,1.45,0
"23","G_falconensis",-115.767,4.133,0
"24","G_falconensis",-148.4833,-16.7833,0
"25","G_falconensis",-143.6667,-28.5667,0
"26","G_falconensis",-118.2333,-23.6167,0
"27","G_falconensis",-113.3,-4.033,0
"28","G_falconensis",-89.75,-59.65,0
"29","G_falconensis",-130.117,-58,0
"30","G_falconensis",-63.0667,-58.8667,0
"31","G_falconensis",-136.9667,-59.9667,0
"32","G_falconensis",160.998,-0.003,0
"33","G_falconensis",161.427,-0.005,0
"34","G_falconensis",161.975,-0.007,0
"35","G_falconensis",162.702,-0.027,0
"36","G_falconensis",161.605,1.1,0
"37","G_falconensis",162.393,1.362,0
"38","G_falconensis",163.707,2.362,0
"39","G_falconensis",-34.173,10.993,0
"40","G_falconensis",-44.9333,5.8667,0
"41","G_falconensis",-44.6333,5.7833,0
"42","G_falconensis",-44.5,5.8833,0
"43","G_falconensis",-44.4667,5.9667,0
"44","G_falconensis",-44.3,6.5,0
"45","G_falconensis",-44.3,6.1167,0
"46","G_falconensis",-44.0833,6.3167,0
"47","G_falconensis",-44.0833,6,0
"48","G_falconensis",-44.05,5.7167,0
"49","G_falconensis",-44.05,5.4333,0
"50","G_falconensis",-43.65,4.7167,0
"51","G_falconensis",-43.45,4.7667,0
"52","G_falconensis",-42.892,4.948,0
"53","G_falconensis",-42.7833,5,0
"54","G_falconensis",-42.7333,5.0333,0
"55","G_falconensis",-43.05,4.75,0
"56","G_falconensis",-43.4833,4.35,0
"57","G_falconensis",-43.408,4.342,0
"58","G_falconensis",-43.4833,4.7,0
"59","G_falconensis",-43.0333,4.8833,0
"60","G_falconensis",65.9667,5.7167,0
"61","G_falconensis",157.217,-12.533,0
"62","G_falconensis",170.033,-3.383,0
"63","G_falconensis",118.2133,11.9317,0
"64","G_falconensis",118.7167,8.2167,0
"65","G_falconensis",118.95,8.35,0
"66","G_falconensis",118.8833,6.75,0
"67","G_falconensis",119.4833,7.1667,0
"68","G_falconensis",-139.9667,4.5833,0
"69","G_falconensis",178.483,-63.067,0
"70","G_falconensis",-166.967,-63.283,0
"71","G_falconensis",-149.4,-4.433,0
"72","G_falconensis",-148.75,-1.9,0
"73","G_falconensis",-148.65,-1.533,0
"74","G_falconensis",-144.65,51.5167,0
"75","G_falconensis",-157.3833,21.55,0
"76","G_falconensis",176.6,-14.6,0
"77","G_falconensis",175.3,-11.133,0
"78","G_falconensis",168.1,1.15,0
"79","G_falconensis",167.233,2.933,0
"80","G_falconensis",-166.1,-5.483,0
"81","G_falconensis",-164.983,10.017,0
"82","G_falconensis",-168.867,8.567,0
"83","G_falconensis",-74.88,14,0
"84","G_falconensis",148.37,-45.75,0
"85","G_falconensis",-77.22,10.183,0
"86","G_falconensis",156.43,-3.033,0
"87","G_falconensis",155.23,-0.8,0
"88","G_falconensis",-81.63,13.483,0
"89","G_falconensis",-79.53,16.567,0
"90","G_falconensis",57.633,-22.4,0
"91","G_falconensis",67.583,-34.92,0
"92","G_falconensis",-43.77,0.917,0
