"","Taxa","Longitude","Latitude","Count"
"1","G_hirsuta",-75.75,23.9333,0
"2","G_hirsuta",-78.55,19.4,0
"3","G_hirsuta",-73.833,19.917,0
"4","G_hirsuta",-18.3,3.65,0
"5","G_hirsuta",-21.7833,0.6,0
"6","G_hirsuta",-26.0333,-0.7667,0
"7","G_hirsuta",-27.0167,-1.5,0
"8","G_hirsuta",-57.3167,10.55,0
"9","G_hirsuta",-59.2,20.7332,0
"10","G_hirsuta",178.637,36.433,0
"11","G_hirsuta",51.9,12,0
"12","G_hirsuta",53.1667,10.25,0
"13","G_hirsuta",51.7333,8.9833,0
"14","G_hirsuta",51.6167,8.9,0
"15","G_hirsuta",60.2167,9.2167,0
"16","G_hirsuta",69.433,20.15,0
"17","G_hirsuta",67.933,20.125,0
"18","G_hirsuta",59.55,21,0
"19","G_hirsuta",61.017,20.833,0
"20","G_hirsuta",57.1833,17.4333,0
"21","G_hirsuta",54.7667,16.2333,0
"22","G_hirsuta",54.6333,15.2667,0
"23","G_hirsuta",57.35,14.9333,0
"24","G_hirsuta",71.558,13.583,0
"25","G_hirsuta",74.1833,9.9,0
"26","G_hirsuta",73.4,7.0333,0
"27","G_hirsuta",127.85,-9.1,0
"28","G_hirsuta",131.9833,-4.6667,0
"29","G_hirsuta",130.6167,-2.6333,0
"30","G_hirsuta",112.6833,-11.8833,0
"31","G_hirsuta",46.9833,-13.3,0
"32","G_hirsuta",41.6167,-12.9833,0
"33","G_hirsuta",41.4,-13.1833,0
"34","G_hirsuta",41.55,-16.0667,0
"35","G_hirsuta",-121.8833,19,0
"36","G_hirsuta",119.05,7.916,0
"37","G_hirsuta",118.55,8.5,0
"38","G_hirsuta",87.783,11.383,0
"39","G_hirsuta",80.867,14.267,0
"40","G_hirsuta",87.317,15.3,0
"41","G_hirsuta",91.233,15.217,0
"42","G_hirsuta",91.533,19,0
"43","G_hirsuta",89.317,20.333,0
"44","G_hirsuta",86.9,13.483,0
"45","G_hirsuta",89.033,6.917,0
"46","G_hirsuta",88.583,4.183,0
"47","G_hirsuta",57.3667,17.7,0
"48","G_hirsuta",57.3833,17.5667,0
"49","G_hirsuta",57.3667,13.8667,0
"50","G_hirsuta",58.3333,19.15,0
"51","G_hirsuta",58.9833,19.7,0
"52","G_hirsuta",59.7333,21.75,0
"53","G_hirsuta",60.1833,20.75,0
"54","G_hirsuta",60.6167,20,0
"55","G_hirsuta",60.75,19.55,0
"56","G_hirsuta",61.6833,19.9333,0
"57","G_hirsuta",60.8333,21.7167,0
"58","G_hirsuta",60.15,22.6833,0
"59","G_hirsuta",59.75,22.6833,0
"60","G_hirsuta",59.6167,22.6167,0
"61","G_hirsuta",59.7167,22.6333,0
"62","G_hirsuta",63.15,22.1833,0
"63","G_hirsuta",58.7833,24.0667,0
"64","G_hirsuta",62.5,-14.033,0
"65","G_hirsuta",62.833,-12.267,0
"66","G_hirsuta",55.5,-8.933,0
"67","G_hirsuta",61.817,-26.933,0
"68","G_hirsuta",69.017,-8.317,0
"69","G_hirsuta",70.233,-2.333,0
"70","G_hirsuta",69.25,-2.2,0
"71","G_hirsuta",88.85,2.97,0
"72","G_hirsuta",91.05,2.917,0
"73","G_hirsuta",91.683,2.983,0
"74","G_hirsuta",97.883,-0.567,0
"75","G_hirsuta",-130.617,3.333,0
"76","G_hirsuta",-115.7167,-26.3,0
"77","G_hirsuta",-110.68,-9.88,0
"78","G_hirsuta",-133.38,-9.98,0
"79","G_hirsuta",-116.217,1.45,0
"80","G_hirsuta",-115.767,4.133,0
"81","G_hirsuta",-148.4833,-16.7833,0
"82","G_hirsuta",-143.6667,-28.5667,0
"83","G_hirsuta",-127.333,-44.217,0
"84","G_hirsuta",-127.233,-44.35,0
"85","G_hirsuta",-119.833,-45.5,0
"86","G_hirsuta",-102,-42,0
"87","G_hirsuta",-79.5,-34.5,0
"88","G_hirsuta",-118.2333,-23.6167,0
"89","G_hirsuta",-113.3,-4.033,0
"90","G_hirsuta",-89.75,-59.65,0
"91","G_hirsuta",-130.117,-58,0
"92","G_hirsuta",-159.983,-54.017,0
"93","G_hirsuta",-63.0667,-58.8667,0
"94","G_hirsuta",-136.9667,-59.9667,0
"95","G_hirsuta",95.082,-45.022,0
"96","G_hirsuta",95.08,-47.128,0
"97","G_hirsuta",95.037,-47.988,0
"98","G_hirsuta",156.058,4.85,0
"99","G_hirsuta",156.23,2.785,0
"100","G_hirsuta",161.318,-3.605,0
"101","G_hirsuta",160.8,-1.747,0
"102","G_hirsuta",159.235,-1.625,0
"103","G_hirsuta",158.693,-0.017,0
"104","G_hirsuta",160.415,-0.022,0
"105","G_hirsuta",160.998,-0.003,0
"106","G_hirsuta",161.427,-0.005,0
"107","G_hirsuta",161.975,-0.007,0
"108","G_hirsuta",162.702,-0.027,0
"109","G_hirsuta",160.993,0.875,0
"110","G_hirsuta",161.605,1.1,0
"111","G_hirsuta",162.393,1.362,0
"112","G_hirsuta",163.707,2.362,0
"113","G_hirsuta",-51.5833,16.7167,0
"114","G_hirsuta",-46.127,16.653,0
"115","G_hirsuta",-42.947,15.527,0
"116","G_hirsuta",-34.173,10.993,0
"117","G_hirsuta",-42.9833,4.8667,0
"118","G_hirsuta",-42.7333,5.15,0
"119","G_hirsuta",-44.9667,5.9833,0
"120","G_hirsuta",-44.7667,5.6667,0
"121","G_hirsuta",-44.7167,5.7,0
"122","G_hirsuta",-44.7333,5.7,0
"123","G_hirsuta",-44.5833,5.8333,0
"124","G_hirsuta",-44.5,5.8833,0
"125","G_hirsuta",-44.4667,5.9667,0
"126","G_hirsuta",-44.3833,6.0167,0
"127","G_hirsuta",-44.3,6.5,0
"128","G_hirsuta",-44.3,6.1167,0
"129","G_hirsuta",-44.2167,6.2167,0
"130","G_hirsuta",-44.0833,6.2167,0
"131","G_hirsuta",-44.0833,6.0333,0
"132","G_hirsuta",-44.0833,6,0
"133","G_hirsuta",-44.05,5.7167,0
"134","G_hirsuta",-44.0833,5.6,0
"135","G_hirsuta",-44.0833,5.5667,0
"136","G_hirsuta",-44.0667,5.4667,0
"137","G_hirsuta",-44.0667,5.3833,0
"138","G_hirsuta",-43.75,4.7333,0
"139","G_hirsuta",-43.45,4.7667,0
"140","G_hirsuta",-43.205,4.865,0
"141","G_hirsuta",-43.1333,4.9,0
"142","G_hirsuta",-42.9167,4.95,0
"143","G_hirsuta",-42.892,4.948,0
"144","G_hirsuta",-42.7333,5.0333,0
"145","G_hirsuta",-43.0667,4.75,0
"146","G_hirsuta",-43.05,4.75,0
"147","G_hirsuta",-43.3167,4.85,0
"148","G_hirsuta",-43.382,4.563,0
"149","G_hirsuta",-43.697,4.363,0
"150","G_hirsuta",-43.6667,4.3667,0
"151","G_hirsuta",-43.4833,4.35,0
"152","G_hirsuta",-43.4333,4.3333,0
"153","G_hirsuta",-43.487,4.337,0
"154","G_hirsuta",-43.4833,4.7,0
"155","G_hirsuta",-43.0333,4.8833,0
"156","G_hirsuta",72.783,-5.383,0
"157","G_hirsuta",59.25,-5.433,0
"158","G_hirsuta",58.517,-10.35,0
"159","G_hirsuta",59.683,-13.683,0
"160","G_hirsuta",65.9667,5.7167,0
"161","G_hirsuta",148.7,-14.5,0
"162","G_hirsuta",154.733,-15.717,0
"163","G_hirsuta",155.933,-14.783,0
"164","G_hirsuta",156.85,-13.283,0
"165","G_hirsuta",157.217,-12.533,0
"166","G_hirsuta",158.05,-11.317,0
"167","G_hirsuta",163.217,-6.667,0
"168","G_hirsuta",165.417,-5.7,0
"169","G_hirsuta",168.033,-4.517,0
"170","G_hirsuta",170.033,-3.383,0
"171","G_hirsuta",71.5133,16.99,0
"172","G_hirsuta",95.09,8.43,0
"173","G_hirsuta",95.03,10.13,0
"174","G_hirsuta",93.41,11.09,0
"175","G_hirsuta",94.09,11.46,0
"176","G_hirsuta",95.56,13.34,0
"177","G_hirsuta",93.08,14.31,0
"178","G_hirsuta",91.01,18.22,0
"179","G_hirsuta",90.29,17.24,0
"180","G_hirsuta",92.04,12.24,0
"181","G_hirsuta",76.43,7.3,0
"182","G_hirsuta",73.59,12.19,0
"183","G_hirsuta",71.53,13.59,0
"184","G_hirsuta",117.9267,12.65,0
"185","G_hirsuta",117.9167,12.3167,0
"186","G_hirsuta",118.065,12.1517,0
"187","G_hirsuta",118.4833,11,0
"188","G_hirsuta",118.71,11.5767,0
"189","G_hirsuta",118.6317,11.6283,0
"190","G_hirsuta",118.5083,11.7233,0
"191","G_hirsuta",118.3317,11.8867,0
"192","G_hirsuta",118.2133,11.9317,0
"193","G_hirsuta",118.29,10.6,0
"194","G_hirsuta",116.4167,7.7,0
"195","G_hirsuta",116.2333,7.85,0
"196","G_hirsuta",116.1167,7.8833,0
"197","G_hirsuta",116.1667,7.8167,0
"198","G_hirsuta",118.3833,8.05,0
"199","G_hirsuta",118.5667,8.15,0
"200","G_hirsuta",118.7167,8.2167,0
"201","G_hirsuta",118.9,8.3,0
"202","G_hirsuta",118.95,8.35,0
"203","G_hirsuta",118.8333,8.3,0
"204","G_hirsuta",118.8833,6.75,0
"205","G_hirsuta",118.9667,6.8,0
"206","G_hirsuta",119.3667,7,0
"207","G_hirsuta",120.3333,7.5333,0
"208","G_hirsuta",119.9333,7.4833,0
"209","G_hirsuta",119.4833,7.1667,0
"210","G_hirsuta",119.05,6.9,0
"211","G_hirsuta",-139.9667,4.5833,0
"212","G_hirsuta",-174.3167,17.8667,0
"213","G_hirsuta",62.667,-17.8,0
"214","G_hirsuta",73.883,-23.933,0
"215","G_hirsuta",178.483,-63.067,0
"216","G_hirsuta",-166.967,-63.283,0
"217","G_hirsuta",-171.533,-60.2,0
"218","G_hirsuta",-150.583,-13.883,0
"219","G_hirsuta",-149.4,-4.433,0
"220","G_hirsuta",-148.75,-1.9,0
"221","G_hirsuta",-148.65,-1.533,0
"222","G_hirsuta",-147.567,-0.25,0
"223","G_hirsuta",-147.8333,50.85,0
"224","G_hirsuta",-144.65,51.5167,0
"225","G_hirsuta",-157.8167,21.7,0
"226","G_hirsuta",-157.3833,21.55,0
"227","G_hirsuta",176.6,-14.6,0
"228","G_hirsuta",175.3,-11.133,0
"229","G_hirsuta",172.483,-2.067,0
"230","G_hirsuta",171.4,-2.1,0
"231","G_hirsuta",170.3,-2.267,0
"232","G_hirsuta",168.1,1.15,0
"233","G_hirsuta",167.233,2.933,0
"234","G_hirsuta",-165.383,-4.067,0
"235","G_hirsuta",-166.1,-5.483,0
"236","G_hirsuta",-165.383,-4.75,0
"237","G_hirsuta",-165.55,10.5,0
"238","G_hirsuta",-164.983,10.017,0
"239","G_hirsuta",-168.867,8.567,0
"240","G_hirsuta",-171.183,10.167,0
"241","G_hirsuta",-170.95,10.383,0
"242","G_hirsuta",-75.58,14.267,0
"243","G_hirsuta",-74.88,14,0
"244","G_hirsuta",42.35,-42.88,0
"245","G_hirsuta",46.2,-43.78,0
"246","G_hirsuta",51.267,-43.63,0
"247","G_hirsuta",65.467,-55.33,0
"248","G_hirsuta",92.417,-44.77,0
"249","G_hirsuta",104.37,-39.38,0
"250","G_hirsuta",125.57,-46.53,0
"251","G_hirsuta",127.12,-49.33,0
"252","G_hirsuta",129.97,-51.08,0
"253","G_hirsuta",135.85,-51.5,0
"254","G_hirsuta",123.1,-47.77,0
"255","G_hirsuta",121.12,-45.42,0
"256","G_hirsuta",114.55,-31.28,0
"257","G_hirsuta",59.6,19.567,0
"258","G_hirsuta",60.417,19.083,0
"259","G_hirsuta",58.083,17.883,0
"260","G_hirsuta",-88.98,28,0
"261","G_hirsuta",-94.6833,25.6,0
"262","G_hirsuta",-94.35,26.317,0
"263","G_hirsuta",-15.4,54.983,0
"264","G_hirsuta",-90.73,25.683,0
"265","G_hirsuta",-90.95,24.85,0
"266","G_hirsuta",-84.18,20.533,0
"267","G_hirsuta",-77.22,10.183,0
"268","G_hirsuta",157.97,-14.53,0
"269","G_hirsuta",153.85,-12.42,0
"270","G_hirsuta",156.43,-3.033,0
"271","G_hirsuta",156.98,-2.65,0
"272","G_hirsuta",156.3,-1.133,0
"273","G_hirsuta",155.23,-0.8,0
"274","G_hirsuta",153.98,-0.333,0
"275","G_hirsuta",150.38,6.767,0
"276","G_hirsuta",158,33.083,0
"277","G_hirsuta",154.63,32.133,0
"278","G_hirsuta",-69.67,21.3,0
"279","G_hirsuta",-81.63,13.483,0
"280","G_hirsuta",-86.3,23.433,0
"281","G_hirsuta",-91.6,22.933,0
"282","G_hirsuta",-94.83,22.083,0
"283","G_hirsuta",-95.83,21.717,0
"284","G_hirsuta",-96.33,22.617,0
"285","G_hirsuta",-94.38,24.05,0
"286","G_hirsuta",-92.47,24.9,0
"287","G_hirsuta",-84.75,25.183,0
"288","G_hirsuta",-79.53,16.567,0
"289","G_hirsuta",-87.82,4.683,0
"290","G_hirsuta",-45.97,4.967,0
"291","G_hirsuta",-45.4,2.217,0
"292","G_hirsuta",67.583,-34.92,0
"293","G_hirsuta",-43.77,0.917,0
"294","G_hirsuta",-41.52,1.683,0
"295","G_hirsuta",-40.6,-2.0667,0
"296","G_hirsuta",112.8,-21.42,0
"297","G_hirsuta",-36.95,-1.167,0
"298","G_hirsuta",145.83,16.517,0
"299","G_hirsuta",149.92,20.1,0
"300","G_hirsuta",-35.22,-2.767,0
"301","G_hirsuta",142.9,26.8,0
"302","G_hirsuta",-130.1,47.15,0
"303","G_hirsuta",-35.97,-17.27,0
"304","G_hirsuta",-139.7,-1.983,0
"305","G_hirsuta",-146.9,-14.78,0
"306","G_hirsuta",-114.6,-5.983,0
"307","G_hirsuta",-110.8,-8.8,0
"308","G_hirsuta",-107,-11.33,0
"309","G_hirsuta",-85.8167,-1.5333,0
"310","G_hirsuta",-70.8,38.033,0
"311","G_hirsuta",-9.867,-50.87,0
"312","G_hirsuta",-4.6,-49,0
"313","G_hirsuta",5.95,-43.48,0
"314","G_hirsuta",-48.08,7.633,0
"315","G_hirsuta",168.38,-3.733,0
"316","G_hirsuta",166.72,-1.267,0
"317","G_hirsuta",164.82,1.633,0
"318","G_hirsuta",163.33,3.6,0
"319","G_hirsuta",134.15,33,0
"320","G_hirsuta",134.15,32.3,0
"321","G_hirsuta",133.28,29.767,0
"322","G_hirsuta",131.42,29.55,0
"323","G_hirsuta",-157.9,20.783,0
"324","G_hirsuta",-86.25,20.733,0
"325","G_hirsuta",-54.13,-50.43,0
"326","G_hirsuta",-57.67,-43.47,0
"327","G_hirsuta",-17.8,-42.58,0
"328","G_hirsuta",34.033,-30.3,0
"329","G_hirsuta",65.2,-2.983,0
"330","G_hirsuta",74.6,0.783,0
"331","G_hirsuta",76.167,0.8,0
"332","G_hirsuta",71,6.233,0
"333","G_hirsuta",90.017,12.7,0
"334","G_hirsuta",89.583,13.05,0
"335","G_hirsuta",88.633,15.05,0
"336","G_hirsuta",90.567,15.167,0
"337","G_hirsuta",96.067,12.767,0
"338","G_hirsuta",93.333,9.333,0
"339","G_hirsuta",170.02,38.1,0
"340","G_hirsuta",-84.87,25.95,0
"341","G_hirsuta",-94.23,25.783,0
"342","G_hirsuta",-157.2,-21.46,0
"343","G_hirsuta",-89.42,-3.12,0
"344","G_hirsuta",-103.6,-1.652,0
"345","G_hirsuta",-90.93,4.748,0
"346","G_hirsuta",-75.04,11.91,0
"347","G_hirsuta",-74.85,12.88,0
"348","G_hirsuta",-71.67,15.617,0
"349","G_hirsuta",-75.44,16.708,0
"350","G_hirsuta",-75.95,15.065,0
"351","G_hirsuta",-78.74,14.878,0
"352","G_hirsuta",-78.15,11.25,0
"353","G_hirsuta",-79.83,13.178,0
"354","G_hirsuta",-170.1,19.087,0
"355","G_hirsuta",-30,1.863,0
"356","G_hirsuta",-25.43,1.783,0
"357","G_hirsuta",-10.05,4.583,0
"358","G_hirsuta",-7.722,3.705,0
"359","G_hirsuta",-0.7167,4.517,0
"360","G_hirsuta",2.647,2.023,0
"361","G_hirsuta",-8.222,-8.197,0
"362","G_hirsuta",-10.61,-9.142,0
"363","G_hirsuta",8.872,-21.88,0
"364","G_hirsuta",11.198,-22.33,0
"365","G_hirsuta",7.625,-46.6,0
"366","G_hirsuta",-175.3,13.863,0
"367","G_hirsuta",13.4333,-50.7167,0
"368","G_hirsuta",-142.6,50.385,0
"369","G_hirsuta",71.877,-12.47,0
"370","G_hirsuta",88.57,-9.025,0
"371","G_hirsuta",90.015,-2.38,0
"372","G_hirsuta",90.137,-2.287,0
"373","G_hirsuta",89.95,-0.8333,0
"374","G_hirsuta",89.995,0.465,0
"375","G_hirsuta",90.167,-1.467,0
"376","G_hirsuta",90.52,-5.857,0
"377","G_hirsuta",102.45,-5.967,0
"378","G_hirsuta",103.67,-12.88,0
