"","Taxa","Longitude","Latitude","Count"
"1","G_inflata",-75.75,23.9333,0
"2","G_inflata",-75.9333,24.8,0
"3","G_inflata",-73.833,19.917,0
"4","G_inflata",-18.3,3.65,0
"5","G_inflata",-21.7833,0.6,0
"6","G_inflata",-26.0333,-0.7667,0
"7","G_inflata",-27.0167,-1.5,0
"8","G_inflata",-57.3167,10.55,0
"9","G_inflata",-59.2,20.7332,0
"10","G_inflata",51.9,12,0
"11","G_inflata",53.1667,10.25,0
"12","G_inflata",51.7333,8.9833,0
"13","G_inflata",51.6167,8.9,0
"14","G_inflata",69.433,20.15,0
"15","G_inflata",67.933,20.125,0
"16","G_inflata",59.55,21,0
"17","G_inflata",61.017,20.833,0
"18","G_inflata",57.1833,17.4333,0
"19","G_inflata",54.7667,16.2333,0
"20","G_inflata",54.6333,15.2667,0
"21","G_inflata",57.35,14.9333,0
"22","G_inflata",71.558,13.583,0
"23","G_inflata",74.1833,9.9,0
"24","G_inflata",73.4,7.0333,0
"25","G_inflata",127.85,-9.1,0
"26","G_inflata",133.8333,-4.8833,0
"27","G_inflata",131.9833,-4.6667,0
"28","G_inflata",130.6167,-2.6333,0
"29","G_inflata",112.6833,-11.8833,0
"30","G_inflata",46.9833,-13.3,0
"31","G_inflata",41.6167,-12.9833,0
"32","G_inflata",41.4,-13.1833,0
"33","G_inflata",41.55,-16.0667,0
"34","G_inflata",41.8333,-11.5167,0
"35","G_inflata",-121.8833,19,0
"36","G_inflata",119.05,7.916,0
"37","G_inflata",118.55,8.5,0
"38","G_inflata",80.867,14.267,0
"39","G_inflata",87.317,15.3,0
"40","G_inflata",91.233,15.217,0
"41","G_inflata",91.533,19,0
"42","G_inflata",89.317,20.333,0
"43","G_inflata",86.9,13.483,0
"44","G_inflata",89.033,6.917,0
"45","G_inflata",88.583,4.183,0
"46","G_inflata",57.3667,17.7,0
"47","G_inflata",57.3833,17.5667,0
"48","G_inflata",57.3667,13.8667,0
"49","G_inflata",60.6667,16.6167,0
"50","G_inflata",58.3333,19.15,0
"51","G_inflata",58.9833,19.7,0
"52","G_inflata",59.6,21,0
"53","G_inflata",59.7333,21.75,0
"54","G_inflata",60.1833,20.75,0
"55","G_inflata",60.6167,20,0
"56","G_inflata",60.75,19.55,0
"57","G_inflata",61.6833,19.9333,0
"58","G_inflata",60.8333,21.7167,0
"59","G_inflata",60.15,22.6833,0
"60","G_inflata",59.75,22.6833,0
"61","G_inflata",59.6167,22.6167,0
"62","G_inflata",59.7167,22.6333,0
"63","G_inflata",63.15,22.1833,0
"64","G_inflata",58.7833,24.0667,0
"65","G_inflata",62.067,-18.35,0
"66","G_inflata",62.5,-14.033,0
"67","G_inflata",62.833,-12.267,0
"68","G_inflata",55.5,-8.933,0
"69","G_inflata",69.017,-8.317,0
"70","G_inflata",71.217,-2.45,0
"71","G_inflata",69.25,-2.2,0
"72","G_inflata",71.2167,-2.45,0
"73","G_inflata",88.85,2.97,0
"74","G_inflata",91.05,2.917,0
"75","G_inflata",91.683,2.983,0
"76","G_inflata",97.883,-0.567,0
"77","G_inflata",-112.1,-14.7333,0
"78","G_inflata",-109.7167,-11.7,0
"79","G_inflata",-110.68,-9.88,0
"80","G_inflata",-133.38,-9.98,0
"81","G_inflata",-116.217,1.45,0
"82","G_inflata",-115.767,4.133,0
"83","G_inflata",-148.4833,-16.7833,0
"84","G_inflata",-113.3,-4.033,0
"85","G_inflata",-63.0667,-58.8667,0
"86","G_inflata",-136.9667,-59.9667,0
"87","G_inflata",156.058,4.85,0
"88","G_inflata",156.23,2.785,0
"89","G_inflata",156.998,-2.225,0
"90","G_inflata",161.318,-3.605,0
"91","G_inflata",160.8,-1.747,0
"92","G_inflata",159.235,-1.625,0
"93","G_inflata",158.693,-0.017,0
"94","G_inflata",160.415,-0.022,0
"95","G_inflata",160.998,-0.003,0
"96","G_inflata",161.427,-0.005,0
"97","G_inflata",161.975,-0.007,0
"98","G_inflata",162.702,-0.027,0
"99","G_inflata",160.993,0.875,0
"100","G_inflata",161.605,1.1,0
"101","G_inflata",162.393,1.362,0
"102","G_inflata",163.707,2.362,0
"103","G_inflata",-51.5833,16.7167,0
"104","G_inflata",-42.9833,4.8667,0
"105","G_inflata",-42.7333,5.15,0
"106","G_inflata",-44.9667,5.9833,0
"107","G_inflata",-44.9333,5.8667,0
"108","G_inflata",-44.7667,5.6667,0
"109","G_inflata",-44.7167,5.7,0
"110","G_inflata",-44.7333,5.7,0
"111","G_inflata",-44.5833,5.8333,0
"112","G_inflata",-44.5833,5.8333,0
"113","G_inflata",-44.5,5.8833,0
"114","G_inflata",-44.4667,5.9667,0
"115","G_inflata",-44.3833,6.0167,0
"116","G_inflata",-44.3,6.5,0
"117","G_inflata",-44.3,6.1167,0
"118","G_inflata",-44.2167,6.2167,0
"119","G_inflata",-44.0833,6.3167,0
"120","G_inflata",-44.0833,6.2167,0
"121","G_inflata",-44.0833,6.1167,0
"122","G_inflata",-44.0833,6.0333,0
"123","G_inflata",-44.0833,6,0
"124","G_inflata",-44.05,5.7167,0
"125","G_inflata",-44.0833,5.6,0
