"","Taxa","Longitude","Latitude","Count"
"1","G_menardii",-38.783,28,0
"2","G_menardii",-75.75,23.9333,0
"3","G_menardii",-67.6667,30.7833,0
"4","G_menardii",175.387,36.562,0
"5","G_menardii",-115.7167,-26.3,0
"6","G_menardii",-148.4833,-16.7833,0
"7","G_menardii",-143.6667,-28.5667,0
"8","G_menardii",-127.333,-44.217,0
"9","G_menardii",-127.233,-44.35,0
"10","G_menardii",-119.833,-45.5,0
"11","G_menardii",-102,-42,0
"12","G_menardii",-97.083,-42.9,0
"13","G_menardii",-118.2333,-23.6167,0
"14","G_menardii",-89.75,-59.65,0
"15","G_menardii",-130.117,-58,0
"16","G_menardii",-159.983,-54.017,0
"17","G_menardii",-63.0667,-58.8667,0
"18","G_menardii",-136.9667,-59.9667,0
"19","G_menardii",95.082,-45.022,0
"20","G_menardii",95.08,-47.128,0
"21","G_menardii",95.037,-47.988,0
"22","G_menardii",94.832,-49.378,0
"23","G_menardii",161.427,-0.005,0
"24","G_menardii",-47.4833,28.35,0
"25","G_menardii",-46.357,28.573,0
"26","G_menardii",-43.222,29.813,0
"27","G_menardii",-34.093,32.417,0
"28","G_menardii",-34.073,32.457,0
"29","G_menardii",-30.378,34.653,0
"30","G_menardii",-29.9798,34.6198,0
"31","G_menardii",-28.78,34.82,0
"32","G_menardii",-28.358,34.805,0
"33","G_menardii",-26.195,34.813,0
"34","G_menardii",-24.3167,35,0
"35","G_menardii",-21.668,34.95,0
"36","G_menardii",-17.36,34.968,0
"37","G_menardii",-12.618,35.18,0
"38","G_menardii",-16.95,24.5,0
"39","G_menardii",-44.0667,5.3833,0
"40","G_menardii",70.967,-44.633,0
"41","G_menardii",73.6,-35.783,0
"42","G_menardii",78.433,-37.317,0
"43","G_menardii",98.867,-32,0
"44","G_menardii",67.883,-39.733,0
"45","G_menardii",100.333,-32.1,0
"46","G_menardii",71,-42,0
"47","G_menardii",178.483,-63.067,0
"48","G_menardii",-166.967,-63.283,0
"49","G_menardii",-171.533,-60.2,0
"50","G_menardii",-154.75,-24.683,0
"51","G_menardii",-150.583,-13.883,0
"52","G_menardii",-147.8333,50.85,0
"53","G_menardii",-144.65,51.5167,0
"54","G_menardii",42.35,-42.88,0
"55","G_menardii",46.2,-43.78,0
"56","G_menardii",51.267,-43.63,0
"57","G_menardii",65.467,-55.33,0
"58","G_menardii",92.417,-44.77,0
"59","G_menardii",93.883,-44.03,0
"60","G_menardii",101.42,-41.1,0
"61","G_menardii",104.37,-39.38,0
"62","G_menardii",120.9,-36.75,0
"63","G_menardii",125.57,-46.53,0
"64","G_menardii",127.12,-49.33,0
"65","G_menardii",129.97,-51.08,0
"66","G_menardii",135.85,-51.5,0
"67","G_menardii",105.2,-29.37,0
"68","G_menardii",-123.4,-27.43,0
"69","G_menardii",-179.7,-24.77,0
"70","G_menardii",170.22,-31.45,0
"71","G_menardii",168.73,-33.23,0
"72","G_menardii",148.37,-45.75,0
"73","G_menardii",143.78,-44.08,0
"74","G_menardii",123.1,-47.77,0
"75","G_menardii",121.12,-45.42,0
"76","G_menardii",111.38,-39.78,0
"77","G_menardii",-14.9,44.2,0
"78","G_menardii",-10.57,45.1,0
"79","G_menardii",-15.4,54.983,0
"80","G_menardii",-76.68,29.967,0
"81","G_menardii",156.3,-1.133,0
"82","G_menardii",155.23,-0.8,0
"83","G_menardii",159.17,34.583,0
"84","G_menardii",-69.67,21.3,0
"85","G_menardii",57.35,-43.03,0
"86","G_menardii",54.217,-34.33,0
"87","G_menardii",67.583,-34.92,0
"88","G_menardii",69.55,-36.48,0
"89","G_menardii",71.533,-37.8,0
"90","G_menardii",79.867,-43.52,0
"91","G_menardii",82.25,-39.72,0
"92","G_menardii",83.483,-38.03,0
"93","G_menardii",86.65,-37.98,0
"94","G_menardii",90.217,-36.1,0
"95","G_menardii",91.933,-33.63,0
"96","G_menardii",94.417,-30.07,0
"97","G_menardii",110.55,-33.07,0
"98","G_menardii",-130.1,47.15,0
"99","G_menardii",-146.9,-14.78,0
"100","G_menardii",-140,-14.82,0
"101","G_menardii",-35.1,-34.72,0
"102","G_menardii",-35.53,-31.98,0
"103","G_menardii",-9.867,-50.87,0
"104","G_menardii",-4.6,-49,0
"105","G_menardii",-0.05,-46.75,0
"106","G_menardii",5.95,-43.48,0
"107","G_menardii",12.583,-39.27,0
"108","G_menardii",18.45,-35.78,0
"109","G_menardii",61.033,-46.52,0
"110","G_menardii",157.87,-25.88,0
"111","G_menardii",163.52,-24.88,0
"112","G_menardii",166.72,-1.267,0
"113","G_menardii",-177.6,-24.23,0
"114","G_menardii",-66.93,-56.83,0
"115","G_menardii",-54.13,-50.43,0
"116","G_menardii",-57.67,-43.47,0
"117","G_menardii",-24.8,-39.82,0
"118","G_menardii",-28.87,-37.87,0
"119","G_menardii",-17.8,-42.58,0
"120","G_menardii",-15.48,-39.68,0
"121","G_menardii",-13.15,-36.88,0
"122","G_menardii",-10.1,-37.27,0
"123","G_menardii",-6.717,-36.15,0
"124","G_menardii",-4.75,-34.95,0
"125","G_menardii",-1,-34.0831,0
"126","G_menardii",2.833,-32.88,0
"127","G_menardii",11.55,-30.48,0
"128","G_menardii",170.02,38.1,0
"129","G_menardii",170.02,38.1,0
"130","G_menardii",11.198,-22.33,0
"131","G_menardii",11.307,-25.49,0
"132","G_menardii",-3.587,-37.54,0
"133","G_menardii",7.625,-46.6,0
"134","G_menardii",13.4333,-50.7167,0
"135","G_menardii",-142.6,50.385,0
"136","G_menardii",-47.57,-49.6,0
"137","G_menardii",-15.57,-49.92,0
"138","G_menardii",-13.23,-46.1,0
"139","G_menardii",-20.86,-42.98,0
"140","G_menardii",13.148,-28.09,0
"141","G_menardii",14.698,-31.07,0
"142","G_menardii",36.01,-32.11,0
"143","G_menardii",47.605,-32.64,0
"144","G_menardii",57.425,-31.08,0
"145","G_menardii",58.678,-28.81,0
"146","G_menardii",61.338,-29.08,0
"147","G_menardii",69.48,-25.34,0
"148","G_menardii",70.55,-24.28,0
"149","G_menardii",-142.45,-15.25,0
"150","G_menardii",-145.12,-16.5,0
"151","G_menardii",-145.8,-15.85,0
"152","G_menardii",-147.45,-15.6667,0
"153","G_menardii",-113.867,1.483,0
"154","G_menardii",157.07,0.8667,0
"155","G_menardii",-21.1328,53.867,0
"156","G_menardii",-0.0667,63.4832,0
"157","G_menardii",-11.62,35.05,0
"158","G_menardii",-33.13,37.233,0
"159","G_menardii",-64.72,32.217,0
"160","G_menardii",-34.5,-28.7,0
"161","G_menardii",-53.07,24.283,0
"162","G_menardii",-57.98,-45.32,0
"163","G_menardii",-20.38,-40.9,0
"164","G_menardii",-42.15,-50.77,0
"165","G_menardii",13.5,-39.2,0
"166","G_menardii",15.917,-35.88,0
"167","G_menardii",-49.08,-52.18,0
"168","G_menardii",-47.4,-50.38,0
"169","G_menardii",137.65,-48.08,0
"170","G_menardii",153.98,-53.4,0
"171","G_menardii",171.5,-46.7,0
"172","G_menardii",-179.3,-47.02,0
"173","G_menardii",-46.48,23.333,0
"174","G_menardii",-51.87,30,0
"175","G_menardii",-50.83,60.033,0
"176","G_menardii",-11.43,-19.37,0
"177","G_menardii",10.75,-32.13,0
"178","G_menardii",12.583,-33.4,0
"179","G_menardii",15,-33.2,0
"180","G_menardii",16.433,-33.35,0
"181","G_menardii",31.267,-46.5,0
"182","G_menardii",79.567,-29.73,0
"183","G_menardii",82.85,-31.05,0
"184","G_menardii",83.8,-31.63,0
"185","G_menardii",84.85,-32.38,0
"186","G_menardii",89.133,-33.38,0
"187","G_menardii",-55.17,-40.57,0
"188","G_menardii",-36.92,29.617,0
"189","G_menardii",-47.733,58.367,0
"190","G_menardii",-57.83,60.733,0
"191","G_menardii",-44.7,-53.58,0
"192","G_menardii",-52.25,-49.5,0
"193","G_menardii",-57.62,-45.67,0
"194","G_menardii",15.017,-32.33,0
"195","G_menardii",15.983,-33.23,0
"196","G_menardii",29.933,-38.98,0
"197","G_menardii",37.867,-37.63,0
"198","G_menardii",41.85,-36.12,0
"199","G_menardii",46.567,-32.43,0
"200","G_menardii",113.98,-34.32,0
"201","G_menardii",141.65,-39.78,0
"202","G_menardii",-174.4,-20.97,0
"203","G_menardii",44.15,-13.13,0
"204","G_menardii",13.283,-30.58,0
"205","G_menardii",9.583,-29.52,0
"206","G_menardii",10.8,-21.83,0
"207","G_menardii",-41.4,29.017,0
"208","G_menardii",172,-0.867,0
"209","G_menardii",-177.8,33.983,0
"210","G_menardii",25.283,-36.32,0
"211","G_menardii",-43.65,23.367,0
"212","G_menardii",-132.4,41.067,0
"213","G_menardii",-10.9,-46.13,0
"214","G_menardii",-6.633,-44.47,0
"215","G_menardii",24.583,-39.583,0
"216","G_menardii",-43.63,27.917,0
"217","G_menardii",-33.42,-29.42,0
"218","G_menardii",-42.93,-50.1,0
"219","G_menardii",-43.17,-50.78,0
"220","G_menardii",-43.5,-51.52,0
"221","G_menardii",-40.67,17.483,0
"222","G_menardii",-45.97,54.2,0
"223","G_menardii",-32.85,59.95,0
"224","G_menardii",-27.53,62.667,0
"225","G_menardii",8.317,70.05,0
"226","G_menardii",14.4,69.267,0
"227","G_menardii",-17.57,60.933,0
"228","G_menardii",-16.83,54.25,0
"229","G_menardii",-21.93,52.583,0
"230","G_menardii",-24.25,49.867,0
"231","G_menardii",-16.92,46,0
"232","G_menardii",-15.1,29.8,0
