"","Taxa","Longitude","Latitude","Count"
"1","G_ruber_p",-73.5167,38.1833,0
"2","G_ruber_p",-41.75,50.9332,0
"3","G_ruber_p",-68.9167,36.1333,0
"4","G_ruber_p",-72.95,37.65,0
"5","G_ruber_p",-74.35,31.8333,0
"6","G_ruber_p",-17.0667,5.2833,0
"7","G_ruber_p",-18.3,3.65,0
"8","G_ruber_p",-27.0167,-1.5,0
"9","G_ruber_p",175.387,36.562,0
"10","G_ruber_p",178.637,36.433,0
"11","G_ruber_p",51.9,12,0
"12","G_ruber_p",53.1667,10.25,0
"13","G_ruber_p",51.7333,8.9833,0
"14","G_ruber_p",51.6167,8.9,0
"15","G_ruber_p",60.2167,9.2167,0
"16","G_ruber_p",69.433,20.15,0
"17","G_ruber_p",67.933,20.125,0
"18","G_ruber_p",59.55,21,0
"19","G_ruber_p",61.017,20.833,0
"20","G_ruber_p",57.1833,17.4333,0
"21","G_ruber_p",54.7667,16.2333,0
"22","G_ruber_p",54.6333,15.2667,0
"23","G_ruber_p",57.35,14.9333,0
"24","G_ruber_p",71.558,13.583,0
"25","G_ruber_p",74.1833,9.9,0
"26","G_ruber_p",73.4,7.0333,0
"27","G_ruber_p",127.85,-9.1,0
"28","G_ruber_p",133.8333,-4.8833,0
"29","G_ruber_p",130.6167,-2.6333,0
"30","G_ruber_p",112.6833,-11.8833,0
"31","G_ruber_p",41.6167,-12.9833,0
"32","G_ruber_p",41.4,-13.1833,0
"33","G_ruber_p",41.55,-16.0667,0
"34","G_ruber_p",41.8333,-11.5167,0
"35","G_ruber_p",-121.8833,19,0
"36","G_ruber_p",119.05,7.916,0
"37","G_ruber_p",118.55,8.5,0
"38","G_ruber_p",87.783,11.383,0
"39","G_ruber_p",80.867,14.267,0
"40","G_ruber_p",87.317,15.3,0
"41","G_ruber_p",91.233,15.217,0
"42","G_ruber_p",91.533,19,0
"43","G_ruber_p",89.317,20.333,0
"44","G_ruber_p",86.9,13.483,0
"45","G_ruber_p",89.033,6.917,0
"46","G_ruber_p",88.583,4.183,0
"47","G_ruber_p",57.3667,17.7,0
"48","G_ruber_p",57.3833,17.5667,0
"49","G_ruber_p",57.3667,13.8667,0
"50","G_ruber_p",60.6667,16.6167,0
"51","G_ruber_p",58.3333,19.15,0
"52","G_ruber_p",58.9833,19.7,0
"53","G_ruber_p",59.6,21,0
"54","G_ruber_p",59.7333,21.75,0
"55","G_ruber_p",60.1833,20.75,0
"56","G_ruber_p",60.6167,20,0
"57","G_ruber_p",60.75,19.55,0
"58","G_ruber_p",61.6833,19.9333,0
"59","G_ruber_p",60.8333,21.7167,0
"60","G_ruber_p",60.15,22.6833,0
"61","G_ruber_p",59.75,22.6833,0
"62","G_ruber_p",59.6167,22.6167,0
"63","G_ruber_p",63.15,22.1833,0
"64","G_ruber_p",58.7833,24.0667,0
"65","G_ruber_p",62.067,-18.35,0
"66","G_ruber_p",62.5,-14.033,0
"67","G_ruber_p",62.833,-12.267,0
"68","G_ruber_p",55.5,-8.933,0
"69","G_ruber_p",61.817,-26.933,0
"70","G_ruber_p",70.367,-25.417,0
"71","G_ruber_p",69.017,-8.317,0
"72","G_ruber_p",71.217,-2.45,0
"73","G_ruber_p",70.233,-2.333,0
"74","G_ruber_p",69.25,-2.2,0
"75","G_ruber_p",71.2167,-2.45,0
"76","G_ruber_p",88.85,2.97,0
"77","G_ruber_p",91.05,2.917,0
"78","G_ruber_p",91.683,2.983,0
"79","G_ruber_p",97.883,-0.567,0
"80","G_ruber_p",-130.617,3.333,0
"81","G_ruber_p",-115.7167,-26.3,0
