"","Taxa","Longitude","Latitude","Count"
"1","G_rubescens",-73.5167,38.1833,0
"2","G_rubescens",-41.75,50.9332,0
"3","G_rubescens",-67.3333,35.7167,0
"4","G_rubescens",-68.9167,36.1333,0
"5","G_rubescens",-69.15,36.15,0
"6","G_rubescens",-68.9333,35.7833,0
"7","G_rubescens",-72.95,37.65,0
"8","G_rubescens",-74.35,31.8333,0
"9","G_rubescens",-67.6667,30.7833,0
"10","G_rubescens",-69.0833,35.7667,0
"11","G_rubescens",-42.65,39.1332,0
"12","G_rubescens",-36.7,39.267,0
"13","G_rubescens",-18.3,3.65,0
"14","G_rubescens",-57.3167,10.55,0
"15","G_rubescens",-59.2,20.7332,0
"16","G_rubescens",175.387,36.562,0
"17","G_rubescens",178.637,36.433,0
"18","G_rubescens",53.1667,10.25,0
"19","G_rubescens",60.2167,9.2167,0
"20","G_rubescens",61.017,20.833,0
"21","G_rubescens",74.1833,9.9,0
"22","G_rubescens",127.85,-9.1,0
"23","G_rubescens",133.8333,-4.8833,0
"24","G_rubescens",112.6833,-11.8833,0
"25","G_rubescens",46.9833,-13.3,0
"26","G_rubescens",41.6167,-12.9833,0
"27","G_rubescens",87.783,11.383,0
"28","G_rubescens",87.317,15.3,0
"29","G_rubescens",91.233,15.217,0
"30","G_rubescens",86.9,13.483,0
"31","G_rubescens",89.033,6.917,0
"32","G_rubescens",88.583,4.183,0
"33","G_rubescens",57.3667,13.8667,0
"34","G_rubescens",58.9833,19.7,0
"35","G_rubescens",61.6833,19.9333,0
"36","G_rubescens",60.8333,21.7167,0
"37","G_rubescens",62.833,-12.267,0
"38","G_rubescens",55.5,-8.933,0
"39","G_rubescens",61.817,-26.933,0
"40","G_rubescens",71.217,-2.45,0
"41","G_rubescens",70.233,-2.333,0
"42","G_rubescens",88.85,2.97,0
"43","G_rubescens",91.683,2.983,0
"44","G_rubescens",97.883,-0.567,0
"45","G_rubescens",-130.617,3.333,0
"46","G_rubescens",-133.38,-9.98,0
"47","G_rubescens",-116.217,1.45,0
"48","G_rubescens",-115.767,4.133,0
"49","G_rubescens",-143.6667,-28.5667,0
"50","G_rubescens",-127.333,-44.217,0
"51","G_rubescens",-127.233,-44.35,0
"52","G_rubescens",-119.833,-45.5,0
"53","G_rubescens",-102,-42,0
"54","G_rubescens",-97.083,-42.9,0
"55","G_rubescens",-79.5,-34.5,0
"56","G_rubescens",-106.5,-28.4833,0
"57","G_rubescens",-118.2333,-23.6167,0
"58","G_rubescens",-115.2,-22.0833,0
"59","G_rubescens",-113.3,-4.033,0
"60","G_rubescens",-89.75,-59.65,0
"61","G_rubescens",-130.117,-58,0
"62","G_rubescens",-159.983,-54.017,0
"63","G_rubescens",-63.0667,-58.8667,0
"64","G_rubescens",-136.9667,-59.9667,0
"65","G_rubescens",95.082,-45.022,0
"66","G_rubescens",95.08,-47.128,0
"67","G_rubescens",95.037,-47.988,0
"68","G_rubescens",94.832,-49.378,0
"69","G_rubescens",156.058,4.85,0
"70","G_rubescens",160.998,-0.003,0
"71","G_rubescens",161.427,-0.005,0
"72","G_rubescens",161.975,-0.007,0
"73","G_rubescens",162.702,-0.027,0
"74","G_rubescens",160.993,0.875,0
"75","G_rubescens",161.605,1.1,0
"76","G_rubescens",162.393,1.362,0
"77","G_rubescens",163.707,2.362,0
"78","G_rubescens",-21.668,34.95,0
"79","G_rubescens",-12.618,35.18,0
"80","G_rubescens",-34.173,10.993,0
"81","G_rubescens",-42.9833,4.8667,0
"82","G_rubescens",-42.7333,5.15,0
"83","G_rubescens",-44.3,6.1167,0
"84","G_rubescens",-44.0833,6.3167,0
"85","G_rubescens",-44.0833,6.2167,0
"86","G_rubescens",-44.0833,6.1167,0
"87","G_rubescens",-44.0833,6.0333,0
"88","G_rubescens",-43.4833,4.7833,0
"89","G_rubescens",-43.1333,4.9,0
"90","G_rubescens",-42.9167,4.95,0
"91","G_rubescens",-42.892,4.948,0
"92","G_rubescens",-42.7333,5.0333,0
"93","G_rubescens",-43.15,4.7,0
"94","G_rubescens",-43.382,4.563,0
"95","G_rubescens",-43.0333,4.8833,0
"96","G_rubescens",63.717,-5.567,0
"97","G_rubescens",59.25,-5.433,0
"98","G_rubescens",58.517,-10.35,0
"99","G_rubescens",59.683,-13.683,0
"100","G_rubescens",70.967,-44.633,0
"101","G_rubescens",73.6,-35.783,0
"102","G_rubescens",78.433,-37.317,0
"103","G_rubescens",114.383,-31.5,0
"104","G_rubescens",65.9667,5.7167,0
"105","G_rubescens",67.883,-39.733,0
"106","G_rubescens",113.933,-32.267,0
"107","G_rubescens",117.9167,12.3167,0
"108","G_rubescens",118.065,12.1517,0
"109","G_rubescens",118.3317,11.8867,0
"110","G_rubescens",118.2133,11.9317,0
"111","G_rubescens",120.3333,7.5333,0
"112","G_rubescens",119.9333,7.4833,0
"113","G_rubescens",-139.9667,4.5833,0
"114","G_rubescens",62.667,-17.8,0
"115","G_rubescens",71,-42,0
"116","G_rubescens",178.483,-63.067,0
"117","G_rubescens",-166.967,-63.283,0
"118","G_rubescens",-171.533,-60.2,0
"119","G_rubescens",175.233,-46.35,0
"120","G_rubescens",-149.4,-4.433,0
"121","G_rubescens",-148.65,-1.533,0
"122","G_rubescens",-147.567,-0.25,0
"123","G_rubescens",-147.8333,50.85,0
"124","G_rubescens",-144.65,51.5167,0
"125","G_rubescens",175.417,-10.75,0
"126","G_rubescens",172.483,-2.067,0
"127","G_rubescens",171.4,-2.1,0
"128","G_rubescens",170.3,-2.267,0
"129","G_rubescens",168.1,1.15,0
"130","G_rubescens",167.233,2.933,0
"131","G_rubescens",-166.1,-5.483,0
"132","G_rubescens",-165.383,-4.75,0
"133","G_rubescens",-165.55,10.5,0
"134","G_rubescens",-164.983,10.017,0
"135","G_rubescens",-168.867,8.567,0
"136","G_rubescens",-170.95,10.383,0
"137","G_rubescens",-75.58,14.267,0
"138","G_rubescens",-74.88,14,0
"139","G_rubescens",-16.53,-23.35,0
"140","G_rubescens",42.35,-42.88,0
"141","G_rubescens",46.2,-43.78,0
"142","G_rubescens",51.267,-43.63,0
"143","G_rubescens",65.467,-55.33,0
"144","G_rubescens",92.417,-44.77,0
"145","G_rubescens",93.883,-44.03,0
"146","G_rubescens",101.42,-41.1,0
"147","G_rubescens",104.37,-39.38,0
"148","G_rubescens",125.57,-46.53,0
"149","G_rubescens",127.12,-49.33,0
"150","G_rubescens",135.85,-51.5,0
"151","G_rubescens",170.22,-31.45,0
"152","G_rubescens",168.73,-33.23,0
"153","G_rubescens",148.37,-45.75,0
"154","G_rubescens",123.1,-47.77,0
"155","G_rubescens",121.12,-45.42,0
"156","G_rubescens",114.13,-41.37,0
"157","G_rubescens",111.38,-39.78,0
"158","G_rubescens",59.6,19.567,0
"159","G_rubescens",60.417,19.083,0
"160","G_rubescens",-14.9,44.2,0
"161","G_rubescens",-10.57,45.1,0
"162","G_rubescens",-15.4,54.983,0
"163","G_rubescens",-76.68,29.967,0
"164","G_rubescens",-79.15,-18,0
"165","G_rubescens",150.38,6.767,0
"166","G_rubescens",158,33.083,0
"167","G_rubescens",158.8,31.417,0
"168","G_rubescens",154.63,32.133,0
"169","G_rubescens",159.17,34.583,0
"170","G_rubescens",-84.32,6.283,0
"171","G_rubescens",-45.97,4.967,0
"172","G_rubescens",57.35,-43.03,0
"173","G_rubescens",54.217,-34.33,0
"174","G_rubescens",57.633,-22.4,0
"175","G_rubescens",67.583,-34.92,0
"176","G_rubescens",69.55,-36.48,0
"177","G_rubescens",71.533,-37.8,0
"178","G_rubescens",-43.77,0.917,0
"179","G_rubescens",79.867,-43.52,0
"180","G_rubescens",82.25,-39.72,0
"181","G_rubescens",86.65,-37.98,0
"182","G_rubescens",91.933,-33.63,0
"183","G_rubescens",94.417,-30.07,0
"184","G_rubescens",110.55,-33.07,0
"185","G_rubescens",114.12,-31.57,0
"186","G_rubescens",110.02,-25.48,0
"187","G_rubescens",-36.95,-1.167,0
"188","G_rubescens",149.92,20.1,0
"189","G_rubescens",-35.22,-2.767,0
"190","G_rubescens",139.03,33.2,0
"191","G_rubescens",-130.1,47.15,0
"192","G_rubescens",-35.97,-17.27,0
"193","G_rubescens",-114.6,-5.983,0
"194","G_rubescens",-110.8,-8.8,0
"195","G_rubescens",-107,-11.33,0
"196","G_rubescens",-85.8167,-1.5333,0
"197","G_rubescens",-75.32,30.75,0
"198","G_rubescens",-9.867,-50.87,0
"199","G_rubescens",-4.6,-49,0
"200","G_rubescens",-0.05,-46.75,0
"201","G_rubescens",5.95,-43.48,0
"202","G_rubescens",12.583,-39.27,0
"203","G_rubescens",18.45,-35.78,0
"204","G_rubescens",61.033,-46.52,0
"205","G_rubescens",169.2,-26,0
"206","G_rubescens",166.72,-1.267,0
"207","G_rubescens",163.33,3.6,0
"208","G_rubescens",134.15,32.3,0
"209","G_rubescens",133.28,29.767,0
"210","G_rubescens",-66.93,-56.83,0
"211","G_rubescens",-54.13,-50.43,0
"212","G_rubescens",-57.67,-43.47,0
"213","G_rubescens",-24.8,-39.82,0
"214","G_rubescens",-28.87,-37.87,0
"215","G_rubescens",-17.8,-42.58,0
"216","G_rubescens",-15.48,-39.68,0
"217","G_rubescens",-13.15,-36.88,0
"218","G_rubescens",-10.1,-37.27,0
"219","G_rubescens",-6.717,-36.15,0
"220","G_rubescens",-4.75,-34.95,0
"221","G_rubescens",-1,-34.0831,0
"222","G_rubescens",2.833,-32.88,0
"223","G_rubescens",11.55,-30.48,0
"224","G_rubescens",65.2,-2.983,0
"225","G_rubescens",69.867,-2.5,0
"226","G_rubescens",76.167,0.8,0
"227","G_rubescens",71,6.233,0
"228","G_rubescens",90.017,12.7,0
"229","G_rubescens",89.583,13.05,0
"230","G_rubescens",88.633,15.05,0
"231","G_rubescens",126.33,26.583,0
"232","G_rubescens",170.02,38.1,0
"233","G_rubescens",170.02,38.1,0
"234","G_rubescens",-91.55,27.15,0
"235","G_rubescens",-103.6,-1.652,0
"236","G_rubescens",-90.93,4.748,0
"237","G_rubescens",-75.04,11.91,0
"238","G_rubescens",-74.85,12.88,0
"239","G_rubescens",-76.96,10.032,0
"240","G_rubescens",-78.15,11.25,0
"241","G_rubescens",-25.43,1.783,0
"242","G_rubescens",2.647,2.023,0
"243","G_rubescens",8.872,-21.88,0
"244","G_rubescens",11.198,-22.33,0
"245","G_rubescens",11.307,-25.49,0
"246","G_rubescens",-3.587,-37.54,0
"247","G_rubescens",7.625,-46.6,0
"248","G_rubescens",-175.3,13.863,0
"249","G_rubescens",13.4333,-50.7167,0
"250","G_rubescens",-142.6,50.385,0
"251","G_rubescens",71.877,-12.47,0
"252","G_rubescens",88.57,-9.025,0
"253","G_rubescens",90.015,-2.38,0
"254","G_rubescens",90.137,-2.287,0
"255","G_rubescens",90.52,-5.857,0
"256","G_rubescens",119.45,-15.2,0
"257","G_rubescens",125.02,-8.45,0
"258","G_rubescens",124.12,-6.867,0
"259","G_rubescens",137.98,33.467,0
"260","G_rubescens",-47.57,-49.6,0
"261","G_rubescens",-49.03,-33.57,0
"262","G_rubescens",-15.57,-49.92,0
"263","G_rubescens",-13.23,-46.1,0
"264","G_rubescens",-20.86,-42.98,0
"265","G_rubescens",56.633,-13.15,0
"266","G_rubescens",66.097,15.033,0
"267","G_rubescens",166.55,1.675,0
"268","G_rubescens",165.74,4.098,0
"269","G_rubescens",168.83,3.5,0
"270","G_rubescens",173.51,4.187,0
"271","G_rubescens",13.55,-30.43,0
"272","G_rubescens",47.605,-32.64,0
"273","G_rubescens",54.103,-31.84,0
"274","G_rubescens",58.678,-28.81,0
"275","G_rubescens",64.735,-12.3,0
"276","G_rubescens",57.683,18.217,0
"277","G_rubescens",59.87,16.62,0
"278","G_rubescens",59.788,16.528,0
"279","G_rubescens",59.783,16.518,0
"280","G_rubescens",59.293,16.6,0
"281","G_rubescens",59.7167,16.65,0
"282","G_rubescens",59.658,16.652,0
"283","G_rubescens",59.6,16.703,0
"284","G_rubescens",59.353,16.477,0
"285","G_rubescens",59.293,16.348,0
"286","G_rubescens",57.583,17.778,0
"287","G_rubescens",-131.883,-1.667,0
"288","G_rubescens",-132.533,2.067,0
"289","G_rubescens",-99.933,5.65,0
"290","G_rubescens",-89.45,2.3,0
"291","G_rubescens",-85.467,-2.767,0
"292","G_rubescens",-96.7,-13.6,0
"293","G_rubescens",-107.9833,-12.8,0
"294","G_rubescens",-119.6,-14,0
"295","G_rubescens",-140.247,4.46,0
"296","G_rubescens",159.248,32.34,0
"297","G_rubescens",159.218,32.313,0
"298","G_rubescens",-155,5.063,0
"299","G_rubescens",-133.293,0.442,0
"300","G_rubescens",-130.487,2.69,0
"301","G_rubescens",-121.443,2.485,0
"302","G_rubescens",-106.93,2.427,0
"303","G_rubescens",-99.48,3.545,0
"304","G_rubescens",-95.65,4.26,0
"305","G_rubescens",-85.58,4.037,0
"306","G_rubescens",-86.25,0.1,0
"307","G_rubescens",-114.082,-4.995,0
"308","G_rubescens",-113.867,1.483,0
"309","G_rubescens",152.62,1.6667,0
"310","G_rubescens",-21.1328,53.867,0
"311","G_rubescens",-0.0667,63.4832,0
"312","G_rubescens",-130.617,4.567,0
"313","G_rubescens",-133.733,-1.783,0
"314","G_rubescens",-138.85,-0.15,0
"315","G_rubescens",-141.133,2.533,0
"316","G_rubescens",59.6,17.2167,0
"317","G_rubescens",65.0833,10.0333,0
"318","G_rubescens",61.4833,15.9833,0
"319","G_rubescens",-88.017,0.9,0
"320","G_rubescens",-54.9,42.467,0
"321","G_rubescens",-69.5,32.6,0
"322","G_rubescens",-57.13,38.917,0
"323","G_rubescens",-54.03,36.9,0
"324","G_rubescens",-61.45,34.667,0
"325","G_rubescens",-64.6,40.767,0
"326","G_rubescens",-77.77,12.4,0
"327","G_rubescens",-38.2,22.967,0
"328","G_rubescens",-53.07,24.283,0
"329","G_rubescens",-57.98,-45.32,0
"330","G_rubescens",-20.38,-40.9,0
"331","G_rubescens",8.1,-36.5,0
"332","G_rubescens",7.017,-22.98,0
"333","G_rubescens",-36.02,11.2,0
"334","G_rubescens",-16.05,1.75,0
"335","G_rubescens",65.517,3.867,0
"336","G_rubescens",57.183,10.25,0
"337","G_rubescens",13.5,-39.2,0
"338","G_rubescens",15.917,-35.88,0
"339","G_rubescens",32.867,-29.63,0
"340","G_rubescens",66.983,-2.433,0
"341","G_rubescens",-49.08,-52.18,0
"342","G_rubescens",-47.4,-50.38,0
"343","G_rubescens",-74.6,37.017,0
"344","G_rubescens",-74.13,37.667,0
"345","G_rubescens",-85.28,6.35,0
"346","G_rubescens",137.65,-48.08,0
"347","G_rubescens",153.98,-53.4,0
"348","G_rubescens",-179.3,-47.02,0
"349","G_rubescens",-41.03,-28.83,0
"350","G_rubescens",-50.83,60.033,0
"351","G_rubescens",-24.68,-13.07,0
"352","G_rubescens",-19.72,-15.33,0
"353","G_rubescens",10.75,-32.13,0
"354","G_rubescens",12.583,-33.4,0
"355","G_rubescens",15,-33.2,0
"356","G_rubescens",16.433,-33.35,0
"357","G_rubescens",31.267,-46.5,0
"358","G_rubescens",79.567,-29.73,0
"359","G_rubescens",82.85,-31.05,0
"360","G_rubescens",83.8,-31.63,0
"361","G_rubescens",84.85,-32.38,0
"362","G_rubescens",92.833,-28.883,0
"363","G_rubescens",95.183,-28.017,0
"364","G_rubescens",-65.05,28.483,0
"365","G_rubescens",-49.87,-33.15,0
"366","G_rubescens",-28.933,24.967,0
"367","G_rubescens",-34.133,27.967,0
"368","G_rubescens",-41.9,32.75,0
"369","G_rubescens",-47.733,58.367,0
"370","G_rubescens",-57.83,60.733,0
"371","G_rubescens",-44.7,-53.58,0
"372","G_rubescens",-52.25,-49.5,0
"373","G_rubescens",-57.62,-45.67,0
"374","G_rubescens",-51.12,13.733,0
"375","G_rubescens",15.017,-32.33,0
"376","G_rubescens",15.983,-33.23,0
"377","G_rubescens",29.933,-38.98,0
"378","G_rubescens",37.867,-37.63,0
"379","G_rubescens",41.85,-36.12,0
"380","G_rubescens",48.083,-31.2,0
"381","G_rubescens",49.55,-29.03,0
"382","G_rubescens",65.933,-21.03,0
"383","G_rubescens",-47.75,4.233,0
"384","G_rubescens",113.98,-34.32,0
"385","G_rubescens",140.62,-38.57,0
"386","G_rubescens",141.65,-39.78,0
"387","G_rubescens",-67.55,38.75,0
"388","G_rubescens",86.35,-20.65,0
"389","G_rubescens",62.783,8.117,0
"390","G_rubescens",61.067,7.433,0
"391","G_rubescens",60.667,6.867,0
"392","G_rubescens",44.15,-13.13,0
"393","G_rubescens",42.85,-14.88,0
"394","G_rubescens",39.5,-17.9,0
"395","G_rubescens",41.6,-19.92,0
"396","G_rubescens",-79.07,11.8,0
"397","G_rubescens",37.85,-29.52,0
"398","G_rubescens",9.583,-29.52,0
"399","G_rubescens",10.8,-21.83,0
"400","G_rubescens",8.383,-18.33,0
"401","G_rubescens",5.533,-1.283,0
"402","G_rubescens",-83.93,-3.583,0
"403","G_rubescens",-9.083,1.417,0
"404","G_rubescens",-15.05,3.65,0
"405","G_rubescens",-41.4,29.017,0
"406","G_rubescens",-92.88,-13.22,0
"407","G_rubescens",-96.2,-14.1,0
"408","G_rubescens",-113.5,-17.02,0
"409","G_rubescens",-121.2,-16.93,0
"410","G_rubescens",-124.4,-16.65,0
"411","G_rubescens",172,-0.867,0
"412","G_rubescens",170.77,0.1,0
"413","G_rubescens",168.03,2.367,0
"414","G_rubescens",167.03,3.117,0
"415","G_rubescens",-177.8,33.983,0
"416","G_rubescens",168.78,47.95,0
"417","G_rubescens",132.78,4.65,0
"418","G_rubescens",68.483,-21.98,0
"419","G_rubescens",66.283,-22.7,0
"420","G_rubescens",40.9,-25.12,0
"421","G_rubescens",32.15,-33.6,0
"422","G_rubescens",28.1,-34.6,0
"423","G_rubescens",25.283,-36.32,0
"424","G_rubescens",-34.63,-4.233,0
"425","G_rubescens",-35.6,2.1,0
"426","G_rubescens",-30.13,8.467,0
"427","G_rubescens",-68.53,38.283,0
"428","G_rubescens",-60.52,11.533,0
"429","G_rubescens",-132.4,41.067,0
"430","G_rubescens",163.03,37.683,0
"431","G_rubescens",-77.23,14.45,0
"432","G_rubescens",-109.4,-4.717,0
"433","G_rubescens",-112.4,-4.333,0
"434","G_rubescens",-133.3,-12.03,0
"435","G_rubescens",-136.7,-17.65,0
"436","G_rubescens",142.5,27.967,0
"437","G_rubescens",-10.9,-46.13,0
"438","G_rubescens",-6.633,-44.47,0
"439","G_rubescens",24.583,-39.583,0
"440","G_rubescens",-5.183,-17.47,0
"441","G_rubescens",-16.43,-3.3,0
"442","G_rubescens",-21.15,14.4,0
"443","G_rubescens",-57.25,34.75,0
"444","G_rubescens",-45.63,12.75,0
"445","G_rubescens",-42.93,-50.1,0
"446","G_rubescens",-43.17,-50.78,0
"447","G_rubescens",-43.5,-51.52,0
"448","G_rubescens",-25.53,19.883,0
"449","G_rubescens",-35.83,17.2,0
"450","G_rubescens",-45.13,41.517,0
"451","G_rubescens",-45.97,54.2,0
"452","G_rubescens",-32.85,59.95,0
"453","G_rubescens",-27.53,62.667,0
"454","G_rubescens",8.317,70.05,0
"455","G_rubescens",14.4,69.267,0
"456","G_rubescens",-17.57,60.933,0
"457","G_rubescens",-16.83,54.25,0
"458","G_rubescens",-21.93,52.583,0
"459","G_rubescens",-24.25,49.867,0
"460","G_rubescens",-16.92,46,0
"461","G_rubescens",142.37,18.6,0
"462","G_rubescens",143.77,1.817,0
"463","G_rubescens",145.85,-14.3,0
