"","Taxa","Longitude","Latitude","Count"
"1","G_scitula",-73.5167,38.1833,0
"2","G_scitula",-41.75,50.9332,0
"3","G_scitula",-67.3333,35.7167,0
"4","G_scitula",-68.9167,36.1333,0
"5","G_scitula",-69.15,36.15,0
"6","G_scitula",-68.9333,35.7833,0
"7","G_scitula",-69.4,36.2167,0
"8","G_scitula",-72.95,37.65,0
"9","G_scitula",-74.35,31.8333,0
"10","G_scitula",-75.9333,24.8,0
"11","G_scitula",-67.6667,30.7833,0
"12","G_scitula",-69.0833,35.7667,0
"13","G_scitula",-42.65,39.1332,0
"14","G_scitula",-18.3,3.65,0
"15","G_scitula",-27.0167,-1.5,0
"16","G_scitula",-59.2,20.7332,0
"17","G_scitula",51.7333,8.9833,0
"18","G_scitula",51.6167,8.9,0
"19","G_scitula",60.2167,9.2167,0
"20","G_scitula",67.933,20.125,0
"21","G_scitula",61.017,20.833,0
"22","G_scitula",54.7667,16.2333,0
"23","G_scitula",57.35,14.9333,0
"24","G_scitula",71.558,13.583,0
"25","G_scitula",127.85,-9.1,0
"26","G_scitula",133.8333,-4.8833,0
"27","G_scitula",131.9833,-4.6667,0
"28","G_scitula",112.6833,-11.8833,0
"29","G_scitula",-121.8833,19,0
"30","G_scitula",87.783,11.383,0
"31","G_scitula",80.867,14.267,0
"32","G_scitula",87.317,15.3,0
"33","G_scitula",91.233,15.217,0
"34","G_scitula",91.533,19,0
"35","G_scitula",89.317,20.333,0
"36","G_scitula",57.3833,17.5667,0
"37","G_scitula",60.6667,16.6167,0
"38","G_scitula",58.3333,19.15,0
"39","G_scitula",58.9833,19.7,0
"40","G_scitula",59.7333,21.75,0
"41","G_scitula",60.1833,20.75,0
"42","G_scitula",60.6167,20,0
"43","G_scitula",60.75,19.55,0
"44","G_scitula",61.6833,19.9333,0
"45","G_scitula",60.8333,21.7167,0
"46","G_scitula",60.15,22.6833,0
"47","G_scitula",59.75,22.6833,0
"48","G_scitula",59.7167,22.6333,0
"49","G_scitula",63.15,22.1833,0
"50","G_scitula",58.7833,24.0667,0
"51","G_scitula",62.5,-14.033,0
"52","G_scitula",62.833,-12.267,0
"53","G_scitula",55.5,-8.933,0
"54","G_scitula",61.817,-26.933,0
"55","G_scitula",69.017,-8.317,0
"56","G_scitula",91.683,2.983,0
"57","G_scitula",97.883,-0.567,0
"58","G_scitula",-130.617,3.333,0
"59","G_scitula",-115.7167,-26.3,0
"60","G_scitula",-112.1,-14.7333,0
"61","G_scitula",-109.7167,-11.7,0
"62","G_scitula",-133.38,-9.98,0
"63","G_scitula",-116.217,1.45,0
"64","G_scitula",-115.767,4.133,0
"65","G_scitula",-148.4833,-16.7833,0
"66","G_scitula",-127.333,-44.217,0
"67","G_scitula",-102,-42,0
"68","G_scitula",-97.083,-42.9,0
"69","G_scitula",-79.5,-34.5,0
"70","G_scitula",-106.5,-28.4833,0
"71","G_scitula",-118.2333,-23.6167,0
"72","G_scitula",-113.3,-4.033,0
"73","G_scitula",-89.75,-59.65,0
"74","G_scitula",-130.117,-58,0
