"","Taxa","Longitude","Latitude","Count"
"1","G_tenellus",-73.5167,38.1833,0
"2","G_tenellus",-41.75,50.9332,0
"3","G_tenellus",-67.3333,35.7167,0
"4","G_tenellus",-68.9167,36.1333,0
"5","G_tenellus",-69.15,36.15,0
"6","G_tenellus",-68.9333,35.7833,0
"7","G_tenellus",-69.4,36.2167,0
"8","G_tenellus",-72.95,37.65,0
"9","G_tenellus",-74.35,31.8333,0
"10","G_tenellus",-69.0833,35.7667,0
"11","G_tenellus",-27.0167,-1.5,0
"12","G_tenellus",-59.2,20.7332,0
"13","G_tenellus",178.637,36.433,0
"14","G_tenellus",60.2167,9.2167,0
"15","G_tenellus",131.9833,-4.6667,0
"16","G_tenellus",112.6833,-11.8833,0
"17","G_tenellus",87.783,11.383,0
"18","G_tenellus",87.317,15.3,0
"19","G_tenellus",86.9,13.483,0
"20","G_tenellus",89.033,6.917,0
"21","G_tenellus",88.583,4.183,0
"22","G_tenellus",60.6667,16.6167,0
"23","G_tenellus",61.6833,19.9333,0
"24","G_tenellus",61.817,-26.933,0
"25","G_tenellus",69.017,-8.317,0
"26","G_tenellus",70.233,-2.333,0
"27","G_tenellus",69.25,-2.2,0
"28","G_tenellus",88.85,2.97,0
"29","G_tenellus",91.683,2.983,0
"30","G_tenellus",97.883,-0.567,0
"31","G_tenellus",-130.617,3.333,0
"32","G_tenellus",-133.38,-9.98,0
"33","G_tenellus",-116.217,1.45,0
"34","G_tenellus",-115.767,4.133,0
"35","G_tenellus",-148.4833,-16.7833,0
"36","G_tenellus",-143.6667,-28.5667,0
"37","G_tenellus",-127.333,-44.217,0
"38","G_tenellus",-127.233,-44.35,0
"39","G_tenellus",-119.833,-45.5,0
"40","G_tenellus",-102,-42,0
"41","G_tenellus",-97.083,-42.9,0
"42","G_tenellus",-79.5,-34.5,0
"43","G_tenellus",-113.3,-4.033,0
"44","G_tenellus",-89.75,-59.65,0
"45","G_tenellus",-130.117,-58,0
"46","G_tenellus",-159.983,-54.017,0
"47","G_tenellus",-63.0667,-58.8667,0
"48","G_tenellus",-136.9667,-59.9667,0
"49","G_tenellus",95.082,-45.022,0
"50","G_tenellus",95.08,-47.128,0
"51","G_tenellus",95.037,-47.988,0
"52","G_tenellus",94.832,-49.378,0
"53","G_tenellus",156.058,4.85,0
"54","G_tenellus",160.8,-1.747,0
"55","G_tenellus",160.415,-0.022,0
"56","G_tenellus",160.998,-0.003,0
"57","G_tenellus",161.427,-0.005,0
"58","G_tenellus",161.975,-0.007,0
"59","G_tenellus",162.702,-0.027,0
"60","G_tenellus",160.993,0.875,0
"61","G_tenellus",161.605,1.1,0
"62","G_tenellus",162.393,1.362,0
"63","G_tenellus",163.707,2.362,0
"64","G_tenellus",-24.3167,35,0
