"","Taxa","Longitude","Latitude","Count"
"1","G_truncatulinoides_s",-78.55,19.4,0
"2","G_truncatulinoides_s",-73.833,19.917,0
"3","G_truncatulinoides_s",-18.3,3.65,0
"4","G_truncatulinoides_s",-26.0333,-0.7667,0
"5","G_truncatulinoides_s",-27.0167,-1.5,0
"6","G_truncatulinoides_s",-57.3167,10.55,0
"7","G_truncatulinoides_s",178.637,36.433,0
"8","G_truncatulinoides_s",51.9,12,0
"9","G_truncatulinoides_s",53.1667,10.25,0
"10","G_truncatulinoides_s",51.7333,8.9833,0
"11","G_truncatulinoides_s",51.6167,8.9,0
"12","G_truncatulinoides_s",60.2167,9.2167,0
"13","G_truncatulinoides_s",69.433,20.15,0
"14","G_truncatulinoides_s",67.933,20.125,0
"15","G_truncatulinoides_s",59.55,21,0
"16","G_truncatulinoides_s",61.017,20.833,0
"17","G_truncatulinoides_s",57.1833,17.4333,0
"18","G_truncatulinoides_s",54.7667,16.2333,0
"19","G_truncatulinoides_s",54.6333,15.2667,0
"20","G_truncatulinoides_s",57.35,14.9333,0
"21","G_truncatulinoides_s",71.558,13.583,0
"22","G_truncatulinoides_s",74.1833,9.9,0
"23","G_truncatulinoides_s",73.4,7.0333,0
"24","G_truncatulinoides_s",127.85,-9.1,0
"25","G_truncatulinoides_s",133.8333,-4.8833,0
"26","G_truncatulinoides_s",131.9833,-4.6667,0
"27","G_truncatulinoides_s",130.6167,-2.6333,0
"28","G_truncatulinoides_s",112.6833,-11.8833,0
"29","G_truncatulinoides_s",46.9833,-13.3,0
"30","G_truncatulinoides_s",41.6167,-12.9833,0
"31","G_truncatulinoides_s",41.4,-13.1833,0
"32","G_truncatulinoides_s",41.55,-16.0667,0
"33","G_truncatulinoides_s",41.8333,-11.5167,0
"34","G_truncatulinoides_s",-121.8833,19,0
"35","G_truncatulinoides_s",119.05,7.916,0
"36","G_truncatulinoides_s",118.55,8.5,0
"37","G_truncatulinoides_s",87.783,11.383,0
"38","G_truncatulinoides_s",-11.12,-8.28,0
"39","G_truncatulinoides_s",80.867,14.267,0
"40","G_truncatulinoides_s",87.317,15.3,0
"41","G_truncatulinoides_s",91.233,15.217,0
"42","G_truncatulinoides_s",91.533,19,0
"43","G_truncatulinoides_s",89.317,20.333,0
"44","G_truncatulinoides_s",86.9,13.483,0
"45","G_truncatulinoides_s",89.033,6.917,0
"46","G_truncatulinoides_s",88.583,4.183,0
"47","G_truncatulinoides_s",57.3667,17.7,0
