"","Taxa","Longitude","Latitude","Count"
"1","G_tumida",-38.783,28,0
"2","G_tumida",-73.5167,38.1833,0
"3","G_tumida",-41.75,50.9332,0
"4","G_tumida",-75.75,23.9333,0
"5","G_tumida",-75.9333,24.8,0
"6","G_tumida",-67.6667,30.7833,0
"7","G_tumida",-36.7,39.267,0
"8","G_tumida",-27.367,33.333,0
"9","G_tumida",-19.2998,25.833,0
"10","G_tumida",175.387,36.562,0
"11","G_tumida",51.9,12,0
"12","G_tumida",69.433,20.15,0
"13","G_tumida",67.933,20.125,0
"14","G_tumida",-121.8833,19,0
"15","G_tumida",57.3833,17.5667,0
"16","G_tumida",70.367,-25.417,0
"17","G_tumida",88.85,2.97,0
"18","G_tumida",-115.7167,-26.3,0
"19","G_tumida",-143.6667,-28.5667,0
"20","G_tumida",-127.333,-44.217,0
"21","G_tumida",-127.233,-44.35,0
"22","G_tumida",-119.833,-45.5,0
"23","G_tumida",-102,-42,0
"24","G_tumida",-97.083,-42.9,0
"25","G_tumida",-79.5,-34.5,0
"26","G_tumida",-106.5,-28.4833,0
"27","G_tumida",-118.2333,-23.6167,0
"28","G_tumida",-115.2,-22.0833,0
"29","G_tumida",-89.75,-59.65,0
"30","G_tumida",-130.117,-58,0
"31","G_tumida",-159.983,-54.017,0
"32","G_tumida",-63.0667,-58.8667,0
"33","G_tumida",-136.9667,-59.9667,0
"34","G_tumida",95.082,-45.022,0
"35","G_tumida",95.08,-47.128,0
"36","G_tumida",95.037,-47.988,0
"37","G_tumida",94.832,-49.378,0
"38","G_tumida",-46.357,28.573,0
"39","G_tumida",-43.222,29.813,0
"40","G_tumida",-39.682,31.178,0
"41","G_tumida",-37.85,31.653,0
"42","G_tumida",-34.093,32.417,0
"43","G_tumida",-34.073,32.457,0
"44","G_tumida",-30.378,34.653,0
"45","G_tumida",-29.9798,34.6198,0
"46","G_tumida",-28.78,34.82,0
"47","G_tumida",-28.358,34.805,0
"48","G_tumida",-26.195,34.813,0
"49","G_tumida",-24.3167,35,0
"50","G_tumida",-21.668,34.95,0
"51","G_tumida",-17.36,34.968,0
"52","G_tumida",-12.618,35.18,0
"53","G_tumida",-16.95,24.5,0
"54","G_tumida",-44.0667,5.3833,0
"55","G_tumida",72.783,-5.383,0
"56","G_tumida",58.517,-10.35,0
"57","G_tumida",70.967,-44.633,0
"58","G_tumida",73.6,-35.783,0
"59","G_tumida",78.433,-37.317,0
"60","G_tumida",98.867,-32,0
"61","G_tumida",67.883,-39.733,0
"62","G_tumida",95.09,8.43,0
"63","G_tumida",93.41,11.09,0
"64","G_tumida",94.09,11.46,0
"65","G_tumida",95.56,13.34,0
"66","G_tumida",93.08,14.31,0
"67","G_tumida",58.26,19.18,0
"68","G_tumida",118.2133,11.9317,0
"69","G_tumida",118.5667,8.15,0
"70","G_tumida",118.9,8.3,0
"71","G_tumida",118.8333,8.3,0
"72","G_tumida",118.8833,6.75,0
"73","G_tumida",119.9333,7.4833,0
"74","G_tumida",119.4833,7.1667,0
"75","G_tumida",71,-42,0
