"","Taxa","Longitude","Latitude","Count"
"1","N_dutertrei",-38.783,28,0
"2","N_dutertrei",70.367,-25.417,0
"3","N_dutertrei",-115.7167,-26.3,0
"4","N_dutertrei",-143.6667,-28.5667,0
"5","N_dutertrei",-106.5,-28.4833,0
"6","N_dutertrei",-118.2333,-23.6167,0
"7","N_dutertrei",-115.2,-22.0833,0
"8","N_dutertrei",-89.75,-59.65,0
"9","N_dutertrei",-130.117,-58,0
"10","N_dutertrei",-136.9667,-59.9667,0
"11","N_dutertrei",-47.4833,28.35,0
"12","N_dutertrei",-46.357,28.573,0
"13","N_dutertrei",-43.222,29.813,0
"14","N_dutertrei",-37.85,31.653,0
"15","N_dutertrei",-34.093,32.417,0
"16","N_dutertrei",-34.073,32.457,0
"17","N_dutertrei",-30.378,34.653,0
"18","N_dutertrei",-29.9798,34.6198,0
"19","N_dutertrei",-17.36,34.968,0
"20","N_dutertrei",-44.7667,5.6667,0
"21","N_dutertrei",-44.7333,5.7,0
"22","N_dutertrei",-166.967,-63.283,0
"23","N_dutertrei",-154.75,-24.683,0
"24","N_dutertrei",-147.8333,50.85,0
"25","N_dutertrei",-144.65,51.5167,0
"26","N_dutertrei",-16.53,-23.35,0
"27","N_dutertrei",-12.77,-25.15,0
"28","N_dutertrei",-10.62,-26.23,0
"29","N_dutertrei",-9.433,-26.58,0
"30","N_dutertrei",135.85,-51.5,0
"31","N_dutertrei",105.2,-29.37,0
"32","N_dutertrei",-123.4,-27.43,0
"33","N_dutertrei",94.417,-30.07,0
"34","N_dutertrei",-140,-14.82,0
"35","N_dutertrei",-4.6,-49,0
"36","N_dutertrei",5.95,-43.48,0
"37","N_dutertrei",61.033,-46.52,0
"38","N_dutertrei",-15.48,-39.68,0
"39","N_dutertrei",-13.15,-36.88,0
"40","N_dutertrei",-4.75,-34.95,0
"41","N_dutertrei",13.4333,-50.7167,0
"42","N_dutertrei",-142.6,50.385,0
"43","N_dutertrei",-40.583,-24.69,0
"44","N_dutertrei",-15.57,-49.92,0
"45","N_dutertrei",-20.86,-42.98,0
"46","N_dutertrei",58.678,-28.81,0
"47","N_dutertrei",61.338,-29.08,0
"48","N_dutertrei",69.683,-23.69,0
"49","N_dutertrei",-142.45,-15.25,0
"50","N_dutertrei",-145.12,-16.5,0
"51","N_dutertrei",-145.8,-15.85,0
"52","N_dutertrei",-147.45,-15.6667,0
"53","N_dutertrei",-0.0667,63.4832,0
"54","N_dutertrei",153.98,-53.4,0
"55","N_dutertrei",-50.83,60.033,0
"56","N_dutertrei",31.267,-46.5,0
"57","N_dutertrei",-47.733,58.367,0
"58","N_dutertrei",-57.83,60.733,0
"59","N_dutertrei",-44.7,-53.58,0
"60","N_dutertrei",-52.25,-49.5,0
"61","N_dutertrei",87.117,-25.63,0
"62","N_dutertrei",-41.4,29.017,0
"63","N_dutertrei",-113.5,-17.02,0
"64","N_dutertrei",68,-22.3,0
"65","N_dutertrei",-43.65,23.367,0
"66","N_dutertrei",-136.7,-17.65,0
"67","N_dutertrei",-6.633,-44.47,0
"68","N_dutertrei",-45.97,54.2,0
"69","N_dutertrei",-27.53,62.667,0
"70","N_dutertrei",14.4,69.267,0
"71","N_dutertrei",-30.28,-31.6,0
"72","N_dutertrei",-46.7,26.783,0
"73","N_dutertrei",-37.95,-23.97,0
"74","N_dutertrei",-17.93,62.867,0
"75","N_dutertrei",-14.68,43.8,0
"76","N_dutertrei",-16.87,34.2,0
"77","N_dutertrei",-19.62,29.483,0
"78","N_dutertrei",-35.65,-11.15,0
"79","N_dutertrei",-23.95,-22.05,0
"80","N_dutertrei",-20.32,-27.6,0
"81","N_dutertrei",-46.87,54.033,0
"82","N_dutertrei",-53.12,54.733,0
"83","N_dutertrei",-56.07,55.967,0
"84","N_dutertrei",-54.7,56.733,0
"85","N_dutertrei",-44.62,58.183,0
"86","N_dutertrei",-41.07,59.15,0
"87","N_dutertrei",-5.4,76.167,0
"88","N_dutertrei",2.667,73.533,0
"89","N_dutertrei",-54.33,42.783,0
"90","N_dutertrei",4.633,78.833,0
"91","N_dutertrei",6.917,76.467,0
"92","N_dutertrei",-10.8,75,0
"93","N_dutertrei",-1.35,76.817,0
"94","N_dutertrei",-1.35,76.817,0
"95","N_dutertrei",-0.833,73.483,0
"96","N_dutertrei",-0.833,73.483,0
"97","N_dutertrei",5.267,72.183,0
"98","N_dutertrei",-1.617,71.167,0
"99","N_dutertrei",0.583,62.9,0
"100","N_dutertrei",-3.583,64.833,0
"101","N_dutertrei",-12.72,68.717,0
"102","N_dutertrei",-12.72,68.717,0
"103","N_dutertrei",0.233,67.683,0
"104","N_dutertrei",-6.483,65.6,0
"105","N_dutertrei",-6.733,66.733,0
"106","N_dutertrei",-6.667,67.783,0
"107","N_dutertrei",-6.983,72.967,0
"108","N_dutertrei",-5.117,75.933,0
"109","N_dutertrei",-5.417,68.383,0
"110","N_dutertrei",-0.067,65.167,0
"111","N_dutertrei",-14.53,62.85,0
"112","N_dutertrei",-24.05,61.917,0
"113","N_dutertrei",-19.13,26.917,0
