"","Taxa","Longitude","Latitude","Count"
"1","P_obliquiloculata",-38.783,28,0
"2","P_obliquiloculata",-73.5167,38.1833,0
"3","P_obliquiloculata",-41.75,50.9332,0
"4","P_obliquiloculata",-75.9333,24.8,0
"5","P_obliquiloculata",-73.833,19.917,0
"6","P_obliquiloculata",-36.7,39.267,0
"7","P_obliquiloculata",-27.367,33.333,0
"8","P_obliquiloculata",175.387,36.562,0
"9","P_obliquiloculata",178.637,36.433,0
"10","P_obliquiloculata",51.6167,8.9,0
"11","P_obliquiloculata",-34.5667,-29.1333,0
"12","P_obliquiloculata",61.817,-26.933,0
"13","P_obliquiloculata",70.367,-25.417,0
"14","P_obliquiloculata",-115.7167,-26.3,0
"15","P_obliquiloculata",-148.4833,-16.7833,0
"16","P_obliquiloculata",-127.333,-44.217,0
"17","P_obliquiloculata",-127.233,-44.35,0
"18","P_obliquiloculata",-119.833,-45.5,0
"19","P_obliquiloculata",-102,-42,0
"20","P_obliquiloculata",-97.083,-42.9,0
"21","P_obliquiloculata",-79.5,-34.5,0
"22","P_obliquiloculata",-106.5,-28.4833,0
"23","P_obliquiloculata",-118.2333,-23.6167,0
"24","P_obliquiloculata",-89.75,-59.65,0
"25","P_obliquiloculata",-130.117,-58,0
"26","P_obliquiloculata",-159.983,-54.017,0
"27","P_obliquiloculata",-63.0667,-58.8667,0
"28","P_obliquiloculata",-136.9667,-59.9667,0
"29","P_obliquiloculata",95.082,-45.022,0
"30","P_obliquiloculata",95.08,-47.128,0
"31","P_obliquiloculata",95.037,-47.988,0
"32","P_obliquiloculata",94.832,-49.378,0
"33","P_obliquiloculata",-47.4833,28.35,0
"34","P_obliquiloculata",-46.357,28.573,0
"35","P_obliquiloculata",-37.85,31.653,0
"36","P_obliquiloculata",-34.073,32.457,0
"37","P_obliquiloculata",-30.378,34.653,0
"38","P_obliquiloculata",-28.78,34.82,0
"39","P_obliquiloculata",-26.195,34.813,0
"40","P_obliquiloculata",-24.3167,35,0
"41","P_obliquiloculata",-21.668,34.95,0
"42","P_obliquiloculata",-51.5833,16.7167,0
"43","P_obliquiloculata",-46.127,16.653,0
"44","P_obliquiloculata",-43.15,4.7,0
"45","P_obliquiloculata",70.967,-44.633,0
"46","P_obliquiloculata",78.433,-37.317,0
"47","P_obliquiloculata",98.867,-32,0
"48","P_obliquiloculata",67.883,-39.733,0
"49","P_obliquiloculata",73.883,-23.933,0
"50","P_obliquiloculata",178.483,-63.067,0
"51","P_obliquiloculata",-166.967,-63.283,0
"52","P_obliquiloculata",-171.533,-60.2,0
"53","P_obliquiloculata",175.233,-46.35,0
"54","P_obliquiloculata",-154.75,-24.683,0
"55","P_obliquiloculata",-147.8333,50.85,0
"56","P_obliquiloculata",-144.65,51.5167,0
"57","P_obliquiloculata",-157.3833,21.55,0
"58","P_obliquiloculata",176.6,-14.6,0
