"","Taxa","Longitude","Latitude","Count"
"1","S_dehiscens",-38.783,28,0
"2","S_dehiscens",-73.5167,38.1833,0
"3","S_dehiscens",-41.75,50.9332,0
"4","S_dehiscens",-68.9333,35.7833,0
"5","S_dehiscens",-69.4,36.2167,0
"6","S_dehiscens",-72.95,37.65,0
"7","S_dehiscens",-75.35,31.65,0
"8","S_dehiscens",-76.8,29.7667,0
"9","S_dehiscens",-75.75,23.9333,0
"10","S_dehiscens",-75.9333,24.8,0
"11","S_dehiscens",-67.6667,30.7833,0
"12","S_dehiscens",-69.0833,35.7667,0
"13","S_dehiscens",-78.55,19.4,0
"14","S_dehiscens",-73.833,19.917,0
"15","S_dehiscens",-42.65,39.1332,0
"16","S_dehiscens",-36.7,39.267,0
"17","S_dehiscens",-27.367,33.333,0
"18","S_dehiscens",-19.2998,25.833,0
"19","S_dehiscens",-21.7833,0.6,0
"20","S_dehiscens",-26.0333,-0.7667,0
"21","S_dehiscens",-27.0167,-1.5,0
"22","S_dehiscens",-57.3167,10.55,0
"23","S_dehiscens",51.9,12,0
"24","S_dehiscens",53.1667,10.25,0
"25","S_dehiscens",69.433,20.15,0
"26","S_dehiscens",67.933,20.125,0
"27","S_dehiscens",59.55,21,0
"28","S_dehiscens",61.017,20.833,0
"29","S_dehiscens",57.1833,17.4333,0
"30","S_dehiscens",54.7667,16.2333,0
"31","S_dehiscens",54.6333,15.2667,0
"32","S_dehiscens",57.35,14.9333,0
"33","S_dehiscens",-34.5667,-29.1333,0
"34","S_dehiscens",71.558,13.583,0
"35","S_dehiscens",133.8333,-4.8833,0
"36","S_dehiscens",131.9833,-4.6667,0
"37","S_dehiscens",130.6167,-2.6333,0
"38","S_dehiscens",46.9833,-13.3,0
"39","S_dehiscens",41.4,-13.1833,0
"40","S_dehiscens",-121.8833,19,0
"41","S_dehiscens",119.05,7.916,0
"42","S_dehiscens",118.55,8.5,0
"43","S_dehiscens",-11.12,-8.28,0
"44","S_dehiscens",91.533,19,0
"45","S_dehiscens",57.3667,17.7,0
"46","S_dehiscens",57.3833,17.5667,0
"47","S_dehiscens",60.6667,16.6167,0
"48","S_dehiscens",58.3333,19.15,0
"49","S_dehiscens",58.9833,19.7,0
"50","S_dehiscens",59.6,21,0
"51","S_dehiscens",59.7333,21.75,0
"52","S_dehiscens",60.1833,20.75,0
"53","S_dehiscens",60.6167,20,0
"54","S_dehiscens",60.75,19.55,0
"55","S_dehiscens",61.6833,19.9333,0
"56","S_dehiscens",60.8333,21.7167,0
"57","S_dehiscens",60.15,22.6833,0
"58","S_dehiscens",59.75,22.6833,0
"59","S_dehiscens",59.6167,22.6167,0
"60","S_dehiscens",59.7167,22.6333,0
"61","S_dehiscens",63.15,22.1833,0
"62","S_dehiscens",58.7833,24.0667,0
"63","S_dehiscens",62.067,-18.35,0
"64","S_dehiscens",62.5,-14.033,0
"65","S_dehiscens",55.5,-8.933,0
"66","S_dehiscens",61.817,-26.933,0
"67","S_dehiscens",70.367,-25.417,0
"68","S_dehiscens",69.25,-2.2,0
