"","Taxa","Longitude","Latitude","Count"
"1","B_pumilio",57.3667,13.8667,1
"2","B_pumilio",-116.217,1.45,1
"3","B_pumilio",-127.333,-44.217,1
"4","B_pumilio",-42.9167,4.95,1
"5","B_pumilio",98.867,-32,1
"6","B_pumilio",113.933,-32.267,1
"7","B_pumilio",95.09,8.43,1
"8","B_pumilio",-149.4,-4.433,1
"9","B_pumilio",-164.983,10.017,1
"10","B_pumilio",57.622,17.71,1
"11","B_pumilio",-118.05,3.95,1
"12","B_pumilio",-113.4833,-14.6833,2
"13","B_pumilio",-160.5,5.35,2
"14","B_pumilio",58.2333,19.2667,1
"15","B_pumilio",83.8,-31.63,1
"16","B_pumilio",92.833,-28.883,1
"17","B_pumilio",85.967,6.683,1
"18","B_pumilio",73.8,5.083,1
"19","B_pumilio",76.25,3.083,1
"20","B_pumilio",89.583,-6.117,2
