"","Taxa","Longitude","Latitude","Count"
"1","C_nitida",-68.9333,35.7833,1
"2","C_nitida",-76.8,29.7667,1
"3","C_nitida",-75.75,23.9333,2
"4","C_nitida",-78.55,19.4,2
"5","C_nitida",-73.833,19.917,1
"6","C_nitida",-57.3167,10.55,5
"7","C_nitida",51.7333,8.9833,1
"8","C_nitida",-34.5667,-29.1333,9
"9","C_nitida",46.9833,-13.3,1
"10","C_nitida",41.4,-13.1833,1
"11","C_nitida",87.783,11.383,1
"12","C_nitida",80.867,14.267,2
"13","C_nitida",60.6167,20,1
"14","C_nitida",70.367,-25.417,2
"15","C_nitida",71.217,-2.45,1
"16","C_nitida",71.2167,-2.45,1
"17","C_nitida",-115.7167,-26.3,1
"18","C_nitida",-143.6667,-28.5667,1
"19","C_nitida",-106.5,-28.4833,1
"20","C_nitida",-118.2333,-23.6167,3
"21","C_nitida",-115.2,-22.0833,4
"22","C_nitida",-26.195,34.813,1
"23","C_nitida",-51.5833,16.7167,4
"24","C_nitida",-46.127,16.653,7
"25","C_nitida",-42.947,15.527,1
"26","C_nitida",-42.9833,4.8667,3
"27","C_nitida",-44.9667,5.9833,4
"28","C_nitida",-44.9333,5.8667,3
"29","C_nitida",-44.7167,5.7,3
"30","C_nitida",-44.7333,5.7,2
"31","C_nitida",-44.6333,5.7833,1
"32","C_nitida",-44.5833,5.8333,1
"33","C_nitida",-44.5833,5.8333,1
"34","C_nitida",-44.5,5.8833,1
"35","C_nitida",-44.4667,5.9667,1
"36","C_nitida",-44.3833,6.0167,1
"37","C_nitida",-44.2167,6.2167,1
"38","C_nitida",-44.0833,6.0333,2
"39","C_nitida",-44.05,5.7167,1
"40","C_nitida",-44.0833,5.5667,2
"41","C_nitida",-44.0667,5.4667,2
"42","C_nitida",-43.75,4.7333,1
"43","C_nitida",-43.45,4.7667,1
"44","C_nitida",-43.205,4.865,1
"45","C_nitida",-43.1333,4.9,2
"46","C_nitida",-42.9167,4.95,1
"47","C_nitida",-43.3167,4.85,1
"48","C_nitida",-43.382,4.563,1
"49","C_nitida",-43.697,4.363,1
"50","C_nitida",-43.4833,4.35,1
"51","C_nitida",59.683,-13.683,1
"52","C_nitida",98.867,-32,1
"53","C_nitida",73.117,9.05,5
"54","C_nitida",148.7,-14.5,1
"55","C_nitida",165.417,-5.7,3
"56","C_nitida",90.29,17.24,1
"57","C_nitida",117.9267,12.65,1
"58","C_nitida",118.6317,11.6283,1
"59","C_nitida",118.2133,11.9317,1
"60","C_nitida",119.3667,7,1
"61","C_nitida",-174.3167,17.8667,3
"62","C_nitida",73.883,-23.933,1
"63","C_nitida",-154.75,-24.683,1
"64","C_nitida",-150.583,-13.883,2
"65","C_nitida",-157.8167,21.7,7
"66","C_nitida",-157.3833,21.55,2
"67","C_nitida",167.567,-20.583,1
"68","C_nitida",176.6,-14.6,3
"69","C_nitida",175.3,-11.133,3
"70","C_nitida",-75.58,14.267,1
"71","C_nitida",-16.53,-23.35,1
"72","C_nitida",-13.27,-24.97,1
"73","C_nitida",-12.77,-25.15,3
"74","C_nitida",-10.62,-26.23,3
"75","C_nitida",-111.9,-33.42,1
"76","C_nitida",105.2,-29.37,2
"77","C_nitida",113.37,-29.33,1
"78","C_nitida",-84.18,20.533,4
"79","C_nitida",153.85,-12.42,2
"80","C_nitida",156.43,-3.033,2
"81","C_nitida",156.98,-2.65,2
"82","C_nitida",153.98,-0.333,4
"83","C_nitida",149.2,1.267,4
"84","C_nitida",-86.3,23.433,1
"85","C_nitida",-96.33,22.617,1
"86","C_nitida",-89.4,26.3,1
"87","C_nitida",-84.75,25.183,4
"88","C_nitida",-79.53,16.567,3
"89","C_nitida",57.633,-22.4,1
"90","C_nitida",-40.6,-2.0667,2
"91","C_nitida",119,-6.017,1
"92","C_nitida",149.92,20.1,1
"93","C_nitida",-35.97,-17.27,7
"94","C_nitida",-146.9,-14.78,8
"95","C_nitida",-140,-14.82,3
"96","C_nitida",-32.6833,-20.15,3
"97","C_nitida",-110.8,-8.8,1
"98","C_nitida",-30.07,-28.58,5
"99","C_nitida",-48.08,7.633,1
"100","C_nitida",-93.67,22.9,1
"101","C_nitida",-86.25,20.733,6
"102","C_nitida",-86.13,20.45,2
"103","C_nitida",-177.6,-24.23,1
"104","C_nitida",41.567,-10.35,1
"105","C_nitida",65.2,-2.983,1
"106","C_nitida",93.333,9.333,1
"107","C_nitida",126.18,23.95,3
"108","C_nitida",-91.55,27.15,2
"109","C_nitida",-157.2,-21.46,4
"110","C_nitida",-71.67,15.617,2
"111","C_nitida",-75.44,16.708,3
"112","C_nitida",-75.95,15.065,3
"113","C_nitida",-78.74,14.878,3
"114","C_nitida",-78.15,11.25,1
"115","C_nitida",-8.222,-8.197,1
"116","C_nitida",90.015,-2.38,1
"117","C_nitida",89.95,-0.8333,2
"118","C_nitida",102.45,-5.967,2
"119","C_nitida",119.45,-15.2,1
"120","C_nitida",125.02,-8.45,1
"121","C_nitida",119.95,4.417,1
"122","C_nitida",126.35,26.833,1
"123","C_nitida",-45.47,-29.22,1
"124","C_nitida",96.262,6.397,2
"125","C_nitida",158.77,3.747,2
"126","C_nitida",161,2.155,2
"127","C_nitida",57.425,-31.08,1
"128","C_nitida",69.48,-25.34,1
"129","C_nitida",70.55,-24.28,1
"130","C_nitida",68.683,-21.68,1
"131","C_nitida",66.123,-16.36,1
"132","C_nitida",64.735,-12.3,1
"133","C_nitida",-112.6167,-12.5,1
"134","C_nitida",-145.12,-16.5,2
"135","C_nitida",-145.8,-15.85,1
"136","C_nitida",-147.45,-15.6667,2
"137","C_nitida",-166.583,-8.017,1
"138","C_nitida",-69.5,32.6,2
"139","C_nitida",-79.92,29.283,2
"140","C_nitida",-37.87,8.233,2
"141","C_nitida",-43.8,23.033,1
"142","C_nitida",-74.4,17,1
"143","C_nitida",-34.5,-28.7,2
"144","C_nitida",-53.07,24.283,5
"145","C_nitida",65.517,3.867,1
"146","C_nitida",43.783,-28.43,1
"147","C_nitida",-34.4,-9.75,5
"148","C_nitida",-75.92,30.517,1
"149","C_nitida",-42.45,-27.95,2
"150","C_nitida",-50.35,17.933,1
"151","C_nitida",-43.4,15.4,6
"152","C_nitida",-46.48,23.333,2
"153","C_nitida",-48.42,17.267,1
"154","C_nitida",-40.67,13.25,1
"155","C_nitida",-24.68,-13.07,3
"156","C_nitida",-19.72,-15.33,2
"157","C_nitida",-11.43,-19.37,1
"158","C_nitida",-1.1,-27.87,1
"159","C_nitida",79.567,-29.73,2
"160","C_nitida",83.8,-31.63,1
"161","C_nitida",95.183,-28.017,1
"162","C_nitida",-18.92,12.383,1
